,open,high,low,close,volume,datetime
0,19.58333,19.78333,19.53333,19.56667,1209300,2002-06-10 05:00:00
1,19.5,19.74333,19.33333,19.38333,749400,2002-06-11 05:00:00
2,19.08333,19.21667,18.8,19.14667,1368900,2002-06-12 05:00:00
3,19.14667,19.31667,19.0,19.20333,712500,2002-06-13 05:00:00
4,19.15,19.33333,18.65,19.33333,1407600,2002-06-14 05:00:00
5,19.5,19.76667,19.41667,19.55,1488600,2002-06-17 05:00:00
6,19.55333,19.88333,19.53333,19.8,679800,2002-06-18 05:00:00
7,19.78333,20.4,19.75333,20.1,1203300,2002-06-19 05:00:00
8,20.08333,20.45,19.74667,20.38667,1414800,2002-06-20 05:00:00
9,20.38333,20.58667,20.13333,20.33667,1336500,2002-06-21 05:00:00
10,20.31667,20.43333,19.61667,19.96667,778800,2002-06-24 05:00:00
11,20.0,20.01667,19.03333,19.16333,753000,2002-06-25 05:00:00
12,18.58333,18.73333,18.1,18.36333,1871400,2002-06-26 05:00:00
13,18.83333,18.88333,18.01667,18.24667,993600,2002-06-27 05:00:00
14,18.28333,18.56667,17.7,18.17,2560500,2002-06-28 05:00:00
15,18.13333,18.25,17.4,17.46667,1267500,2002-07-01 05:00:00
16,17.45,17.53333,16.53333,16.86667,3132900,2002-07-02 05:00:00
17,16.83333,17.06667,15.8,16.97,2729100,2002-07-03 05:00:00
18,16.97,17.1,16.68667,16.78333,739200,2002-07-05 05:00:00
19,16.78333,17.45,16.78333,17.25,1648500,2002-07-08 05:00:00
20,17.25333,17.4,16.63333,16.74667,968400,2002-07-09 05:00:00
21,16.71667,16.92,16.0,16.18333,1437300,2002-07-10 05:00:00
22,16.26667,16.33333,14.96667,16.00333,2215500,2002-07-11 05:00:00
23,16.0,16.5,15.7,16.17,1343400,2002-07-12 05:00:00
24,16.10333,16.10667,14.23333,15.4,2634600,2002-07-15 05:00:00
25,15.33333,15.33667,14.66667,14.96667,1597500,2002-07-16 05:00:00
26,15.4,15.91,14.75,15.60333,1981200,2002-07-17 05:00:00
27,15.60333,16.16667,15.40333,15.93333,2736000,2002-07-18 05:00:00
