,open,high,low,close,volume,datetime
0,61.0,71.91,48.98,58.9,9249222,2020-12-11 06:00:00
1,56.9262,60.6905,50.0,50.01,1487276,2020-12-14 06:00:00
2,50.81,52.21,45.26,46.99,3957992,2020-12-15 06:00:00
3,47.13,49.73,42.15,47.53,1688698,2020-12-16 06:00:00
4,48.54,50.5,48.14,48.6,636322,2020-12-17 06:00:00
5,49.2,49.8,48.16,49.22,424815,2020-12-18 06:00:00
6,48.5,48.99,43.6316,45.3,912680,2020-12-21 06:00:00
7,47.62,47.99,42.565,47.12,970373,2020-12-22 06:00:00
8,45.68,45.99,42.6,43.26,1407058,2020-12-23 06:00:00
9,43.26,44.0,40.85,42.42,607747,2020-12-24 06:00:00
10,42.65,42.96,38.3,40.55,1116797,2020-12-28 06:00:00
11,41.13,41.5,38.0,39.0,1672019,2020-12-29 06:00:00
12,38.59,41.1,37.62,41.1,851306,2020-12-30 06:00:00
13,41.45,41.5,38.6,40.24,1200980,2020-12-31 06:00:00
14,40.0,40.3,38.775,39.1,1122039,2021-01-04 06:00:00
15,38.81,39.5,37.7,38.51,1727152,2021-01-05 06:00:00
16,38.75,40.05,36.82,39.61,2752783,2021-01-06 06:00:00
17,40.7,40.96,38.64,39.32,992754,2021-01-07 06:00:00
18,39.32,42.48,38.78,39.72,1076722,2021-01-08 06:00:00
19,40.36,40.5,36.27,36.59,872651,2021-01-11 06:00:00
20,37.0,40.35,36.7701,39.95,1447704,2021-01-12 06:00:00
21,39.9,44.9899,39.72,43.88,1914280,2021-01-13 06:00:00
22,44.39,47.0,41.46,46.64,965054,2021-01-14 06:00:00
23,45.51,46.55,44.07,44.41,1000888,2021-01-15 06:00:00
24,44.94,49.32,44.94,49.08,1252178,2021-01-19 06:00:00
25,49.53,49.74,47.5,48.2,475537,2021-01-20 06:00:00
26,49.0,51.49,48.07,50.9,1003831,2021-01-21 06:00:00
27,50.04,51.3583,49.08,50.5,694532,2021-01-22 06:00:00
28,51.2,51.24,46.43,48.79,478824,2021-01-25 06:00:00
29,49.29,49.96,46.0558,47.77,500142,2021-01-26 06:00:00
30,45.89,48.92,45.1,46.85,687259,2021-01-27 06:00:00
31,46.45,52.5,46.14,51.5,998935,2021-01-28 06:00:00
32,52.1,55.22,50.3301,52.83,1070405,2021-01-29 06:00:00
33,53.25,54.2597,52.86,53.2,1248178,2021-02-01 06:00:00
34,53.19,54.0,47.5209,47.95,744173,2021-02-02 06:00:00
35,49.72,49.97,48.15,48.55,579603,2021-02-03 06:00:00
36,49.0,49.0758,46.0,46.58,373990,2021-02-04 06:00:00
37,46.9,47.45,45.6802,46.55,458800,2021-02-05 06:00:00
38,49.0,49.37,44.57,45.03,580107,2021-02-08 06:00:00
39,47.75,49.7,46.175,47.0,973907,2021-02-09 06:00:00
40,53.0,53.03,46.97,46.99,1126181,2021-02-10 06:00:00
41,48.0,48.41,44.5887,46.0,807339,2021-02-11 06:00:00
42,46.2,46.2,42.66,42.97,714656,2021-02-12 06:00:00
43,44.1978,44.7,42.6001,44.04,1443125,2021-02-16 06:00:00
44,44.2,46.72,43.5201,45.64,609710,2021-02-17 06:00:00
45,45.65,45.65,43.36,43.8,499360,2021-02-18 06:00:00
46,43.56,45.44,43.56,44.07,415947,2021-02-19 06:00:00
47,44.25,44.95,39.8,40.37,597562,2021-02-22 06:00:00
48,39.61,40.0,35.7301,38.83,911360,2021-02-23 06:00:00
49,40.91,41.36,39.56,40.1,661193,2021-02-24 06:00:00
50,40.38,41.65,38.7,39.06,481263,2021-02-25 06:00:00
51,38.95,39.2739,36.24,37.71,797457,2021-02-26 06:00:00
52,38.46,40.6,38.46,39.69,291396,2021-03-01 06:00:00
53,39.7,40.13,37.41,38.0,300926,2021-03-02 06:00:00
54,39.0,39.0,35.5,35.67,493198,2021-03-03 06:00:00
55,35.5,35.5,29.569,30.05,2272546,2021-03-04 06:00:00
56,30.5099,31.7364,26.1601,28.61,1793973,2021-03-05 06:00:00
57,31.19,31.4684,26.375,26.76,930293,2021-03-08 06:00:00
58,28.71,31.17,27.89,30.64,1005814,2021-03-09 06:00:00
59,31.03,32.89,30.2101,32.22,941362,2021-03-10 06:00:00
60,34.22,36.22,32.9,36.0,1066128,2021-03-11 06:00:00
61,36.21,36.845,34.85,36.54,432782,2021-03-12 06:00:00
62,37.41,38.25,36.45,37.55,891669,2021-03-15 05:00:00
63,37.87,39.19,37.35,37.88,963949,2021-03-16 05:00:00
64,36.55,36.9099,34.745,36.29,446013,2021-03-17 05:00:00
65,36.0,36.15,30.7501,31.37,1089417,2021-03-18 05:00:00
66,31.5,32.19,30.81,31.2,859039,2021-03-19 05:00:00
67,31.99,32.34,30.22,30.58,543200,2021-03-22 05:00:00
68,30.65,30.77,28.5,29.23,565435,2021-03-23 05:00:00
69,29.47,29.97,27.61,27.79,634984,2021-03-24 05:00:00
70,27.05,28.0,26.19,26.58,1788296,2021-03-25 05:00:00
71,26.8984,27.11,24.07,24.75,1703207,2021-03-26 05:00:00
72,25.2658,25.9999,23.2,23.29,1366504,2021-03-29 05:00:00
73,27.52,27.947,24.57,26.68,3580189,2021-03-30 05:00:00
74,28.2,36.7799,27.5,33.96,3243933,2021-03-31 05:00:00
75,36.25,39.06,30.0001,30.71,4230924,2021-04-01 05:00:00
76,31.71,31.78,27.9,28.09,1648203,2021-04-05 05:00:00
77,28.0,29.14,26.77,29.0,1432111,2021-04-06 05:00:00
78,28.41,31.32,27.86,31.29,1443216,2021-04-07 05:00:00
79,30.79,31.62,29.63,30.59,814110,2021-04-08 05:00:00
80,29.96,30.75,27.61,28.35,2392322,2021-04-09 05:00:00
81,28.115,28.68,26.8,27.92,1606095,2021-04-12 05:00:00
82,27.98,28.81,27.32,28.26,886076,2021-04-13 05:00:00
83,28.22,30.64,27.72,28.25,1170798,2021-04-14 05:00:00
84,29.62,30.24,28.43,29.0,1795796,2021-04-15 05:00:00
85,29.31,30.64,28.35,29.82,690745,2021-04-16 05:00:00
86,29.21,29.904,29.1011,29.65,698352,2021-04-19 05:00:00
87,29.64,29.76,27.01,27.73,1617267,2021-04-20 05:00:00
88,27.8,29.3,27.3762,29.06,814849,2021-04-21 05:00:00
89,29.5,29.98,28.26,29.23,439128,2021-04-22 05:00:00
90,28.76,29.89,28.76,29.33,415541,2021-04-23 05:00:00
91,29.55,31.81,29.132,31.6,679672,2021-04-26 05:00:00
92,31.31,31.445,29.18,29.48,855439,2021-04-27 05:00:00
93,29.0,30.62,28.96,30.03,516122,2021-04-28 05:00:00
94,30.06,30.3,28.66,28.78,719070,2021-04-29 05:00:00
95,28.63,29.07,26.5,26.65,1062202,2021-04-30 05:00:00
96,27.0,27.22,25.5,26.0,696998,2021-05-03 05:00:00
97,25.83,28.51,25.58,28.0,1719602,2021-05-04 05:00:00
98,28.72,30.35,28.53,29.42,1360628,2021-05-05 05:00:00
99,28.5017,29.01,27.55,28.7,850458,2021-05-06 05:00:00
100,28.4,29.9,28.2,29.09,484657,2021-05-07 05:00:00
101,28.89,29.09,27.56,27.67,784445,2021-05-10 05:00:00
102,26.5,28.4988,26.25,28.25,577889,2021-05-11 05:00:00
103,28.0,30.97,27.73,30.72,906771,2021-05-12 05:00:00
104,29.67,35.0,29.67,34.14,1797991,2021-05-13 05:00:00
105,31.75,32.88,30.5,31.75,902161,2021-05-14 05:00:00
106,31.5,36.05,31.5,34.17,896160,2021-05-17 05:00:00
107,33.87,34.0,32.6,32.99,659579,2021-05-18 05:00:00
108,32.56,32.57,31.32,32.35,327194,2021-05-19 05:00:00
109,32.35,32.96,31.13,31.79,365210,2021-05-20 05:00:00
110,31.21,32.7007,31.21,32.03,409539,2021-05-21 05:00:00
111,31.84,33.2287,31.84,32.62,343711,2021-05-24 05:00:00
112,32.26,33.6376,32.06,32.56,800149,2021-05-25 05:00:00
113,32.31,32.56,28.11,28.5,1947732,2021-05-26 05:00:00
114,28.2,28.5,26.78,27.15,1581894,2021-05-27 05:00:00
115,27.3,28.36,26.65,26.83,1238702,2021-05-28 05:00:00
116,27.25,27.47,26.05,26.44,1149458,2021-06-01 05:00:00
117,26.5,27.6,26.16,26.87,928751,2021-06-02 05:00:00
118,26.7,26.9342,25.17,25.57,1042451,2021-06-03 05:00:00
119,25.69,26.0045,25.2,25.97,769830,2021-06-04 05:00:00
120,25.8,27.4603,25.62,26.23,815165,2021-06-07 05:00:00
121,26.31,26.83,24.75,24.98,1328751,2021-06-08 05:00:00
122,23.5,24.84,23.25,23.84,3872647,2021-06-09 05:00:00
123,24.475,25.02,23.85,24.84,3645825,2021-06-10 05:00:00
124,25.47,26.49,24.99,25.9,4290240,2021-06-11 05:00:00
125,26.6021,26.6021,24.18,24.55,3569452,2021-06-14 05:00:00
126,24.88,24.88,23.47,23.53,2295977,2021-06-15 05:00:00
127,23.6,24.0,22.88,23.04,1910698,2021-06-16 05:00:00
128,23.01,23.09,22.35,22.81,2114562,2021-06-17 05:00:00
129,22.8,23.4,22.345,23.19,2929406,2021-06-18 05:00:00
130,23.2,23.23,21.83,22.72,2506795,2021-06-21 05:00:00
131,22.5,22.85,21.9327,22.07,1539317,2021-06-22 05:00:00
132,21.0,21.77,19.8,21.71,6377653,2021-06-23 05:00:00
133,22.2741,22.38,20.8,21.26,3417107,2021-06-24 05:00:00
