,open,high,low,close,volume,datetime
0,9.9,9.9,9.9,9.9,100000,2019-09-09 05:00:00
1,10.15,10.15,9.91,9.91,1800,2019-09-11 05:00:00
2,9.92,10.48,9.92,9.92,5402,2019-09-13 05:00:00
3,9.95,9.95,9.95,9.95,50000,2019-09-20 05:00:00
4,10.15,10.15,10.15,10.15,5000,2019-10-02 05:00:00
5,10.05,10.05,10.05,10.05,800000,2019-10-07 05:00:00
6,10.1,10.1,10.1,10.1,1000,2019-10-08 05:00:00
7,10.1,10.12,10.1,10.11,64356,2019-10-09 05:00:00
8,10.0,10.0,10.0,10.0,149996,2019-10-16 05:00:00
9,10.0,10.1,10.1,10.1,686056,2019-10-18 05:00:00
10,10.15,10.15,10.15,10.15,500,2019-10-22 05:00:00
11,10.2,10.201,10.145,10.16,5749,2019-10-24 05:00:00
12,10.39,10.39,10.13,10.13,3145,2019-10-29 05:00:00
13,10.15,10.15,10.15,10.15,70000,2019-10-30 05:00:00
14,10.285,10.38,10.285,10.38,1000,2019-10-31 05:00:00
15,10.3,10.3,10.3,10.3,500,2019-11-05 06:00:00
16,10.27,10.27,10.2,10.2,400100,2019-11-25 06:00:00
17,10.25,10.25,10.25,10.25,700,2019-11-26 06:00:00
18,10.47,10.47,10.47,10.47,100,2019-11-29 06:00:00
19,10.475,10.475,10.4,10.475,5000,2019-12-10 06:00:00
20,10.35,10.35,10.35,10.35,100,2019-12-16 06:00:00
21,10.3,10.3,10.3,10.3,100,2019-12-17 06:00:00
22,10.4,10.4,10.4,10.4,100,2019-12-20 06:00:00
23,10.9,10.9,10.9,10.9,101,2020-01-08 06:00:00
24,10.65,10.65,10.58,10.58,251000,2020-01-09 06:00:00
25,10.9,11.0,10.59,10.59,5900,2020-01-10 06:00:00
26,10.65,10.75,10.65,10.7,32620,2020-01-13 06:00:00
27,10.65,10.7,10.65,10.7,11500,2020-01-14 06:00:00
28,10.99,10.99,10.99,10.99,100,2020-01-15 06:00:00
29,10.8,11.0,10.8,11.0,244,2020-01-16 06:00:00
30,10.75,10.94,10.6,10.6,130300,2020-01-17 06:00:00
31,10.85,10.85,10.75,10.75,26103,2020-01-21 06:00:00
32,10.8,10.8,10.8,10.8,100,2020-01-27 06:00:00
33,10.8,10.8,10.8,10.8,158360,2020-01-28 06:00:00
34,10.775,10.775,10.775,10.775,25004,2020-02-05 06:00:00
35,10.85,10.85,10.8,10.8,1116,2020-02-12 06:00:00
36,10.8,10.8,10.7,10.7,1001,2020-02-13 06:00:00
37,10.79,10.8,10.79,10.8,407591,2020-02-18 06:00:00
38,10.8316,10.9,10.8316,10.9,208,2020-02-19 06:00:00
39,10.87,10.87,10.87,10.87,463,2020-02-20 06:00:00
40,10.85,10.85,10.7,10.8,2411,2020-02-21 06:00:00
41,10.6,11.0,10.6,11.0,50713,2020-02-24 06:00:00
42,11.0,11.65,10.95,10.95,221897,2020-02-25 06:00:00
43,11.0,11.19,10.95,10.95,152816,2020-02-26 06:00:00
44,11.18,11.18,11.17,11.18,774,2020-02-27 06:00:00
45,10.6,11.59,10.6,11.09,118069,2020-03-02 06:00:00
46,11.09,11.1,11.09,11.1,817,2020-03-04 06:00:00
47,11.16,11.16,11.16,11.16,208,2020-03-09 05:00:00
48,11.0,11.0,11.0,11.0,202,2020-03-12 05:00:00
49,11.0,11.0,11.0,11.0,203,2020-03-13 05:00:00
50,10.59,11.25,10.05,10.68,12549,2020-03-16 05:00:00
51,10.24,10.415,10.2,10.415,901,2020-03-17 05:00:00
52,9.4,10.0,9.4,10.0,242247,2020-03-23 05:00:00
53,10.72,10.77,9.76,9.9,375518,2020-03-31 05:00:00
54,9.96,9.96,9.96,9.96,140,2020-04-07 05:00:00
55,9.98,9.98,9.98,9.98,1000,2020-04-14 05:00:00
56,10.15,10.15,10.15,10.15,25000,2020-04-20 05:00:00
57,10.22,10.22,10.22,10.22,100001,2020-04-21 05:00:00
58,10.25,10.25,10.25,10.25,100001,2020-04-24 05:00:00
59,10.5134,10.5134,10.5134,10.5134,200,2020-04-28 05:00:00
60,10.65,10.65,10.65,10.65,5000,2020-04-30 05:00:00
61,10.4,10.4,10.4,10.4,100,2020-05-01 05:00:00
62,10.25,10.45,10.25,10.45,75100,2020-05-04 05:00:00
63,10.45,10.45,10.45,10.45,100,2020-05-06 05:00:00
64,10.3,10.4,10.3,10.3,1426913,2020-05-07 05:00:00
65,10.35,10.35,10.35,10.35,450000,2020-05-08 05:00:00
66,10.65,10.75,10.6,10.6,66012,2020-05-12 05:00:00
67,10.6,10.8,10.5,10.8,42412,2020-05-13 05:00:00
68,10.61,10.65,10.61,10.65,400,2020-05-14 05:00:00
69,10.55,10.6,10.55,10.6,302,2020-05-18 05:00:00
70,10.35,10.35,10.35,10.35,100,2020-05-19 05:00:00
71,10.75,10.75,10.3,10.6,26900,2020-05-20 05:00:00
72,10.84,10.84,10.6,10.6,200,2020-05-21 05:00:00
73,10.32,10.6,10.32,10.6,300,2020-05-22 05:00:00
74,10.35,10.59,10.35,10.59,1313411,2020-05-27 05:00:00
75,10.5,10.6,10.4994,10.51,28800,2020-05-28 05:00:00
76,10.64,10.78,10.64,10.78,3740,2020-05-29 05:00:00
77,10.7,10.85,10.68,10.84,428053,2020-06-01 05:00:00
78,10.79,10.85,10.79,10.85,9453,2020-06-02 05:00:00
79,10.6,10.8,10.6,10.6,5811,2020-06-04 05:00:00
80,10.79,10.9,10.62,10.85,180885,2020-06-05 05:00:00
81,10.78,11.15,10.6,10.74,48632,2020-06-08 05:00:00
82,10.75,11.23,10.75,11.15,200618,2020-06-09 05:00:00
83,10.94,11.165,10.6806,11.165,379541,2020-06-10 05:00:00
84,10.96,11.23,10.96,11.23,706,2020-06-11 05:00:00
85,11.19,11.19,10.6101,11.12,100622,2020-06-12 05:00:00
86,10.8,11.34,10.8,11.34,138802,2020-06-15 05:00:00
87,11.23,11.3,10.98,11.26,101076,2020-06-16 05:00:00
88,11.23,11.23,11.0,11.07,14441,2020-06-18 05:00:00
89,11.1,11.1,11.1,11.1,5652,2020-06-19 05:00:00
90,11.05,11.1,11.02,11.1,11421,2020-06-22 05:00:00
91,11.13,11.14,11.01,11.08,56973,2020-06-23 05:00:00
92,11.0,11.0,11.0,11.0,281,2020-06-24 05:00:00
93,11.06,11.15,11.06,11.15,53284,2020-06-25 05:00:00
94,11.05,11.2,11.05,11.1,6059,2020-06-26 05:00:00
95,11.1,11.13,11.0,11.05,79671,2020-06-29 05:00:00
96,11.1,11.15,11.02,11.05,28525,2020-06-30 05:00:00
97,11.05,11.23,11.0199,11.15,133048,2020-07-01 05:00:00
98,11.23,11.35,11.2,11.3,150485,2020-07-02 05:00:00
99,11.3499,12.08,11.085,11.99,109489,2020-07-06 05:00:00
100,11.8,11.8,11.175,11.295,431660,2020-07-07 05:00:00
101,11.29,11.36,11.1,11.28,77730,2020-07-08 05:00:00
102,11.33,11.35,11.25,11.35,14032,2020-07-09 05:00:00
103,11.35,11.35,11.15,11.3,69506,2020-07-10 05:00:00
104,11.34,11.49,11.19,11.37,40566,2020-07-13 05:00:00
105,11.37,11.73,11.25,11.25,19006,2020-07-14 05:00:00
106,11.27,11.4734,11.125,11.2,108427,2020-07-15 05:00:00
107,11.34,11.8282,11.18,11.3,65099,2020-07-16 05:00:00
108,11.4,11.423,11.3,11.35,8997,2020-07-17 05:00:00
109,11.3501,11.525,11.35,11.51,7186,2020-07-20 05:00:00
