,open,high,low,close,volume,datetime
0,10.0,10.0,9.96,9.97,10566826,2021-03-10 06:00:00
1,9.97,10.0,9.96,9.99,2061529,2021-03-11 06:00:00
2,10.0,10.0,9.98,10.0,681417,2021-03-12 06:00:00
3,10.0,10.0,9.92,9.93,640674,2021-03-15 05:00:00
4,9.95,9.962,9.92,9.95,217887,2021-03-16 05:00:00
5,9.93,9.97,9.93,9.97,198688,2021-03-17 05:00:00
6,9.96,9.96,9.8357,9.9,230800,2021-03-18 05:00:00
7,9.94,9.94,9.88,9.91,33894,2021-03-19 05:00:00
8,9.91,9.97,9.88,9.95,707004,2021-03-22 05:00:00
9,9.88,9.88,9.75,9.79,79496,2021-03-23 05:00:00
10,9.84,9.95,9.7901,9.84,41564,2021-03-24 05:00:00
11,9.79,9.83,9.76,9.78,47908,2021-03-25 05:00:00
12,9.86,9.95,9.86,9.95,9060,2021-03-26 05:00:00
13,9.91,9.91,9.8801,9.9,31357,2021-03-29 05:00:00
14,9.91,9.9472,9.85,9.85,25676,2021-03-30 05:00:00
15,9.845,9.95,9.845,9.93,13306,2021-03-31 05:00:00
16,9.95,9.95,9.91,9.91,24921,2021-04-01 05:00:00
17,9.94,9.96,9.89,9.95,87446,2021-04-05 05:00:00
18,9.95,9.95,9.935,9.94,18988,2021-04-06 05:00:00
19,9.92,9.94,9.915,9.92,159810,2021-04-07 05:00:00
20,9.92,9.98,9.92,9.96,61075,2021-04-08 05:00:00
21,9.97,10.0,9.94,10.0,158740,2021-04-09 05:00:00
22,9.9728,10.0,9.95,9.99,408746,2021-04-12 05:00:00
23,9.9899,10.0,9.923,10.0,2896,2021-04-13 05:00:00
24,10.0,10.0,9.9,9.98,960670,2021-04-14 05:00:00
25,9.95,10.0,9.95,10.0,220483,2021-04-15 05:00:00
26,10.0,10.0,9.935,10.0,1536648,2021-04-16 05:00:00
27,9.9612,10.02,9.92,10.02,1180159,2021-04-19 05:00:00
28,10.0,10.025,9.99,9.99,40937,2021-04-20 05:00:00
29,9.92,10.0,9.92,9.99,7566,2021-04-21 05:00:00
30,9.93,10.0,9.92,9.97,10338,2021-04-22 05:00:00
31,10.02,10.02,10.0,10.0,922,2021-04-23 05:00:00
32,9.94,10.01,9.94,10.0,10537,2021-04-26 05:00:00
33,10.0125,10.0125,9.9982,9.9982,397,2021-04-27 05:00:00
34,9.995,10.0,9.9909,10.0,701,2021-04-28 05:00:00
35,10.0,10.0,9.995,10.0,15743,2021-04-29 05:00:00
36,9.97,9.97,9.97,9.97,50002,2021-04-30 05:00:00
37,9.93,9.96,9.93,9.96,6755,2021-05-03 05:00:00
38,9.9805,9.9805,9.93,9.93,501,2021-05-04 05:00:00
39,9.98,9.98,9.96,9.96,4718,2021-05-05 05:00:00
40,10.01,10.01,9.94,9.95,17838,2021-05-06 05:00:00
41,9.9657,9.9657,9.9657,9.9657,267,2021-05-07 05:00:00
42,9.9473,10.0,9.94,10.0,797,2021-05-11 05:00:00
43,9.96,9.965,9.95,9.95,5323,2021-05-14 05:00:00
44,9.95,9.97,9.95,9.97,337986,2021-05-17 05:00:00
45,9.95,9.95,9.95,9.95,364,2021-05-18 05:00:00
46,9.94,9.98,9.92,9.94,2194,2021-05-19 05:00:00
47,9.9692,9.9692,9.9495,9.9495,300,2021-05-21 05:00:00
48,9.94,9.97,9.94,9.97,2100,2021-05-24 05:00:00
49,9.92,10.05,9.92,10.05,6485,2021-05-25 05:00:00
50,10.01,10.01,10.01,10.01,429,2021-06-01 05:00:00
51,9.97,9.97,9.97,9.97,232,2021-06-03 05:00:00
52,9.95,9.95,9.94,9.94,26038,2021-06-07 05:00:00
53,9.94,9.94,9.9352,9.94,8011,2021-06-08 05:00:00
54,9.94,9.94,9.93,9.93,13444,2021-06-09 05:00:00
55,9.93,9.97,9.92,9.95,40300,2021-06-10 05:00:00
56,9.95,9.95,9.95,9.95,216,2021-06-11 05:00:00
57,9.93,10.0,9.93,10.0,43763,2021-06-14 05:00:00
58,9.97,10.0,9.97,10.0,8901,2021-06-15 05:00:00
59,9.97,9.9992,9.9501,9.9992,2340,2021-06-16 05:00:00
60,9.95,10.0,9.95,10.0,1800,2021-06-17 05:00:00
61,9.96,10.0,9.96,10.0,2314,2021-06-18 05:00:00
62,10.0,10.0,9.95,10.0,4601,2021-06-21 05:00:00
63,10.0,10.001,10.0,10.0,361,2021-06-23 05:00:00
64,9.9501,10.03,9.9501,10.0,44828,2021-06-25 05:00:00
65,9.965,10.0,9.965,10.0,13228,2021-06-28 05:00:00
66,9.97,9.97,9.97,9.97,1047,2021-06-30 05:00:00
67,9.9301,10.0,9.9301,10.0,16180,2021-07-06 05:00:00
68,9.9398,9.9398,9.9398,9.9398,100,2021-07-07 05:00:00
69,9.98,9.98,9.98,9.98,2806,2021-07-09 05:00:00
70,10.02,10.02,9.98,9.98,20195,2021-07-12 05:00:00
71,10.02,10.02,10.0,10.0,2990,2021-07-15 05:00:00
72,10.0,10.0,10.0,10.0,49334,2021-07-16 05:00:00
73,10.0,10.0,10.0,10.0,670,2021-07-19 05:00:00
74,9.9523,10.0,9.9523,10.0,713,2021-07-29 05:00:00
75,9.91,9.95,9.91,9.95,7225,2021-08-06 05:00:00
76,9.95,9.95,9.95,9.95,1642,2021-08-10 05:00:00
77,9.9208,9.93,9.91,9.925,2308,2021-08-12 05:00:00
78,9.93,9.93,9.91,9.92,2202,2021-08-13 05:00:00
79,9.91,9.91,9.91,9.91,2698,2021-08-17 05:00:00
80,9.91,9.91,9.91,9.91,500,2021-08-18 05:00:00
81,9.9,9.9,9.85,9.85,9915,2021-08-19 05:00:00
82,9.9,9.9,9.9,9.9,990,2021-08-20 05:00:00
83,9.9,9.93,9.8966,9.93,1829,2021-08-23 05:00:00
84,9.86,9.86,9.86,9.86,417,2021-08-24 05:00:00
85,9.88,9.89,9.88,9.89,600,2021-08-30 05:00:00
86,9.86,9.86,9.86,9.86,561,2021-09-01 05:00:00
87,9.85,9.85,9.85,9.85,815797,2021-09-02 05:00:00
88,9.85,9.85,9.85,9.85,150001,2021-09-08 05:00:00
89,9.86,9.86,9.86,9.86,131,2021-09-10 05:00:00
90,9.8468,9.95,9.8468,9.9,1453,2021-09-13 05:00:00
91,9.92,9.92,9.92,9.92,165003,2021-09-14 05:00:00
92,9.8669,9.8669,9.8669,9.8669,1191,2021-09-24 05:00:00
93,9.9,9.9,9.85,9.9,937920,2021-09-27 05:00:00
94,9.8601,9.9,9.8601,9.9,455,2021-09-28 05:00:00
95,9.92,9.93,9.92,9.93,1112,2021-09-29 05:00:00
96,9.9,9.9,9.88,9.9,5714,2021-09-30 05:00:00
97,9.9,9.9,9.9,9.9,1491,2021-10-01 05:00:00
98,9.9,9.9,9.87,9.87,623,2021-10-04 05:00:00
99,9.88,9.88,9.88,9.88,201,2021-10-05 05:00:00
100,9.9,9.9,9.9,9.9,263,2021-10-06 05:00:00
101,9.9,9.96,9.8924,9.96,3788,2021-10-07 05:00:00
102,9.9,9.9,9.9,9.9,227,2021-10-11 05:00:00
103,9.96,9.96,9.96,9.96,308,2021-10-13 05:00:00
104,9.98,9.98,9.8683,9.91,2373,2021-10-26 05:00:00
105,9.95,9.95,9.88,9.88,20403,2021-10-27 05:00:00
106,9.97,9.98,9.91,9.96,3132,2021-11-01 05:00:00
107,9.9592,9.99,9.9592,9.99,1159,2021-11-02 05:00:00
108,9.96,9.96,9.91,9.92,18006,2021-11-05 05:00:00
