,open,high,low,close,volume,datetime
0,5.5,6.06,5.05,5.5,3359790,2014-05-23 05:00:00
1,5.51,5.61,5.42,5.55,289985,2014-05-27 05:00:00
2,5.53,5.93,5.52,5.8,238240,2014-05-28 05:00:00
3,5.9,6.03,5.75,5.94,211844,2014-05-29 05:00:00
4,5.95,5.9999,5.61,5.85,172446,2014-05-30 05:00:00
5,5.9,6.04,5.6001,5.97,97996,2014-06-02 05:00:00
6,6.05,6.44,5.97,6.4,236298,2014-06-03 05:00:00
7,6.33,6.5,6.11,6.25,84820,2014-06-04 05:00:00
8,6.3,6.3,5.7,5.81,76459,2014-06-05 05:00:00
9,5.75,5.9,5.5629,5.89,69363,2014-06-06 05:00:00
10,6.19,6.19,5.61,6.01,51856,2014-06-09 05:00:00
11,6.0,6.3499,5.77,6.3,79576,2014-06-10 05:00:00
12,6.3,6.62,6.3,6.48,154027,2014-06-11 05:00:00
13,6.42,6.92,6.3,6.9,155264,2014-06-12 05:00:00
14,6.92,6.92,6.63,6.92,53741,2014-06-13 05:00:00
15,6.86,6.86,6.61,6.78,29151,2014-06-16 05:00:00
16,7.26,7.84,6.9,7.39,547179,2014-06-17 05:00:00
17,7.4,7.93,7.38,7.81,153422,2014-06-18 05:00:00
18,8.17,8.17,7.86,7.89,78298,2014-06-19 05:00:00
19,7.86,8.03,7.36,7.65,60789,2014-06-20 05:00:00
20,8.2,12.55,7.9,10.33,1831553,2014-06-23 05:00:00
21,10.77,11.2,10.35,10.65,1096978,2014-06-24 05:00:00
22,10.81,11.0,10.22,10.4,265910,2014-06-25 05:00:00
23,10.25,10.3,9.07,9.62,259647,2014-06-26 05:00:00
24,9.54,9.67,8.8,9.25,221655,2014-06-27 05:00:00
25,8.94,9.0,8.2601,8.72,204712,2014-06-30 05:00:00
26,8.5,8.9,8.369,8.89,94427,2014-07-01 05:00:00
27,8.86,9.5,8.62,8.79,114431,2014-07-02 05:00:00
28,9.2,9.2,8.7,8.93,52363,2014-07-03 05:00:00
29,9.23,9.23,8.5,8.54,69251,2014-07-07 05:00:00
30,8.77,8.77,8.4,8.56,38598,2014-07-08 05:00:00
31,8.52,8.7599,8.0,8.21,29420,2014-07-09 05:00:00
32,8.03,8.0999,7.52,8.01,43034,2014-07-10 05:00:00
33,7.92,8.12,7.868,8.01,14518,2014-07-11 05:00:00
34,8.02,8.02,7.5,7.62,77846,2014-07-14 05:00:00
35,7.45,7.6,6.99,7.0101,121365,2014-07-15 05:00:00
36,7.01,7.09,6.99,7.0,27326,2014-07-16 05:00:00
37,7.0,7.2179,6.97,6.995,26137,2014-07-17 05:00:00
38,7.02,7.4999,7.02,7.24,36653,2014-07-18 05:00:00
39,7.18,7.22,7.0203,7.15,37808,2014-07-21 05:00:00
40,7.16,7.16,6.98,7.11,22045,2014-07-22 05:00:00
41,7.15,7.2497,6.98,7.03,17349,2014-07-23 05:00:00
42,7.0,7.0,6.5501,6.71,43819,2014-07-24 05:00:00
43,6.71,6.94,6.7,6.76,22778,2014-07-25 05:00:00
44,6.76,6.9877,6.51,6.58,27741,2014-07-28 05:00:00
45,6.6,6.6,6.1,6.11,71839,2014-07-29 05:00:00
46,6.1,6.2,6.06,6.08,18619,2014-07-30 05:00:00
47,6.06,6.34,5.96,6.25,62098,2014-07-31 05:00:00
48,6.31,6.3499,5.97,6.0,47800,2014-08-01 05:00:00
49,5.98,6.0,5.9,5.91,29103,2014-08-04 05:00:00
50,5.93,6.03,5.8,6.01,24708,2014-08-05 05:00:00
51,5.91,6.15,5.8201,6.07,32262,2014-08-06 05:00:00
52,6.07,7.0,5.9701,6.76,63483,2014-08-07 05:00:00
53,6.61,6.765,6.19,6.45,26744,2014-08-08 05:00:00
54,6.53,6.62,6.52,6.57,15712,2014-08-11 05:00:00
55,6.54,6.615,6.33,6.34,16640,2014-08-12 05:00:00
56,6.33,6.45,6.1,6.29,17050,2014-08-13 05:00:00
57,6.18,6.47,6.0,6.22,62977,2014-08-14 05:00:00
58,7.95,8.0,6.42,7.36,119792,2014-08-15 05:00:00
59,7.26,7.3,6.85,7.24,70754,2014-08-18 05:00:00
60,7.23,7.668,7.23,7.42,65624,2014-08-19 05:00:00
61,7.46,7.8099,7.4526,7.77,23090,2014-08-20 05:00:00
62,7.75,7.76,7.5,7.59,13692,2014-08-21 05:00:00
63,7.63,7.67,7.501,7.64,7941,2014-08-22 05:00:00
64,7.7,7.81,7.52,7.7,27793,2014-08-25 05:00:00
65,7.42,7.62,7.3251,7.48,8237,2014-08-26 05:00:00
66,7.45,7.67,7.06,7.5105,26282,2014-08-27 05:00:00
67,7.57,7.9,7.451,7.7,18196,2014-08-28 05:00:00
68,7.69,8.49,7.69,8.44,78758,2014-08-29 05:00:00
69,8.79,9.4249,8.61,9.38,155688,2014-09-02 05:00:00
70,9.39,9.99,9.3,9.95,98912,2014-09-03 05:00:00
71,10.0,10.125,9.49,9.49,131342,2014-09-04 05:00:00
72,9.43,9.59,8.77,9.39,33678,2014-09-05 05:00:00
73,9.31,10.5,9.25,9.97,62907,2014-09-08 05:00:00
74,10.01,10.18,9.8,10.0,36689,2014-09-09 05:00:00
75,9.97,10.1,9.92,9.98,25720,2014-09-10 05:00:00
76,9.94,10.01,9.05,9.94,84469,2014-09-11 05:00:00
77,9.95,9.97,9.48,9.54,16459,2014-09-12 05:00:00
78,9.57,9.57,8.59,8.7,51620,2014-09-15 05:00:00
79,8.7,9.24,7.84,8.54,89791,2014-09-16 05:00:00
80,8.4079,8.83,8.19,8.2,35766,2014-09-17 05:00:00
81,8.3,9.09,8.25,8.75,31825,2014-09-18 05:00:00
82,8.82,9.85,8.37,8.4,174708,2014-09-19 05:00:00
83,8.42,8.9199,7.51,7.75,49278,2014-09-22 05:00:00
84,7.66,7.96,7.54,7.67,10441,2014-09-23 05:00:00
85,7.67,8.178,7.55,7.71,28006,2014-09-24 05:00:00
86,7.74,8.12,7.74,7.98,11694,2014-09-25 05:00:00
87,8.01,8.4,8.0,8.05,20772,2014-09-26 05:00:00
88,7.7,7.7,7.265,7.64,40311,2014-09-29 05:00:00
89,7.52,7.53,6.51,7.3,194498,2014-09-30 05:00:00
90,7.24,7.24,6.05,6.38,59819,2014-10-01 05:00:00
91,6.33,6.5099,6.23,6.34,17863,2014-10-02 05:00:00
92,6.34,6.5699,6.29,6.33,30890,2014-10-03 05:00:00
93,6.34,6.5,6.21,6.4,24097,2014-10-06 05:00:00
94,6.22,6.6393,6.05,6.15,61620,2014-10-07 05:00:00
95,6.08,6.14,6.0,6.0,31481,2014-10-08 05:00:00
96,6.0,6.1,5.98,5.98,33942,2014-10-09 05:00:00
97,5.95,6.1,5.95,6.02,23497,2014-10-10 05:00:00
98,6.15,6.81,6.15,6.18,34809,2014-10-13 05:00:00
99,6.3,6.56,6.15,6.33,19543,2014-10-14 05:00:00
100,6.46,6.69,6.29,6.31,6578,2014-10-15 05:00:00
101,6.6399,6.64,6.42,6.57,20581,2014-10-16 05:00:00
102,6.7,6.7,6.47,6.7,14275,2014-10-17 05:00:00
103,6.66,6.66,6.42,6.6,11443,2014-10-20 05:00:00
104,6.55,6.7,6.5175,6.7,12876,2014-10-21 05:00:00
105,6.7,7.0199,6.51,6.51,12558,2014-10-22 05:00:00
106,6.93,6.98,6.5501,6.6,9053,2014-10-23 05:00:00
107,6.77,6.94,6.65,6.79,9643,2014-10-24 05:00:00
108,6.96,7.15,6.55,7.12,21334,2014-10-27 05:00:00
109,7.15,7.5199,6.95,7.42,28685,2014-10-28 05:00:00
110,7.43,7.36,6.9,7.0,23615,2014-10-29 05:00:00
111,7.05,7.31,6.9,7.18,17994,2014-10-30 05:00:00
112,7.19,7.43,6.95,7.1,30244,2014-10-31 05:00:00
113,7.26,7.26,6.5,6.76,25812,2014-11-03 06:00:00
114,6.8,6.89,6.75,6.86,3696,2014-11-04 06:00:00
115,6.8684,6.8684,6.5,6.51,5393,2014-11-05 06:00:00
116,6.5,6.814,6.5,6.52,10448,2014-11-06 06:00:00
117,6.51,6.72,6.5,6.5,14827,2014-11-07 06:00:00
118,6.52,6.84,6.561,6.62,13016,2014-11-10 06:00:00
119,6.56,6.72,6.56,6.62,10725,2014-11-11 06:00:00
120,6.6,6.7,6.5,6.52,13091,2014-11-12 06:00:00
