,open,high,low,close,volume,datetime
0,49.89,50.0,49.87,50.06,1000,2013-12-18 06:00:00
1,50.21,50.21,50.07,50.07,1000,2013-12-19 06:00:00
2,49.9,49.9,49.8999,49.8999,200,2013-12-20 06:00:00
3,49.82,50.0,49.82,50.0,15000,2013-12-23 06:00:00
4,50.1,50.1,50.1,50.1,1400,2013-12-24 06:00:00
5,50.07,50.07,50.07,50.07,795,2013-12-27 06:00:00
6,49.98,49.98,49.98,49.98,6000,2013-12-30 06:00:00
7,50.0,50.0,50.0,50.0,10000,2013-12-31 06:00:00
8,49.9261,49.9261,49.9261,49.9261,200,2014-01-02 06:00:00
9,50.15,50.15,50.0514,50.08,8663,2014-01-07 06:00:00
10,50.22,50.23,50.15,50.15,13541,2014-01-08 06:00:00
11,50.19,50.19,50.1,50.12,10269,2014-01-09 06:00:00
12,50.03,50.12,49.9759,50.01,8806,2014-01-10 06:00:00
13,50.07,50.07,50.0076,50.0076,9797,2014-01-13 06:00:00
14,50.1,50.1,50.0247,50.0247,4185,2014-01-14 06:00:00
15,50.06,50.06,49.9975,50.01,2543,2014-01-15 06:00:00
16,50.08,50.1,50.0622,50.09,3512,2014-01-16 06:00:00
17,50.2,50.2,50.0271,50.05,6950,2014-01-17 06:00:00
18,50.18,50.18,50.009,50.02,3134,2014-01-21 06:00:00
19,50.04,50.11,50.02,50.11,36200,2014-01-22 06:00:00
20,50.2,50.2,49.8,49.8,6843,2014-01-23 06:00:00
21,49.9,49.9,49.9,49.9,200,2014-01-24 06:00:00
22,49.97,49.97,49.97,49.97,5000,2014-01-27 06:00:00
23,50.01,50.01,49.99,50.0,706,2014-01-28 06:00:00
24,49.9685,49.974,49.9685,49.974,200,2014-01-30 06:00:00
25,49.91,49.91,49.909,49.91,3400,2014-01-31 06:00:00
26,49.9499,49.9499,49.9499,49.9499,1,2014-02-03 06:00:00
27,49.92,49.92,49.9,49.9,6000,2014-02-05 06:00:00
28,49.98,49.98,49.98,49.98,400,2014-02-07 06:00:00
29,49.98,49.98,49.98,49.98,400,2014-02-10 06:00:00
30,50.09,50.09,50.09,50.09,400,2014-02-12 06:00:00
31,50.08,50.08,50.08,50.08,310,2014-02-19 06:00:00
32,49.4,49.4,49.4,49.4,113,2014-02-21 06:00:00
33,49.95,49.95,49.95,49.95,41,2014-02-24 06:00:00
34,50.06,49.821,49.821,49.821,1460,2014-02-27 06:00:00
35,50.1,49.963,49.963,49.963,174,2014-03-03 06:00:00
36,50.0485,50.1,50.1,50.1,965,2014-03-05 06:00:00
37,50.089,50.089,50.089,50.089,1000,2014-03-11 05:00:00
38,49.9299,49.9299,49.9,49.9,48,2014-03-13 05:00:00
39,50.1199,50.1199,50.1199,50.1199,1,2014-03-14 05:00:00
40,50.12,50.12,50.12,50.12,501,2014-03-19 05:00:00
41,49.8201,49.84,49.8201,49.84,70,2014-03-27 05:00:00
42,50.15,50.15,50.15,50.15,3,2014-03-28 05:00:00
43,50.12,50.12,49.84,49.84,4,2014-03-31 05:00:00
44,50.0399,50.0399,50.0399,50.0399,15,2014-04-01 05:00:00
45,50.2299,50.2299,50.2299,50.2299,4,2014-04-04 05:00:00
46,50.14,50.16,50.09,50.0524,14,2014-04-09 05:00:00
47,51.0,51.0,49.94,50.0125,3092,2014-04-14 05:00:00
48,50.09,50.1,50.06,50.1099,300,2014-04-24 05:00:00
49,50.1199,50.1199,50.1199,50.1199,1,2014-04-25 05:00:00
50,50.0799,50.0799,50.0799,50.0799,211,2014-04-28 05:00:00
51,49.76,49.76,49.76,49.76,68,2014-04-29 05:00:00
52,49.58,49.59,49.52,50.0,170,2014-05-01 05:00:00
53,50.1,50.1,50.1,50.1,57,2014-05-02 05:00:00
54,50.1999,50.1999,50.1999,50.1999,72,2014-05-05 05:00:00
55,50.12,50.14,50.11,50.2,200,2014-05-06 05:00:00
56,50.1699,50.16,49.89,49.89,9808,2014-05-07 05:00:00
57,50.1299,50.2299,50.1299,50.16,2504,2014-05-08 05:00:00
58,50.1999,50.21,50.1799,50.1999,4200,2014-05-12 05:00:00
59,50.1,50.1,50.084,50.084,1500,2014-05-13 05:00:00
60,50.06,50.06,50.06,50.06,101,2014-05-14 05:00:00
61,51.0,51.0,50.0,50.1,2304,2014-05-15 05:00:00
62,49.88,50.03,49.88,50.03,1085,2014-05-21 05:00:00
63,49.92,49.92,49.92,49.92,300,2014-05-23 05:00:00
64,49.4,49.91,49.4,49.88,2805,2014-05-27 05:00:00
65,49.9,49.97,49.9,49.97,804,2014-05-28 05:00:00
66,49.9,49.99,49.9,49.98,14500,2014-05-29 05:00:00
67,49.85,50.03,49.85,50.03,17264,2014-05-30 05:00:00
68,49.94,50.0,49.94,49.97,2001,2014-06-02 05:00:00
69,49.95,50.06,49.95,50.02,13000,2014-06-03 05:00:00
70,50.05,50.05,49.9,49.92,4618,2014-06-04 05:00:00
71,49.95,50.03,49.95,50.0,4900,2014-06-05 05:00:00
72,50.0,50.06,50.0,50.06,390,2014-06-09 05:00:00
73,49.85,50.15,49.85,50.15,1562,2014-06-11 05:00:00
74,50.02,50.04,49.959,49.97,11210,2014-06-12 05:00:00
75,50.06,50.08,50.06,50.08,310,2014-06-13 05:00:00
76,50.65,50.03,50.03,50.03,170,2014-06-24 05:00:00
77,50.04,50.04,49.8092,49.81,1500,2014-06-25 05:00:00
78,49.9325,49.9325,49.9325,49.9325,100,2014-06-26 05:00:00
79,50.01,50.09,49.8999,50.0001,8252,2014-06-27 05:00:00
80,49.93,50.04,49.9199,50.04,13901,2014-06-30 05:00:00
81,49.94,50.08,49.9199,50.07,22503,2014-07-01 05:00:00
82,50.19,50.19,49.9599,50.12,16100,2014-07-02 05:00:00
83,50.1601,50.1601,50.0399,50.09,13500,2014-07-03 05:00:00
84,49.77,49.77,49.7629,49.7629,1423,2014-07-07 05:00:00
85,49.7,50.0201,49.7,49.9299,35025,2014-07-08 05:00:00
86,49.98,50.06,49.8499,50.06,13431,2014-07-09 05:00:00
87,49.92,50.1801,49.92,50.0599,18651,2014-07-10 05:00:00
88,49.8,50.0601,49.8,49.9699,21789,2014-07-11 05:00:00
89,50.0,50.1196,50.0,50.06,11522,2014-07-14 05:00:00
90,50.06,50.127,49.9399,50.127,10090,2014-07-15 05:00:00
91,50.65,50.02,49.7999,50.01,11402,2014-07-16 05:00:00
92,50.0,50.0,49.65,49.73,15914,2014-07-17 05:00:00
93,49.95,49.95,49.95,49.95,100,2014-07-18 05:00:00
94,49.98,49.98,49.98,49.98,105,2014-07-21 05:00:00
95,52.68,52.68,49.9475,49.9475,720,2014-07-22 05:00:00
96,49.97,49.99,49.97,49.99,1435,2014-07-23 05:00:00
97,50.0,50.06,50.0,50.06,2901,2014-07-24 05:00:00
98,50.65,49.98,49.98,49.98,131,2014-07-25 05:00:00
99,50.14,50.12,50.11,50.12,314,2014-07-29 05:00:00
100,49.9,50.02,49.8499,50.02,11480,2014-07-30 05:00:00
101,49.9101,49.9101,49.9101,49.9101,213,2014-07-31 05:00:00
102,49.91,49.9201,49.5,49.58,59250,2014-08-01 05:00:00
103,49.6999,49.8201,49.6499,49.6499,25474,2014-08-04 05:00:00
104,50.1,49.8701,49.66,49.66,5739,2014-08-05 05:00:00
105,49.69,49.73,49.64,49.64,900,2014-08-06 05:00:00
106,49.72,49.8,49.58,49.77,8501,2014-08-07 05:00:00
107,50.65,49.854,49.76,49.854,719,2014-08-08 05:00:00
108,49.91,49.91,49.91,49.91,655,2014-08-12 05:00:00
109,49.66,49.7,49.66,49.7,704,2014-08-15 05:00:00
110,49.81,49.82,49.77,49.79,2997,2014-08-18 05:00:00
111,49.808,49.827,49.6299,49.6999,14123,2014-08-20 05:00:00
112,49.53,49.74,49.46,49.74,1320,2014-08-21 05:00:00
113,49.86,49.84,49.6499,49.76,1978,2014-08-22 05:00:00
114,49.7,50.28,49.65,49.7901,23689,2014-08-25 05:00:00
115,50.18,50.1799,50.1799,50.1799,707,2014-08-26 05:00:00
116,50.07,50.07,50.07,50.07,300,2014-08-27 05:00:00
117,49.5,50.15,49.5,50.15,1692,2014-09-02 05:00:00
118,51.0,51.83,49.87,50.07,19052,2014-09-03 05:00:00
119,49.917,50.12,49.917,49.96,1062749,2014-09-04 05:00:00
120,49.98,49.99,49.89,49.89,218149,2014-09-05 05:00:00
121,49.8563,50.0451,49.76,49.958,14808,2014-09-08 05:00:00
122,49.8986,49.8986,49.76,49.86,11808,2014-09-09 05:00:00
123,49.84,49.829,49.71,49.829,1725,2014-09-10 05:00:00
124,49.78,49.78,49.748,49.78,2642,2014-09-11 05:00:00
125,49.64,50.01,49.86,50.01,5093,2014-09-12 05:00:00
126,49.77,49.81,49.6201,49.63,7505,2014-09-15 05:00:00
127,49.78,49.8,49.69,49.8,7814,2014-09-16 05:00:00
128,49.72,49.86,49.6001,49.846,3453,2014-09-17 05:00:00
129,49.86,49.86,49.804,49.84,4553,2014-09-18 05:00:00
130,49.9,49.79,49.67,49.79,8631,2014-09-19 05:00:00
131,49.79,49.81,49.7,49.78,7154,2014-09-22 05:00:00
132,49.87,49.87,49.681,49.779,4210,2014-09-23 05:00:00
133,49.792,49.8499,49.73,49.73,2079,2014-09-24 05:00:00
134,49.799,49.799,49.71,49.78,9089,2014-09-25 05:00:00
135,49.7811,49.83,49.7209,49.73,4288,2014-09-26 05:00:00
136,49.51,49.82,49.51,49.8,7041,2014-09-29 05:00:00
137,49.67,49.85,49.64,49.8,23019,2014-09-30 05:00:00
138,49.65,49.68,49.526,49.658,5396,2014-10-01 05:00:00
