,open,high,low,close,volume,datetime
0,5.1,5.61,3.55,4.23,3428009,2021-11-19 06:00:00
1,3.63,3.92,3.08,3.34,643458,2021-11-22 06:00:00
2,3.05,5.19,3.05,3.7,2866432,2021-11-23 06:00:00
3,3.59,4.1499,3.25,3.39,607164,2021-11-24 06:00:00
4,3.44,3.71,3.4,3.63,202144,2021-11-26 06:00:00
5,3.59,3.59,3.34,3.39,243989,2021-11-29 06:00:00
6,3.4,3.44,3.0401,3.11,202970,2021-11-30 06:00:00
7,3.15,5.31,3.15,4.48,38489895,2021-12-01 06:00:00
8,4.11,4.68,4.0,4.61,3371925,2021-12-02 06:00:00
9,4.36,5.84,4.32,4.6,5442399,2021-12-03 06:00:00
10,4.42,6.4388,4.25,6.02,10862559,2021-12-06 06:00:00
11,5.8696,7.77,5.525,5.81,9712648,2021-12-07 06:00:00
12,5.65,6.2,5.62,5.83,1816785,2021-12-08 06:00:00
13,5.78,6.89,5.78,5.82,3830993,2021-12-09 06:00:00
14,5.85,6.1499,5.2518,5.36,1042429,2021-12-10 06:00:00
15,5.33,5.3899,4.85,5.2,980557,2021-12-13 06:00:00
16,5.45,5.45,5.0185,5.1,405487,2021-12-14 06:00:00
17,5.05,5.2,4.67,5.0,962125,2021-12-15 06:00:00
18,5.05,5.1433,4.8585,4.92,150903,2021-12-16 06:00:00
19,4.81,4.8799,4.6501,4.79,267100,2021-12-17 06:00:00
20,4.7,5.0,4.39,4.97,1236103,2021-12-20 06:00:00
21,5.26,5.4,4.82,5.03,769113,2021-12-21 06:00:00
22,4.84,5.05,4.7001,4.92,290056,2021-12-22 06:00:00
23,5.1,5.19,4.88,4.9,493144,2021-12-23 06:00:00
24,4.95,5.09,4.8,4.88,285769,2021-12-27 06:00:00
25,4.79,4.9799,4.5601,4.79,406772,2021-12-28 06:00:00
26,4.92,4.92,4.71,4.81,218887,2021-12-29 06:00:00
27,4.79,4.9466,4.69,4.75,466191,2021-12-30 06:00:00
28,4.66,4.96,4.5,4.88,715424,2021-12-31 06:00:00
29,4.9,5.23,4.7647,5.18,731209,2022-01-03 06:00:00
30,5.18,5.1835,4.81,5.09,416481,2022-01-04 06:00:00
31,5.1,5.15,4.77,4.83,227758,2022-01-05 06:00:00
32,4.77,4.81,3.97,4.03,602325,2022-01-06 06:00:00
33,4.01,4.2,3.5378,3.58,397383,2022-01-07 06:00:00
34,3.6,3.6,3.16,3.35,519237,2022-01-10 06:00:00
