,open,high,low,close,volume,datetime
0,12.16,12.56,7.19,10.03,775933,2019-10-25 05:00:00
1,9.31,9.8,8.18,9.35,98562,2019-10-28 05:00:00
2,9.74,9.8,8.9212,9.21,43361,2019-10-29 05:00:00
3,8.3,9.27,8.27,8.8,44235,2019-10-30 05:00:00
4,8.79,9.0,8.5,8.6,72725,2019-10-31 05:00:00
5,8.7247,8.7247,8.27,8.37,91697,2019-11-01 05:00:00
6,8.36,8.44,8.1,8.34,70248,2019-11-04 06:00:00
7,8.38,8.59,8.2997,8.33,66379,2019-11-05 06:00:00
8,8.3,8.4,8.08,8.22,77866,2019-11-06 06:00:00
9,8.44,8.55,8.26,8.31,72309,2019-11-07 06:00:00
10,8.5936,8.5936,8.29,8.38,71613,2019-11-08 06:00:00
11,8.35,8.4657,8.1863,8.39,75337,2019-11-11 06:00:00
12,8.31,8.45,8.16,8.16,63464,2019-11-12 06:00:00
13,8.17,8.3,8.025,8.21,43210,2019-11-13 06:00:00
14,8.02,8.1316,7.2,7.6,35262,2019-11-14 06:00:00
15,7.38,7.38,6.89,6.95,81236,2019-11-15 06:00:00
16,7.15,7.1602,7.0,7.1,82627,2019-11-18 06:00:00
17,7.24,7.4001,7.1,7.14,105087,2019-11-19 06:00:00
18,7.16,7.48,6.16,6.39,115414,2019-11-20 06:00:00
19,6.45,6.47,6.12,6.4,80799,2019-11-21 06:00:00
20,6.25,6.42,6.25,6.41,54441,2019-11-22 06:00:00
21,6.5,6.8,6.5,6.63,45509,2019-11-25 06:00:00
22,6.71,6.96,6.6938,6.8,45208,2019-11-26 06:00:00
23,6.79,7.1,6.77,6.87,78373,2019-11-27 06:00:00
24,6.92,7.1,6.76,6.87,48350,2019-11-29 06:00:00
25,6.7101,6.84,6.58,6.58,75980,2019-12-02 06:00:00
26,6.58,6.6686,6.49,6.59,42373,2019-12-03 06:00:00
27,6.5,6.82,6.49,6.7535,40737,2019-12-04 06:00:00
28,6.73,6.78,6.34,6.68,70069,2019-12-05 06:00:00
29,6.64,6.865,6.38,6.8163,100769,2019-12-06 06:00:00
30,6.92,6.9659,6.5,6.74,100392,2019-12-09 06:00:00
31,6.6,6.9,6.32,6.66,127496,2019-12-10 06:00:00
32,6.63,6.78,6.59,6.6645,115385,2019-12-11 06:00:00
33,6.63,6.8945,6.255,6.48,75103,2019-12-12 06:00:00
34,6.7201,6.76,6.355,6.43,52669,2019-12-13 06:00:00
35,6.44,6.6101,6.26,6.34,51835,2019-12-16 06:00:00
36,6.501,6.6,6.1,6.27,48193,2019-12-17 06:00:00
37,6.2206,6.82,6.1506,6.77,72230,2019-12-18 06:00:00
38,6.75,6.75,6.16,6.53,120071,2019-12-19 06:00:00
39,6.54,6.88,6.5,6.57,69608,2019-12-20 06:00:00
40,6.69,6.845,6.35,6.3905,63174,2019-12-23 06:00:00
41,6.46,6.5,6.09,6.19,65912,2019-12-24 06:00:00
42,6.24,6.45,6.17,6.25,22045,2019-12-26 06:00:00
43,6.3,6.47,6.1607,6.4,61300,2019-12-27 06:00:00
44,6.3,6.75,6.0316,6.28,106732,2019-12-30 06:00:00
45,6.201,6.685,6.11,6.42,62346,2019-12-31 06:00:00
46,6.4,6.55,6.23,6.49,81014,2020-01-02 06:00:00
47,6.47,7.2212,6.33,6.828,121773,2020-01-03 06:00:00
48,6.98,6.98,6.48,6.57,72683,2020-01-06 06:00:00
49,6.5,7.0,6.5,6.61,117503,2020-01-07 06:00:00
50,6.74,6.85,6.33,6.46,72765,2020-01-08 06:00:00
51,6.46,6.6,6.31,6.43,37372,2020-01-09 06:00:00
52,6.43,6.58,6.35,6.45,43737,2020-01-10 06:00:00
53,6.55,6.85,6.31,6.57,130454,2020-01-13 06:00:00
54,6.58,7.1329,6.53,7.06,114652,2020-01-14 06:00:00
55,7.0,7.94,7.0,7.52,101239,2020-01-15 06:00:00
56,7.74,8.65,7.63,8.08,167387,2020-01-16 06:00:00
57,8.22,8.46,8.0,8.13,98859,2020-01-17 06:00:00
58,8.1,8.1,7.52,7.73,88084,2020-01-21 06:00:00
59,7.77,8.18,7.62,7.72,106477,2020-01-22 06:00:00
60,7.73,7.93,7.4473,7.63,98043,2020-01-23 06:00:00
61,7.6554,8.05,7.33,7.65,116411,2020-01-24 06:00:00
62,7.51,7.51,7.16,7.2,79666,2020-01-27 06:00:00
63,7.3,7.55,7.28,7.43,62966,2020-01-28 06:00:00
64,7.49,7.87,7.47,7.55,69385,2020-01-29 06:00:00
65,7.55,7.7699,7.54,7.62,42510,2020-01-30 06:00:00
