,open,high,low,close,volume,datetime
0,10.16,10.17,10.06,10.07,7146084,2021-12-13 06:00:00
1,10.1,10.13,10.08,10.12,102862,2021-12-14 06:00:00
2,10.15,10.35,10.095,10.25,307470,2021-12-15 06:00:00
3,10.24,10.25,10.15,10.25,100581,2021-12-16 06:00:00
4,10.1615,10.1615,10.1615,10.1615,517,2021-12-17 06:00:00
5,10.2244,10.2244,10.195,10.195,1306,2021-12-20 06:00:00
6,10.22,10.22,10.22,10.22,11860,2021-12-22 06:00:00
7,10.19,10.2052,10.19,10.2052,677,2021-12-23 06:00:00
8,10.17,10.21,10.17,10.2,7936,2021-12-27 06:00:00
9,10.2,10.22,10.2,10.22,14315,2021-12-28 06:00:00
10,10.2,10.265,10.2,10.244,21931,2021-12-29 06:00:00
11,10.2476,10.2476,10.2476,10.2476,100,2021-12-30 06:00:00
12,10.22,10.23,10.2,10.23,111080,2022-01-03 06:00:00
13,10.2711,10.28,10.27,10.28,11100,2022-01-07 06:00:00
14,10.23,10.25,10.21,10.21,54700,2022-01-10 06:00:00
15,10.29,10.3,10.29,10.29,4600,2022-01-12 06:00:00
16,10.23,10.24,10.23,10.24,38140,2022-01-13 06:00:00
17,10.24,10.25,10.24,10.24,105300,2022-01-14 06:00:00
18,10.24,10.25,10.24,10.25,36689,2022-01-18 06:00:00
19,10.19,10.19,10.18,10.18,9700,2022-01-19 06:00:00
20,10.15,10.22,10.15,10.22,39901,2022-01-20 06:00:00
21,10.25,10.25,10.25,10.25,1739,2022-01-21 06:00:00
22,10.25,10.25,10.25,10.25,140,2022-01-24 06:00:00
23,10.12,10.15,10.11,10.15,2500,2022-01-27 06:00:00
24,10.18,10.18,10.17,10.18,25344,2022-01-31 06:00:00
25,10.18,10.18,10.18,10.18,2000,2022-02-01 06:00:00
26,10.21,10.21,10.21,10.21,2000,2022-02-03 06:00:00
27,10.18,10.24,10.18,10.18,216699,2022-02-04 06:00:00
28,10.12,10.12,10.12,10.12,180440,2022-02-07 06:00:00
29,10.19,10.19,10.19,10.19,101,2022-02-14 06:00:00
30,10.2,10.2,10.2,10.2,100,2022-02-15 06:00:00
31,10.29,10.29,10.09,10.09,300,2022-02-16 06:00:00
32,10.05,10.05,10.05,10.05,1159,2022-03-02 06:00:00
33,10.12,10.12,10.12,10.12,351,2022-03-08 06:00:00
34,10.11,10.11,10.11,10.11,270,2022-03-14 05:00:00
35,10.25,10.25,10.12,10.12,3370,2022-03-18 05:00:00
36,10.14,10.14,10.14,10.14,554,2022-03-21 05:00:00
37,10.13,10.14,10.13,10.14,5500,2022-03-22 05:00:00
38,10.12,10.12,10.1,10.1199,6104,2022-03-24 05:00:00
39,10.12,10.1401,10.12,10.12,43105,2022-03-25 05:00:00
40,10.42,10.42,10.09,10.1301,3079,2022-03-28 05:00:00
41,10.1,10.11,10.1,10.11,5371,2022-03-29 05:00:00
42,10.13,10.13,10.13,10.13,300,2022-03-30 05:00:00
43,10.21,10.21,10.21,10.21,540,2022-03-31 05:00:00
44,10.18,10.355,10.1397,10.1501,6966,2022-04-01 05:00:00
45,10.16,10.1707,10.1299,10.1555,4936,2022-04-04 05:00:00
46,10.17,10.2939,10.1387,10.1501,4064,2022-04-05 05:00:00
47,10.16,10.1713,10.12,10.17,13931,2022-04-06 05:00:00
48,10.1703,10.1703,10.11,10.11,3744,2022-04-07 05:00:00
49,10.64,10.64,10.13,10.14,6652,2022-04-08 05:00:00
50,10.16,10.1631,10.13,10.13,19100,2022-04-11 05:00:00
51,10.11,10.11,10.11,10.11,100,2022-04-12 05:00:00
52,10.1401,10.1401,10.13,10.13,2110,2022-04-13 05:00:00
53,10.11,10.11,10.11,10.11,3876,2022-04-14 05:00:00
54,10.11,10.1203,10.1,10.12,16326,2022-04-18 05:00:00
55,10.1,10.1,10.1,10.1,1050,2022-04-21 05:00:00
56,10.14,10.14,10.13,10.13,5822,2022-04-25 05:00:00
57,10.12,10.12,10.12,10.12,10051,2022-04-26 05:00:00
58,10.12,10.12,10.12,10.12,6789,2022-04-27 05:00:00
59,10.15,10.79,10.13,10.13,1900,2022-04-28 05:00:00
60,10.665,10.665,10.12,10.12,522,2022-04-29 05:00:00
61,10.16,10.16,10.1,10.121,7056,2022-05-02 05:00:00
62,10.545,10.545,10.1,10.13,6480,2022-05-03 05:00:00
63,10.1,10.27,10.1,10.135,11497,2022-05-04 05:00:00
64,10.15,10.15,10.15,10.15,533,2022-05-06 05:00:00
65,10.09,10.09,10.04,10.05,7565,2022-05-11 05:00:00
66,10.12,10.565,10.04,10.1,6104,2022-05-12 05:00:00
67,10.1,10.1101,10.045,10.08,9204,2022-05-13 05:00:00
68,10.0901,10.1,9.94,10.045,13760,2022-05-16 05:00:00
69,10.03,10.04,10.03,10.04,2400,2022-05-17 05:00:00
70,10.03,10.03,10.02,10.02,1001,2022-05-18 05:00:00
71,10.02,10.09,10.02,10.02,2570,2022-05-23 05:00:00
72,10.525,10.525,10.02,10.09,16190,2022-05-24 05:00:00
73,10.05,10.05,10.02,10.03,4560,2022-05-25 05:00:00
74,9.99,9.99,9.99,9.99,1000,2022-05-26 05:00:00
75,10.07,10.3888,10.01,10.0587,4420,2022-05-27 05:00:00
76,10.01,10.09,10.0,10.04,5058,2022-05-31 05:00:00
77,10.05,10.3258,10.04,10.04,2620,2022-06-01 05:00:00
