,open,high,low,close,volume,datetime
0,36.5,37.577,29.02,30.0,1594878,2020-07-17 05:00:00
1,30.44,32.99,29.25,30.33,455524,2020-07-20 05:00:00
2,32.25,32.49,28.25,30.77,483132,2020-07-21 05:00:00
3,30.91,31.34,29.14,29.36,170041,2020-07-22 05:00:00
4,29.34,30.25,28.01,29.7,72035,2020-07-23 05:00:00
5,29.24,30.86,29.095,30.25,72117,2020-07-24 05:00:00
6,30.24,30.395,29.5,29.9,98126,2020-07-27 05:00:00
7,29.3,32.91,29.3,32.6,35862,2020-07-28 05:00:00
8,32.29,33.115,29.06,31.65,71111,2020-07-29 05:00:00
9,31.75,33.5,31.75,32.46,87061,2020-07-30 05:00:00
10,32.63,32.92,30.76,32.7,25042,2020-07-31 05:00:00
11,32.46,37.58,30.06,36.42,270066,2020-08-03 05:00:00
12,36.74,38.7,36.52,38.0,51229,2020-08-04 05:00:00
13,37.62,50.0,36.51,43.26,61401,2020-08-05 05:00:00
14,42.77,44.69,40.6995,43.96,89598,2020-08-06 05:00:00
15,43.9,44.4999,41.5,44.19,67977,2020-08-07 05:00:00
16,44.76,45.06,42.89,43.36,90006,2020-08-10 05:00:00
17,43.5,44.6899,40.62,41.02,115698,2020-08-11 05:00:00
18,41.84,47.77,40.8858,42.88,130448,2020-08-12 05:00:00
19,43.33,47.805,43.12,44.01,88865,2020-08-13 05:00:00
20,44.24,47.045,42.855,45.44,85462,2020-08-14 05:00:00
21,44.64,48.4346,44.64,47.1,77789,2020-08-17 05:00:00
22,46.35,49.11,40.06,42.85,147749,2020-08-18 05:00:00
23,42.99,51.9998,41.53,44.46,125714,2020-08-19 05:00:00
24,45.06,47.8,43.2542,43.76,94437,2020-08-20 05:00:00
25,43.91,46.8854,42.535,45.07,116445,2020-08-21 05:00:00
26,45.06,45.9847,41.3,43.63,116516,2020-08-24 05:00:00
27,43.75,45.5,42.265,43.97,58559,2020-08-25 05:00:00
28,44.74,45.5,43.08,43.39,37626,2020-08-26 05:00:00
29,43.05,45.21,42.76,44.08,36748,2020-08-27 05:00:00
30,45.5,45.5,43.5802,44.25,53170,2020-08-28 05:00:00
31,44.59,47.5738,38.12,40.44,193831,2020-08-31 05:00:00
32,40.34,43.44,39.08,41.75,90514,2020-09-01 05:00:00
33,41.69,45.45,41.1,44.16,68800,2020-09-02 05:00:00
34,44.16,44.2,41.33,41.7,53997,2020-09-03 05:00:00
