,open,high,low,close,volume,datetime
0,29.0,33.55,11.0,13.5,5127141,2021-06-15 05:00:00
1,12.79,12.79,9.88,10.35,1242051,2021-06-16 05:00:00
2,11.04,11.9697,9.81,10.09,529700,2021-06-17 05:00:00
3,9.99,10.47,8.61,9.03,394175,2021-06-18 05:00:00
4,9.19,9.19,7.51,8.12,402133,2021-06-21 05:00:00
5,8.12,8.85,7.06,8.4,1056172,2021-06-22 05:00:00
6,9.0,9.48,8.38,8.94,1529905,2021-06-23 05:00:00
7,8.4,9.03,8.05,8.26,450295,2021-06-24 05:00:00
8,8.37,9.39,8.26,8.6,1114559,2021-06-25 05:00:00
9,9.05,12.14,8.74,9.6,5393800,2021-06-28 05:00:00
10,9.39,11.36,9.09,11.06,5906800,2021-06-29 05:00:00
11,10.67,12.13,8.6,8.74,13515738,2021-06-30 05:00:00
12,9.2051,9.25,7.53,7.68,2743763,2021-07-01 05:00:00
13,7.2,7.8,6.81,7.28,1115801,2021-07-02 05:00:00
14,7.4,7.46,6.91,6.97,843859,2021-07-06 05:00:00
15,6.96,7.1,5.6213,6.5,1687745,2021-07-07 05:00:00
16,6.06,6.45,5.91,6.28,957182,2021-07-08 05:00:00
17,6.21,6.7399,6.0824,6.13,1233126,2021-07-09 05:00:00
18,6.25,6.41,5.78,6.11,435309,2021-07-12 05:00:00
19,6.04,6.66,6.0,6.2,1359530,2021-07-13 05:00:00
20,6.2,7.1562,5.8,6.41,2640865,2021-07-14 05:00:00
21,6.45,7.17,6.1,6.98,3892887,2021-07-15 05:00:00
22,6.63,6.8699,6.13,6.17,2400184,2021-07-16 05:00:00
23,5.97,5.97,4.85,5.27,1989119,2021-07-19 05:00:00
24,5.25,5.46,5.07,5.25,993870,2021-07-20 05:00:00
25,5.24,5.72,5.2,5.53,1562226,2021-07-21 05:00:00
26,5.96,6.65,5.56,5.74,4541212,2021-07-22 05:00:00
27,8.14,8.28,5.63,5.73,28185390,2021-07-23 05:00:00
28,5.28,5.29,4.87,4.91,2248943,2021-07-26 05:00:00
29,4.8,4.84,4.2999,4.42,1525901,2021-07-27 05:00:00
30,4.42,6.74,4.33,5.22,10970129,2021-07-28 05:00:00
31,5.08,5.2378,4.6,4.66,2417240,2021-07-29 05:00:00
32,4.6,4.86,4.4,4.425,1145300,2021-07-30 05:00:00
33,4.56,4.84,4.45,4.47,1408312,2021-08-02 05:00:00
34,4.546,4.5493,4.27,4.3,910305,2021-08-03 05:00:00
35,4.45,4.54,4.21,4.35,1098637,2021-08-04 05:00:00
36,4.29,4.34,4.181,4.22,574641,2021-08-05 05:00:00
37,4.23,4.27,3.94,4.16,836586,2021-08-06 05:00:00
38,4.14,4.19,4.02,4.04,433463,2021-08-09 05:00:00
39,4.1,4.33,3.94,4.07,1074361,2021-08-10 05:00:00
40,4.14,4.17,4.016,4.07,449879,2021-08-11 05:00:00
41,4.09,4.14,3.76,3.83,644256,2021-08-12 05:00:00
42,3.81,3.8326,3.44,3.48,782981,2021-08-13 05:00:00
43,3.59,3.61,3.4501,3.5,372009,2021-08-16 05:00:00
44,3.41,3.4599,3.22,3.3,806333,2021-08-17 05:00:00
45,3.36,3.57,3.25,3.3,450195,2021-08-18 05:00:00
46,3.25,3.48,3.23,3.34,774134,2021-08-19 05:00:00
47,3.28,3.47,3.2,3.24,926629,2021-08-20 05:00:00
48,3.25,3.38,3.22,3.29,664508,2021-08-23 05:00:00
49,3.33,3.39,3.24,3.29,776859,2021-08-24 05:00:00
50,3.3177,3.3177,2.96,3.02,2288828,2021-08-25 05:00:00
51,3.03,3.0974,2.95,3.01,567386,2021-08-26 05:00:00
52,3.01,3.05,2.83,2.89,947134,2021-08-27 05:00:00
53,2.92,3.33,2.85,3.08,3119870,2021-08-30 05:00:00
54,3.06,3.21,3.0299,3.06,1454205,2021-08-31 05:00:00
55,3.08,3.19,2.93,3.17,1332875,2021-09-01 05:00:00
56,3.15,3.52,3.13,3.35,2068591,2021-09-02 05:00:00
57,3.35,3.49,3.11,3.13,1334935,2021-09-03 05:00:00
58,3.18,3.27,3.02,3.05,1227981,2021-09-07 05:00:00
59,3.08,3.15,2.94,2.99,754696,2021-09-08 05:00:00
60,3.01,3.06,2.9601,2.99,522920,2021-09-09 05:00:00
61,3.05,3.27,2.94,2.95,2316723,2021-09-10 05:00:00
62,3.0,3.04,2.73,2.78,1238973,2021-09-13 05:00:00
63,2.82,2.83,2.55,2.66,1296724,2021-09-14 05:00:00
64,2.63,2.75,2.58,2.63,1020788,2021-09-15 05:00:00
65,2.6,2.88,2.5,2.67,2516283,2021-09-16 05:00:00
66,2.74,2.74,2.55,2.6,581202,2021-09-17 05:00:00
67,2.5,2.5759,2.3301,2.37,972804,2021-09-20 05:00:00
68,2.43,2.437,2.34,2.34,1063291,2021-09-21 05:00:00
69,2.4,2.51,2.33,2.36,1348446,2021-09-22 05:00:00
70,2.39,2.681,2.36,2.63,1501071,2021-09-23 05:00:00
71,2.54,2.61,2.4,2.4,667045,2021-09-24 05:00:00
72,2.45,2.65,2.42,2.48,1260684,2021-09-27 05:00:00
73,2.54,2.57,2.42,2.43,551609,2021-09-28 05:00:00
74,2.45,2.4838,2.27,2.28,579010,2021-09-29 05:00:00
75,2.29,3.57,2.2201,3.08,58912471,2021-09-30 05:00:00
76,2.91,2.93,2.65,2.88,5372243,2021-10-01 05:00:00
77,2.87,2.95,2.63,2.95,2214182,2021-10-04 05:00:00
78,3.03,3.06,2.61,2.64,2345582,2021-10-05 05:00:00
79,2.6,2.6796,2.41,2.62,2129136,2021-10-06 05:00:00
80,2.6,2.88,2.57,2.65,2195650,2021-10-07 05:00:00
81,2.66,2.71,2.53,2.55,767192,2021-10-08 05:00:00
82,2.53,2.5673,2.46,2.48,547196,2021-10-11 05:00:00
83,2.53,2.5354,2.44,2.47,444991,2021-10-12 05:00:00
84,2.51,2.515,2.41,2.47,423891,2021-10-13 05:00:00
85,2.4538,2.5,2.41,2.42,475912,2021-10-14 05:00:00
86,2.44,2.4492,2.36,2.39,586510,2021-10-15 05:00:00
87,2.38,2.3869,2.23,2.26,1223908,2021-10-18 05:00:00
88,2.31,2.365,2.22,2.27,1168869,2021-10-19 05:00:00
89,2.27,2.34,2.225,2.29,709263,2021-10-20 05:00:00
90,2.3,2.315,2.15,2.18,1140300,2021-10-21 05:00:00
91,2.18,2.2,2.04,2.11,1374194,2021-10-22 05:00:00
92,2.1,2.34,2.04,2.2,1730399,2021-10-25 05:00:00
93,2.2,2.22,2.1,2.13,953559,2021-10-26 05:00:00
94,2.12,2.15,2.04,2.04,617386,2021-10-27 05:00:00
95,2.08,2.11,2.05,2.09,487879,2021-10-28 05:00:00
96,2.09,2.15,2.06,2.14,663894,2021-10-29 05:00:00
97,2.13,2.2,2.11,2.13,874142,2021-11-01 05:00:00
98,2.18,2.43,2.12,2.22,5818705,2021-11-02 05:00:00
99,2.17,2.3,2.145,2.18,1472709,2021-11-03 05:00:00
100,2.22,2.5,2.1709,2.29,7174337,2021-11-04 05:00:00
101,2.39,3.3799,2.36,2.88,153176950,2021-11-05 05:00:00
102,2.69,2.78,2.47,2.61,17585554,2021-11-08 06:00:00
103,2.57,2.77,2.5,2.64,7507192,2021-11-09 06:00:00
104,2.61,2.61,2.14,2.15,10722089,2021-11-10 06:00:00
105,2.39,2.46,2.23,2.4,4774219,2021-11-11 06:00:00
106,2.36,2.42,2.29,2.34,2528270,2021-11-12 06:00:00
107,2.32,2.39,2.25,2.29,2138575,2021-11-15 06:00:00
108,2.26,2.307,2.2,2.27,1717817,2021-11-16 06:00:00
109,2.25,2.3199,2.19,2.2,1662977,2021-11-17 06:00:00
110,2.21,2.28,2.12,2.13,2222714,2021-11-18 06:00:00
111,2.13,2.24,2.12,2.17,1285518,2021-11-19 06:00:00
112,2.19,2.19,1.87,1.9,3384697,2021-11-22 06:00:00
113,1.93,2.34,1.9001,2.145,6756861,2021-11-23 06:00:00
114,2.1,2.3809,2.02,2.37,3925571,2021-11-24 06:00:00
115,2.22,2.3,2.15,2.27,1110596,2021-11-26 06:00:00
116,2.31,2.34,2.15,2.22,1409936,2021-11-29 06:00:00
117,2.25,2.29,2.03,2.14,3025535,2021-11-30 06:00:00
118,2.12,2.13,1.92,1.95,2082730,2021-12-01 06:00:00
119,1.95,2.08,1.91,2.02,1509077,2021-12-02 06:00:00
120,2.05,2.07,1.94,1.98,1490139,2021-12-03 06:00:00
121,1.94,1.99,1.88,1.98,868598,2021-12-06 06:00:00
122,1.99,2.25,1.9813,2.14,2361221,2021-12-07 06:00:00
123,2.12,2.27,2.09,2.22,1144052,2021-12-08 06:00:00
124,2.24,2.33,2.17,2.28,1219777,2021-12-09 06:00:00
125,2.25,2.3,2.16,2.2,775576,2021-12-10 06:00:00
126,2.3,2.4599,2.24,2.4,3434163,2021-12-13 06:00:00
127,2.58,3.16,2.48,3.08,57072322,2021-12-14 06:00:00
128,2.74,2.79,2.34,2.59,10052865,2021-12-15 06:00:00
129,2.5,2.69,2.4601,2.53,3042076,2021-12-16 06:00:00
130,2.8979,3.04,2.38,2.45,29073069,2021-12-17 06:00:00
