,open,high,low,close,volume,datetime
0,9.97,10.02,9.96,10.02,3285891,2021-12-27 06:00:00
1,10.01,10.02,9.99,10.01,255330,2021-12-28 06:00:00
2,10.0,10.01,9.9984,10.0,77817,2021-12-29 06:00:00
3,10.02,10.02,10.0,10.01,84433,2021-12-30 06:00:00
4,10.02,10.04,10.02,10.02,23792,2022-01-03 06:00:00
5,10.05,10.05,10.035,10.05,22391,2022-01-04 06:00:00
6,10.05,10.05,10.05,10.05,10309,2022-01-05 06:00:00
7,10.05,10.05,10.0461,10.05,124548,2022-01-06 06:00:00
8,10.0799,10.0799,10.0799,10.0799,114,2022-01-07 06:00:00
9,10.0574,10.08,10.0574,10.07,10011,2022-01-10 06:00:00
10,10.05,10.05,10.04,10.05,54195,2022-01-11 06:00:00
11,10.0564,10.07,10.0564,10.07,10636,2022-01-13 06:00:00
12,10.07,10.07,10.07,10.07,30123,2022-01-18 06:00:00
13,10.05,10.05,10.05,10.05,4192,2022-01-19 06:00:00
14,10.04,10.04,10.0,10.0,49654,2022-01-20 06:00:00
15,10.01,10.01,9.99,9.99,303035,2022-01-21 06:00:00
16,10.0,10.0,9.9901,10.0,24537,2022-01-24 06:00:00
17,10.0,10.01,10.0,10.0,111131,2022-01-25 06:00:00
18,10.05,10.05,9.98,9.98,1212,2022-01-26 06:00:00
19,10.009,10.03,10.0,10.03,1364,2022-01-27 06:00:00
20,10.0,10.0,9.99,9.99,1670,2022-01-28 06:00:00
21,10.04,10.04,10.04,10.04,506,2022-01-31 06:00:00
22,10.04,10.05,10.0396,10.0396,13346,2022-02-01 06:00:00
23,10.01,10.05,10.01,10.05,1561,2022-02-02 06:00:00
24,10.05,10.05,9.98,10.04,3413,2022-02-07 06:00:00
25,10.0,10.0,10.0,10.0,34460,2022-02-09 06:00:00
26,10.04,10.04,10.04,10.04,2280,2022-02-10 06:00:00
27,10.04,10.04,10.02,10.02,33650,2022-02-11 06:00:00
28,10.03,10.07,10.02,10.07,29804,2022-02-14 06:00:00
29,10.09,10.1,10.09,10.09,2387,2022-02-16 06:00:00
30,10.08,10.08,10.08,10.08,1800,2022-02-17 06:00:00
31,10.08,10.08,10.08,10.08,7700,2022-02-18 06:00:00
32,10.025,10.025,10.025,10.025,5012,2022-02-22 06:00:00
33,10.055,10.07,10.05,10.05,20300,2022-02-23 06:00:00
34,10.045,10.1,10.045,10.1,8540,2022-02-24 06:00:00
35,10.1,10.1,10.07,10.07,14200,2022-02-25 06:00:00
36,10.05,10.07,10.05,10.06,108100,2022-03-01 06:00:00
37,10.0716,10.0716,10.0716,10.0716,2590,2022-03-03 06:00:00
38,10.1,10.1,10.09,10.09,761,2022-03-04 06:00:00
39,10.08,10.09,10.0799,10.09,68290,2022-03-10 06:00:00
40,10.07,10.07,10.07,10.07,1975,2022-03-11 06:00:00
41,10.07,10.07,10.07,10.07,5034,2022-03-15 05:00:00
42,10.04,10.04,10.04,10.04,73802,2022-03-17 05:00:00
43,10.03,10.04,10.03,10.04,601,2022-03-25 05:00:00
44,10.07,10.1,10.0501,10.0501,15000,2022-03-28 05:00:00
45,10.06,10.06,10.06,10.06,412,2022-03-29 05:00:00
46,10.06,10.07,10.06,10.07,1600,2022-04-07 05:00:00
47,10.08,10.08,10.08,10.08,200,2022-04-08 05:00:00
48,10.06,10.06,10.02,10.05,50921,2022-04-11 05:00:00
49,10.07,10.07,10.07,10.07,7218,2022-04-13 05:00:00
50,10.09,10.09,10.09,10.09,202,2022-04-18 05:00:00
51,10.09,10.1,10.09,10.1,20446,2022-04-20 05:00:00
52,10.09,10.09,10.09,10.09,5834,2022-04-25 05:00:00
53,10.16,10.18,10.16,10.175,48666,2022-04-26 05:00:00
54,10.13,10.13,10.105,10.12,10332,2022-05-02 05:00:00
55,10.11,10.11,10.1,10.1,15500,2022-05-03 05:00:00
56,10.05,10.05,9.97,10.05,9320,2022-05-26 05:00:00
57,9.99,9.99,9.99,9.99,100,2022-06-07 05:00:00
58,9.99,9.99,9.99,9.99,100,2022-06-10 05:00:00
