,open,high,low,close,volume,datetime
0,18.11,18.44,17.06,17.7,3800227,2010-04-29 05:00:00
1,17.75,17.94,17.25,17.91,490866,2010-04-30 05:00:00
2,18.0,18.2,17.76,17.9,92023,2010-05-03 05:00:00
3,17.99,17.99,17.07,17.33,126142,2010-05-04 05:00:00
4,17.25,17.5,16.52,16.7,89734,2010-05-05 05:00:00
5,16.93,16.98,14.74,15.25,170172,2010-05-06 05:00:00
6,15.25,15.3,14.03,14.5,140930,2010-05-07 05:00:00
7,15.48,15.97,14.55,14.84,93259,2010-05-10 05:00:00
8,14.84,15.3,14.75,15.0,71442,2010-05-11 05:00:00
9,15.0,15.59,15.0,15.41,49134,2010-05-12 05:00:00
10,15.57,15.63,15.1,15.1,33293,2010-05-13 05:00:00
11,15.1,15.1999,14.7,14.7,69768,2010-05-14 05:00:00
12,14.64,14.7901,13.8,14.11,151123,2010-05-17 05:00:00
13,14.11,14.52,13.91,14.45,293765,2010-05-18 05:00:00
14,14.25,14.85,14.13,14.75,242500,2010-05-19 05:00:00
15,14.58,14.89,14.1,14.26,59462,2010-05-20 05:00:00
16,14.06,15.0,14.01,14.78,131057,2010-05-21 05:00:00
17,14.67,14.8,14.47,14.472,34607,2010-05-24 05:00:00
18,14.12,14.5,13.77,13.85,171699,2010-05-25 05:00:00
19,13.9,14.25,13.85,13.9,241833,2010-05-26 05:00:00
20,14.25,15.1,14.155,15.01,68162,2010-05-27 05:00:00
21,15.0,15.0,14.54,14.89,87196,2010-05-28 05:00:00
22,14.72,15.0,14.72,14.95,34863,2010-06-01 05:00:00
23,15.0,15.42,15.0,15.28,23162,2010-06-02 05:00:00
24,15.23,15.5,15.12,15.35,26244,2010-06-03 05:00:00
25,14.98,15.34,14.51,15.01,83619,2010-06-04 05:00:00
26,15.0,15.52,14.35,14.475,48757,2010-06-07 05:00:00
27,14.53,15.0,14.23,14.41,58091,2010-06-08 05:00:00
28,14.42,14.5,13.95,14.0,42952,2010-06-09 05:00:00
29,14.305,14.49,14.06,14.24,49272,2010-06-10 05:00:00
30,14.26,14.52,14.255,14.38,12677,2010-06-11 05:00:00
31,14.32,14.9,14.32,14.5,102959,2010-06-14 05:00:00
32,14.51,14.68,14.36,14.57,39458,2010-06-15 05:00:00
33,14.5,14.8999,14.345,14.71,24604,2010-06-16 05:00:00
34,14.72,15.05,14.71,14.79,13798,2010-06-17 05:00:00
35,14.87,14.98,14.67,14.75,57651,2010-06-18 05:00:00
36,14.86,15.1,14.56,14.78,41757,2010-06-21 05:00:00
37,14.72,15.0,14.7,14.72,76503,2010-06-22 05:00:00
