,open,high,low,close,volume,datetime
0,0.04,0.04,0.04,0.04,85575,2009-11-16 06:00:00
1,0.05,0.05,0.04,0.04,27583,2009-11-18 06:00:00
2,0.032,0.032,0.032,0.032,14870,2009-11-19 06:00:00
3,0.032,0.032,0.032,0.032,21745,2009-11-20 06:00:00
4,0.05,0.05,0.05,0.05,370,2009-11-24 06:00:00
5,0.03,0.03,0.03,0.03,5000,2009-11-25 06:00:00
6,0.045,0.045,0.045,0.045,2650,2009-11-27 06:00:00
7,0.03,0.03,0.03,0.03,5000,2009-11-30 06:00:00
8,0.03,0.03,0.029,0.03,88330,2009-12-01 06:00:00
9,0.03,0.03,0.03,0.03,26250,2009-12-02 06:00:00
10,0.035,0.035,0.03,0.03,51350,2009-12-03 06:00:00
11,0.03,0.03,0.03,0.03,370,2009-12-04 06:00:00
12,0.03,0.03,0.03,0.03,125,2009-12-07 06:00:00
13,0.03,0.03,0.03,0.03,74500,2009-12-08 06:00:00
14,0.03,0.04,0.03,0.04,7500,2009-12-09 06:00:00
15,0.038,0.038,0.038,0.038,2500,2009-12-11 06:00:00
16,0.03,0.03,0.03,0.03,1532,2009-12-14 06:00:00
17,0.03,0.03,0.03,0.03,9000,2009-12-15 06:00:00
18,0.03,0.03,0.03,0.03,2000,2009-12-16 06:00:00
19,0.03,0.035,0.03,0.035,53355,2009-12-17 06:00:00
20,0.03,0.03,0.03,0.03,1250,2009-12-21 06:00:00
21,0.03,0.03,0.03,0.03,1760,2009-12-22 06:00:00
22,0.035,0.035,0.03,0.03,26172,2009-12-24 06:00:00
23,0.025,0.025,0.025,0.025,7775,2009-12-28 06:00:00
24,0.025,0.025,0.025,0.025,16700,2009-12-29 06:00:00
25,0.026,0.027,0.026,0.027,22000,2009-12-30 06:00:00
26,0.027,0.027,0.027,0.027,12435,2009-12-31 06:00:00
27,0.028,0.028,0.028,0.028,6563,2010-01-04 06:00:00
28,0.03,0.045,0.03,0.04,126594,2010-01-06 06:00:00
29,0.04,0.0449,0.038,0.038,22250,2010-01-07 06:00:00
30,0.038,0.04,0.038,0.04,105010,2010-01-08 06:00:00
31,0.0449,0.0449,0.035,0.0375,66985,2010-01-11 06:00:00
32,0.0375,0.0375,0.037,0.037,10993,2010-01-13 06:00:00
33,0.037,0.037,0.037,0.037,4750,2010-01-14 06:00:00
34,0.037,0.037,0.037,0.037,1510,2010-01-15 06:00:00
35,0.037,0.045,0.037,0.045,1175,2010-01-19 06:00:00
36,0.039,0.039,0.039,0.039,4562,2010-01-20 06:00:00
37,0.039,0.039,0.039,0.039,5000,2010-01-25 06:00:00
38,0.039,0.039,0.039,0.039,35268,2010-01-26 06:00:00
39,0.039,0.039,0.039,0.039,5250,2010-01-27 06:00:00
40,0.037,0.037,0.037,0.037,24240,2010-01-29 06:00:00
41,0.038,0.038,0.038,0.038,3350,2010-02-04 06:00:00
42,0.038,0.038,0.038,0.038,460,2010-02-05 06:00:00
43,0.044,0.07,0.038,0.039,249050,2010-02-09 06:00:00
44,0.038,0.038,0.022,0.022,554908,2010-02-10 06:00:00
45,0.021,0.021,0.02,0.02,241250,2010-02-11 06:00:00
46,0.023,0.023,0.023,0.023,10000,2010-02-12 06:00:00
47,0.02,0.02,0.0195,0.02,60000,2010-02-16 06:00:00
48,0.02,0.03,0.02,0.024,28000,2010-02-17 06:00:00
49,0.0195,0.071,0.0195,0.03,189326,2010-02-18 06:00:00
50,0.025,0.04,0.025,0.04,140092,2010-02-19 06:00:00
51,0.0425,0.0425,0.0425,0.0425,10000,2010-02-22 06:00:00
52,0.025,0.045,0.023,0.027,411430,2010-02-23 06:00:00
53,0.027,0.027,0.021,0.022,126000,2010-02-24 06:00:00
54,0.023,0.023,0.02,0.02,101000,2010-02-25 06:00:00
55,0.023,0.029,0.02,0.02,153500,2010-02-26 06:00:00
56,0.029,0.03,0.025,0.025,112350,2010-03-01 06:00:00
57,0.029,0.0299,0.019,0.023,125299,2010-03-02 06:00:00
58,0.024,0.0269,0.024,0.024,66111,2010-03-03 06:00:00
59,0.026,0.026,0.026,0.026,1000,2010-03-04 06:00:00
60,0.02,0.02,0.02,0.02,60000,2010-03-05 06:00:00
61,0.0195,0.0249,0.0195,0.0249,41800,2010-03-09 06:00:00
62,0.02,0.02,0.02,0.02,5000,2010-03-10 06:00:00
63,0.024,0.024,0.02,0.02,22500,2010-03-11 06:00:00
64,0.023,0.023,0.0195,0.02,53508,2010-03-12 06:00:00
65,0.019,0.02,0.019,0.019,30120,2010-03-17 05:00:00
66,0.0195,0.0195,0.0195,0.0195,3000,2010-03-22 05:00:00
67,0.0195,0.0195,0.0195,0.0195,2060,2010-03-23 05:00:00
68,0.0249,0.0249,0.0195,0.0248,40104,2010-03-25 05:00:00
69,0.0248,0.0248,0.0248,0.0248,10000,2010-03-26 05:00:00
70,0.024,0.024,0.024,0.024,10000,2010-03-31 05:00:00
71,0.0195,0.024,0.0195,0.024,67000,2010-04-07 05:00:00
72,0.02,0.02,0.02,0.02,5000,2010-04-08 05:00:00
73,0.02,0.022,0.02,0.021,20000,2010-04-09 05:00:00
74,0.02,0.02,0.02,0.02,10000,2010-04-12 05:00:00
75,0.02,0.02,0.0197,0.0197,15049,2010-04-14 05:00:00
76,0.029,0.029,0.029,0.029,2758,2010-04-19 05:00:00
77,0.0195,0.0195,0.0195,0.0195,12054,2010-04-21 05:00:00
78,0.02,0.02,0.02,0.02,1880,2010-04-22 05:00:00
79,0.02,0.02,0.02,0.02,5000,2010-04-26 05:00:00
80,0.0195,0.0195,0.0195,0.0195,12000,2010-05-06 05:00:00
81,0.0329,0.14,0.0329,0.08,7375382,2010-05-10 05:00:00
82,0.0699,0.071,0.0411,0.045,3619358,2010-05-11 05:00:00
83,0.05,0.068,0.04,0.04,3211497,2010-05-12 05:00:00
84,0.047,0.047,0.031,0.033,941020,2010-05-13 05:00:00
85,0.035,0.035,0.026,0.033,1039051,2010-05-14 05:00:00
86,0.049,0.049,0.029,0.035,4765098,2010-05-17 05:00:00
87,0.0491,0.05,0.033,0.0331,5674793,2010-05-18 05:00:00
88,0.033,0.033,0.027,0.029,863430,2010-05-19 05:00:00
89,0.034,0.034,0.023,0.0237,728047,2010-05-20 05:00:00
