,open,high,low,close,volume,datetime
0,9.8,9.83,9.8,9.83,74806,2022-01-28 06:00:00
1,9.95,9.97,9.88,9.97,50201,2022-02-11 06:00:00
2,9.89,9.89,9.89,9.89,300000,2022-02-15 06:00:00
3,9.89,9.91,9.89,9.89,100001,2022-02-22 06:00:00
4,9.9,9.93,9.9,9.93,3101,2022-02-28 06:00:00
5,9.92,9.92,9.92,9.92,1000,2022-03-01 06:00:00
6,9.94,9.94,9.94,9.94,706,2022-03-04 06:00:00
7,9.94,9.94,9.94,9.94,2798,2022-03-07 06:00:00
8,9.9499,9.9499,9.9499,9.9499,202,2022-03-10 06:00:00
9,9.95,9.95,9.92,9.92,7101,2022-03-11 06:00:00
10,9.97,9.97,9.945,9.945,2689,2022-03-25 05:00:00
11,9.97,9.97,9.97,9.97,40000,2022-03-31 05:00:00
12,9.94,9.94,9.94,9.94,1685,2022-04-04 05:00:00
13,9.96,9.98,9.96,9.98,4290,2022-04-05 05:00:00
14,9.99,9.99,9.99,9.99,11770,2022-04-07 05:00:00
15,9.99,10.0,9.98,9.98,5630,2022-04-08 05:00:00
16,9.995,10.0,9.98,10.0,103395,2022-04-11 05:00:00
17,9.99,10.0,9.99,10.0,43481,2022-04-12 05:00:00
18,9.9801,10.08,9.98,10.08,3083,2022-04-13 05:00:00
19,10.01,10.02,10.01,10.01,2442,2022-04-14 05:00:00
20,10.01,10.01,9.99,9.99,120800,2022-04-18 05:00:00
21,10.01,10.0101,10.01,10.01,964932,2022-04-19 05:00:00
22,10.01,10.01,10.01,10.01,784496,2022-04-20 05:00:00
23,10.02,10.02,10.02,10.02,1200,2022-04-21 05:00:00
24,10.12,10.525,10.02,10.0496,5267,2022-04-22 05:00:00
25,10.05,10.07,10.02,10.02,302388,2022-04-25 05:00:00
26,10.02,10.02,10.02,10.02,931,2022-04-26 05:00:00
27,10.02,10.02,10.02,10.02,5000,2022-04-27 05:00:00
28,10.02,10.02,10.02,10.02,1550,2022-05-02 05:00:00
29,10.03,10.03,10.03,10.03,100000,2022-05-03 05:00:00
30,10.02,10.02,10.02,10.02,10200,2022-05-04 05:00:00
31,10.0,10.0,9.99,9.99,10500,2022-05-09 05:00:00
32,9.98,9.98,9.98,9.98,100,2022-05-12 05:00:00
33,9.96,9.96,9.95,9.95,12002,2022-05-13 05:00:00
34,9.96,9.96,9.96,9.96,10001,2022-05-16 05:00:00
35,9.96,9.98,9.96,9.98,10900,2022-05-17 05:00:00
36,9.96,9.96,9.96,9.96,5401,2022-05-18 05:00:00
37,9.96,9.96,9.95,9.95,10137,2022-05-19 05:00:00
38,9.95,9.95,9.95,9.95,90182,2022-05-20 05:00:00
39,9.96,9.96,9.95,9.95,220109,2022-05-23 05:00:00
40,9.96,9.97,9.955,9.96,41252,2022-05-26 05:00:00
41,9.98,10.0,9.9784,10.0,5533,2022-05-27 05:00:00
42,9.98,9.98,9.975,9.98,18733,2022-05-31 05:00:00
43,9.98,9.98,9.98,9.98,65620,2022-06-01 05:00:00
44,9.98,9.99,9.98,9.99,13829,2022-06-02 05:00:00
45,9.98,9.98,9.97,9.97,80100,2022-06-03 05:00:00
46,9.98,10.02,9.98,9.98,8300,2022-06-07 05:00:00
47,9.98,9.98,9.98,9.98,180002,2022-06-08 05:00:00
48,9.98,9.98,9.98,9.98,4500,2022-06-09 05:00:00
49,10.0,10.0,10.0,10.0,12324,2022-06-10 05:00:00
