,open,high,low,close,volume,datetime
0,10.25,10.5,10.2,10.27,7400,2021-01-11 06:00:00
1,10.27,10.45,10.27,10.45,2239,2021-01-12 06:00:00
2,10.71,10.75,10.38,10.5,39544,2021-01-13 06:00:00
3,10.75,10.75,10.3994,10.45,49416,2021-01-14 06:00:00
4,10.45,10.48,10.39,10.45,4399,2021-01-15 06:00:00
5,10.4,10.47,10.3,10.37,60751,2021-01-19 06:00:00
6,10.3,10.46,10.26,10.31,116079,2021-01-20 06:00:00
7,10.4,10.425,10.2498,10.305,149118,2021-01-21 06:00:00
8,10.37,10.4,10.2,10.31,44576,2021-01-22 06:00:00
9,10.4,10.4201,10.2398,10.25,74041,2021-01-25 06:00:00
10,10.32,10.37,10.18,10.22,110824,2021-01-26 06:00:00
11,10.1,10.19,9.96,10.1,63388,2021-01-27 06:00:00
12,10.15,10.19,10.1,10.18,235635,2021-01-28 06:00:00
13,10.18,10.185,10.05,10.13,39080,2021-01-29 06:00:00
14,10.13,10.25,10.13,10.2,58275,2021-02-01 06:00:00
15,10.27,10.27,10.145,10.23,70953,2021-02-02 06:00:00
16,10.38,10.39,10.23,10.23,44181,2021-02-03 06:00:00
17,10.21,10.38,10.2,10.38,184465,2021-02-04 06:00:00
18,10.38,10.49,10.365,10.49,40886,2021-02-05 06:00:00
19,10.49,10.5,10.4,10.43,36132,2021-02-08 06:00:00
20,10.42,10.42,10.23,10.32,55575,2021-02-09 06:00:00
21,10.4,10.4,10.3,10.39,21015,2021-02-10 06:00:00
22,10.35,10.48,10.295,10.36,80630,2021-02-11 06:00:00
23,10.41,10.49,10.28,10.4499,31955,2021-02-12 06:00:00
24,10.44,10.44,10.28,10.35,60077,2021-02-16 06:00:00
25,10.3501,10.39,10.35,10.35,47683,2021-02-17 06:00:00
26,10.43,10.44,10.35,10.37,239004,2021-02-18 06:00:00
27,10.36,10.5,10.36,10.47,49287,2021-02-19 06:00:00
28,10.46,10.5,10.4,10.46,15999,2021-02-22 06:00:00
29,10.45,10.45,10.255,10.35,184749,2021-02-23 06:00:00
30,10.32,10.39,10.31,10.31,53212,2021-02-24 06:00:00
31,10.39,10.39,10.22,10.3,89411,2021-02-25 06:00:00
32,10.35,10.35,10.22,10.23,34548,2021-02-26 06:00:00
33,10.29,10.3199,10.11,10.22,305336,2021-03-01 06:00:00
34,10.15,10.27,10.03,10.11,129687,2021-03-02 06:00:00
35,10.12,10.18,10.04,10.17,202909,2021-03-03 06:00:00
36,10.04,10.09,9.955,9.96,51198,2021-03-04 06:00:00
37,9.9656,10.09,9.96,10.05,223847,2021-03-05 06:00:00
38,10.07,10.1,9.82,9.84,107430,2021-03-08 06:00:00
39,9.86,10.02,9.77,9.77,168360,2021-03-09 06:00:00
