,open,high,low,close,volume,datetime
0,9.89,9.89,9.89,9.89,348,2021-11-23 06:00:00
1,9.9287,9.9287,9.9287,9.9287,269,2021-11-24 06:00:00
2,9.84,9.89,9.84,9.88,32289,2021-11-29 06:00:00
3,10.03,10.03,9.86,9.9,556872,2021-11-30 06:00:00
4,9.85,9.91,9.85,9.89,569,2021-12-06 06:00:00
5,9.88,9.92,9.88,9.92,3803,2021-12-08 06:00:00
6,9.88,9.93,9.88,9.93,24255,2021-12-09 06:00:00
7,9.9,9.9,9.84,9.89,84560,2021-12-10 06:00:00
8,9.88,9.89,9.85,9.87,409056,2021-12-13 06:00:00
9,9.9,9.91,9.88,9.88,5725,2021-12-15 06:00:00
10,9.92,9.92,9.92,9.92,994,2021-12-16 06:00:00
11,9.92,9.92,9.85,9.89,16868,2021-12-22 06:00:00
12,10.1678,10.1678,10.1678,10.1678,173,2021-12-28 06:00:00
13,9.85,9.935,9.85,9.9,28913,2022-01-03 06:00:00
14,9.89,9.89,9.89,9.89,260,2022-01-05 06:00:00
15,9.85,9.85,9.85,9.85,100,2022-01-11 06:00:00
16,9.85,9.9,9.85,9.88,667801,2022-01-12 06:00:00
17,9.86,9.86,9.85,9.86,82009,2022-01-13 06:00:00
18,9.91,9.91,9.85,9.85,500,2022-01-19 06:00:00
19,9.85,9.91,9.85,9.91,4001,2022-01-20 06:00:00
20,9.86,9.86,9.86,9.86,209,2022-01-26 06:00:00
21,9.86,9.86,9.86,9.86,235056,2022-01-27 06:00:00
22,9.83,9.88,9.8,9.85,883870,2022-01-31 06:00:00
23,9.8,9.93,9.8,9.875,13407,2022-02-01 06:00:00
24,9.91,9.93,9.84,9.84,7394,2022-02-02 06:00:00
25,9.84,9.91,9.8,9.8,9132,2022-02-03 06:00:00
26,9.89,9.89,9.81,9.84,106954,2022-02-07 06:00:00
27,9.89,9.9,9.89,9.9,373,2022-02-10 06:00:00
28,9.91,9.995,9.84,9.9,119126,2022-02-11 06:00:00
29,9.97,9.97,9.85,9.87,6872,2022-02-15 06:00:00
30,9.885,9.885,9.885,9.885,300000,2022-02-17 06:00:00
31,9.85,9.88,9.85,9.88,725,2022-02-18 06:00:00
32,9.9,9.98,9.86,9.86,1506134,2022-02-28 06:00:00
33,9.915,9.915,9.91,9.91,7592,2022-03-04 06:00:00
34,9.87,9.88,9.87,9.87,10200,2022-03-11 06:00:00
35,9.91,9.92,9.88,9.88,2119,2022-03-16 05:00:00
36,9.89,9.89,9.88,9.88,27039,2022-03-17 05:00:00
37,9.91,10.0799,9.91,9.9155,4650,2022-03-21 05:00:00
38,9.93,9.93,9.91,9.91,202,2022-03-22 05:00:00
39,10.1,10.1,9.87,9.87,301,2022-03-23 05:00:00
40,9.94,9.94,9.92,9.92,1214,2022-03-25 05:00:00
41,9.92,9.92,9.92,9.92,2539,2022-03-28 05:00:00
42,9.9,9.92,9.87,9.91,24023,2022-03-29 05:00:00
43,9.94,9.96,9.94,9.94,41830,2022-03-30 05:00:00
44,9.98,10.01,9.97,9.97,3950418,2022-03-31 05:00:00
45,9.98,9.99,9.97,9.97,233794,2022-04-01 05:00:00
46,9.97,9.99,9.97,9.99,118680,2022-04-04 05:00:00
47,9.99,10.0,9.98,9.98,86569,2022-04-05 05:00:00
48,9.98,9.98,9.97,9.97,3238,2022-04-06 05:00:00
49,9.97,9.9735,9.97,9.97,2169,2022-04-07 05:00:00
50,9.97,9.97,9.97,9.97,231,2022-04-08 05:00:00
51,9.99,9.99,9.97,9.97,2896,2022-04-12 05:00:00
52,9.97,9.971,9.97,9.97,9321,2022-04-13 05:00:00
53,9.97,9.97,9.97,9.97,2180,2022-04-14 05:00:00
54,9.98,9.98,9.97,9.98,17720,2022-04-19 05:00:00
55,9.99,9.99,9.99,9.99,607,2022-04-20 05:00:00
56,9.98,9.99,9.96,9.99,29121,2022-04-26 05:00:00
57,10.0,10.005,10.0,10.0,45618,2022-04-28 05:00:00
58,10.01,10.01,10.0,10.0,5786,2022-05-02 05:00:00
59,10.0,10.0,10.0,10.0,1400,2022-05-03 05:00:00
60,10.005,10.005,10.0,10.0,2229,2022-05-05 05:00:00
61,10.01,10.015,10.0,10.0,7362,2022-05-06 05:00:00
62,9.76,10.0,9.7,9.93,9620,2022-05-10 05:00:00
63,9.99,9.99,9.97,9.97,300,2022-05-11 05:00:00
64,10.01,10.01,9.93,9.93,1797,2022-05-12 05:00:00
65,9.93,9.97,9.93,9.97,333,2022-05-13 05:00:00
66,10.0,10.0,9.94,9.985,8785,2022-05-16 05:00:00
67,10.0,10.0,9.93,10.0,13987,2022-05-17 05:00:00
68,9.975,10.0,9.975,10.0,1648,2022-05-20 05:00:00
69,9.965,9.965,9.965,9.965,303,2022-05-25 05:00:00
70,10.0,10.0,10.0,10.0,207,2022-05-26 05:00:00
71,10.0,10.0,9.99,9.99,4151,2022-05-31 05:00:00
72,9.97,10.0,9.97,9.97,99540,2022-06-01 05:00:00
73,9.98,9.99,9.96,9.99,151246,2022-06-02 05:00:00
74,10.0,10.0,9.99,9.99,134441,2022-06-03 05:00:00
75,9.96,9.97,9.96,9.97,3023,2022-06-07 05:00:00
76,9.95,9.95,9.95,9.95,5237,2022-06-08 05:00:00
77,9.94,9.94,9.92,9.92,29204,2022-06-10 05:00:00
