,open,high,low,close,volume,datetime
0,6.15,6.45,5.08,5.61,817243,2018-05-04 05:00:00
1,5.72,5.8389,5.2,5.48,293796,2018-05-07 05:00:00
2,5.58,6.29,5.58,6.27,186041,2018-05-08 05:00:00
3,6.33,6.33,6.125,6.25,92448,2018-05-09 05:00:00
4,6.26,6.83,6.2,6.25,197169,2018-05-10 05:00:00
5,6.36,6.5,6.2,6.5,78218,2018-05-11 05:00:00
6,6.45,6.69,6.26,6.39,89637,2018-05-14 05:00:00
7,6.31,6.31,6.2,6.25,23492,2018-05-15 05:00:00
8,6.27,6.27,6.2,6.2,44606,2018-05-16 05:00:00
9,6.24,6.29,6.2,6.21,108634,2018-05-17 05:00:00
10,6.2,6.5,6.1875,6.1875,86375,2018-05-18 05:00:00
11,6.3,6.327,5.98,6.17,142198,2018-05-21 05:00:00
12,6.2,6.3,5.8,6.03,131276,2018-05-22 05:00:00
13,6.03,6.33,6.03,6.19,31019,2018-05-23 05:00:00
14,6.11,6.17,6.04,6.06,13112,2018-05-24 05:00:00
15,6.0955,6.12,5.78,6.02,32694,2018-05-25 05:00:00
16,6.15,6.94,6.15,6.85,92828,2018-05-29 05:00:00
17,7.24,9.51,6.99,9.21,685529,2018-05-30 05:00:00
18,9.12,9.389,7.69,8.26,258988,2018-05-31 05:00:00
19,8.27,9.2155,8.001,8.51,132699,2018-06-01 05:00:00
20,8.44,9.99,8.4,9.78,254956,2018-06-04 05:00:00
21,9.7,10.439,8.6,9.9,358014,2018-06-05 05:00:00
22,9.6,10.25,9.1712,9.86,201209,2018-06-06 05:00:00
23,9.86,10.3839,9.6414,10.24,133039,2018-06-07 05:00:00
24,10.2,10.34,9.6,9.6441,145568,2018-06-08 05:00:00
25,9.61,9.7909,8.75,8.83,103529,2018-06-11 05:00:00
26,8.77,9.79,8.77,9.17,52922,2018-06-12 05:00:00
27,9.42,9.67,9.2,9.2,10782,2018-06-13 05:00:00
28,9.0,9.2791,8.8001,9.01,14202,2018-06-14 05:00:00
29,8.89,8.93,8.7,8.75,14147,2018-06-15 05:00:00
30,8.7083,8.9,8.5,8.5,11185,2018-06-18 05:00:00
31,8.59,8.77,8.3,8.5399,45919,2018-06-19 05:00:00
32,8.6,9.18,8.2,8.9,61330,2018-06-20 05:00:00
33,8.88,9.005,8.3737,8.45,28286,2018-06-21 05:00:00
34,8.26,8.8,8.21,8.73,32387,2018-06-22 05:00:00
35,8.73,8.73,7.75,8.69,38430,2018-06-25 05:00:00
36,8.72,8.72,8.1334,8.325,37296,2018-06-26 05:00:00
37,8.1244,8.32,7.91,7.92,25967,2018-06-27 05:00:00
38,7.79,8.4,7.78,7.78,19692,2018-06-28 05:00:00
39,7.99,9.0,7.97,8.9,17998,2018-06-29 05:00:00
40,8.22,8.55,8.115,8.41,7727,2018-07-02 05:00:00
41,8.87,8.97,8.03,8.1,15855,2018-07-03 05:00:00
42,8.27,8.5999,8.24,8.3,5631,2018-07-05 05:00:00
43,8.01,8.48,8.01,8.3,5779,2018-07-06 05:00:00
44,8.64,8.64,7.711,7.98,15115,2018-07-09 05:00:00
45,8.04,8.04,7.84,7.861,2997,2018-07-10 05:00:00
46,8.0867,8.09,7.8799,7.9,4653,2018-07-11 05:00:00
47,7.91,8.1263,7.7766,7.7899,6953,2018-07-12 05:00:00
48,7.87,7.87,7.291,7.65,9691,2018-07-13 05:00:00
49,7.63,7.65,7.1883,7.2999,15250,2018-07-16 05:00:00
50,7.34,7.642,7.34,7.46,23046,2018-07-17 05:00:00
51,7.58,8.067,7.58,8.067,16297,2018-07-18 05:00:00
52,8.37,8.37,7.86,7.87,9227,2018-07-19 05:00:00
53,7.82,8.0,7.8,7.83,2371,2018-07-20 05:00:00
54,8.25,8.25,7.92,7.92,1522,2018-07-23 05:00:00
55,8.19,8.19,7.9,7.9,21052,2018-07-24 05:00:00
56,8.2,8.3415,8.065,8.1,9551,2018-07-25 05:00:00
57,8.01,8.35,8.01,8.06,2936,2018-07-26 05:00:00
58,7.9,8.1209,7.9,7.9,11769,2018-07-27 05:00:00
59,7.951,8.35,7.9,7.9,8622,2018-07-30 05:00:00
60,7.95,8.35,7.9,7.9,11212,2018-07-31 05:00:00
61,7.91,8.33,7.91,7.95,2903,2018-08-01 05:00:00
62,8.1279,8.1279,7.9,8.1,1715,2018-08-02 05:00:00
63,7.9,7.9,7.62,7.69,1748,2018-08-03 05:00:00
64,7.7,7.79,7.4,7.4,3118,2018-08-06 05:00:00
65,7.9,8.254,7.45,8.0,30619,2018-08-07 05:00:00
66,8.11,8.11,7.6659,7.8,1726,2018-08-08 05:00:00
67,7.91,7.91,7.5275,7.8,1621,2018-08-09 05:00:00
68,7.602,7.8,7.5,7.5,3680,2018-08-10 05:00:00
69,8.8499,8.8499,7.515,7.7,15786,2018-08-13 05:00:00
70,7.77,8.5,7.77,8.0,7134,2018-08-14 05:00:00
71,8.17,8.17,8.0,8.0,1935,2018-08-15 05:00:00
72,8.2385,8.485,7.61,8.02,13193,2018-08-16 05:00:00
73,7.5601,8.475,7.5601,7.9,3414,2018-08-17 05:00:00
74,8.3,8.3,8.0,8.0,12110,2018-08-20 05:00:00
75,7.99,8.5,7.99,8.5,5142,2018-08-21 05:00:00
76,8.48,8.485,8.2,8.2,1748,2018-08-22 05:00:00
77,8.2,8.2,8.0,8.0702,474,2018-08-23 05:00:00
78,8.07,8.2,8.0,8.0,562,2018-08-24 05:00:00
79,7.85,8.34,7.775,8.0,8208,2018-08-27 05:00:00
80,8.1374,8.1374,7.815,7.98,2641,2018-08-28 05:00:00
81,7.821,8.2,7.8201,7.83,5915,2018-08-29 05:00:00
82,7.83,8.175,7.83,7.9,1877,2018-08-30 05:00:00
83,8.19,8.21,7.625,8.0999,3204,2018-08-31 05:00:00
84,8.0,8.1,8.0,8.0,1353,2018-09-04 05:00:00
85,8.1,8.1,7.9,8.0,2603,2018-09-05 05:00:00
86,7.6775,8.1,7.6,8.1,6565,2018-09-06 05:00:00
87,8.099,8.1,7.9,7.9,1704,2018-09-07 05:00:00
88,8.14,8.14,7.611,8.14,1142,2018-09-10 05:00:00
89,8.1,8.1,7.66,7.66,609,2018-09-11 05:00:00
90,8.1,8.1,7.7,8.09,998,2018-09-12 05:00:00
91,7.71,8.09,7.67,7.8,3446,2018-09-13 05:00:00
92,7.66,8.075,7.66,7.66,1193,2018-09-14 05:00:00
93,7.65,8.07,7.54,7.55,3583,2018-09-17 05:00:00
94,8.049,8.049,7.59,7.77,4630,2018-09-18 05:00:00
95,8.04,8.04,7.78,7.82,1429,2018-09-19 05:00:00
96,7.6415,8.0,7.6415,7.66,1575,2018-09-20 05:00:00
97,7.9837,8.029,7.72,7.8,4876,2018-09-21 05:00:00
98,7.7067,7.985,7.5,7.6,3411,2018-09-24 05:00:00
99,7.9,8.03,7.6,7.61,1310,2018-09-25 05:00:00
100,8.01,8.01,7.63,7.65,649,2018-09-26 05:00:00
101,7.8,7.985,7.52,7.7067,5039,2018-09-27 05:00:00
102,7.71,8.0,7.545,7.98,4306,2018-09-28 05:00:00
103,7.7627,8.07,7.7627,8.0,1373,2018-10-01 05:00:00
104,8.07,8.07,7.9,7.9,439,2018-10-02 05:00:00
105,7.7297,8.0,7.53,7.56,5943,2018-10-03 05:00:00
106,7.5,7.98,7.4,7.4,1275,2018-10-04 05:00:00
107,7.4,7.975,7.32,7.32,1030,2018-10-05 05:00:00
108,7.3,7.965,7.3,7.32,654,2018-10-08 05:00:00
109,7.67,7.67,7.02,7.16,802,2018-10-09 05:00:00
110,7.1487,7.795,7.01,7.055,8055,2018-10-10 05:00:00
111,7.4,7.4,6.76,7.37,14679,2018-10-11 05:00:00
112,7.39,7.79,7.3,7.3,6402,2018-10-12 05:00:00
113,7.66,7.66,7.3,7.3,4175,2018-10-15 05:00:00
114,7.31,7.31,7.3,7.3,1557,2018-10-16 05:00:00
115,7.3,7.79,7.3,7.476,10951,2018-10-17 05:00:00
116,7.5,7.5,7.4,7.4,551,2018-10-18 05:00:00
117,7.51,7.8,7.3,7.3,937,2018-10-19 05:00:00
118,7.55,7.8,7.3,7.3,513,2018-10-22 05:00:00
119,7.31,7.31,7.0,7.0,1480,2018-10-23 05:00:00
120,7.32,7.32,6.2,6.2,2953,2018-10-24 05:00:00
121,6.75,6.75,6.045,6.045,936,2018-10-25 05:00:00
122,5.5,5.9499,5.5,5.9499,2682,2018-10-26 05:00:00
123,5.83,5.83,5.25,5.5,628,2018-10-29 05:00:00
124,5.51,5.51,5.51,5.51,409,2018-10-30 05:00:00
125,5.0,6.55,5.0,5.26,1294,2018-10-31 05:00:00
126,5.27,5.445,5.26,5.26,963,2018-11-01 05:00:00
127,5.83,5.83,5.7899,5.7899,1479,2018-11-02 05:00:00
128,5.03,6.4244,5.03,6.0,3975,2018-11-05 06:00:00
129,6.0,6.18,6.0,6.18,1202,2018-11-06 06:00:00
130,6.05,6.0527,5.511,5.511,12672,2018-11-07 06:00:00
131,5.758,5.758,5.7,5.7,917,2018-11-08 06:00:00
132,6.2,6.2,6.2,6.2,250,2018-11-09 06:00:00
133,5.7,5.7,5.5,5.6,1419,2018-11-12 06:00:00
134,5.58,5.59,5.32,5.32,303,2018-11-13 06:00:00
135,6.53,5.9,5.1,5.35,2115,2018-11-14 06:00:00
136,5.24,5.24,5.1,5.1,545,2018-11-15 06:00:00
137,5.15,5.15,5.15,5.15,208,2018-11-16 06:00:00
138,5.1,5.4,5.0,5.1,3825,2018-11-19 06:00:00
139,5.43,5.44,5.02,5.02,11993,2018-11-20 06:00:00
140,5.1,5.3,4.7,5.3,17119,2018-11-21 06:00:00
141,5.12,5.385,4.883,5.11,6393,2018-11-23 06:00:00
142,5.22,5.45,4.8,5.4,5590,2018-11-26 06:00:00
143,5.54,6.4793,5.1,5.4,23796,2018-11-27 06:00:00
144,5.44,5.803,5.33,5.4,16261,2018-11-28 06:00:00
145,5.2,5.4,5.1,5.1,3371,2018-11-29 06:00:00
146,5.5,5.5,5.09,5.09,2000,2018-11-30 06:00:00
147,5.4,5.505,5.3,5.4,31907,2018-12-03 06:00:00
148,5.3,5.41,4.85,5.0,195572,2018-12-04 06:00:00
149,4.95,5.1,4.2,4.76,52441,2018-12-06 06:00:00
150,4.8241,4.88,4.32,4.5,18158,2018-12-07 06:00:00
151,5.0,5.0,4.21,4.43,13127,2018-12-10 06:00:00
152,4.75,5.0,4.33,4.81,30512,2018-12-11 06:00:00
153,4.99,4.99,4.5,4.79,10820,2018-12-12 06:00:00
154,4.99,4.99,4.5,4.77,12361,2018-12-13 06:00:00
155,4.99,4.99,4.2,4.35,8376,2018-12-14 06:00:00
156,4.59,4.6,4.2,4.6,16504,2018-12-17 06:00:00
157,4.69,4.69,4.2,4.47,13925,2018-12-18 06:00:00
158,4.38,4.38,3.6776,3.87,19332,2018-12-19 06:00:00
159,4.45,4.45,3.55,3.715,9150,2018-12-20 06:00:00
160,3.68,3.71,3.35,3.5,11211,2018-12-21 06:00:00
161,3.26,3.26,2.86,2.86,21058,2018-12-24 06:00:00
162,2.88,3.11,2.51,3.11,12071,2018-12-26 06:00:00
163,2.75,3.0,2.75,3.0,11672,2018-12-27 06:00:00
164,2.97,3.26,2.85,3.11,13692,2018-12-28 06:00:00
165,3.25,3.8904,3.25,3.6,6102,2018-12-31 06:00:00
166,3.95,4.3465,3.65,4.15,40484,2019-01-02 06:00:00
167,4.2,4.3773,3.75,4.2,27946,2019-01-03 06:00:00
168,4.0,4.3016,3.89,4.1501,37854,2019-01-04 06:00:00
169,4.16,4.4,3.8999,4.2,34678,2019-01-07 06:00:00
170,4.25,4.8,4.04,4.8,38733,2019-01-08 06:00:00
171,4.8,4.8,3.9,4.4,56458,2019-01-09 06:00:00
172,4.34,4.6001,4.1,4.2,67247,2019-01-10 06:00:00
173,4.11,4.27,3.55,3.55,78357,2019-01-11 06:00:00
174,3.4,3.6348,2.8141,3.41,99577,2019-01-14 06:00:00
175,3.56,3.72,3.38,3.5,41006,2019-01-15 06:00:00
176,3.6,3.6687,3.35,3.56,22313,2019-01-16 06:00:00
177,3.57,3.66,3.43,3.54,53310,2019-01-17 06:00:00
178,3.58,3.62,3.41,3.5,16166,2019-01-18 06:00:00
179,3.48,3.48,3.0005,3.16,45566,2019-01-22 06:00:00
180,3.11,3.34,3.11,3.2,19741,2019-01-23 06:00:00
181,3.27,3.99,3.21,3.99,45794,2019-01-24 06:00:00
182,4.12,4.12,3.36,3.65,20079,2019-01-25 06:00:00
183,3.64,3.64,3.5,3.56,1496,2019-01-28 06:00:00
184,3.5175,3.77,3.5,3.58,5853,2019-01-29 06:00:00
185,3.58,3.7422,3.34,3.55,39212,2019-01-30 06:00:00
186,3.9199,3.9199,3.25,3.41,14391,2019-01-31 06:00:00
187,3.4,3.65,3.4,3.65,1946,2019-02-01 06:00:00
188,3.72,3.72,3.315,3.65,4045,2019-02-04 06:00:00
189,3.57,3.66,3.315,3.35,3688,2019-02-05 06:00:00
190,3.61,3.6634,3.335,3.4,8925,2019-02-06 06:00:00
191,3.425,3.625,3.289,3.45,4508,2019-02-07 06:00:00
192,3.6,3.6,3.2675,3.4673,4392,2019-02-08 06:00:00
193,3.57,3.57,3.3,3.31,8001,2019-02-11 06:00:00
194,3.35,3.49,3.35,3.4271,17880,2019-02-12 06:00:00
195,3.41,3.5,3.15,3.15,67228,2019-02-13 06:00:00
196,3.16,3.395,3.16,3.2,2600,2019-02-14 06:00:00
197,3.1658,3.25,3.14,3.19,13729,2019-02-15 06:00:00
198,3.21,3.52,3.14,3.14,27505,2019-02-19 06:00:00
199,3.14,3.31,3.14,3.18,44499,2019-02-20 06:00:00
200,3.15,3.25,3.1,3.1,33822,2019-02-21 06:00:00
201,3.17,3.3,3.12,3.12,20654,2019-02-22 06:00:00
202,3.2,3.32,3.16,3.16,11734,2019-02-25 06:00:00
203,3.15,3.25,3.12,3.18,17977,2019-02-26 06:00:00
204,3.65,3.65,3.365,3.52,78570,2019-02-27 06:00:00
205,3.74,3.74,3.49,3.49,16572,2019-02-28 06:00:00
206,3.5,4.11,3.4,3.4,78863,2019-03-01 06:00:00
207,3.5,3.85,3.5,3.56,108461,2019-03-04 06:00:00
208,3.6,3.97,3.6,3.79,31615,2019-03-05 06:00:00
209,3.78,3.78,3.59,3.73,6988,2019-03-06 06:00:00
210,3.64,3.65,3.51,3.65,11865,2019-03-07 06:00:00
211,3.61,3.7971,3.4673,3.59,13314,2019-03-08 06:00:00
212,3.65,3.74,3.45,3.74,5835,2019-03-11 05:00:00
213,3.61,4.49,3.61,4.38,62464,2019-03-12 05:00:00
214,4.38,4.42,4.17,4.36,12472,2019-03-13 05:00:00
215,4.35,4.485,4.24,4.24,1458,2019-03-14 05:00:00
216,4.38,4.78,4.1701,4.25,4768,2019-03-15 05:00:00
217,4.3,4.55,4.12,4.17,8163,2019-03-18 05:00:00
218,4.34,4.59,4.17,4.33,8008,2019-03-19 05:00:00
219,4.32,4.53,4.19,4.5,1500,2019-03-20 05:00:00
220,4.5,4.7499,4.2,4.38,72039,2019-03-21 05:00:00
221,4.34,4.34,4.13,4.13,3737,2019-03-22 05:00:00
222,4.34,4.34,4.06,4.06,2666,2019-03-25 05:00:00
223,4.17,4.171,3.865,4.171,636,2019-03-26 05:00:00
224,3.8601,4.25,3.8601,4.15,4887,2019-03-27 05:00:00
225,4.32,4.32,4.03,4.2739,719,2019-03-28 05:00:00
226,4.3,4.3,4.15,4.2899,3406,2019-03-29 05:00:00
227,4.2,4.265,4.03,4.0502,8594,2019-04-01 05:00:00
228,4.06,4.34,4.06,4.1428,5965,2019-04-02 05:00:00
229,4.31,4.495,4.095,4.1,449,2019-04-03 05:00:00
230,4.4,4.4,4.15,4.3,3278,2019-04-04 05:00:00
