,open,high,low,close,volume,datetime
0,20.6,21.45,20.22,20.6,23404025,2008-04-23 05:00:00
1,20.72,21.0,20.31,20.81,4960820,2008-04-24 05:00:00
2,21.0,21.25,20.7,21.17,1956798,2008-04-25 05:00:00
3,21.49,21.49,20.81,21.0,709378,2008-04-28 05:00:00
4,21.39,21.39,20.82,21.07,859643,2008-04-29 05:00:00
5,21.08,21.2,20.92,21.15,893241,2008-04-30 05:00:00
6,21.22,22.0,21.0,21.91,2998955,2008-05-01 05:00:00
7,22.16,22.16,21.49,22.01,1639357,2008-05-02 05:00:00
8,22.45,22.45,21.56,21.91,578944,2008-05-05 05:00:00
9,21.8,21.86,21.37,21.55,1040181,2008-05-06 05:00:00
10,21.5,21.6,20.65,21.21,1240063,2008-05-07 05:00:00
11,21.23,21.3,21.03,21.25,888049,2008-05-08 05:00:00
12,21.25,21.84,21.03,21.67,550394,2008-05-09 05:00:00
13,21.7,21.74,21.28,21.5,1167927,2008-05-12 05:00:00
14,21.53,21.54,20.8,21.32,1783861,2008-05-13 05:00:00
15,20.51,21.48,20.51,21.3,649169,2008-05-14 05:00:00
16,21.45,21.46,21.1,21.16,470309,2008-05-15 05:00:00
17,21.43,21.65,21.1,21.62,1002319,2008-05-16 05:00:00
18,21.89,22.09,21.55,21.75,802836,2008-05-19 05:00:00
19,21.97,21.97,21.45,21.65,504059,2008-05-20 05:00:00
20,21.85,21.85,21.05,21.16,407047,2008-05-21 05:00:00
21,21.37,21.45,21.12,21.35,274583,2008-05-22 05:00:00
22,21.25,21.25,21.0,21.14,464183,2008-05-23 05:00:00
23,21.49,21.49,21.05,21.23,320210,2008-05-27 05:00:00
24,21.1,21.42,21.07,21.41,403723,2008-05-28 05:00:00
25,21.39,21.5,21.05,21.06,384557,2008-05-29 05:00:00
26,21.1,21.5,21.05,21.5,784275,2008-05-30 05:00:00
27,22.37,22.37,21.2,21.6,414823,2008-06-02 05:00:00
28,21.86,21.9,21.29,21.32,445962,2008-06-03 05:00:00
29,21.1,21.64,21.07,21.57,850244,2008-06-04 05:00:00
30,21.49,21.89,21.49,21.8,567360,2008-06-05 05:00:00
31,21.75,22.25,21.75,22.1,1588847,2008-06-06 05:00:00
32,22.3,22.39,22.1,22.33,377662,2008-06-09 05:00:00
33,22.11,22.25,21.84,21.85,593999,2008-06-10 05:00:00
34,21.72,22.43,21.2,21.71,692288,2008-06-11 05:00:00
35,22.11,22.11,21.47,21.85,394327,2008-06-12 05:00:00
36,22.14,22.4,21.71,22.39,460440,2008-06-13 05:00:00
37,22.47,23.0,22.24,22.75,782930,2008-06-16 05:00:00
38,22.75,23.51,22.3,23.18,1194301,2008-06-17 05:00:00
39,23.0,23.19,22.41,23.04,723269,2008-06-18 05:00:00
