,open,high,low,close,volume,datetime
0,25.0,25.0001,24.0,24.0,1998,2021-11-30 06:00:00
1,23.76,23.76,20.0,23.0,7870,2021-12-02 06:00:00
2,22.0,23.3999,21.8,23.365,3112,2021-12-03 06:00:00
3,23.37,23.42,22.05,22.25,3736,2021-12-06 06:00:00
4,22.9,23.0,22.2,22.2,3243,2021-12-07 06:00:00
5,22.35,22.35,22.35,22.35,1416,2021-12-08 06:00:00
6,22.15,23.9,22.1,23.9,3013,2021-12-09 06:00:00
7,24.7499,24.75,24.74,24.749,2016,2021-12-10 06:00:00
8,24.74,24.74,24.74,24.74,669,2021-12-13 06:00:00
9,24.75,24.75,23.7,24.3175,10427,2021-12-14 06:00:00
10,24.29,24.29,24.29,24.29,163,2021-12-15 06:00:00
11,23.28,23.28,23.28,23.28,149,2021-12-16 06:00:00
12,24.25,24.3,24.22,24.3,9720,2021-12-20 06:00:00
13,23.26,24.2385,23.26,24.2,8714,2021-12-21 06:00:00
14,23.5,23.5,22.4,22.45,10628,2021-12-23 06:00:00
15,23.1,23.1,22.5,22.5,2091,2021-12-27 06:00:00
16,22.5,24.3,22.5,24.3,2240,2021-12-28 06:00:00
17,24.0,24.0075,23.95,23.975,512,2021-12-29 06:00:00
18,22.41,24.3,22.36,24.3,2172,2021-12-30 06:00:00
19,22.55,24.0,22.55,22.7702,3154,2021-12-31 06:00:00
20,23.0,24.25,22.72,23.21,6492,2022-01-03 06:00:00
21,22.94,23.005,22.55,22.99,4830,2022-01-04 06:00:00
22,22.93,22.98,22.93,22.955,926,2022-01-05 06:00:00
23,22.4757,23.0,22.4757,23.0,2861,2022-01-06 06:00:00
24,22.36,23.0,22.25,22.25,1974,2022-01-07 06:00:00
25,22.25,22.25,22.25,22.25,1163,2022-01-10 06:00:00
26,22.3,22.5,22.2,22.2001,6539,2022-01-11 06:00:00
27,22.06,22.25,22.05,22.05,2678,2022-01-12 06:00:00
28,22.6,22.6,22.03,22.15,1005,2022-01-13 06:00:00
29,22.06,22.5,22.0,22.5,1374,2022-01-14 06:00:00
30,22.0,22.505,21.5,21.55,6387,2022-01-18 06:00:00
31,21.5,22.47,21.5,22.47,2875,2022-01-19 06:00:00
32,21.52,22.025,21.45,21.45,8291,2022-01-20 06:00:00
33,21.52,21.52,20.775,20.775,7911,2022-01-21 06:00:00
34,21.4,21.4,21.4,21.4,580,2022-01-24 06:00:00
35,20.55,20.75,20.4,20.575,6669,2022-01-25 06:00:00
36,21.0,23.0,21.0,21.45,6614,2022-01-26 06:00:00
37,21.0,21.865,21.0,21.5,11429,2022-01-27 06:00:00
38,21.1,21.87,21.1,21.87,873,2022-01-28 06:00:00
39,21.97,21.97,21.4,21.4,1437,2022-01-31 06:00:00
40,21.75,21.75,21.17,21.5,1886,2022-02-01 06:00:00
41,21.925,21.925,21.5,21.5,779,2022-02-02 06:00:00
42,21.49,21.5,21.46,21.5,9558,2022-02-04 06:00:00
43,21.5,21.74,21.5,21.74,6138,2022-02-07 06:00:00
44,21.745,21.95,21.525,21.75,28474,2022-02-08 06:00:00
45,21.89,21.89,21.75,21.87,8587,2022-02-09 06:00:00
46,21.75,22.545,21.75,21.9,14475,2022-02-10 06:00:00
47,21.35,21.925,21.35,21.75,3256,2022-02-11 06:00:00
48,21.75,21.96,21.75,21.75,6144,2022-02-14 06:00:00
49,21.87,21.985,21.75,21.98,3524,2022-02-15 06:00:00
50,21.7501,21.99,21.7501,21.99,940,2022-02-16 06:00:00
51,22.75,23.375,22.149,22.307,8655,2022-02-17 06:00:00
52,22.4,22.7,22.25,22.5,8229,2022-02-18 06:00:00
53,22.12,23.0,22.12,22.4975,21404,2022-02-22 06:00:00
54,22.99,23.0,22.5,22.95,11052,2022-02-23 06:00:00
55,22.75,22.75,21.75,22.2,3320,2022-02-24 06:00:00
56,21.82,22.52,21.82,22.08,6793,2022-02-25 06:00:00
57,22.0,22.0,21.67,21.67,6241,2022-02-28 06:00:00
58,21.99,21.99,21.5,21.5,1612,2022-03-01 06:00:00
59,21.5,21.8,21.25,21.7,12083,2022-03-02 06:00:00
60,21.26,21.625,21.26,21.5,1696,2022-03-03 06:00:00
61,21.5,21.95,21.3,21.94,6268,2022-03-04 06:00:00
62,22.1,25.0,22.0,24.5,43853,2022-03-07 06:00:00
63,24.0,24.65,22.67,23.3,14830,2022-03-08 06:00:00
64,23.6,24.64,23.145,23.42,16045,2022-03-09 06:00:00
65,23.4,23.875,23.0,23.0,17554,2022-03-10 06:00:00
66,23.2,23.95,22.21,22.6,22452,2022-03-11 06:00:00
67,22.75,23.125,21.51,21.96,19226,2022-03-14 05:00:00
68,22.6,22.6,21.15,21.75,39700,2022-03-15 05:00:00
69,22.17,23.0,21.45,22.84,55936,2022-03-16 05:00:00
70,22.55,23.91,21.81,23.69,50317,2022-03-17 05:00:00
