,open,high,low,close,volume,datetime
0,0.12,0.126,0.12,0.126,703400,2016-10-26 05:00:00
1,0.13,0.14,0.13,0.14,1163089,2016-10-27 05:00:00
2,0.136,0.142,0.135,0.142,754126,2016-10-28 05:00:00
3,0.145,0.161,0.1449,0.161,1022850,2016-10-31 05:00:00
4,0.16295,0.1698,0.151,0.1697,946282,2016-11-01 05:00:00
5,0.171,0.172,0.155,0.156,593869,2016-11-02 05:00:00
6,0.16,0.17,0.152,0.16,485747,2016-11-03 05:00:00
7,0.164,0.164,0.1475,0.159,325292,2016-11-04 05:00:00
8,0.146,0.165,0.146,0.16,289938,2016-11-07 06:00:00
9,0.163,0.17,0.155,0.1663,453485,2016-11-08 06:00:00
10,0.167,0.1699,0.15,0.1603,273836,2016-11-09 06:00:00
11,0.1699,0.1699,0.15,0.15,37300,2016-11-10 06:00:00
12,0.15,0.1599,0.141,0.1549,147900,2016-11-11 06:00:00
13,0.155,0.1648,0.15,0.1637,114777,2016-11-14 06:00:00
14,0.155,0.1699,0.155,0.165,174592,2016-11-15 06:00:00
15,0.17,0.1749,0.167,0.17,248998,2016-11-16 06:00:00
16,0.171,0.175,0.166,0.16692,245800,2016-11-17 06:00:00
17,0.168,0.18,0.165,0.175,328465,2016-11-18 06:00:00
18,0.175,0.1999,0.175,0.187,594420,2016-11-21 06:00:00
19,0.193,0.207,0.19,0.2,453381,2016-11-22 06:00:00
20,0.215,0.26,0.20645,0.26,952847,2016-11-23 06:00:00
21,0.265,0.38,0.25,0.3629,2062321,2016-11-25 06:00:00
22,0.372,0.49,0.37,0.484,2058433,2016-11-28 06:00:00
23,0.4845,0.535,0.41,0.435,2422470,2016-11-29 06:00:00
24,0.435,0.44,0.34,0.3705,1096280,2016-11-30 06:00:00
25,0.38,0.38,0.2999,0.2999,374823,2016-12-01 06:00:00
26,0.291,0.37,0.22,0.3418,980768,2016-12-02 06:00:00
27,0.34,0.36,0.315,0.33,223663,2016-12-05 06:00:00
28,0.335,0.345,0.315001,0.32,173050,2016-12-06 06:00:00
29,0.345,0.35,0.34,0.344,219977,2016-12-07 06:00:00
30,0.35,0.35,0.34,0.34,97363,2016-12-08 06:00:00
31,0.35,0.3699,0.315,0.351175,192844,2016-12-09 06:00:00
32,0.365,0.384899,0.34,0.34,298281,2016-12-12 06:00:00
33,0.360351,0.375,0.35,0.36475,46047,2016-12-13 06:00:00
34,0.4,0.43,0.38,0.395,350271,2016-12-14 06:00:00
35,0.415,0.415,0.395,0.41,158598,2016-12-15 06:00:00
36,0.41,0.42,0.401,0.42,119692,2016-12-16 06:00:00
37,0.405,0.43,0.405,0.42,176747,2016-12-19 06:00:00
38,0.426151,0.45,0.4155,0.45,592012,2016-12-20 06:00:00
39,0.465,0.63,0.442,0.5697,811592,2016-12-21 06:00:00
40,0.565,0.6,0.481,0.53,965735,2016-12-22 06:00:00
41,0.53,0.755,0.5285,0.728,1332146,2016-12-23 06:00:00
42,0.8475,0.85,0.67,0.775,1708023,2016-12-27 06:00:00
43,0.7875,0.845,0.78,0.84,776885,2016-12-28 06:00:00
44,0.855,1.28,0.8499,1.03,3100418,2016-12-29 06:00:00
45,1.025,1.15,0.99,1.08,1115342,2016-12-30 06:00:00
46,1.1,1.2,0.96,1.07,1851931,2017-01-03 06:00:00
47,1.1,1.19,1.08,1.18,849923,2017-01-04 06:00:00
48,1.18,1.24,1.1,1.16,773349,2017-01-05 06:00:00
49,1.14,1.14,0.97,0.986,972599,2017-01-06 06:00:00
50,1.0069,1.01,0.76,0.8177,1099362,2017-01-09 06:00:00
51,0.82,0.94,0.79,0.899,473432,2017-01-10 06:00:00
52,0.9,0.985,0.9,0.95,451589,2017-01-11 06:00:00
53,0.99,1.05,0.887,0.97,354656,2017-01-12 06:00:00
54,0.9725,0.99,0.915,0.9175,170478,2017-01-13 06:00:00
55,0.95,1.0,0.9175,0.93,155848,2017-01-17 06:00:00
56,0.946901,0.95,0.9,0.91,107909,2017-01-18 06:00:00
57,0.91,0.9103,0.8,0.82,387871,2017-01-19 06:00:00
58,0.805,0.896,0.72,0.89,293034,2017-01-20 06:00:00
59,0.8725,0.8725,0.74,0.834,108183,2017-01-23 06:00:00
60,0.875,0.88,0.8,0.82,87637,2017-01-24 06:00:00
61,0.83,0.83,0.8,0.8,38825,2017-01-25 06:00:00
62,0.8,0.81,0.75,0.8,98154,2017-01-26 06:00:00
63,0.805,0.84,0.8,0.829,116679,2017-01-27 06:00:00
64,0.84,0.845,0.79,0.7923,336592,2017-01-30 06:00:00
65,0.83,0.83,0.780001,0.7875,89546,2017-01-31 06:00:00
66,0.8,0.8,0.777,0.788999,83381,2017-02-01 06:00:00
67,0.8075,0.8075,0.78,0.78,47088,2017-02-02 06:00:00
68,0.784601,0.8,0.775,0.775,60543,2017-02-03 06:00:00
69,0.79,0.79,0.775,0.785,99875,2017-02-06 06:00:00
70,0.7812,0.799,0.78,0.795,119235,2017-02-07 06:00:00
71,0.7925,0.795,0.78,0.785,116395,2017-02-08 06:00:00
72,0.7875,0.79,0.775,0.78,158168,2017-02-09 06:00:00
73,0.775,0.784999,0.775,0.78,126969,2017-02-10 06:00:00
74,0.777,0.785,0.775,0.78,179338,2017-02-13 06:00:00
75,0.7805,0.7825,0.78,0.78,157266,2017-02-14 06:00:00
76,0.785,0.785,0.769,0.783,97774,2017-02-15 06:00:00
77,0.7825,0.7825,0.76,0.78,514580,2017-02-16 06:00:00
78,0.78,0.78,0.72,0.76,217460,2017-02-17 06:00:00
79,0.74,0.76,0.71,0.7374,263149,2017-02-21 06:00:00
80,0.725,0.725,0.53,0.655,534903,2017-02-22 06:00:00
81,0.6525,0.6525,0.6,0.62,263269,2017-02-23 06:00:00
82,0.61,0.655,0.555,0.58934,1030229,2017-02-24 06:00:00
83,0.6475,0.69,0.605,0.62,99903,2017-02-27 06:00:00
84,0.645,0.6499,0.62,0.6499,74218,2017-02-28 06:00:00
85,0.6449,0.66,0.6038,0.625,199310,2017-03-01 06:00:00
86,0.655,0.655,0.605,0.605,44158,2017-03-02 06:00:00
87,0.63,0.64,0.55,0.61,270621,2017-03-03 06:00:00
88,0.602,0.61,0.5775,0.6,56370,2017-03-06 06:00:00
89,0.6,0.6,0.57,0.594,37757,2017-03-07 06:00:00
90,0.6,0.64,0.595,0.62,55167,2017-03-08 06:00:00
91,0.62,0.62,0.57,0.6,34000,2017-03-09 06:00:00
92,0.6,0.6,0.555,0.56,227114,2017-03-10 06:00:00
93,0.555,0.5551,0.4555,0.48,491998,2017-03-13 05:00:00
94,0.49,0.5,0.4755,0.49,82240,2017-03-14 05:00:00
95,0.53,0.53,0.485001,0.4975,55575,2017-03-15 05:00:00
