,open,high,low,close,volume,datetime
0,50.6,50.6,50.24,50.3,44301,2013-06-04 05:00:00
1,49.91,50.07,49.87,50.36,62433,2013-06-05 05:00:00
2,50.07,50.9,50.03,50.29,106771,2013-06-06 05:00:00
3,49.68,49.8,49.57,50.185,70801,2013-06-07 05:00:00
4,50.23,50.66,50.22,49.826,128791,2013-06-10 05:00:00
5,50.1,50.1,49.8,49.82,50782,2013-06-11 05:00:00
6,50.73,50.76,50.7,50.02,196153,2013-06-12 05:00:00
7,51.12,51.18,51.12,49.85,105318,2013-06-13 05:00:00
8,49.97,50.04,49.95,49.97,99832,2013-06-14 05:00:00
9,50.1,50.1,49.9,50.01,99386,2013-06-17 05:00:00
10,49.98,49.99,49.94,49.93,138333,2013-06-18 05:00:00
11,49.93,49.93,49.79,49.81,86066,2013-06-19 05:00:00
12,49.51,49.52,48.8,49.65,125215,2013-06-20 05:00:00
13,48.51,48.51,48.39,49.55,217883,2013-06-21 05:00:00
14,47.41,48.35,47.38,49.529,312891,2013-06-24 05:00:00
15,49.1,49.11,49.03,49.37,262830,2013-06-25 05:00:00
16,49.4,49.519,49.335,49.345,1222932,2013-06-26 05:00:00
17,49.63,49.63,49.3,49.18,2004412,2013-06-27 05:00:00
18,49.45,49.45,49.3,49.41,2443104,2013-06-28 05:00:00
19,49.53,49.53,49.45,49.46,2230945,2013-07-01 05:00:00
20,49.31,49.51,49.31,49.42,89912,2013-07-02 05:00:00
21,49.62,49.6299,49.4,49.5799,37162,2013-07-03 05:00:00
22,49.42,49.42,49.0671,49.34,139319,2013-07-05 05:00:00
23,49.59,49.59,49.45,49.49,202790,2013-07-08 05:00:00
24,49.63,49.63,49.45,49.5299,62365,2013-07-09 05:00:00
25,49.8,49.8,49.481,49.55,57002,2013-07-10 05:00:00
26,49.7,49.7499,49.52,49.62,88904,2013-07-11 05:00:00
27,49.65,49.7,49.54,49.57,423253,2013-07-12 05:00:00
28,49.68,49.789,49.5,49.55,1037882,2013-07-15 05:00:00
29,49.7,49.7602,49.53,49.655,586121,2013-07-16 05:00:00
30,49.71,49.72,49.64,49.6999,229973,2013-07-17 05:00:00
31,49.72,49.739,49.5,49.68,161470,2013-07-18 05:00:00
32,49.71,49.7196,49.471,49.5026,91063,2013-07-19 05:00:00
33,49.72,49.7399,49.55,49.6481,53958,2013-07-22 05:00:00
34,49.76,49.78,49.51,49.74,88100,2013-07-23 05:00:00
35,49.69,49.69,49.5,49.62,97988,2013-07-24 05:00:00
36,49.71,49.6366,49.3001,49.56,108876,2013-07-25 05:00:00
37,49.76,49.7,49.341,49.7,52982,2013-07-26 05:00:00
38,49.69,49.69,49.5,49.62,635104,2013-07-29 05:00:00
39,49.6,49.6329,49.45,49.6,80148,2013-07-30 05:00:00
40,49.64,49.649,49.3,49.49,76501,2013-07-31 05:00:00
41,49.69,49.69,49.4,49.45,65555,2013-08-01 05:00:00
42,49.59,49.64,49.45,49.64,57054,2013-08-02 05:00:00
43,49.64,49.64,49.5001,49.56,71444,2013-08-05 05:00:00
44,49.6,49.6,49.47,49.54,86077,2013-08-06 05:00:00
45,49.62,49.64,49.45,49.55,65485,2013-08-07 05:00:00
46,49.61,49.61,49.5,49.57,45777,2013-08-08 05:00:00
47,49.37,49.64,49.37,49.63,43078,2013-08-09 05:00:00
48,49.67,49.67,49.53,49.64,47482,2013-08-12 05:00:00
49,49.53,49.599,49.36,49.49,56556,2013-08-13 05:00:00
50,49.49,49.519,49.19,49.45,64226,2013-08-14 05:00:00
51,49.28,49.3799,49.151,49.36,54828,2013-08-15 05:00:00
52,49.31,49.39,49.11,49.34,57371,2013-08-16 05:00:00
53,49.41,49.41,49.061,49.15,94079,2013-08-19 05:00:00
54,49.14,49.4,49.06,49.31,71762,2013-08-20 05:00:00
55,49.31,49.32,49.08,49.1804,63187,2013-08-21 05:00:00
56,49.22,49.329,48.92,49.09,131196,2013-08-22 05:00:00
57,49.15,49.15,48.9201,49.07,118275,2013-08-23 05:00:00
58,49.15,49.15,48.96,49.06,58910,2013-08-26 05:00:00
59,49.05,49.3899,49.05,49.13,38359,2013-08-27 05:00:00
60,49.17,49.339,49.09,49.1,52387,2013-08-28 05:00:00
61,49.11,49.4,49.11,49.2501,75309,2013-08-29 05:00:00
62,49.39,49.4055,49.16,49.33,79656,2013-08-30 05:00:00
63,49.3,49.3,48.98,49.02,152666,2013-09-03 05:00:00
64,49.34,49.34,49.2,49.26,84257,2013-09-04 05:00:00
65,49.12,49.12,48.8301,48.85,35465,2013-09-05 05:00:00
66,49.0,49.18,48.98,49.12,66037,2013-09-06 05:00:00
67,49.18,49.18,48.871,49.07,51808,2013-09-09 05:00:00
68,49.33,49.33,48.511,48.95,540351,2013-09-10 05:00:00
69,49.08,49.1,48.9,49.09,85014,2013-09-11 05:00:00
70,48.93,49.259,48.93,49.16,137400,2013-09-12 05:00:00
71,48.91,49.1799,48.8804,49.15,87306,2013-09-13 05:00:00
72,49.35,49.35,49.0601,49.21,43105,2013-09-16 05:00:00
73,49.29,49.29,49.14,49.23,77505,2013-09-17 05:00:00
74,49.28,49.69,48.95,49.6099,116894,2013-09-18 05:00:00
75,49.69,49.69,49.47,49.55,75486,2013-09-19 05:00:00
76,49.26,49.46,49.03,49.43,101130,2013-09-20 05:00:00
77,49.55,49.63,49.46,49.63,76716,2013-09-23 05:00:00
78,49.67,49.72,49.5,49.67,115470,2013-09-24 05:00:00
79,49.6,49.7,49.5654,49.7,40623,2013-09-25 05:00:00
80,49.7,49.7,49.57,49.65,256659,2013-09-26 05:00:00
81,49.74,49.76,49.5129,49.72,66719,2013-09-27 05:00:00
82,49.67,49.67,49.57,49.65,86736,2013-09-30 05:00:00
83,49.63,49.66,49.5,49.65,91211,2013-10-01 05:00:00
84,49.72,49.809,49.61,49.75,208472,2013-10-02 05:00:00
85,49.59,49.72,49.5807,49.67,112881,2013-10-03 05:00:00
86,49.72,49.72,49.54,49.65,228003,2013-10-04 05:00:00
87,49.83,49.84,49.56,49.74,82148,2013-10-07 05:00:00
88,49.31,49.68,49.3,49.66,53516,2013-10-08 05:00:00
89,49.76,49.76,49.35,49.66,100500,2013-10-09 05:00:00
90,49.7,49.7,49.55,49.66,40594,2013-10-10 05:00:00
91,49.61,49.68,49.43,49.47,52566,2013-10-11 05:00:00
92,49.76,49.76,49.5,49.575,54225,2013-10-14 05:00:00
93,49.72,49.72,49.5,49.5,64405,2013-10-15 05:00:00
94,49.73,49.73,49.3602,49.71,90349,2013-10-16 05:00:00
95,49.85,49.85,49.551,49.7,53873,2013-10-17 05:00:00
96,49.78,49.78,49.6,49.77,93264,2013-10-18 05:00:00
97,49.82,49.82,49.6001,49.73,64184,2013-10-21 05:00:00
98,49.89,49.925,49.69,49.91,54476,2013-10-22 05:00:00
99,49.93,49.9699,49.76,49.93,68465,2013-10-23 05:00:00
100,49.91,50.0,49.85,49.97,107623,2013-10-24 05:00:00
101,50.0,50.0,49.9101,49.99,43379,2013-10-25 05:00:00
102,50.04,50.04,49.9,49.97,49170,2013-10-28 05:00:00
103,50.02,50.04,49.91,50.04,89796,2013-10-29 05:00:00
104,50.11,50.168,49.96,50.08,69311,2013-10-30 05:00:00
105,50.17,50.17,49.9,50.09,454261,2013-10-31 05:00:00
106,50.08,50.09,50.0,50.08,99868,2013-11-01 05:00:00
107,50.02,50.08,50.0001,50.05,71121,2013-11-04 06:00:00
108,49.93,49.98,49.881,49.9499,120330,2013-11-05 06:00:00
109,49.92,49.99,49.8001,49.9,68099,2013-11-06 06:00:00
110,49.99,50.06,49.9,49.96,85381,2013-11-07 06:00:00
