,open,high,low,close,volume,datetime
0,1.945,1.95,1.885,1.95,12600,2002-06-10 05:00:00
1,1.965,1.975,1.965,1.975,4000,2002-06-11 05:00:00
2,1.975,1.995,1.91,1.91,9000,2002-06-12 05:00:00
3,1.875,1.875,1.875,1.875,1800,2002-06-13 05:00:00
4,1.675,1.99,1.515,1.945,10000,2002-06-14 05:00:00
5,1.8,1.92,1.74,1.74,3600,2002-06-17 05:00:00
6,1.79,1.815,1.785,1.8,5000,2002-06-18 05:00:00
7,1.775,1.8,1.57,1.7,29800,2002-06-19 05:00:00
8,1.58,1.825,1.58,1.76,8400,2002-06-20 05:00:00
9,1.765,1.875,1.76,1.76,2000,2002-06-21 05:00:00
10,1.76,1.8,1.7,1.7,12400,2002-06-24 05:00:00
11,1.7,1.7,1.7,1.7,4600,2002-06-25 05:00:00
12,1.655,1.66,1.635,1.635,4400,2002-06-26 05:00:00
13,1.65,1.83,1.65,1.8,8600,2002-06-27 05:00:00
14,1.65,1.7,1.585,1.7,16200,2002-06-28 05:00:00
15,1.675,1.675,1.605,1.605,5600,2002-07-01 05:00:00
16,1.77,1.77,1.57,1.57,7000,2002-07-02 05:00:00
17,1.555,1.57,1.555,1.57,400,2002-07-03 05:00:00
18,1.58,1.58,1.58,1.58,200,2002-07-08 05:00:00
19,1.585,1.65,1.58,1.65,4200,2002-07-09 05:00:00
20,1.575,1.575,1.57,1.57,4400,2002-07-11 05:00:00
21,1.57,1.595,1.52,1.595,6400,2002-07-12 05:00:00
22,1.375,1.375,1.25,1.325,14600,2002-07-15 05:00:00
23,1.465,1.465,1.465,1.465,1600,2002-07-16 05:00:00
24,1.465,1.5,1.465,1.5,7200,2002-07-17 05:00:00
25,1.5,1.5,1.5,1.5,800,2002-07-18 05:00:00
26,1.455,1.455,1.455,1.455,200,2002-07-19 05:00:00
27,1.46,1.46,1.46,1.46,1400,2002-07-22 05:00:00
28,1.57,1.575,1.46,1.46,11200,2002-07-23 05:00:00
29,1.455,1.455,1.455,1.455,1000,2002-07-24 05:00:00
30,1.33,1.375,1.33,1.375,8000,2002-07-25 05:00:00
31,1.335,1.335,1.245,1.25,9600,2002-07-26 05:00:00
32,1.29,1.29,1.0,1.235,42600,2002-07-29 05:00:00
33,1.105,1.24,1.105,1.24,14000,2002-07-30 05:00:00
34,1.24,1.38,1.24,1.325,17800,2002-07-31 05:00:00
35,1.445,1.445,1.3,1.3,10200,2002-08-01 05:00:00
36,1.275,1.275,1.275,1.275,1400,2002-08-05 05:00:00
37,1.275,1.3,1.275,1.275,11600,2002-08-06 05:00:00
38,1.325,1.42,1.325,1.375,2400,2002-08-07 05:00:00
39,1.4,1.4,1.4,1.4,3800,2002-08-08 05:00:00
40,1.4,1.4,1.4,1.4,600,2002-08-12 05:00:00
41,1.4,1.4,1.4,1.4,1000,2002-08-13 05:00:00
42,1.395,1.395,1.14,1.2,73800,2002-08-14 05:00:00
43,1.155,1.2,1.125,1.13,34000,2002-08-15 05:00:00
44,1.09,1.24,1.05,1.075,43200,2002-08-16 05:00:00
45,1.095,1.1,1.075,1.075,3800,2002-08-19 05:00:00
46,1.08,1.125,1.08,1.125,1400,2002-08-20 05:00:00
47,1.195,1.195,1.175,1.175,12800,2002-08-21 05:00:00
48,1.175,1.24,1.15,1.15,5800,2002-08-22 05:00:00
49,1.15,1.215,1.125,1.215,4000,2002-08-23 05:00:00
50,1.215,1.215,1.1,1.1,4800,2002-08-26 05:00:00
51,1.18,1.18,1.125,1.125,18000,2002-08-27 05:00:00
52,1.15,1.15,1.15,1.15,14600,2002-08-28 05:00:00
53,1.165,1.165,1.165,1.165,400,2002-08-30 05:00:00
54,1.125,1.125,1.125,1.125,6200,2002-09-04 05:00:00
55,1.125,1.125,1.125,1.125,1000,2002-09-06 05:00:00
56,1.14,1.14,1.14,1.14,400,2002-09-09 05:00:00
57,1.075,1.125,1.075,1.125,600,2002-09-10 05:00:00
58,1.125,1.125,1.125,1.125,1000,2002-09-12 05:00:00
59,1.175,1.24,1.175,1.235,7600,2002-09-13 05:00:00
60,1.25,1.35,1.25,1.26,8000,2002-09-16 05:00:00
61,1.275,1.275,1.26,1.26,1200,2002-09-17 05:00:00
62,1.175,1.375,1.175,1.375,4000,2002-09-18 05:00:00
63,1.39,1.39,1.105,1.25,31600,2002-09-19 05:00:00
64,1.205,1.205,1.2,1.2,1800,2002-09-20 05:00:00
