,open,high,low,close,volume,datetime
0,11.13282,11.29284,11.1191,11.2014,258530,2002-06-10 05:00:00
1,11.0871,11.35685,11.0871,11.29741,261811,2002-06-11 05:00:00
2,11.26998,11.34313,11.15568,11.32027,207349,2002-06-12 05:00:00
3,11.30198,11.65403,11.30198,11.40714,439195,2002-06-13 05:00:00
4,11.462,11.68146,11.29284,11.5123,439633,2002-06-14 05:00:00
5,11.53516,11.75918,11.50772,11.64488,402012,2002-06-17 05:00:00
6,11.56716,11.60374,11.32942,11.38428,411636,2002-06-18 05:00:00
7,11.33399,11.44372,11.26998,11.35228,533246,2002-06-19 05:00:00
8,11.37514,11.38428,11.26084,11.3157,305118,2002-06-20 05:00:00
9,11.37971,11.45286,11.33399,11.42543,456912,2002-06-21 05:00:00
10,11.41171,11.7729,11.41171,11.70432,297025,2002-06-24 05:00:00
11,11.70432,11.81862,11.6586,11.78662,445538,2002-06-25 05:00:00
12,11.69518,11.81862,11.52144,11.75461,568679,2002-06-26 05:00:00
13,11.75918,11.97864,11.7409,11.96492,346457,2002-06-27 05:00:00
14,11.93292,12.02893,11.53973,11.56716,608705,2002-06-28 05:00:00
15,11.59002,11.80948,11.59002,11.74547,205599,2002-07-01 05:00:00
16,11.76833,11.76833,11.32484,11.34313,462380,2002-07-02 05:00:00
17,11.53973,11.5443,11.14654,11.15568,273622,2002-07-03 05:00:00
18,11.21969,11.36142,11.15568,11.3157,173228,2002-07-05 05:00:00
19,11.26541,11.47572,11.20597,11.35685,725941,2002-07-08 05:00:00
20,11.398,11.53058,11.38885,11.52144,1002625,2002-07-09 05:00:00
21,11.45,11.5,11.0,11.06,13501900,2002-07-10 05:00:00
22,11.09,11.45,10.95,11.44,7506000,2002-07-11 05:00:00
23,11.4,11.5,11.25,11.37,2510500,2002-07-12 05:00:00
24,11.3,11.43,11.23,11.37,1942700,2002-07-15 05:00:00
25,11.35,11.45,11.25,11.4,2107100,2002-07-16 05:00:00
26,11.3,11.44,11.29,11.4,1587500,2002-07-17 05:00:00
27,11.41,11.53,11.4,11.43,1495900,2002-07-18 05:00:00
28,11.38,11.42,11.22,11.26,1251300,2002-07-19 05:00:00
29,11.4,11.4,11.0,11.29,952800,2002-07-22 05:00:00
30,11.25,11.3,11.0,11.09,879200,2002-07-23 05:00:00
31,11.0,11.07,10.76,11.05,1028900,2002-07-24 05:00:00
32,11.04,11.2,11.0,11.0,483900,2002-07-25 05:00:00
33,11.0,11.15,11.0,11.14,480700,2002-07-26 05:00:00
34,11.19,11.29,11.1,11.28,741700,2002-07-29 05:00:00
35,11.28,11.37,11.17,11.3,392200,2002-07-30 05:00:00
36,11.3,11.44,11.2,11.2,397000,2002-07-31 05:00:00
37,11.21,11.36,11.2,11.28,294700,2002-08-01 05:00:00
38,11.25,11.3,11.18,11.25,437200,2002-08-02 05:00:00
39,11.26,11.3,11.0,11.2,243700,2002-08-05 05:00:00
40,11.21,11.34,11.1,11.33,716200,2002-08-06 05:00:00
41,11.3,11.4,11.25,11.29,299700,2002-08-07 05:00:00
42,11.3,11.4,11.28,11.39,520800,2002-08-08 05:00:00
43,11.4,11.62,11.39,11.55,1042700,2002-08-09 05:00:00
44,11.56,12.07,11.54,12.05,1454700,2002-08-12 05:00:00
45,12.05,12.34,11.95,12.1,1026000,2002-08-13 05:00:00
46,12.06,12.59,12.04,12.5,628600,2002-08-14 05:00:00
47,12.58,12.8,12.54,12.54,890100,2002-08-15 05:00:00
48,12.54,12.7,12.5,12.62,453700,2002-08-16 05:00:00
49,12.59,12.8,12.48,12.65,556200,2002-08-19 05:00:00
50,12.61,12.7,12.38,12.7,508200,2002-08-20 05:00:00
51,12.7,12.7,12.55,12.6,358200,2002-08-21 05:00:00
52,12.6,12.7,12.5,12.69,448800,2002-08-22 05:00:00
53,12.68,12.69,12.35,12.36,209300,2002-08-23 05:00:00
54,12.5,12.65,12.35,12.65,167100,2002-08-26 05:00:00
55,12.43,12.59,12.3,12.44,301600,2002-08-27 05:00:00
56,12.45,12.53,12.15,12.4,231400,2002-08-28 05:00:00
57,12.22,12.55,12.16,12.55,487800,2002-08-29 05:00:00
58,12.53,12.69,12.5,12.51,383900,2002-08-30 05:00:00
59,12.51,12.65,12.12,12.44,370800,2002-09-03 05:00:00
60,12.5,12.7,12.4,12.5,294600,2002-09-04 05:00:00
61,12.48,12.65,12.42,12.55,235500,2002-09-05 05:00:00
62,12.59,12.7,12.44,12.44,253200,2002-09-06 05:00:00
63,12.6,12.66,12.25,12.54,195700,2002-09-09 05:00:00
64,12.5,12.54,11.99,12.43,242900,2002-09-10 05:00:00
65,12.4,12.54,12.34,12.37,180200,2002-09-11 05:00:00
66,12.45,12.45,12.07,12.18,250800,2002-09-12 05:00:00
67,12.25,12.25,12.0,12.2,572000,2002-09-13 05:00:00
68,12.19,12.33,12.11,12.19,215700,2002-09-16 05:00:00
69,12.3,12.41,12.0,12.1,144000,2002-09-17 05:00:00
