,open,high,low,close,volume,datetime
0,24.8289,24.8289,24.8289,24.8289,400,2018-10-10 05:00:00
1,25.0099,25.01,24.98,25.01,405,2018-10-16 05:00:00
2,24.8999,24.8999,24.8999,24.8999,101,2018-10-19 05:00:00
3,24.91,24.91,24.9,24.91,1652,2018-10-22 05:00:00
4,24.9072,24.9072,24.9072,24.9072,116,2018-10-29 05:00:00
5,24.8363,24.8363,24.8363,24.8363,1000,2018-11-01 05:00:00
6,24.8621,24.93,24.8621,24.93,488,2018-11-02 05:00:00
7,24.93,24.93,24.93,24.93,806,2018-11-05 06:00:00
8,24.9078,24.94,24.9011,24.94,4226,2018-11-07 06:00:00
9,24.92,24.92,24.92,24.92,286,2018-11-08 06:00:00
10,24.9399,24.9399,24.8401,24.8401,1238,2018-11-13 06:00:00
11,25.02,25.04,25.02,25.02,879,2018-11-14 06:00:00
12,24.91,24.93,24.91,24.91,802,2018-11-19 06:00:00
13,24.8,24.8,24.7821,24.7821,343,2018-11-21 06:00:00
14,24.7584,24.7584,24.7584,24.7584,327,2018-11-27 06:00:00
15,24.78,24.89,24.7538,24.89,1229,2018-11-28 06:00:00
16,24.83,24.84,24.8257,24.84,1611,2018-11-30 06:00:00
17,24.88,24.88,24.87,24.88,857,2018-12-03 06:00:00
18,24.9,24.9,24.82,24.89,873,2018-12-06 06:00:00
19,24.8879,24.92,24.8879,24.9199,1115,2018-12-07 06:00:00
20,24.9071,24.925,24.9071,24.925,482,2018-12-10 06:00:00
21,24.885,24.885,24.885,24.885,1,2018-12-11 06:00:00
22,24.91,24.91,24.91,24.91,30,2018-12-12 06:00:00
23,24.97,24.98,24.925,24.925,1482,2018-12-13 06:00:00
24,24.97,25.08,24.935,24.935,732,2018-12-14 06:00:00
25,24.99,24.99,24.933,24.955,600,2018-12-17 06:00:00
26,25.14,25.14,24.99,24.99,2181,2018-12-18 06:00:00
27,25.05,25.05,24.98,24.98,1671,2018-12-19 06:00:00
28,25.025,25.025,25.025,25.025,0,2018-12-20 06:00:00
29,24.99,24.99,24.99,24.99,0,2018-12-21 06:00:00
30,24.85,24.85,24.85,24.85,501,2018-12-24 06:00:00
31,24.92,24.92,24.825,24.825,1101,2018-12-26 06:00:00
32,24.9239,24.98,24.9237,24.9356,1064,2018-12-27 06:00:00
33,24.95,24.95,24.925,24.925,981,2018-12-28 06:00:00
34,24.98,24.98,24.92,24.92,229,2018-12-31 06:00:00
35,24.98,24.99,24.9497,24.9628,10187,2019-01-02 06:00:00
36,25.04,25.04,24.95,24.995,1426,2019-01-03 06:00:00
37,25.05,25.07,25.03,25.03,2908,2019-01-04 06:00:00
38,24.9924,25.02,24.9924,25.02,699,2019-01-07 06:00:00
39,25.06,25.06,25.01,25.01,738,2019-01-08 06:00:00
40,25.17,25.19,25.095,25.095,200,2019-01-09 06:00:00
41,25.0553,25.0553,25.0553,25.0553,98,2019-01-10 06:00:00
42,25.0643,25.12,25.0643,25.075,2365,2019-01-11 06:00:00
43,25.0984,25.1,25.065,25.065,525,2019-01-14 06:00:00
44,25.09,25.09,25.09,25.09,0,2019-01-15 06:00:00
45,25.17,25.17,25.13,25.13,2571,2019-01-16 06:00:00
46,25.1541,25.16,25.1541,25.16,400,2019-01-17 06:00:00
47,25.21,25.21,25.16,25.16,3009,2019-01-18 06:00:00
48,25.13,25.13,25.075,25.075,8527,2019-01-22 06:00:00
49,25.0801,25.16,25.0801,25.11,9252,2019-01-23 06:00:00
50,25.16,25.2,25.1393,25.16,2709,2019-01-24 06:00:00
51,25.2,25.2,25.1341,25.155,2157,2019-01-25 06:00:00
52,25.1299,25.18,25.1299,25.16,589,2019-01-28 06:00:00
53,25.1993,25.2,25.15,25.15,1836,2019-01-29 06:00:00
54,25.1968,25.1968,25.185,25.185,400,2019-01-30 06:00:00
55,25.3,25.3,25.275,25.275,1564,2019-01-31 06:00:00
56,25.27,25.27,25.226,25.23,1023,2019-02-01 06:00:00
57,25.235,25.235,25.235,25.235,1,2019-02-04 06:00:00
58,25.34,25.34,25.29,25.29,872,2019-02-05 06:00:00
59,25.2517,25.28,25.2517,25.28,416,2019-02-06 06:00:00
60,25.32,25.32,25.285,25.285,200,2019-02-07 06:00:00
61,25.2929,25.2929,25.285,25.285,400,2019-02-08 06:00:00
62,25.31,25.32,25.2343,25.27,8660,2019-02-11 06:00:00
63,25.3073,25.329,25.3073,25.325,1355,2019-02-12 06:00:00
64,25.32,25.34,25.3194,25.3194,2188,2019-02-13 06:00:00
65,25.315,25.315,25.315,25.315,400,2019-02-14 06:00:00
66,25.32,25.36,25.32,25.33,3481,2019-02-15 06:00:00
67,25.29,25.29,25.2691,25.2691,11177,2019-02-19 06:00:00
68,25.31,25.32,25.27,25.27,12224,2019-02-20 06:00:00
69,25.265,25.265,25.265,25.265,83,2019-02-21 06:00:00
70,25.2561,25.28,25.2561,25.28,729,2019-02-22 06:00:00
71,25.305,25.305,25.305,25.305,62,2019-02-25 06:00:00
72,25.315,25.315,25.2937,25.315,507,2019-02-26 06:00:00
73,25.3699,25.3699,25.3341,25.3496,8606,2019-02-27 06:00:00
74,25.36,25.37,25.349,25.35,2111,2019-02-28 06:00:00
75,25.37,25.37,25.316,25.316,881,2019-03-01 06:00:00
76,25.37,25.37,25.29,25.3665,1460,2019-03-04 06:00:00
77,25.36,25.39,25.27,25.3311,4099,2019-03-05 06:00:00
78,25.39,25.39,25.34,25.34,2585,2019-03-06 06:00:00
79,25.345,25.345,25.345,25.345,0,2019-03-07 06:00:00
80,25.37,25.37,25.37,25.37,62,2019-03-08 06:00:00
81,25.39,25.4003,25.36,25.36,1866,2019-03-11 05:00:00
82,25.35,25.45,25.34,25.395,6893,2019-03-12 05:00:00
83,25.44,25.44,25.3401,25.39,3247,2019-03-13 05:00:00
84,25.3821,25.41,25.3821,25.41,1811,2019-03-14 05:00:00
85,25.4157,25.43,25.4157,25.43,598,2019-03-15 05:00:00
86,25.385,25.385,25.35,25.35,695,2019-03-18 05:00:00
87,25.41,25.41,25.38,25.38,571,2019-03-19 05:00:00
88,25.43,25.43,25.43,25.43,86,2019-03-20 05:00:00
89,25.46,25.46,25.45,25.45,427,2019-03-21 05:00:00
90,25.47,25.47,25.4489,25.4489,1285,2019-03-22 05:00:00
91,25.43,25.465,25.43,25.465,1943,2019-03-25 05:00:00
92,25.465,25.465,25.465,25.465,88,2019-03-26 05:00:00
93,25.385,25.385,25.385,25.385,133,2019-03-27 05:00:00
94,25.4081,25.4081,25.39,25.39,301,2019-03-28 05:00:00
95,25.41,25.41,25.41,25.41,1,2019-03-29 05:00:00
96,25.436,25.436,25.42,25.42,384,2019-04-01 05:00:00
97,25.46,25.47,25.45,25.45,417,2019-04-02 05:00:00
98,25.48,25.48,25.475,25.475,533,2019-04-03 05:00:00
99,25.5,25.5,25.48,25.48,9192,2019-04-04 05:00:00
100,25.51,25.5145,25.41,25.465,5858,2019-04-05 05:00:00
101,25.49,25.49,25.49,25.49,0,2019-04-08 05:00:00
102,25.5105,25.52,25.505,25.505,2590,2019-04-09 05:00:00
103,25.5079,25.54,25.485,25.485,7779,2019-04-10 05:00:00
104,25.45,25.45,25.45,25.45,208,2019-04-11 05:00:00
105,25.48,25.48,25.4212,25.445,670,2019-04-12 05:00:00
106,25.48,25.48,25.47,25.47,775,2019-04-15 05:00:00
107,25.49,25.51,25.475,25.48,7791,2019-04-16 05:00:00
108,25.49,25.49,25.49,25.49,0,2019-04-17 05:00:00
