,open,high,low,close,volume,datetime
0,20.1,20.1,20.07,20.07,3100,2013-07-17 05:00:00
1,20.06,20.06,20.06,20.06,5000,2013-07-18 05:00:00
2,20.12,20.12,20.12,20.12,2493,2013-07-23 05:00:00
3,20.11,20.11,20.11,20.11,500,2013-07-24 05:00:00
4,20.0,20.0,20.0,20.0,400,2013-07-25 05:00:00
5,20.0099,20.01,19.99,20.0099,5000,2013-07-29 05:00:00
6,20.0,20.0,20.0,20.0,1400,2013-07-30 05:00:00
7,19.87,19.9,19.87,19.9,300,2013-07-31 05:00:00
8,19.89,19.89,19.872,19.872,1975,2013-08-01 05:00:00
9,19.98,19.98,19.98,19.98,1000,2013-08-02 05:00:00
10,20.09,20.09,20.01,20.01,700,2013-08-05 05:00:00
11,20.0,20.0,19.9699,19.9699,2536,2013-08-06 05:00:00
12,20.01,20.02,20.01,20.02,2000,2013-08-07 05:00:00
13,19.9899,19.9899,19.9899,19.9899,298,2013-08-08 05:00:00
14,20.0,20.068,19.94,19.94,20592,2013-08-09 05:00:00
15,19.98,19.98,19.95,19.95,1100,2013-08-12 05:00:00
16,19.88,19.88,19.88,19.88,200,2013-08-13 05:00:00
17,19.66,19.86,19.62,19.62,10585,2013-08-15 05:00:00
18,19.6,19.6,19.529,19.529,1100,2013-08-16 05:00:00
19,19.5099,19.51,19.5099,19.51,2836,2013-08-19 05:00:00
20,19.5844,19.5844,19.51,19.51,3600,2013-08-20 05:00:00
21,19.49,19.49,19.472,19.472,1500,2013-08-21 05:00:00
22,19.45,19.45,19.45,19.45,100,2013-08-22 05:00:00
23,19.6091,19.6091,19.6091,19.6091,760,2013-08-26 05:00:00
24,19.65,19.6899,19.6313,19.65,8711,2013-08-28 05:00:00
25,19.72,19.73,19.7024,19.7105,2588,2013-08-29 05:00:00
26,19.7099,19.71,19.6828,19.6845,3224,2013-08-30 05:00:00
27,19.57,19.57,19.454,19.49,4750,2013-09-03 05:00:00
28,19.4,19.52,19.4,19.42,9509,2013-09-04 05:00:00
29,19.3322,19.38,19.25,19.25,3788,2013-09-05 05:00:00
30,19.3765,19.3765,19.27,19.27,3200,2013-09-06 05:00:00
31,19.3667,19.3667,19.3667,19.3667,713,2013-09-09 05:00:00
32,19.32,19.3299,19.316,19.316,1441,2013-09-10 05:00:00
33,19.38,19.38,19.25,19.32,20167,2013-09-11 05:00:00
34,19.3985,19.4629,19.39,19.395,9118,2013-09-12 05:00:00
35,19.4,19.5299,19.3749,19.3749,5090,2013-09-13 05:00:00
36,20.22,20.22,19.4192,19.426,14006,2013-09-16 05:00:00
37,19.48,19.48,19.42,19.46,13511,2013-09-17 05:00:00
38,19.4599,19.75,19.4145,19.75,7597,2013-09-18 05:00:00
39,19.6703,19.69,19.655,19.68,3448,2013-09-19 05:00:00
40,19.67,19.76,19.6424,19.697,3276,2013-09-20 05:00:00
41,19.6805,19.6805,19.6805,19.6805,100,2013-09-23 05:00:00
42,19.75,19.75,19.75,19.75,700,2013-09-24 05:00:00
43,19.8,19.8,19.7902,19.8,3684,2013-09-26 05:00:00
44,19.8199,19.82,19.8102,19.8103,5294,2013-09-27 05:00:00
45,19.8231,19.86,19.7,19.73,43644,2013-09-30 05:00:00
46,19.66,19.68,19.56,19.61,40536,2013-10-01 05:00:00
47,19.7515,19.7515,19.7483,19.7483,326,2013-10-02 05:00:00
48,19.75,19.81,19.75,19.81,200,2013-10-03 05:00:00
49,19.7222,19.74,19.6973,19.7102,9883,2013-10-04 05:00:00
50,19.7999,19.7999,19.71,19.7238,7391,2013-10-07 05:00:00
51,19.74,19.74,19.73,19.73,3361,2013-10-08 05:00:00
52,19.7599,19.7599,19.73,19.73,1678,2013-10-09 05:00:00
53,19.63,19.67,19.62,19.67,6782,2013-10-10 05:00:00
54,19.7599,19.76,19.74,19.74,6394,2013-10-14 05:00:00
55,19.73,19.73,19.718,19.72,5505,2013-10-15 05:00:00
56,19.69,19.77,19.6899,19.75,10300,2013-10-16 05:00:00
57,19.82,19.88,19.82,19.88,45942,2013-10-17 05:00:00
58,19.89,19.895,19.85,19.85,7311,2013-10-18 05:00:00
59,19.88,19.88,19.88,19.88,200,2013-10-21 05:00:00
60,19.99,20.0,19.99,20.0,10000,2013-10-22 05:00:00
61,20.05,20.09,20.05,20.0585,1645,2013-10-23 05:00:00
62,20.07,20.07,20.01,20.0264,12112,2013-10-24 05:00:00
63,20.04,20.05,20.04,20.05,2364,2013-10-25 05:00:00
64,20.03,20.0699,20.03,20.06,4383,2013-10-28 05:00:00
65,20.01,20.07,20.0026,20.07,2319,2013-10-29 05:00:00
66,20.08,20.08,20.0,20.04,4400,2013-10-30 05:00:00
67,20.04,20.049,20.0,20.0,3157,2013-10-31 05:00:00
68,19.9,19.9,19.8799,19.89,2330,2013-11-01 05:00:00
69,19.91,19.94,19.9,19.9,4604,2013-11-04 06:00:00
70,19.83,19.83,19.8,19.83,10732,2013-11-05 06:00:00
71,19.81,19.89,19.81,19.83,497,2013-11-06 06:00:00
72,19.93,19.94,19.9105,19.9105,1752,2013-11-07 06:00:00
73,19.73,19.74,19.65,19.65,2025,2013-11-08 06:00:00
74,19.72,19.73,19.68,19.68,5295,2013-11-11 06:00:00
75,19.6995,19.6995,19.67,19.67,855,2013-11-12 06:00:00
76,19.7,19.8,19.7,19.7,5396,2013-11-13 06:00:00
77,19.73,19.834,19.73,19.8,3082,2013-11-14 06:00:00
78,19.87,19.87,19.79,19.87,5069,2013-11-15 06:00:00
79,19.88,19.92,19.8527,19.92,5816,2013-11-18 06:00:00
80,19.87,19.87,19.83,19.8665,4420,2013-11-19 06:00:00
81,19.87,19.87,19.75,19.75,2945,2013-11-20 06:00:00
82,19.74,19.79,19.73,19.789,2605,2013-11-21 06:00:00
83,19.83,19.83,19.83,19.83,100,2013-11-22 06:00:00
84,19.91,19.92,19.902,19.902,954,2013-11-25 06:00:00
85,19.92,19.99,19.9042,19.9863,1794,2013-11-26 06:00:00
86,19.98,19.98,19.93,19.94,3928,2013-11-27 06:00:00
87,19.92,19.92,19.92,19.92,1935,2013-11-29 06:00:00
88,19.85,19.94,19.82,19.93,169074,2013-12-02 06:00:00
89,19.95,19.95,19.85,19.85,2631,2013-12-03 06:00:00
90,19.87,19.9399,19.8443,19.9399,3670,2013-12-04 06:00:00
91,19.87,19.9,19.82,19.8805,8658,2013-12-05 06:00:00
92,19.9,19.9,19.89,19.9,5502,2013-12-06 06:00:00
93,19.85,19.92,19.84,19.92,2582,2013-12-09 06:00:00
94,20.02,20.02,19.91,19.9846,5781,2013-12-10 06:00:00
95,19.94,20.03,19.91,19.91,14153,2013-12-11 06:00:00
96,19.924,19.924,19.924,19.924,151,2013-12-12 06:00:00
97,19.9,19.96,19.9,19.942,2417,2013-12-13 06:00:00
98,19.95,19.9699,19.95,19.969,1229,2013-12-16 06:00:00
99,19.9399,19.9399,19.932,19.932,1165,2013-12-17 06:00:00
100,19.98,20.0,19.96,19.96,8440,2013-12-18 06:00:00
101,19.98,20.089,19.92,20.089,20533,2013-12-19 06:00:00
102,19.97,20.1,19.97,20.068,5608,2013-12-20 06:00:00
103,20.109,20.109,20.05,20.1089,847,2013-12-23 06:00:00
104,20.0,20.0,19.99,19.99,1375,2013-12-24 06:00:00
105,20.04,20.04,19.93,19.93,7599,2013-12-26 06:00:00
106,19.95,19.9724,19.95,19.9724,1171,2013-12-27 06:00:00
107,20.0,20.07,19.97,20.07,3007,2013-12-30 06:00:00
108,20.05,20.05,19.9,19.9,9071,2013-12-31 06:00:00
109,19.89,19.97,19.89,19.97,6408,2014-01-02 06:00:00
110,19.9014,19.948,19.9014,19.948,3315,2014-01-03 06:00:00
111,20.01,20.01,19.96,19.98,3920,2014-01-06 06:00:00
112,20.02,20.0599,19.9997,20.01,18103,2014-01-07 06:00:00
113,20.01,20.01,19.8808,19.95,90709,2014-01-08 06:00:00
114,20.01,20.01,19.912,19.95,3727,2014-01-09 06:00:00
115,20.12,20.16,20.1,20.14,48937,2014-01-10 06:00:00
116,20.159,20.176,20.159,20.1598,4766,2014-01-13 06:00:00
117,20.15,20.15,20.1,20.1,8569,2014-01-14 06:00:00
118,20.1,20.11,20.05,20.11,5682,2014-01-15 06:00:00
119,20.0859,20.12,20.0859,20.088,2613,2014-01-16 06:00:00
120,20.0905,20.14,20.0905,20.14,22208,2014-01-17 06:00:00
121,20.16,20.18,20.16,20.17,5135,2014-01-21 06:00:00
122,20.12,20.15,20.12,20.12,4573,2014-01-22 06:00:00
123,20.16,20.22,20.11,20.215,18569,2014-01-23 06:00:00
124,20.23,20.23,20.1704,20.23,38778,2014-01-24 06:00:00
125,20.2,20.22,20.11,20.17,7359,2014-01-27 06:00:00
126,20.164,20.19,20.1164,20.19,8828,2014-01-28 06:00:00
127,20.2399,20.28,20.1983,20.28,10951,2014-01-29 06:00:00
128,20.17,20.3099,20.17,20.2542,29063,2014-01-30 06:00:00
129,20.31,20.348,20.27,20.3,11674,2014-01-31 06:00:00
130,20.3228,20.37,20.27,20.27,6875,2014-02-03 06:00:00
131,20.33,20.349,20.28,20.349,5787,2014-02-04 06:00:00
132,20.2568,20.339,20.2415,20.26,2911,2014-02-05 06:00:00
133,20.24,20.25,20.2155,20.25,5869,2014-02-06 06:00:00
134,20.3,20.32,20.2867,20.32,3113,2014-02-07 06:00:00
135,20.33,20.34,20.287,20.298,2726,2014-02-10 06:00:00
136,20.3,20.348,20.25,20.28,6577,2014-02-11 06:00:00
137,20.26,20.26,20.2275,20.2466,7316,2014-02-12 06:00:00
138,20.29,20.3,20.275,20.275,3339,2014-02-13 06:00:00
139,20.27,20.3,20.27,20.3,9764,2014-02-14 06:00:00
140,20.35,20.45,20.3,20.349,12720,2014-02-18 06:00:00
141,20.4,20.46,20.3,20.3488,14295,2014-02-19 06:00:00
142,20.3,20.3702,20.22,20.35,7041,2014-02-20 06:00:00
143,20.34,20.36,20.26,20.354,14999,2014-02-21 06:00:00
144,20.42,20.42,20.3371,20.351,11449,2014-02-24 06:00:00
145,20.4,20.43,20.34,20.385,21463,2014-02-25 06:00:00
146,20.51,20.518,20.38,20.4675,5031,2014-02-26 06:00:00
147,20.56,20.57,20.51,20.52,13533,2014-02-27 06:00:00
148,20.478,20.52,20.4731,20.52,6041,2014-02-28 06:00:00
149,20.55,20.59,20.4684,20.565,67459,2014-03-03 06:00:00
150,20.46,20.5,20.42,20.4525,63049,2014-03-04 06:00:00
151,20.42,20.48,20.3723,20.4363,217542,2014-03-05 06:00:00
152,20.358,20.38,20.3386,20.3745,10071,2014-03-06 06:00:00
153,20.28,20.31,20.27,20.3,10065,2014-03-07 06:00:00
154,20.29,20.29,20.2412,20.28,16809,2014-03-10 05:00:00
155,20.28,20.31,20.24,20.31,12192,2014-03-11 05:00:00
156,20.33,20.34,20.2943,20.31,2757,2014-03-12 05:00:00
157,20.3163,20.42,20.3163,20.4011,6185,2014-03-13 05:00:00
158,20.44,20.448,20.42,20.42,6600,2014-03-14 05:00:00
159,20.38,20.41,20.311,20.4,5519,2014-03-17 05:00:00
160,20.36,20.41,20.355,20.41,7263,2014-03-18 05:00:00
161,20.41,20.41,20.2475,20.29,10311,2014-03-19 05:00:00
162,20.28,20.31,20.24,20.29,6754,2014-03-20 05:00:00
163,20.31,20.346,20.2701,20.3313,7190,2014-03-21 05:00:00
164,20.35,20.37,20.336,20.366,7654,2014-03-24 05:00:00
165,20.38,20.39,20.301,20.389,8391,2014-03-25 05:00:00
166,20.41,20.44,20.395,20.42,4289,2014-03-26 05:00:00
167,20.4375,20.4632,20.3801,20.4511,3440,2014-03-27 05:00:00
168,20.42,20.47,20.4,20.4645,9803,2014-03-28 05:00:00
169,20.37,20.44,20.37,20.429,24192,2014-03-31 05:00:00
170,20.38,20.39,20.32,20.386,12520,2014-04-01 05:00:00
171,20.32,20.34,20.32,20.338,4628,2014-04-02 05:00:00
172,20.34,20.37,20.314,20.346,4871,2014-04-03 05:00:00
173,20.39,20.45,20.378,20.4234,4429,2014-04-04 05:00:00
174,20.49,20.51,20.4785,20.506,18079,2014-04-07 05:00:00
175,20.5192,20.52,20.4835,20.494,7868,2014-04-08 05:00:00
176,20.52,20.55,20.459,20.54,19023,2014-04-09 05:00:00
177,20.5308,20.63,20.5308,20.62,8960,2014-04-10 05:00:00
178,20.62,20.64,20.57,20.6001,10305,2014-04-11 05:00:00
179,20.619,20.62,20.55,20.62,12305,2014-04-14 05:00:00
180,20.61,20.66,20.5301,20.634,6027,2014-04-15 05:00:00
181,20.55,20.62,20.5408,20.62,9012,2014-04-16 05:00:00
182,20.61,20.61,20.45,20.5,44566,2014-04-17 05:00:00
183,20.54,20.559,20.482,20.482,8831,2014-04-21 05:00:00
184,20.51,20.52,20.4722,20.52,7659,2014-04-22 05:00:00
185,20.541,20.558,20.51,20.55,6817,2014-04-23 05:00:00
186,20.56,20.58,20.528,20.568,11058,2014-04-24 05:00:00
187,20.6199,20.62,20.568,20.6,9104,2014-04-25 05:00:00
188,20.6,20.61,20.53,20.57,9030,2014-04-28 05:00:00
189,20.55,20.576,20.53,20.53,6644,2014-04-29 05:00:00
190,20.578,20.6393,20.578,20.63,4860,2014-04-30 05:00:00
191,20.648,20.67,20.588,20.66,9675,2014-05-01 05:00:00
192,20.6,20.68,20.57,20.669,5143,2014-05-02 05:00:00
193,20.67,20.68,20.629,20.6704,8102,2014-05-05 05:00:00
194,20.67,20.678,20.62,20.66,7888,2014-05-06 05:00:00
195,20.67,20.69,20.6536,20.67,4889,2014-05-07 05:00:00
196,20.68,20.72,20.64,20.6614,22692,2014-05-08 05:00:00
197,20.69,20.706,20.6301,20.66,4835,2014-05-09 05:00:00
198,20.66,20.66,20.63,20.65,8146,2014-05-12 05:00:00
199,20.69,20.7,20.6506,20.69,13039,2014-05-13 05:00:00
200,20.77,20.7799,20.73,20.7531,47377,2014-05-14 05:00:00
201,20.8,20.83,20.7903,20.7903,2429,2014-05-15 05:00:00
202,20.79,20.827,20.787,20.81,24152,2014-05-16 05:00:00
203,20.818,20.83,20.7781,20.78,8222,2014-05-19 05:00:00
204,20.75,20.82,20.75,20.82,7050,2014-05-20 05:00:00
205,20.76,20.78,20.73,20.78,16594,2014-05-21 05:00:00
206,20.75,20.7699,20.75,20.75,10809,2014-05-22 05:00:00
207,20.78,20.79,20.7735,20.78,7572,2014-05-23 05:00:00
208,20.8,20.82,20.785,20.82,10773,2014-05-27 05:00:00
209,20.88,20.91,20.8796,20.91,5171,2014-05-28 05:00:00
210,20.93,20.96,20.89,20.918,10110,2014-05-29 05:00:00
211,20.86,20.91,20.85,20.89,91837,2014-05-30 05:00:00
212,20.76,20.79,20.72,20.734,99640,2014-06-02 05:00:00
213,20.69,20.72,20.65,20.6666,62511,2014-06-03 05:00:00
214,20.67,20.67,20.6001,20.66,3419,2014-06-04 05:00:00
215,20.68,20.69,20.63,20.66,17006,2014-06-05 05:00:00
216,20.71,20.71,20.65,20.7,4838,2014-06-06 05:00:00
217,20.66,20.68,20.641,20.67,7260,2014-06-09 05:00:00
218,20.601,20.66,20.601,20.66,23014,2014-06-10 05:00:00
219,20.66,20.68,20.641,20.67,10126,2014-06-11 05:00:00
220,20.63,20.75,20.63,20.75,20053,2014-06-12 05:00:00
221,20.68,20.72,20.62,20.7,28217,2014-06-13 05:00:00
222,20.68,20.72,20.68,20.72,5869,2014-06-16 05:00:00
223,20.66,20.67,20.63,20.6404,13530,2014-06-17 05:00:00
224,20.66,20.73,20.65,20.7041,8625,2014-06-18 05:00:00
225,20.77,20.78,20.66,20.73,17917,2014-06-19 05:00:00
226,20.68,20.76,20.68,20.76,24596,2014-06-20 05:00:00
227,20.76,20.76,20.752,20.76,5255,2014-06-23 05:00:00
228,20.79,20.81,20.75,20.7988,8526,2014-06-24 05:00:00
229,20.86,20.86,20.801,20.86,11637,2014-06-25 05:00:00
230,20.87,20.89,20.8501,20.88,9534,2014-06-26 05:00:00
231,20.89,20.9,20.862,20.88,7949,2014-06-27 05:00:00
232,20.86,20.92,20.84,20.87,20199,2014-06-30 05:00:00
233,20.83,20.85,20.76,20.82,39092,2014-07-01 05:00:00
234,20.77,20.77,20.7,20.75,10403,2014-07-02 05:00:00
235,20.69,20.7,20.6,20.7,7218,2014-07-03 05:00:00
236,20.73,20.75,20.67,20.73,26586,2014-07-07 05:00:00
237,20.78,20.81,20.78,20.8,17804,2014-07-08 05:00:00
238,20.81,20.85,20.78,20.83,11030,2014-07-09 05:00:00
239,20.8669,20.8669,20.7826,20.8,3764,2014-07-10 05:00:00
240,20.86,20.88,20.823,20.86,6257,2014-07-11 05:00:00
241,20.83,20.84,20.74,20.7401,6811,2014-07-14 05:00:00
242,20.859,20.859,20.72,20.7641,6532,2014-07-15 05:00:00
243,20.81,20.85,20.81,20.84,10256,2014-07-16 05:00:00
244,20.91,20.92,20.85,20.87,13388,2014-07-17 05:00:00
245,20.853,20.92,20.853,20.92,2471,2014-07-18 05:00:00
246,20.93,20.949,20.89,20.89,8577,2014-07-21 05:00:00
247,20.8999,20.947,20.8764,20.92,286565,2014-07-22 05:00:00
248,20.91,20.92,20.8836,20.9,6822,2014-07-23 05:00:00
249,20.79,20.84,20.79,20.82,19506,2014-07-24 05:00:00
250,20.91,20.94,20.8501,20.91,12249,2014-07-25 05:00:00
251,20.91,20.92,20.87,20.9,95662,2014-07-28 05:00:00
252,20.94,20.95,20.87,20.896,35808,2014-07-29 05:00:00
253,20.86,20.86,20.7345,20.7345,62041,2014-07-30 05:00:00
254,20.75,20.84,20.71,20.7798,39357,2014-07-31 05:00:00
255,20.74,20.81,20.7199,20.8,27812,2014-08-01 05:00:00
256,20.81,20.818,20.7601,20.81,14977,2014-08-04 05:00:00
257,20.79,20.7999,20.73,20.77,8101,2014-08-05 05:00:00
258,20.8,20.82,20.76,20.8,9733,2014-08-06 05:00:00
259,20.82,20.8799,20.8,20.8671,13143,2014-08-07 05:00:00
260,20.91,20.92,20.82,20.86,26259,2014-08-08 05:00:00
261,20.82,20.88,20.82,20.83,17664,2014-08-11 05:00:00
262,20.88,20.88,20.81,20.85,18307,2014-08-12 05:00:00
263,20.86,20.9,20.84,20.89,13204,2014-08-13 05:00:00
264,20.92,20.94,20.867,20.91,16520,2014-08-14 05:00:00
265,20.92,21.04,20.92,20.99,5158,2014-08-15 05:00:00
266,20.97,20.975,20.92,20.92,11967,2014-08-18 05:00:00
267,20.98,20.98,20.905,20.9206,14066,2014-08-19 05:00:00
268,20.93,20.94,20.892,20.8993,9883,2014-08-20 05:00:00
269,20.94,20.94,20.9001,20.9101,2952,2014-08-21 05:00:00
270,20.96,20.96,20.92,20.92,7269,2014-08-22 05:00:00
271,20.98,20.99,20.9437,20.99,3355,2014-08-25 05:00:00
272,21.02,21.04,20.951,20.9628,19663,2014-08-26 05:00:00
273,21.05,21.05,21.0171,21.04,3470,2014-08-27 05:00:00
274,21.09,21.09,21.04,21.07,14693,2014-08-28 05:00:00
275,21.08,21.0899,21.05,21.06,11280,2014-08-29 05:00:00
276,20.97,20.97,20.93,20.94,7077,2014-09-02 05:00:00
277,20.91,20.94,20.888,20.9114,15452,2014-09-03 05:00:00
278,20.91,20.91,20.8536,20.87,10774,2014-09-04 05:00:00
279,20.91,20.92,20.8428,20.86,14554,2014-09-05 05:00:00
280,20.88,20.88,20.81,20.819,5805,2014-09-08 05:00:00
281,20.79,20.79,20.76,20.7614,6134,2014-09-09 05:00:00
282,20.72,20.73,20.7,20.717,21593,2014-09-10 05:00:00
283,20.75,20.75,20.69,20.7027,19902,2014-09-11 05:00:00
284,20.67,20.686,20.64,20.64,6093,2014-09-12 05:00:00
285,20.6414,20.649,20.63,20.649,1461,2014-09-15 05:00:00
286,20.68,20.69,20.64,20.645,10051,2014-09-16 05:00:00
287,20.69,20.69,20.6,20.6,7517,2014-09-17 05:00:00
288,20.6,20.61,20.57,20.57,17808,2014-09-18 05:00:00
289,20.63,20.68,20.59,20.6124,14875,2014-09-19 05:00:00
290,20.64,20.68,20.6301,20.68,7096,2014-09-22 05:00:00
291,20.65,20.68,20.62,20.67,11570,2014-09-23 05:00:00
292,20.69,20.69,20.61,20.64,15153,2014-09-24 05:00:00
293,20.66,20.69,20.63,20.69,5088,2014-09-25 05:00:00
294,20.62,20.63,20.6,20.63,7645,2014-09-26 05:00:00
295,20.67,20.67,20.6334,20.67,5651,2014-09-29 05:00:00
296,20.66,20.69,20.6597,20.67,15669,2014-09-30 05:00:00
297,20.65,20.74,20.65,20.73,15546,2014-10-01 05:00:00
298,20.71,20.7292,20.65,20.69,6891,2014-10-02 05:00:00
299,20.6501,20.712,20.64,20.712,7085,2014-10-03 05:00:00
300,20.71,20.74,20.646,20.726,8483,2014-10-06 05:00:00
301,20.76,20.8316,20.71,20.8,11207,2014-10-07 05:00:00
302,20.801,20.86,20.75,20.85,21912,2014-10-08 05:00:00
303,20.811,20.87,20.79,20.82,9046,2014-10-09 05:00:00
304,20.8,20.84,20.79,20.83,8660,2014-10-10 05:00:00
305,20.8265,20.91,20.81,20.906,25747,2014-10-13 05:00:00
306,20.95,20.95,20.87,20.877,17748,2014-10-14 05:00:00
307,21.12,21.35,20.94,20.958,32267,2014-10-15 05:00:00
308,21.07,21.07,20.9401,20.95,6573,2014-10-16 05:00:00
309,20.93,20.965,20.9,20.96,27379,2014-10-17 05:00:00
310,20.98,20.98,20.8701,20.95,11182,2014-10-20 05:00:00
311,20.96,20.99,20.93,20.99,10476,2014-10-21 05:00:00
312,20.94,20.95,20.89,20.8928,6740,2014-10-22 05:00:00
313,20.8656,20.9,20.82,20.89,6317,2014-10-23 05:00:00
314,20.92,20.93,20.83,20.9,10422,2014-10-24 05:00:00
315,20.9,20.93,20.88,20.91,5673,2014-10-27 05:00:00
316,20.8995,20.91,20.87,20.898,27735,2014-10-28 05:00:00
317,20.87,20.87,20.79,20.81,7865,2014-10-29 05:00:00
318,20.8599,20.88,20.83,20.83,7556,2014-10-30 05:00:00
319,20.8,20.82,20.79,20.79,18594,2014-10-31 05:00:00
320,20.74,20.74,20.69,20.74,8686,2014-11-03 06:00:00
321,20.6901,20.76,20.6901,20.73,5685,2014-11-04 06:00:00
322,20.69,20.738,20.67,20.73,7345,2014-11-05 06:00:00
323,20.71,20.72,20.6301,20.6301,11924,2014-11-06 06:00:00
324,20.7082,20.78,20.7082,20.78,4247,2014-11-07 06:00:00
325,20.755,20.77,20.684,20.72,19979,2014-11-10 06:00:00
326,20.6501,20.7199,20.64,20.69,11365,2014-11-11 06:00:00
327,20.727,20.76,20.6675,20.6802,5200,2014-11-12 06:00:00
328,20.726,20.73,20.66,20.72,14972,2014-11-13 06:00:00
329,20.72,20.76,20.653,20.7221,7590,2014-11-14 06:00:00
330,20.78,20.78,20.6501,20.69,19619,2014-11-17 06:00:00
331,20.7,20.72,20.65,20.698,13251,2014-11-18 06:00:00
332,20.65,20.6999,20.62,20.66,16989,2014-11-19 06:00:00
333,20.7,20.7,20.6424,20.6867,13148,2014-11-20 06:00:00
334,20.73,20.7474,20.7,20.7,12179,2014-11-21 06:00:00
335,20.73,20.78,20.72,20.72,4662,2014-11-24 06:00:00
336,20.73,20.83,20.73,20.83,57074,2014-11-25 06:00:00
337,20.89,20.9,20.864,20.88,23383,2014-11-26 06:00:00
338,20.88,20.95,20.86,20.89,13420,2014-11-28 06:00:00
339,20.899,20.9,20.79,20.79,64371,2014-12-01 06:00:00
340,20.73,20.78,20.65,20.757,38604,2014-12-02 06:00:00
341,20.73,20.74,20.7,20.73,22648,2014-12-03 06:00:00
342,20.74,20.77,20.708,20.77,14365,2014-12-04 06:00:00
343,20.7,20.7,20.65,20.662,15481,2014-12-05 06:00:00
344,20.707,20.75,20.692,20.74,21873,2014-12-08 06:00:00
345,20.82,20.83,20.768,20.8,28197,2014-12-09 06:00:00
346,20.76,20.81,20.74,20.7983,38924,2014-12-10 06:00:00
347,20.8,20.8,20.68,20.77,23712,2014-12-11 06:00:00
348,20.81,20.8525,20.77,20.83,53958,2014-12-12 06:00:00
349,20.819,20.82,20.76,20.764,17276,2014-12-15 06:00:00
350,20.87,20.87,20.776,20.8001,8161,2014-12-16 06:00:00
351,20.81,20.85,20.6972,20.78,46518,2014-12-17 06:00:00
352,20.72,20.73,20.6701,20.7114,29488,2014-12-18 06:00:00
