,open,high,low,close,volume,datetime
0,13.5,15.129,13.25,14.4,3320879,2017-12-15 06:00:00
1,14.55,15.0,14.41,14.6,550910,2017-12-18 06:00:00
2,14.73,14.98,14.0,14.9,465817,2017-12-19 06:00:00
3,14.87,14.9855,14.7691,14.79,121603,2017-12-20 06:00:00
4,14.94,15.91,14.71,15.7,329691,2017-12-21 06:00:00
5,15.62,15.8699,15.1,15.11,137410,2017-12-22 06:00:00
6,15.17,15.9299,14.781,15.74,155414,2017-12-26 06:00:00
7,15.72,16.38,15.72,15.85,227607,2017-12-27 06:00:00
8,15.82,16.0,15.551,15.74,54895,2017-12-28 06:00:00
9,15.78,17.779,15.5999,17.76,221820,2017-12-29 06:00:00
10,17.96,19.55,17.8118,18.55,407548,2018-01-02 06:00:00
11,18.63,18.889,18.06,18.2,151754,2018-01-03 06:00:00
12,18.1,18.63,17.1,17.7,169753,2018-01-04 06:00:00
13,17.82,19.47,17.5885,18.8,394472,2018-01-05 06:00:00
14,19.29,19.43,18.51,19.12,208583,2018-01-08 06:00:00
15,18.99,18.99,18.06,18.48,228191,2018-01-09 06:00:00
16,18.48,19.12,18.311,19.04,169451,2018-01-10 06:00:00
17,19.14,20.0,18.8763,19.68,439693,2018-01-11 06:00:00
18,19.78,20.51,19.5,20.51,724314,2018-01-12 06:00:00
19,21.03,21.29,20.26,20.42,397249,2018-01-16 06:00:00
20,20.44,20.51,19.716,19.96,212935,2018-01-17 06:00:00
21,19.98,20.389,18.02,18.43,459354,2018-01-18 06:00:00
22,18.63,19.0,18.131,18.53,236440,2018-01-19 06:00:00
23,18.59,18.9102,17.61,18.17,399265,2018-01-22 06:00:00
24,18.2,19.49,18.05,19.23,193672,2018-01-23 06:00:00
25,19.23,19.77,18.31,18.75,214537,2018-01-24 06:00:00
26,18.72,19.02,18.51,18.87,84534,2018-01-25 06:00:00
27,19.01,19.01,17.5,17.5,490334,2018-01-26 06:00:00
28,17.52,18.455,17.41,18.21,155654,2018-01-29 06:00:00
29,18.12,18.4111,17.81,17.86,103636,2018-01-30 06:00:00
