,open,high,low,close,volume,datetime
0,45.41,46.66,44.69,45.5,927800,2002-06-10 05:00:00
1,45.64,46.32,41.75,41.9,1358300,2002-06-11 05:00:00
2,42.19,43.35,41.07,43.2,1563900,2002-06-12 05:00:00
3,42.55,43.64,41.1,41.45,1111600,2002-06-13 05:00:00
4,40.04,44.27,38.21,43.44,2392400,2002-06-14 05:00:00
5,44.0,45.99,43.75,45.49,1077600,2002-06-17 05:00:00
6,44.94,46.42,44.93,45.49,1052600,2002-06-18 05:00:00
7,44.94,44.94,41.32,41.83,1831400,2002-06-19 05:00:00
8,41.79,42.75,40.34,40.52,1731100,2002-06-20 05:00:00
9,40.56,41.65,39.66,40.61,1438000,2002-06-21 05:00:00
10,40.28,42.99,39.75,41.83,1243900,2002-06-24 05:00:00
11,41.96,42.94,38.02,38.41,1575000,2002-06-25 05:00:00
12,36.82,40.75,36.76,40.54,1932600,2002-06-26 05:00:00
13,41.62,43.14,41.09,42.59,2243000,2002-06-27 05:00:00
14,42.55,44.31,42.5,43.16,1510000,2002-06-28 05:00:00
15,43.0,43.35,41.09,41.17,959200,2002-07-01 05:00:00
16,41.05,41.06,38.77,39.28,1429400,2002-07-02 05:00:00
17,38.99,40.51,38.53,40.1,1040200,2002-07-03 05:00:00
18,40.39,42.25,40.33,42.1,677500,2002-07-05 05:00:00
19,40.62,42.25,39.53,40.0,1456800,2002-07-08 05:00:00
20,39.85,39.86,37.79,37.8,1373700,2002-07-09 05:00:00
21,38.05,38.68,36.9,37.51,1278900,2002-07-10 05:00:00
22,37.2,38.75,35.85,38.2,2202000,2002-07-11 05:00:00
23,38.62,39.29,35.75,36.76,1794200,2002-07-12 05:00:00
24,36.75,40.7,35.48,40.3,1748900,2002-07-15 05:00:00
25,40.18,42.15,39.18,39.58,1350800,2002-07-16 05:00:00
26,40.91,42.8,38.6,39.72,1080600,2002-07-17 05:00:00
27,39.62,40.0,37.86,37.92,532400,2002-07-18 05:00:00
28,37.75,39.99,37.01,38.1,873900,2002-07-19 05:00:00
29,37.83,39.0,35.81,36.35,1367200,2002-07-22 05:00:00
30,35.64,36.95,34.76,34.85,864200,2002-07-23 05:00:00
31,34.64,35.32,31.81,34.75,2602300,2002-07-24 05:00:00
32,38.9,39.79,33.24,37.9,7009300,2002-07-25 05:00:00
33,38.51,40.5,38.16,38.76,2681100,2002-07-26 05:00:00
34,39.27,42.65,39.26,41.74,1352800,2002-07-29 05:00:00
35,41.96,43.59,41.05,43.35,1446100,2002-07-30 05:00:00
36,42.93,43.24,40.86,42.34,1278500,2002-07-31 05:00:00
37,42.41,42.47,39.32,39.77,1088800,2002-08-01 05:00:00
38,39.8,39.8,37.67,38.21,752600,2002-08-02 05:00:00
39,37.71,38.0,36.6,37.0,899400,2002-08-05 05:00:00
40,37.9,40.15,37.77,39.24,1221000,2002-08-06 05:00:00
41,39.9,41.14,38.5,40.07,1172700,2002-08-07 05:00:00
42,40.25,42.08,38.57,41.69,844500,2002-08-08 05:00:00
43,40.75,42.47,40.19,41.35,610100,2002-08-09 05:00:00
