,open,high,low,close,volume,datetime
0,4.75075,4.75075,4.75,4.75,10000,2015-12-29 06:00:00
1,4.748,4.8,4.73,4.735,8200,2016-01-22 06:00:00
2,4.75,4.8,4.71,4.72,5800,2016-02-26 06:00:00
3,4.735,4.735,4.735,4.735,200,2016-03-01 06:00:00
4,4.795,4.79975,4.775,4.775,1200,2016-04-14 05:00:00
5,4.795,4.82005,4.775,4.775,1800,2016-05-09 05:00:00
6,4.85,4.85,4.85,4.85,50000,2016-05-17 05:00:00
7,4.85,4.865,4.83005,4.83005,1400,2016-05-19 05:00:00
8,4.85,4.85,4.85,4.85,40824,2016-05-24 05:00:00
9,4.85,4.85,4.85,4.85,600,2016-05-26 05:00:00
10,4.84995,4.86,4.82,4.82,2000,2016-05-27 05:00:00
11,4.84995,4.84995,4.84995,4.84995,5600,2016-06-01 05:00:00
12,4.85,4.85,4.85,4.85,4000,2016-06-06 05:00:00
13,4.85,4.86,4.85,4.86,2600,2016-06-07 05:00:00
14,4.86,4.86,4.86,4.86,2000,2016-06-08 05:00:00
15,4.875,4.875,4.875,4.875,200,2016-06-09 05:00:00
16,4.875,4.875,4.875,4.875,200,2016-06-10 05:00:00
17,4.89,4.89,4.89,4.89,200,2016-06-13 05:00:00
18,4.875,4.875,4.875,4.875,2000,2016-06-29 05:00:00
19,4.89,4.89,4.89,4.89,2000,2016-07-08 05:00:00
20,4.895,4.895,4.895,4.895,40000,2016-07-19 05:00:00
21,4.89495,4.9,4.89495,4.89995,17570,2016-07-25 05:00:00
22,4.9,4.9,4.9,4.9,3400,2016-07-29 05:00:00
23,4.9,4.9,4.9,4.9,3830,2016-08-01 05:00:00
24,4.9,4.9,4.89995,4.89995,4600,2016-08-03 05:00:00
25,4.9,4.9,4.8848,4.9,14000,2016-08-10 05:00:00
26,4.9,4.9,4.9,4.9,2200,2016-08-11 05:00:00
27,4.91,4.91,4.85,4.85,10800,2016-08-15 05:00:00
28,4.91,4.91,4.91,4.91,3400,2016-08-16 05:00:00
29,4.91,4.93,4.91,4.93,3400,2016-08-19 05:00:00
30,4.91,5.0,4.91,5.0,10400,2016-08-22 05:00:00
31,4.95,4.95,4.95,4.95,600,2016-08-26 05:00:00
32,4.95,4.95,4.95,4.95,600,2016-09-01 05:00:00
33,4.945,4.945,4.945,4.945,600,2016-09-02 05:00:00
34,4.945,4.99995,4.945,4.99995,4600,2016-10-04 05:00:00
35,4.95,4.95,4.95,4.95,200,2016-10-11 05:00:00
36,4.935,4.935,4.935,4.935,100000,2016-11-02 05:00:00
37,4.92505,4.92505,4.925,4.925,2850,2016-12-19 06:00:00
38,4.93,4.93005,4.93,4.93005,2000,2016-12-21 06:00:00
39,4.925,4.925,4.925,4.925,5204,2016-12-22 06:00:00
40,4.949,5.025,4.8951,4.925,18964,2017-01-06 06:00:00
41,4.965,4.965,4.95,4.96,3894,2017-01-13 06:00:00
42,4.98,4.98,4.98,4.98,600,2017-03-06 06:00:00
43,4.97495,4.975,4.97495,4.975,6000,2017-03-08 06:00:00
44,4.995,5.0,4.975,4.975,103522,2017-03-15 05:00:00
45,5.0,5.025,5.0,5.025,4000,2017-03-20 05:00:00
46,4.985,4.985,4.98,4.98,2000,2017-03-24 05:00:00
47,5.005,5.005,5.0,5.0,600,2017-04-11 05:00:00
48,5.0,5.0,4.99,4.99,600,2017-04-17 05:00:00
49,4.99,4.99,4.99,4.99,400,2017-05-09 05:00:00
50,4.99,4.99,4.99,4.99,600,2017-05-31 05:00:00
51,4.99,4.99,4.99,4.99,600,2017-06-01 05:00:00
52,4.9865,4.9865,4.9854,4.9854,1600,2017-06-09 05:00:00
53,4.99,4.99005,4.99,4.99005,4000,2017-06-26 05:00:00
54,5.1,5.1,5.1,5.1,200,2017-08-31 05:00:00
55,4.985,4.985,4.975,4.975,1000,2017-09-29 05:00:00
56,4.99,4.99,4.99,4.99,200,2017-10-05 05:00:00
57,4.99,4.99,4.97,4.9717,4800,2017-11-09 06:00:00
58,4.9351,4.9351,4.9351,4.9351,1600,2017-11-13 06:00:00
59,4.94995,4.94995,4.94995,4.94995,294,2017-11-28 06:00:00
60,4.95,4.95,4.95,4.95,10000,2017-12-21 06:00:00
61,4.95,4.9535,4.95,4.95,5108,2017-12-22 06:00:00
62,4.96,4.96,4.96,4.96,2000,2017-12-26 06:00:00
63,4.965,4.965,4.965,4.965,2354,2017-12-27 06:00:00
64,4.96,4.98,4.96,4.98,2800,2017-12-29 06:00:00
65,4.975,4.975,4.815,4.815,4002,2018-01-05 06:00:00
66,5.0,5.25,4.8185,4.92495,8386,2018-02-07 06:00:00
67,4.95,4.95,4.9,4.9,10550,2018-02-08 06:00:00
68,4.925,4.9995,4.85,4.92495,15646,2018-02-09 06:00:00
69,4.95,4.95,4.92,4.925,7922,2018-02-13 06:00:00
70,4.925,4.925,4.925,4.925,1834,2018-02-14 06:00:00
71,4.95,4.95,4.925,4.925,3656,2018-02-15 06:00:00
72,4.6,4.925,4.6,4.925,1050,2018-02-16 06:00:00
73,4.95,4.95,4.95,4.95,2988,2018-03-02 06:00:00
74,4.6005,4.6005,4.6005,4.6005,200,2018-03-09 06:00:00
75,4.6035,4.705,4.6,4.6,11354,2018-03-14 05:00:00
76,4.525,4.6875,4.5,4.65005,8240,2018-03-15 05:00:00
77,4.635,4.65,4.635,4.64,1060,2018-03-16 05:00:00
78,4.5,4.5,4.5,4.5,200,2018-03-28 05:00:00
79,4.185,4.185,4.185,4.185,200,2018-04-04 05:00:00
80,4.005,4.005,4.005,4.005,200,2018-05-14 05:00:00
81,3.605,3.605,3.605,3.605,200,2018-05-22 05:00:00
82,4.1,4.1,4.1,4.1,1000,2018-05-30 05:00:00
83,3.93875,4.0,3.8636,3.975,5624,2018-06-11 05:00:00
84,4.3502,4.3502,3.7122,3.735,8200,2018-06-12 05:00:00
85,4.0,4.0,3.6891,3.6891,4410,2018-06-13 05:00:00
86,3.9,4.0,3.655,4.0,2300,2018-06-20 05:00:00
87,4.0097,6.37,4.0097,4.3281,9555,2018-06-21 05:00:00
