,open,high,low,close,volume,datetime
0,9.83,9.98,9.815,9.82,6479728,2021-10-15 05:00:00
1,9.81,9.87,9.81,9.84,260619,2021-10-18 05:00:00
2,9.84,9.86,9.82,9.84,379600,2021-10-19 05:00:00
3,9.83,9.85,9.82,9.84,143349,2021-10-20 05:00:00
4,9.85,9.85,9.825,9.83,216894,2021-10-21 05:00:00
5,9.82,9.85,9.82,9.85,122746,2021-10-22 05:00:00
6,9.84,9.9,9.84,9.9,213599,2021-10-25 05:00:00
7,9.86,9.91,9.85,9.89,140082,2021-10-26 05:00:00
8,9.89,9.9,9.89,9.89,106246,2021-10-27 05:00:00
9,9.87,9.9,9.8525,9.9,93915,2021-10-28 05:00:00
10,9.9,9.91,9.8752,9.91,87917,2021-10-29 05:00:00
11,9.9,9.9,9.8804,9.9,97791,2021-11-01 05:00:00
12,9.9,9.9,9.9,9.9,25924,2021-11-02 05:00:00
13,9.9,9.9,9.89,9.9,91633,2021-11-03 05:00:00
14,9.9,9.9,9.895,9.9,7876,2021-11-04 05:00:00
15,9.9,9.9,9.9,9.9,3282,2021-11-05 05:00:00
16,9.895,9.9,9.89,9.8912,5742,2021-11-08 06:00:00
17,9.9,9.91,9.85,9.91,173580,2021-11-09 06:00:00
18,9.881,9.91,9.881,9.9074,1672,2021-11-10 06:00:00
19,9.9,9.91,9.88,9.9004,23833,2021-11-11 06:00:00
20,9.91,9.91,9.8902,9.8902,400,2021-11-12 06:00:00
21,9.91,9.92,9.9,9.92,94216,2021-11-15 06:00:00
22,9.92,9.92,9.9,9.91,5887,2021-11-16 06:00:00
23,9.92,9.93,9.9,9.9133,46349,2021-11-17 06:00:00
24,9.9,9.9,9.9,9.9,1437,2021-11-18 06:00:00
25,9.8892,9.9,9.85,9.9,8187,2021-11-19 06:00:00
26,9.9,9.9,9.8635,9.9,4557,2021-11-22 06:00:00
27,9.9,9.95,9.8913,9.92,258676,2021-11-23 06:00:00
28,9.94,10.04,9.93,10.0,182609,2021-11-24 06:00:00
29,10.0,10.0,9.9716,9.9716,3891,2021-11-29 06:00:00
30,9.96,9.96,9.9,9.9154,8419,2021-11-30 06:00:00
31,9.92,9.92,9.9,9.92,2870,2021-12-02 06:00:00
32,9.9,10.0,9.9,9.9999,952,2021-12-08 06:00:00
33,9.9135,9.9135,9.9135,9.9135,150,2021-12-09 06:00:00
34,9.94,9.94,9.93,9.93,203,2021-12-10 06:00:00
35,9.92,9.92,9.92,9.92,10901,2021-12-14 06:00:00
36,9.98,10.0,9.98,9.99,40085,2021-12-15 06:00:00
37,9.99,9.99,9.99,9.99,1203,2021-12-22 06:00:00
38,9.94,9.94,9.94,9.94,115,2021-12-23 06:00:00
39,9.92,9.92,9.92,9.92,100,2021-12-27 06:00:00
40,9.86,9.9,9.85,9.85,5036,2021-12-28 06:00:00
41,9.89,9.9,9.85,9.85,6850,2021-12-29 06:00:00
42,9.92,9.9899,9.92,9.96,2908,2021-12-30 06:00:00
43,9.88,9.88,9.88,9.88,1000,2021-12-31 06:00:00
44,9.8306,9.8306,9.8097,9.8097,1000,2022-01-04 06:00:00
45,9.905,9.905,9.905,9.905,4801,2022-01-05 06:00:00
46,9.9899,9.99,9.9399,9.9399,28892,2022-01-10 06:00:00
47,9.95,9.95,9.921,9.93,4124,2022-01-11 06:00:00
48,9.95,9.95,9.9198,9.92,5070,2022-01-12 06:00:00
49,9.95,9.95,9.9199,9.9199,3583,2022-01-13 06:00:00
50,9.92,9.92,9.9,9.9,5777,2022-01-14 06:00:00
51,9.88,9.88,9.87,9.873,2381,2022-01-18 06:00:00
52,9.86,9.97,9.838,9.94,8175,2022-01-19 06:00:00
53,9.86,9.86,9.86,9.86,262,2022-01-21 06:00:00
54,9.87,9.89,9.851,9.89,1304,2022-01-24 06:00:00
55,9.8201,9.8699,9.82,9.8699,1454,2022-01-28 06:00:00
56,9.82,9.84,9.82,9.82,6972,2022-01-31 06:00:00
57,9.77,9.77,9.77,9.77,102,2022-02-01 06:00:00
58,9.7,9.78,9.7,9.78,415,2022-02-02 06:00:00
59,9.77,9.86,9.65,9.86,41302,2022-02-04 06:00:00
60,9.76,9.84,9.76,9.84,1116,2022-02-08 06:00:00
61,9.84,9.84,9.84,9.84,101,2022-02-09 06:00:00
62,9.75,9.75,9.75,9.75,599,2022-02-11 06:00:00
63,9.7801,9.7801,9.7801,9.7801,505,2022-02-15 06:00:00
64,9.94,9.94,9.94,9.94,130,2022-02-16 06:00:00
65,9.68,9.91,9.67,9.91,1549,2022-02-18 06:00:00
66,9.7,9.87,9.7,9.75,3318,2022-02-28 06:00:00
67,9.74,9.74,9.74,9.74,401,2022-03-07 06:00:00
68,9.75,9.75,9.7,9.7183,1903,2022-03-10 06:00:00
69,9.71,9.7363,9.71,9.71,1430,2022-03-11 06:00:00
70,9.7,9.75,9.68,9.7089,5372,2022-03-14 05:00:00
71,9.68,9.82,9.66,9.82,2229,2022-03-15 05:00:00
72,9.67,9.81,9.67,9.81,883,2022-03-16 05:00:00
73,9.735,9.8,9.735,9.8,200,2022-03-17 05:00:00
74,9.66,9.66,9.66,9.66,3295,2022-03-21 05:00:00
75,9.74,9.77,9.68,9.77,3145,2022-03-22 05:00:00
76,9.68,9.82,9.68,9.73,836,2022-03-25 05:00:00
77,9.79,9.79,9.755,9.755,944,2022-03-28 05:00:00
78,9.74,9.8,9.7,9.79,3470,2022-03-29 05:00:00
79,9.8,9.8,9.8,9.8,100,2022-03-30 05:00:00
80,9.71,9.81,9.7,9.74,503,2022-03-31 05:00:00
81,9.77,9.77,9.77,9.77,101,2022-04-01 05:00:00
82,9.8,9.81,9.7566,9.8098,3259,2022-04-05 05:00:00
83,9.81,9.81,9.81,9.81,699,2022-04-06 05:00:00
84,9.81,9.81,9.7628,9.81,7125,2022-04-07 05:00:00
85,9.71,9.8,9.71,9.72,904,2022-04-13 05:00:00
86,9.81,9.81,9.81,9.81,154,2022-04-14 05:00:00
87,9.79,9.8039,9.73,9.78,3477,2022-04-18 05:00:00
88,9.81,9.82,9.81,9.82,3193,2022-04-20 05:00:00
89,9.82,9.83,9.82,9.82,8407,2022-04-22 05:00:00
90,9.82,9.82,9.82,9.82,714,2022-04-27 05:00:00
91,9.83,9.83,9.82,9.8201,638,2022-05-02 05:00:00
92,9.82,9.82,9.82,9.82,5056,2022-05-03 05:00:00
93,9.75,9.75,9.75,9.75,100,2022-05-04 05:00:00
94,9.75,9.76,9.72,9.72,40536,2022-05-05 05:00:00
95,9.78,9.78,9.73,9.73,6200,2022-05-06 05:00:00
96,9.6901,9.6901,9.6901,9.6901,125,2022-05-12 05:00:00
97,9.7,9.7,9.69,9.69,12809,2022-05-13 05:00:00
98,9.695,9.695,9.695,9.695,200,2022-05-20 05:00:00
99,9.6501,9.6501,9.6501,9.6501,560,2022-05-23 05:00:00
100,9.6501,9.6501,9.6501,9.6501,202,2022-05-24 05:00:00
101,9.69,9.69,9.69,9.69,160,2022-06-02 05:00:00
102,9.69,9.74,9.69,9.74,1928,2022-06-09 05:00:00
