,open,high,low,close,volume,datetime
0,42.0,45.0,35.25,35.39,9252635,2013-10-30 05:00:00
1,37.75,37.98,33.33,35.31,1823312,2013-10-31 05:00:00
2,36.15,36.15,33.8,34.1,380554,2013-11-01 05:00:00
3,37.61,37.61,33.8,34.46,294829,2013-11-04 06:00:00
4,34.76,34.84,33.49,33.98,509804,2013-11-05 06:00:00
5,34.25,34.73,33.58,33.62,497126,2013-11-06 06:00:00
6,33.92,35.34,33.75,34.38,457639,2013-11-07 06:00:00
7,35.39,35.39,28.271,29.75,1097783,2013-11-08 06:00:00
8,30.65,30.72,29.16,29.16,495612,2013-11-11 06:00:00
9,30.35,31.38,29.49,30.69,824259,2013-11-12 06:00:00
10,31.18,32.57,29.9,31.92,652364,2013-11-13 06:00:00
11,33.89,35.99,32.52,34.29,1005195,2013-11-14 06:00:00
12,36.2,37.17,34.2,36.58,534779,2013-11-15 06:00:00
13,37.4,37.4,34.82,36.08,159878,2013-11-18 06:00:00
14,36.48,36.69,34.01,35.4,223246,2013-11-19 06:00:00
15,35.24,35.58,33.8,34.29,94312,2013-11-20 06:00:00
16,34.3,34.5,32.94,33.31,391130,2013-11-21 06:00:00
17,33.62,34.215,33.27,34.2,331127,2013-11-22 06:00:00
18,35.56,35.88,34.625,35.41,310954,2013-11-25 06:00:00
19,36.0,36.23,35.42,35.78,137132,2013-11-26 06:00:00
20,36.3,36.38,35.88,35.96,68164,2013-11-27 06:00:00
21,36.0,36.2,34.52,36.1,97281,2013-11-29 06:00:00
22,36.1,36.1,35.0364,35.54,66486,2013-12-02 06:00:00
23,35.95,35.95,34.0,34.59,126743,2013-12-03 06:00:00
24,34.42,35.5716,33.5,35.22,116576,2013-12-04 06:00:00
25,35.0,35.9,33.51,33.95,160583,2013-12-05 06:00:00
26,34.57,35.0,33.12,33.86,88982,2013-12-06 06:00:00
27,34.18,34.6,33.43,33.84,71323,2013-12-09 06:00:00
28,34.26,34.5,33.5,33.76,214314,2013-12-10 06:00:00
29,33.38,34.4,32.52,32.97,119106,2013-12-11 06:00:00
30,33.29,34.0,31.5,31.98,191586,2013-12-12 06:00:00
31,32.01,33.49,31.7001,32.64,92036,2013-12-13 06:00:00
32,32.88,33.7399,32.26,33.02,165494,2013-12-16 06:00:00
33,32.7,33.4,31.8,33.14,66617,2013-12-17 06:00:00
34,33.4,33.92,32.25,32.26,81345,2013-12-18 06:00:00
35,32.15,33.58,32.04,33.16,87953,2013-12-19 06:00:00
36,34.5,34.67,33.27,34.35,181740,2013-12-20 06:00:00
37,34.55,34.75,33.48,33.59,59930,2013-12-23 06:00:00
38,34.26,34.8899,33.7,33.84,53935,2013-12-24 06:00:00
39,34.0,34.8418,34.0,34.07,51600,2013-12-26 06:00:00
40,34.26,34.74,33.62,34.0,33845,2013-12-27 06:00:00
41,34.0,34.54,33.5,33.94,71184,2013-12-30 06:00:00
42,34.11,34.32,33.3601,34.2,101863,2013-12-31 06:00:00
43,34.2,34.9,32.83,32.95,125091,2014-01-02 06:00:00
44,33.07,33.67,32.21,32.42,68735,2014-01-03 06:00:00
45,32.63,33.0,32.48,32.71,60336,2014-01-06 06:00:00
46,32.7,32.97,31.74,32.23,132210,2014-01-07 06:00:00
47,32.09,32.2625,31.65,31.9,111670,2014-01-08 06:00:00
48,32.33,32.85,31.0,31.15,193583,2014-01-09 06:00:00
49,31.59,32.276,31.03,31.88,245810,2014-01-10 06:00:00
50,31.92,34.06,31.88,33.75,166317,2014-01-13 06:00:00
