,open,high,low,close,volume,datetime
0,20.0,20.33,19.3,19.99,14208657,2014-07-31 05:00:00
1,20.0,20.1,19.34,19.85,2125626,2014-08-01 05:00:00
2,19.85,20.1,19.6,20.01,592817,2014-08-04 05:00:00
3,19.94,20.48,19.77,20.21,1077591,2014-08-05 05:00:00
4,20.2,20.33,20.05,20.33,900913,2014-08-06 05:00:00
5,20.33,20.49,20.3,20.42,546020,2014-08-07 05:00:00
6,20.49,20.68,20.4,20.53,402530,2014-08-08 05:00:00
7,20.51,20.6,20.44,20.5,442471,2014-08-11 05:00:00
8,20.45,20.55,20.45,20.5,240691,2014-08-12 05:00:00
9,20.5,20.6,20.4701,20.53,438485,2014-08-13 05:00:00
10,20.5,20.59,20.45,20.5,200595,2014-08-14 05:00:00
11,20.68,20.68,20.45,20.51,143341,2014-08-15 05:00:00
12,21.2,21.2,20.41,20.66,186915,2014-08-18 05:00:00
13,20.5,20.68,20.5,20.63,403960,2014-08-19 05:00:00
14,20.51,20.75,20.5,20.58,291124,2014-08-20 05:00:00
15,20.54,20.74,20.54,20.72,221909,2014-08-21 05:00:00
16,20.75,20.91,20.665,20.85,259679,2014-08-22 05:00:00
17,20.74,21.31,20.55,21.2,558939,2014-08-25 05:00:00
18,21.15,21.45,21.15,21.32,691048,2014-08-26 05:00:00
19,21.2,21.35,21.15,21.27,265050,2014-08-27 05:00:00
20,21.1,21.7,21.0225,21.5,3070248,2014-08-28 05:00:00
21,21.5,21.74,21.33,21.5,1271821,2014-08-29 05:00:00
22,21.35,21.79,21.325,21.7,665741,2014-09-02 05:00:00
23,21.64,21.8,21.5225,21.68,329716,2014-09-03 05:00:00
24,21.59,21.95,21.21,21.5,445570,2014-09-04 05:00:00
25,21.5,22.55,21.5,22.4,835298,2014-09-05 05:00:00
26,22.35,22.8,22.26,22.5,654132,2014-09-08 05:00:00
27,22.53,23.09,22.193,22.48,945831,2014-09-09 05:00:00
28,22.48,23.185,22.4,22.99,976551,2014-09-10 05:00:00
29,22.81,23.7,22.601,23.25,929995,2014-09-11 05:00:00
30,23.0,23.9,23.0,23.49,691089,2014-09-12 05:00:00
31,23.58,24.88,23.58,24.84,1157503,2014-09-15 05:00:00
32,25.05,25.3975,23.82,24.22,974557,2014-09-16 05:00:00
33,24.29,24.9,24.151,24.31,750612,2014-09-17 05:00:00
34,24.31,24.4386,23.96,24.19,751328,2014-09-18 05:00:00
35,24.12,24.63,23.09,23.68,2784756,2014-09-19 05:00:00
36,23.64,24.06,23.41,23.99,713002,2014-09-22 05:00:00
37,24.12,24.2,23.58,23.97,1185737,2014-09-23 05:00:00
38,23.97,25.0,23.83,24.84,1333045,2014-09-24 05:00:00
39,24.91,25.148,24.65,24.68,1202611,2014-09-25 05:00:00
40,24.6,25.12,24.5001,25.04,927525,2014-09-26 05:00:00
41,24.72,25.23,24.515,25.17,876229,2014-09-29 05:00:00
42,25.13,25.3,24.67,25.03,4606484,2014-09-30 05:00:00
43,24.93,25.105,23.21,23.85,1214517,2014-10-01 05:00:00
44,23.9,25.69,23.875,25.35,945367,2014-10-02 05:00:00
45,25.66,25.74,25.1,25.13,339000,2014-10-03 05:00:00
46,25.17,25.1925,24.64,24.98,520482,2014-10-06 05:00:00
47,24.84,25.03,24.54,24.73,396031,2014-10-07 05:00:00
48,24.65,25.59,24.58,25.48,425469,2014-10-08 05:00:00
49,25.35,25.48,24.38,24.42,469145,2014-10-09 05:00:00
50,24.22,24.225,23.64,23.67,639781,2014-10-10 05:00:00
51,23.66,23.984,23.43,23.52,451025,2014-10-13 05:00:00
52,23.57,23.91,23.43,23.73,468492,2014-10-14 05:00:00
53,23.49,24.3,23.2236,24.22,337632,2014-10-15 05:00:00
54,24.01,24.59,23.8,24.25,395210,2014-10-16 05:00:00
55,24.44,24.6699,23.53,23.63,225338,2014-10-17 05:00:00
56,23.63,24.21,23.4601,23.96,246863,2014-10-20 05:00:00
57,23.99,25.28,23.85,25.19,624832,2014-10-21 05:00:00
58,25.13,25.24,24.04,24.07,284252,2014-10-22 05:00:00
59,24.2,24.4,24.11,24.26,509883,2014-10-23 05:00:00
60,24.37,25.04,24.215,24.94,241807,2014-10-24 05:00:00
61,24.68,24.7945,23.45,24.46,308615,2014-10-27 05:00:00
62,24.5,25.46,24.4,25.2,488658,2014-10-28 05:00:00
63,25.28,25.62,25.04,25.55,254099,2014-10-29 05:00:00
64,25.38,26.0,24.87,25.64,305996,2014-10-30 05:00:00
65,26.03,26.34,25.6,26.03,367141,2014-10-31 05:00:00
66,26.0,26.25,25.5,25.9,228162,2014-11-03 06:00:00
67,25.85,25.89,25.25,25.35,157957,2014-11-04 06:00:00
68,25.44,25.44,24.87,25.09,262966,2014-11-05 06:00:00
69,25.04,25.2799,24.44,24.74,255064,2014-11-06 06:00:00
70,24.58,24.925,24.37,24.73,272083,2014-11-07 06:00:00
71,24.81,25.01,24.42,24.77,251066,2014-11-10 06:00:00
72,24.81,24.97,24.17,24.21,354720,2014-11-11 06:00:00
73,24.15,24.305,23.64,23.72,776548,2014-11-12 06:00:00
74,23.86,24.54,23.74,23.81,458358,2014-11-13 06:00:00
75,24.14,24.4,22.85,24.05,743829,2014-11-14 06:00:00
76,23.93,26.16,23.7001,25.64,514327,2014-11-17 06:00:00
77,25.81,26.04,25.16,25.43,330593,2014-11-18 06:00:00
78,25.43,26.39,24.88,25.7,478675,2014-11-19 06:00:00
79,25.57,26.38,25.55,26.06,449806,2014-11-20 06:00:00
80,26.44,26.75,26.04,26.55,634889,2014-11-21 06:00:00
81,26.61,27.478,26.556,26.97,489245,2014-11-24 06:00:00
82,27.08,27.89,26.56,27.85,552908,2014-11-25 06:00:00
83,28.23,28.72,27.77,28.72,711323,2014-11-26 06:00:00
84,28.64,29.09,28.425,28.79,161236,2014-11-28 06:00:00
85,28.79,29.04,27.91,28.3,406491,2014-12-01 06:00:00
86,28.38,29.52,27.43,28.43,811860,2014-12-02 06:00:00
87,28.4,28.83,28.03,28.51,443027,2014-12-03 06:00:00
88,28.57,29.2,28.13,28.93,584714,2014-12-04 06:00:00
89,28.93,29.42,28.67,29.16,264057,2014-12-05 06:00:00
90,29.01,29.44,28.7,28.91,243730,2014-12-08 06:00:00
91,28.56,29.5999,28.495,29.13,284775,2014-12-09 06:00:00
92,29.25,29.53,28.77,29.42,368953,2014-12-10 06:00:00
93,29.46,30.184,28.75,29.02,385381,2014-12-11 06:00:00
94,28.74,29.045,28.15,28.58,368897,2014-12-12 06:00:00
95,28.74,29.32,27.91,28.94,381039,2014-12-15 06:00:00
96,28.81,29.125,28.22,28.57,464249,2014-12-16 06:00:00
97,28.56,29.23,27.95,29.18,458030,2014-12-17 06:00:00
98,29.49,29.87,28.4001,28.69,487906,2014-12-18 06:00:00
99,28.77,29.5,28.46,29.19,1718753,2014-12-19 06:00:00
100,29.17,29.981,28.55,28.63,280757,2014-12-22 06:00:00
101,28.71,28.71,27.06,27.15,424424,2014-12-23 06:00:00
102,27.23,27.63,26.62,27.38,186034,2014-12-24 06:00:00
103,27.54,28.68,27.54,28.49,169201,2014-12-26 06:00:00
104,28.41,28.64,27.49,27.94,200494,2014-12-29 06:00:00
105,27.706,28.26,27.66,28.06,145467,2014-12-30 06:00:00
106,28.05,28.88,27.78,27.88,186086,2014-12-31 06:00:00
107,28.04,28.04,27.17,27.51,187260,2015-01-02 06:00:00
108,27.43,28.5,27.22,28.08,455243,2015-01-05 06:00:00
109,28.08,28.23,26.32,26.55,622116,2015-01-06 06:00:00
110,26.73,27.9,26.635,27.81,457211,2015-01-07 06:00:00
111,28.02,28.55,27.84,27.99,183802,2015-01-08 06:00:00
112,28.02,28.02,27.55,27.57,426341,2015-01-09 06:00:00
113,27.65,28.56,27.54,27.67,449578,2015-01-12 06:00:00
114,27.9,28.39,27.54,28.13,505180,2015-01-13 06:00:00
115,27.87,28.28,27.7,27.97,231478,2015-01-14 06:00:00
116,27.94,28.16,27.34,27.4,390980,2015-01-15 06:00:00
117,27.2,28.37,27.18,28.07,450748,2015-01-16 06:00:00
118,27.99,28.6,27.8,27.99,452988,2015-01-20 06:00:00
119,27.94,28.25,27.19,27.53,334335,2015-01-21 06:00:00
120,27.69,28.24,27.17,27.91,425624,2015-01-22 06:00:00
121,27.84,28.22,27.14,27.2,443638,2015-01-23 06:00:00
122,27.09,28.62,27.03,28.33,344768,2015-01-26 06:00:00
123,28.14,28.84,28.04,28.2,309809,2015-01-27 06:00:00
124,28.23,28.45,27.61,27.74,527367,2015-01-28 06:00:00
125,27.85,28.0,27.35,27.72,406479,2015-01-29 06:00:00
126,27.56,28.0,27.46,27.62,394947,2015-01-30 06:00:00
127,27.62,27.746,27.25,27.64,243853,2015-02-02 06:00:00
128,27.72,27.89,27.39,27.78,278936,2015-02-03 06:00:00
129,27.58,27.9,27.3,27.55,281968,2015-02-04 06:00:00
130,27.68,27.72,27.41,27.49,244476,2015-02-05 06:00:00
131,27.44,27.72,27.26,27.44,343868,2015-02-06 06:00:00
132,27.44,27.82,27.28,27.55,258145,2015-02-09 06:00:00
133,27.79,27.98,27.52,27.88,271985,2015-02-10 06:00:00
134,27.8,30.32,27.66,29.32,752452,2015-02-11 06:00:00
135,29.42,29.43,27.67,28.58,470365,2015-02-12 06:00:00
136,28.5,28.78,27.4,27.52,421626,2015-02-13 06:00:00
137,27.5,27.66,27.06,27.34,508557,2015-02-17 06:00:00
138,27.42,27.91,27.188,27.74,281902,2015-02-18 06:00:00
139,27.73,29.03,27.73,29.01,344768,2015-02-19 06:00:00
140,28.74,29.22,28.0,28.15,384257,2015-02-20 06:00:00
141,28.16,28.29,27.79,28.19,222645,2015-02-23 06:00:00
142,28.26,28.3799,27.61,28.35,213197,2015-02-24 06:00:00
143,28.41,28.9,28.13,28.87,201712,2015-02-25 06:00:00
144,28.84,29.67,28.8,29.6,205260,2015-02-26 06:00:00
145,29.59,29.79,27.92,27.97,372081,2015-02-27 06:00:00
146,27.5,28.59,26.74,28.46,431007,2015-03-02 06:00:00
147,28.33,30.65,28.16,29.99,864032,2015-03-03 06:00:00
148,29.51,29.79,29.35,29.77,9323169,2015-03-04 06:00:00
149,29.69,29.98,29.64,29.75,1323708,2015-03-05 06:00:00
150,29.75,30.009,29.69,29.76,819031,2015-03-06 06:00:00
151,29.8,30.05,29.57,29.82,699220,2015-03-09 05:00:00
152,29.63,29.98,29.34,29.8,768084,2015-03-10 05:00:00
153,29.82,30.48,29.8,30.23,789859,2015-03-11 05:00:00
154,30.4,30.49,29.91,30.02,561445,2015-03-12 05:00:00
155,30.06,30.35,29.68,30.35,1576134,2015-03-13 05:00:00
156,30.92,30.94,30.07,30.89,590107,2015-03-16 05:00:00
157,30.71,31.09,30.58,31.08,528777,2015-03-17 05:00:00
158,31.04,31.54,30.8501,31.3,975194,2015-03-18 05:00:00
159,31.31,31.66,31.08,31.5,904295,2015-03-19 05:00:00
160,31.49,31.64,30.91,31.11,1189868,2015-03-20 05:00:00
161,31.01,31.07,30.68,30.85,251569,2015-03-23 05:00:00
162,30.77,31.03,30.5,30.65,301162,2015-03-24 05:00:00
163,30.7,30.92,30.3101,30.44,662809,2015-03-25 05:00:00
164,30.25,30.5,29.9,30.1,248093,2015-03-26 05:00:00
165,30.14,30.73,29.96,30.1,408007,2015-03-27 05:00:00
166,30.31,31.2,29.9,31.17,360942,2015-03-30 05:00:00
167,31.11,31.36,30.84,31.15,357970,2015-03-31 05:00:00
168,31.02,31.02,30.19,30.86,525734,2015-04-01 05:00:00
169,30.89,31.22,30.45,30.63,343991,2015-04-02 05:00:00
170,30.48,30.76,30.33,30.54,270653,2015-04-06 05:00:00
171,30.5,30.83,30.38,30.46,241910,2015-04-07 05:00:00
172,30.53,30.93,30.4,30.8,197015,2015-04-08 05:00:00
173,30.92,31.65,30.61,30.98,242053,2015-04-09 05:00:00
174,31.08,31.14,30.68,30.73,328863,2015-04-10 05:00:00
175,30.62,31.04,30.5,30.53,241703,2015-04-13 05:00:00
176,30.51,30.77,30.49,30.72,266611,2015-04-14 05:00:00
177,30.88,31.12,30.6352,31.01,205254,2015-04-15 05:00:00
178,30.85,31.62,30.85,31.09,146037,2015-04-16 05:00:00
179,30.99,31.08,30.51,30.57,225576,2015-04-17 05:00:00
180,30.59,31.0,30.5,30.99,209963,2015-04-20 05:00:00
181,31.21,31.29,30.94,31.02,159250,2015-04-21 05:00:00
182,31.04,31.35,30.74,31.06,251338,2015-04-22 05:00:00
183,30.99,31.23,30.76,31.05,318721,2015-04-23 05:00:00
184,31.09,31.13,30.94,31.0,226463,2015-04-24 05:00:00
185,30.95,31.06,29.93,29.99,286028,2015-04-27 05:00:00
186,30.04,30.3,29.3501,29.77,262436,2015-04-28 05:00:00
187,29.72,30.4,29.38,29.71,537699,2015-04-29 05:00:00
188,29.71,29.96,28.55,28.77,370227,2015-04-30 05:00:00
189,28.93,29.32,28.6,29.21,346642,2015-05-01 05:00:00
190,29.16,29.95,29.05,29.39,327221,2015-05-04 05:00:00
191,29.27,29.534,28.59,29.18,418095,2015-05-05 05:00:00
192,28.7,29.77,26.17,28.8,994026,2015-05-06 05:00:00
193,28.73,28.87,28.16,28.17,294388,2015-05-07 05:00:00
194,28.48,28.63,27.92,28.32,350828,2015-05-08 05:00:00
195,28.34,28.5799,28.25,28.31,320980,2015-05-11 05:00:00
196,28.25,28.405,28.01,28.2,472006,2015-05-12 05:00:00
197,28.31,28.715,28.21,28.56,467425,2015-05-13 05:00:00
198,28.71,29.44,28.67,29.32,404070,2015-05-14 05:00:00
199,29.36,30.44,29.08,30.43,318325,2015-05-15 05:00:00
200,30.29,31.2,30.16,31.0,280859,2015-05-18 05:00:00
201,30.85,31.15,30.74,31.02,356805,2015-05-19 05:00:00
202,31.0,31.41,30.82,31.18,246763,2015-05-20 05:00:00
203,31.26,31.61,30.98,31.23,294023,2015-05-21 05:00:00
204,31.16,31.56,31.03,31.44,168288,2015-05-22 05:00:00
205,31.16,31.375,30.71,31.12,287338,2015-05-26 05:00:00
206,31.07,31.46,31.07,31.3,380851,2015-05-27 05:00:00
207,31.27,31.94,31.18,31.9,415737,2015-05-28 05:00:00
208,31.88,32.11,31.18,31.96,606053,2015-05-29 05:00:00
209,31.56,31.92,30.57,30.71,798313,2015-06-01 05:00:00
210,30.44,30.68,29.23,29.35,1308038,2015-06-02 05:00:00
211,28.8,29.13,28.62,29.09,9207757,2015-06-03 05:00:00
212,29.0,29.29,29.0,29.08,1799334,2015-06-04 05:00:00
213,29.05,29.69,29.03,29.61,1443668,2015-06-05 05:00:00
214,29.65,29.89,28.85,29.08,867019,2015-06-08 05:00:00
215,29.04,29.36,28.4316,28.94,730655,2015-06-09 05:00:00
216,28.91,29.675,28.858,29.54,795820,2015-06-10 05:00:00
217,29.56,29.94,29.4,29.75,528473,2015-06-11 05:00:00
218,29.62,30.2,29.51,30.06,1052407,2015-06-12 05:00:00
219,29.91,30.24,29.28,30.02,756905,2015-06-15 05:00:00
220,29.91,30.5,29.884,30.41,629130,2015-06-16 05:00:00
221,30.43,30.73,30.33,30.57,752032,2015-06-17 05:00:00
222,30.58,31.36,30.56,30.69,1005608,2015-06-18 05:00:00
223,30.54,30.84,30.2,30.5,1400029,2015-06-19 05:00:00
224,30.76,31.07,30.6,30.79,558912,2015-06-22 05:00:00
225,30.86,30.94,30.49,30.76,684900,2015-06-23 05:00:00
226,30.59,30.89,29.965,29.98,568799,2015-06-24 05:00:00
