,open,high,low,close,volume,datetime
0,1.3,1.31,1.2825,1.2825,2098800,2002-06-10 05:00:00
1,1.275,1.2825,1.241667,1.250834,2638800,2002-06-11 05:00:00
2,1.271667,1.291667,1.25,1.291667,774000,2002-06-12 05:00:00
3,1.291667,1.308334,1.254167,1.254167,990000,2002-06-13 05:00:00
4,1.254167,1.285834,1.239167,1.275,1496400,2002-06-14 05:00:00
5,1.2875,1.333334,1.2875,1.333334,879600,2002-06-17 05:00:00
6,1.329167,1.3575,1.316667,1.356667,1158000,2002-06-18 05:00:00
7,1.366667,1.391667,1.329167,1.335834,2415600,2002-06-19 05:00:00
8,1.354167,1.370834,1.315,1.325,910800,2002-06-20 05:00:00
9,1.333334,1.339167,1.3,1.320834,1879200,2002-06-21 05:00:00
10,1.320834,1.345834,1.304167,1.331667,1653600,2002-06-24 05:00:00
11,1.35,1.363334,1.3125,1.333334,1158000,2002-06-25 05:00:00
12,1.325,1.345,1.3,1.340834,1261200,2002-06-26 05:00:00
13,1.333334,1.341667,1.3125,1.335,901200,2002-06-27 05:00:00
14,1.335,1.404167,1.335,1.404167,2307600,2002-06-28 05:00:00
15,1.4,1.4,1.3325,1.341667,1272000,2002-07-01 05:00:00
16,1.341667,1.3425,1.291667,1.304167,2175600,2002-07-02 05:00:00
17,1.304167,1.3375,1.2675,1.3,992400,2002-07-03 05:00:00
18,1.308334,1.340834,1.3075,1.325834,278400,2002-07-05 05:00:00
19,1.320834,1.325,1.279167,1.291667,1111200,2002-07-08 05:00:00
20,1.291667,1.319167,1.279167,1.295834,2036400,2002-07-09 05:00:00
21,1.316667,1.316667,1.245834,1.250834,1903200,2002-07-10 05:00:00
22,1.2375,1.2375,1.196667,1.204167,1503600,2002-07-11 05:00:00
23,1.2075,1.215834,1.195834,1.204167,1896000,2002-07-12 05:00:00
24,1.204167,1.204167,1.1541665,1.168334,2716800,2002-07-15 05:00:00
25,1.158334,1.1875,1.1575,1.1725,1564800,2002-07-16 05:00:00
26,1.188334,1.213334,1.1666665,1.191667,3501600,2002-07-17 05:00:00
27,1.191667,1.195834,1.1691665,1.1691665,1688400,2002-07-18 05:00:00
28,1.1666665,1.18,1.1441665,1.145834,3003600,2002-07-19 05:00:00
29,1.1541665,1.1766665,1.09,1.1,3640800,2002-07-22 05:00:00
30,1.1,1.1125,1.0275,1.033334,3084000,2002-07-23 05:00:00
31,1.015,1.1375,0.9791665,1.1375,3868800,2002-07-24 05:00:00
32,1.1375,1.1566665,1.0625,1.1116665,3164400,2002-07-25 05:00:00
33,1.1116665,1.1566665,1.105834,1.1566665,1615200,2002-07-26 05:00:00
34,1.1566665,1.2625,1.1566665,1.2625,1430400,2002-07-29 05:00:00
35,1.258334,1.258334,1.17,1.206667,1832400,2002-07-30 05:00:00
36,1.2125,1.289167,1.211667,1.241667,2396400,2002-07-31 05:00:00
37,1.241667,1.258334,1.178334,1.178334,780000,2002-08-01 05:00:00
38,1.183334,1.216667,1.145834,1.1566665,835200,2002-08-02 05:00:00
39,1.1625,1.1875,1.1191665,1.1191665,1123200,2002-08-05 05:00:00
40,1.1291665,1.220834,1.1291665,1.208334,1455600,2002-08-06 05:00:00
41,1.229167,1.239167,1.19,1.2275,1078800,2002-08-07 05:00:00
42,1.229167,1.3,1.220834,1.3,1076400,2002-08-08 05:00:00
43,1.3,1.328334,1.2725,1.3225,2872800,2002-08-09 05:00:00
44,1.308334,1.349167,1.283334,1.339167,1030800,2002-08-12 05:00:00
45,1.335,1.375,1.306667,1.3075,1407600,2002-08-13 05:00:00
46,1.325,1.37,1.305,1.37,861600,2002-08-14 05:00:00
47,1.375,1.423334,1.375,1.383334,1791600,2002-08-15 05:00:00
48,1.383334,1.415834,1.374167,1.408334,738000,2002-08-16 05:00:00
49,1.404167,1.410834,1.325,1.391667,1873200,2002-08-19 05:00:00
50,1.391667,1.391667,1.34,1.366667,1225200,2002-08-20 05:00:00
51,1.366667,1.389167,1.340834,1.374167,1863600,2002-08-21 05:00:00
52,1.375834,1.428334,1.37,1.4175,1567200,2002-08-22 05:00:00
53,1.416667,1.439167,1.408334,1.425,1706400,2002-08-23 05:00:00
54,1.433334,1.454167,1.42,1.45,2047200,2002-08-26 05:00:00
55,1.454167,1.485834,1.445834,1.473334,3032400,2002-08-27 05:00:00
56,1.469167,1.470834,1.384167,1.384167,961200,2002-08-28 05:00:00
57,1.384167,1.411667,1.370834,1.385834,657600,2002-08-29 05:00:00
58,1.365,1.425834,1.354167,1.354167,1333200,2002-08-30 05:00:00
59,1.35,1.355834,1.3,1.325834,1928400,2002-09-03 05:00:00
60,1.326667,1.3675,1.25,1.345,2192400,2002-09-04 05:00:00
61,1.346667,1.356667,1.291667,1.291667,1848000,2002-09-05 05:00:00
62,1.320834,1.375,1.3125,1.355834,1213200,2002-09-06 05:00:00
63,1.3625,1.389167,1.333334,1.341667,1168800,2002-09-09 05:00:00
64,1.345834,1.386667,1.345834,1.3625,1593600,2002-09-10 05:00:00
65,1.3625,1.405,1.35,1.3525,1660800,2002-09-11 05:00:00
66,1.354167,1.354167,1.3,1.3,908400,2002-09-12 05:00:00
67,1.295834,1.351667,1.284167,1.341667,1132800,2002-09-13 05:00:00
68,1.3375,1.366667,1.308334,1.345834,1088400,2002-09-16 05:00:00
69,1.3375,1.345834,1.3,1.333334,1609200,2002-09-17 05:00:00
70,1.341667,1.35,1.310834,1.3375,759600,2002-09-18 05:00:00
71,1.333334,1.341667,1.258334,1.258334,1255200,2002-09-19 05:00:00
72,1.279167,1.295834,1.229167,1.229167,1554000,2002-09-20 05:00:00
73,1.241667,1.255834,1.2125,1.234167,1544400,2002-09-23 05:00:00
74,1.220834,1.2225,1.1625,1.1666665,2083200,2002-09-24 05:00:00
75,1.1875,1.220834,1.170834,1.205834,4737600,2002-09-25 05:00:00
76,1.208334,1.291667,1.208334,1.26,1604400,2002-09-26 05:00:00
77,1.2625,1.325,1.258334,1.269167,864000,2002-09-27 05:00:00
78,1.269167,1.3125,1.268334,1.291667,2454000,2002-09-30 05:00:00
79,1.2925,1.350834,1.2925,1.350834,1034400,2002-10-01 05:00:00
80,1.3425,1.3875,1.315834,1.315834,1219200,2002-10-02 05:00:00
81,1.3125,1.3675,1.305,1.323334,1500000,2002-10-03 05:00:00
82,1.333334,1.333334,1.283334,1.293334,1078800,2002-10-04 05:00:00
83,1.3,1.3125,1.220834,1.221667,789600,2002-10-07 05:00:00
84,1.221667,1.243334,1.2125,1.220834,1279200,2002-10-08 05:00:00
85,1.216667,1.2375,1.1766665,1.185,1213200,2002-10-09 05:00:00
86,1.185,1.216667,1.179167,1.214167,1950000,2002-10-10 05:00:00
87,1.235,1.258334,1.1875,1.241667,2340000,2002-10-11 05:00:00
88,1.245834,1.34,1.245834,1.335834,897600,2002-10-14 05:00:00
89,1.366667,1.4075,1.3425,1.390834,1204800,2002-10-15 05:00:00
90,1.3625,1.366667,1.308334,1.325,1626000,2002-10-16 05:00:00
91,1.333334,1.395834,1.325,1.3725,759600,2002-10-17 05:00:00
92,1.376667,1.376667,1.34,1.340834,734400,2002-10-18 05:00:00
93,1.340834,1.3925,1.340834,1.366667,898800,2002-10-21 05:00:00
94,1.3575,1.361667,1.29,1.298334,760800,2002-10-22 05:00:00
95,1.29,1.3875,1.2775,1.37,1473600,2002-10-23 05:00:00
96,1.395834,1.403334,1.293334,1.2975,757200,2002-10-24 05:00:00
