,open,high,low,close,volume,datetime
0,2.6,2.6,2.6,2.6,1000,2002-06-11 05:00:00
1,2.55,2.55,2.4,2.48,4000,2002-06-17 05:00:00
2,2.4,2.4,2.1,2.1,6000,2002-06-19 05:00:00
3,2.2,2.2,2.11,2.11,2000,2002-06-20 05:00:00
4,2.12,2.12,2.12,2.12,400,2002-06-21 05:00:00
5,2.2,2.2,2.2,2.2,100,2002-06-25 05:00:00
6,2.15,2.15,2.05,2.1,6600,2002-06-26 05:00:00
7,2.13,2.13,2.13,2.13,300,2002-06-27 05:00:00
8,2.15,2.15,2.15,2.15,1000,2002-06-28 05:00:00
9,2.12,2.12,2.1,2.1,4100,2002-07-03 05:00:00
10,2.13,2.13,2.13,2.13,300,2002-07-05 05:00:00
11,2.15,2.15,2.15,2.15,300,2002-07-09 05:00:00
12,2.2,2.2,2.2,2.2,1200,2002-07-10 05:00:00
13,2.15,2.25,2.15,2.15,2100,2002-07-12 05:00:00
14,2.29,2.29,2.29,2.29,300,2002-07-15 05:00:00
15,2.2,2.2,2.2,2.2,400,2002-07-16 05:00:00
16,2.25,2.25,2.15,2.15,1000,2002-07-17 05:00:00
17,2.15,2.15,2.0,2.0,2100,2002-07-22 05:00:00
18,1.91,2.0,1.9,1.9,4000,2002-07-30 05:00:00
19,1.85,1.85,1.85,1.85,100,2002-07-31 05:00:00
20,1.86,1.9,1.86,1.9,500,2002-08-02 05:00:00
21,1.9,1.9,1.9,1.9,700,2002-08-05 05:00:00
22,1.8,1.9,1.8,1.9,400,2002-08-06 05:00:00
23,1.9,1.9,1.9,1.9,1000,2002-08-09 05:00:00
24,1.94,2.1,1.85,1.85,11400,2002-08-12 05:00:00
25,1.75,1.75,1.75,1.75,300,2002-08-15 05:00:00
26,1.75,1.75,1.75,1.75,1000,2002-08-16 05:00:00
27,1.7,1.71,1.7,1.7,2500,2002-08-20 05:00:00
28,1.74,1.74,1.74,1.74,600,2002-08-21 05:00:00
29,1.75,1.75,1.75,1.75,1000,2002-08-28 05:00:00
30,1.65,1.65,1.65,1.65,1000,2002-08-29 05:00:00
31,1.55,1.55,1.55,1.55,1000,2002-09-03 05:00:00
32,1.54,1.54,1.54,1.54,300,2002-09-05 05:00:00
33,1.55,1.6,1.55,1.6,1700,2002-09-12 05:00:00
34,1.64,1.64,1.64,1.64,800,2002-09-13 05:00:00
35,1.7,1.7,1.7,1.7,2500,2002-09-17 05:00:00
36,1.56,1.6,1.56,1.6,900,2002-09-24 05:00:00
37,1.6,1.6,1.6,1.6,100,2002-09-30 05:00:00
38,1.55,1.55,1.5,1.5,4500,2002-10-02 05:00:00
39,1.49,1.49,1.49,1.49,200,2002-10-03 05:00:00
40,1.45,1.45,1.35,1.35,4200,2002-10-04 05:00:00
41,1.25,1.25,1.15,1.2,6500,2002-10-08 05:00:00
42,1.1,1.1,0.7,0.85,24800,2002-10-09 05:00:00
43,0.9,0.9,0.75,0.75,3100,2002-10-10 05:00:00
44,0.8,0.8,0.8,0.8,3000,2002-10-11 05:00:00
45,0.75,0.75,0.75,0.75,2000,2002-10-14 05:00:00
46,0.7,0.7,0.7,0.7,1800,2002-10-16 05:00:00
47,0.7,0.7,0.7,0.7,1500,2002-10-17 05:00:00
48,0.75,0.75,0.75,0.75,2000,2002-10-18 05:00:00
49,0.7,0.8,0.7,0.8,1300,2002-10-21 05:00:00
50,0.8,0.8,0.8,0.8,400,2002-10-22 05:00:00
51,0.75,0.75,0.75,0.75,1000,2002-10-24 05:00:00
