,open,high,low,close,volume,datetime
0,67.9,67.94,54.51,55.0,892877,2015-06-19 05:00:00
1,59.79,59.79,55.74,56.64,184461,2015-06-22 05:00:00
2,56.02,57.39,55.0,56.46,72396,2015-06-23 05:00:00
3,55.17,55.56,53.35,54.11,67063,2015-06-24 05:00:00
4,55.66,55.66,52.51,53.4,66336,2015-06-25 05:00:00
5,53.17,53.55,52.45,52.72,44225,2015-06-26 05:00:00
6,51.77,51.77,49.73,50.36,53067,2015-06-29 05:00:00
7,53.76,53.93,51.44,52.02,126595,2015-06-30 05:00:00
8,53.79,54.17,50.82,52.02,177847,2015-07-01 05:00:00
9,51.45,51.56,49.57,50.2,55692,2015-07-02 05:00:00
10,49.73,50.4,47.52,49.4,12810,2015-07-06 05:00:00
11,49.13,51.0,48.0935,50.99,8992,2015-07-07 05:00:00
12,49.99,49.99,48.0,49.58,4644,2015-07-08 05:00:00
13,49.3,50.03,48.07,49.23,4902,2015-07-09 05:00:00
14,53.4,53.4,50.14,52.42,67789,2015-07-10 05:00:00
15,55.3,55.3,53.426,54.71,42925,2015-07-13 05:00:00
16,59.98,60.91,59.7901,60.81,64415,2015-07-14 05:00:00
17,62.0,62.0,59.35,60.56,18582,2015-07-15 05:00:00
18,61.0,61.86,60.56,61.27,31145,2015-07-16 05:00:00
19,60.87,61.33,60.52,61.0,31524,2015-07-17 05:00:00
20,60.51,60.9,59.5,59.5,5071,2015-07-20 05:00:00
21,61.0,61.32,60.4301,60.44,3951,2015-07-21 05:00:00
22,59.35,60.44,59.19,59.25,13676,2015-07-22 05:00:00
23,59.21,59.21,57.95,58.15,56499,2015-07-23 05:00:00
24,59.59,59.7897,58.36,58.67,6656,2015-07-24 05:00:00
25,57.68,57.68,56.74,56.74,1787,2015-07-27 05:00:00
26,56.66,57.04,56.3,56.84,4049,2015-07-28 05:00:00
27,57.39,57.54,57.09,57.09,1062,2015-07-29 05:00:00
28,56.1199,56.1199,55.62,55.62,1229,2015-07-30 05:00:00
29,55.86,55.96,55.3,55.33,14961,2015-07-31 05:00:00
30,56.07,56.78,54.81,54.81,13319,2015-08-03 05:00:00
31,55.95,56.055,54.97,55.91,4225,2015-08-04 05:00:00
32,55.19,55.89,54.316,55.06,10968,2015-08-05 05:00:00
33,56.62,56.92,55.6901,56.8,12261,2015-08-06 05:00:00
34,54.87,56.28,54.87,55.46,6506,2015-08-07 05:00:00
35,55.65,57.96,55.01,56.37,5148,2015-08-10 05:00:00
36,55.4,56.19,54.2,54.22,8454,2015-08-11 05:00:00
37,56.744,56.744,54.82,55.56,4733,2015-08-12 05:00:00
38,54.17,54.17,53.33,53.33,5148,2015-08-13 05:00:00
39,53.37,55.26,53.37,55.26,1203,2015-08-14 05:00:00
40,54.95,55.11,54.95,55.11,290,2015-08-17 05:00:00
41,55.27,55.27,55.27,55.27,302,2015-08-18 05:00:00
42,55.28,56.126,54.7,56.0,6599,2015-08-19 05:00:00
43,54.92,54.92,53.2899,53.29,2266,2015-08-20 05:00:00
44,52.01,54.31,50.35,50.35,5948,2015-08-21 05:00:00
45,49.24,49.24,44.47,47.56,3507,2015-08-24 05:00:00
46,50.05,51.44,50.05,51.3388,2715,2015-08-25 05:00:00
47,53.07,53.071,50.5,50.57,3163,2015-08-26 05:00:00
48,50.76,50.76,49.01,49.01,3984,2015-08-27 05:00:00
49,48.79,48.79,48.79,48.79,261,2015-08-31 05:00:00
50,49.07,49.07,46.53,46.53,2046,2015-09-01 05:00:00
51,48.0,49.77,48.0,49.77,5788,2015-09-02 05:00:00
52,47.01,49.79,47.01,47.501,437,2015-09-04 05:00:00
53,45.0,45.77,44.0,44.25,3494,2015-09-08 05:00:00
54,44.25,47.7,44.1401,45.0,1160,2015-09-09 05:00:00
55,43.5,43.5,42.8,42.95,1260,2015-09-10 05:00:00
56,42.83,43.88,42.25,42.26,4101,2015-09-11 05:00:00
57,43.45,44.48,43.45,44.48,1706,2015-09-14 05:00:00
58,45.34,45.37,42.55,45.3001,3210,2015-09-15 05:00:00
59,47.99,47.99,46.0,46.25,870,2015-09-16 05:00:00
60,45.71,46.25,45.71,46.25,2214,2015-09-17 05:00:00
61,45.23,45.65,44.05,44.05,2303,2015-09-18 05:00:00
62,46.11,46.4699,46.11,46.37,1616,2015-09-21 05:00:00
63,44.05,44.09,44.05,44.05,1459,2015-09-22 05:00:00
64,43.54,43.54,43.0,43.0,509,2015-09-23 05:00:00
65,42.75,45.0,42.75,44.5999,2053,2015-09-24 05:00:00
66,42.54,44.98,41.97,42.3,7769,2015-09-25 05:00:00
67,41.5,42.9,40.21,42.9,5467,2015-09-28 05:00:00
68,39.75,41.35,37.0,41.35,9003,2015-09-29 05:00:00
69,41.14,44.0,39.06,41.85,47590,2015-09-30 05:00:00
70,41.84,41.84,40.0,40.68,3318,2015-10-01 05:00:00
71,42.9,43.8,42.0,43.8,1204,2015-10-02 05:00:00
72,40.15,43.53,39.89,41.5,16297,2015-10-05 05:00:00
73,40.11,42.0,39.25,39.25,7153,2015-10-06 05:00:00
74,39.11,39.11,38.01,38.01,2565,2015-10-07 05:00:00
75,37.74,37.88,37.11,37.85,5860,2015-10-08 05:00:00
76,37.5501,38.0,37.5501,38.0,1410,2015-10-09 05:00:00
77,37.55,37.55,35.0101,36.9999,4470,2015-10-13 05:00:00
78,37.0,37.1999,35.9,36.0,3118,2015-10-14 05:00:00
79,35.25,36.95,35.02,36.15,3128,2015-10-15 05:00:00
80,37.9,37.9,35.5,36.0,22487,2015-10-16 05:00:00
81,36.665,36.665,36.01,36.01,9416,2015-10-19 05:00:00
82,36.68,36.68,36.07,36.2,5150,2015-10-20 05:00:00
83,35.8157,35.8157,35.26,35.26,3769,2015-10-21 05:00:00
84,35.0,35.0,33.84,34.0,7314,2015-10-22 05:00:00
85,40.05,41.24,39.41,39.91,43228,2015-10-23 05:00:00
86,42.95,44.5,40.7,40.85,43673,2015-10-26 05:00:00
87,41.08,41.08,40.67,40.78,7161,2015-10-27 05:00:00
88,40.15,40.15,38.91,38.91,9586,2015-10-28 05:00:00
89,39.09,39.09,38.43,38.43,5793,2015-10-29 05:00:00
90,38.4,39.17,37.34,37.34,1168,2015-10-30 05:00:00
91,39.49,40.46,39.43,40.46,3489,2015-11-02 06:00:00
92,41.52,42.01,41.52,42.0,1659,2015-11-03 06:00:00
93,45.81,45.81,44.58,45.1,8536,2015-11-04 06:00:00
94,44.99,45.88,44.4,44.91,4387,2015-11-05 06:00:00
95,48.4,54.16,47.7,49.35,10082,2015-11-06 06:00:00
96,46.51,46.51,45.41,46.31,2008,2015-11-09 06:00:00
97,48.01,48.19,47.86,48.1899,7258,2015-11-10 06:00:00
98,48.19,48.32,46.2765,46.2765,886,2015-11-11 06:00:00
99,46.52,46.52,46.52,46.52,192,2015-11-12 06:00:00
