,open,high,low,close,volume,datetime
0,51.01,52.36,48.0,50.0,584433,2020-12-03 06:00:00
1,49.94,52.625,49.24,50.07,92661,2020-12-04 06:00:00
2,50.0,52.9,47.11,47.11,99935,2020-12-07 06:00:00
3,50.24,52.04,49.37,49.41,84011,2020-12-08 06:00:00
4,50.48,50.6,48.66,48.8,110276,2020-12-09 06:00:00
5,48.8499,49.69,48.55,48.82,75770,2020-12-10 06:00:00
6,48.46,49.9717,47.48,48.26,36226,2020-12-11 06:00:00
7,48.42,50.54,48.2847,49.78,17780,2020-12-14 06:00:00
8,49.92,51.3352,49.28,49.65,19568,2020-12-15 06:00:00
9,50.0,50.84,49.27,49.76,14911,2020-12-16 06:00:00
10,50.4,51.8556,50.4,50.58,31398,2020-12-17 06:00:00
11,51.25,51.34,49.805,50.12,11264,2020-12-18 06:00:00
12,50.0,51.92,49.21,51.8,11275,2020-12-21 06:00:00
13,52.97,55.19,52.97,55.11,24271,2020-12-22 06:00:00
14,56.33,57.4999,54.68,54.72,32453,2020-12-23 06:00:00
15,55.57,58.27,54.32,57.68,10102,2020-12-24 06:00:00
16,58.88,60.99,58.12,58.78,6581,2020-12-28 06:00:00
17,59.69,61.51,59.22,60.29,18049,2020-12-29 06:00:00
18,61.03,65.6008,61.0,64.3,25955,2020-12-30 06:00:00
19,65.12,66.97,63.0,65.09,75458,2020-12-31 06:00:00
20,65.72,68.0,60.332,61.82,42466,2021-01-04 06:00:00
21,62.77,64.33,60.4,63.13,15274,2021-01-05 06:00:00
22,63.1,63.63,57.95,59.47,74104,2021-01-06 06:00:00
23,61.39,65.02,61.39,62.58,26831,2021-01-07 06:00:00
24,62.89,63.895,61.46,61.6,20017,2021-01-08 06:00:00
25,60.61,61.27,56.48,56.48,45442,2021-01-11 06:00:00
26,57.275,59.15,57.04,57.87,18965,2021-01-12 06:00:00
27,58.0,60.31,57.87,59.99,16875,2021-01-13 06:00:00
28,58.6107,59.21,57.37,58.32,13480,2021-01-14 06:00:00
29,56.51,56.51,54.24,54.5,16206,2021-01-15 06:00:00
30,55.67,55.77,54.16,55.33,22257,2021-01-19 06:00:00
31,55.42,56.475,54.77,55.57,12761,2021-01-20 06:00:00
32,55.12,55.66,48.83,49.67,356624,2021-01-21 06:00:00
