,open,high,low,close,volume,datetime
0,8.7,10.2,8.23,9.5,3870549,2021-11-12 06:00:00
1,9.3,9.62,9.0,9.0,328688,2021-11-15 06:00:00
2,9.33,9.34,8.2,8.2,219105,2021-11-16 06:00:00
3,8.27,9.25,8.27,9.17,147779,2021-11-17 06:00:00
4,9.2,9.5899,9.0,9.12,97187,2021-11-18 06:00:00
5,9.33,9.33,8.25,8.79,60873,2021-11-19 06:00:00
6,8.5,9.24,8.21,8.33,45269,2021-11-22 06:00:00
7,8.62,8.65,8.2,8.2,39705,2021-11-23 06:00:00
8,8.2,8.58,8.2,8.25,16238,2021-11-24 06:00:00
9,8.2,8.6,8.2,8.49,25127,2021-11-26 06:00:00
10,8.55,8.55,8.2,8.22,50943,2021-11-29 06:00:00
11,8.21,8.49,7.8,7.91,47967,2021-11-30 06:00:00
12,7.92,8.21,7.8,7.89,35567,2021-12-01 06:00:00
13,7.9,8.0,6.0,6.75,80791,2021-12-02 06:00:00
14,6.7527,6.98,6.75,6.75,37869,2021-12-03 06:00:00
15,7.8,7.8,6.74,7.1,85666,2021-12-06 06:00:00
16,7.25,8.0,7.1725,7.27,106711,2021-12-07 06:00:00
17,7.55,7.55,6.8,6.85,57575,2021-12-08 06:00:00
18,6.56,7.1,6.52,6.75,43063,2021-12-09 06:00:00
19,7.0,7.53,6.805,7.13,66272,2021-12-10 06:00:00
20,7.24,7.2493,6.75,6.75,16283,2021-12-13 06:00:00
21,6.875,6.88,6.75,6.75,27585,2021-12-14 06:00:00
22,6.75,6.8,6.75,6.75,4205,2021-12-15 06:00:00
23,7.0,7.4277,6.95,7.11,35630,2021-12-16 06:00:00
24,6.89,7.11,6.75,6.98,20156,2021-12-17 06:00:00
25,6.81,6.938,6.75,6.75,23771,2021-12-20 06:00:00
26,6.82,6.82,6.71,6.74,52947,2021-12-21 06:00:00
27,6.74,6.74,6.0,6.0,17885,2021-12-22 06:00:00
28,6.06,6.26,5.6209,5.7,90334,2021-12-23 06:00:00
29,5.69,5.83,5.27,5.7,159537,2021-12-27 06:00:00
30,5.73,5.75,5.395,5.4,78687,2021-12-28 06:00:00
31,5.41,5.51,5.4,5.41,70596,2021-12-29 06:00:00
32,5.4,5.5444,5.17,5.17,129164,2021-12-30 06:00:00
33,5.29,5.63,5.12,5.38,239134,2021-12-31 06:00:00
34,5.35,5.41,5.1,5.315,69096,2022-01-03 06:00:00
35,5.3,5.4,5.08,5.2401,72856,2022-01-04 06:00:00
36,5.2514,5.35,4.82,4.9,45958,2022-01-05 06:00:00
37,4.82,4.918,4.46,4.67,91800,2022-01-06 06:00:00
38,4.67,5.05,4.49,5.03,98107,2022-01-07 06:00:00
39,5.04,5.1394,5.0,5.02,96029,2022-01-10 06:00:00
40,5.14,6.0701,5.02,5.5,968668,2022-01-11 06:00:00
41,5.52,6.1899,5.26,5.39,305917,2022-01-12 06:00:00
42,5.04,5.42,5.01,5.18,1020367,2022-01-13 06:00:00
43,5.07,5.21,5.04,5.11,69983,2022-01-14 06:00:00
44,5.1324,5.14,4.9,5.04,89026,2022-01-18 06:00:00
45,5.07,5.52,5.0401,5.27,111695,2022-01-19 06:00:00
46,5.38,5.38,5.09,5.09,46234,2022-01-20 06:00:00
47,5.12,5.12,5.0,5.02,144515,2022-01-21 06:00:00
48,5.02,5.17,5.02,5.07,48919,2022-01-24 06:00:00
49,5.05,5.16,5.05,5.1599,15890,2022-01-25 06:00:00
50,5.22,5.23,5.1,5.1,13872,2022-01-26 06:00:00
51,5.2,5.2442,5.0,5.035,32009,2022-01-27 06:00:00
52,5.0,5.18,4.89,5.18,139580,2022-01-28 06:00:00
53,5.18,5.34,5.14,5.34,17129,2022-01-31 06:00:00
54,5.21,5.6,5.21,5.59,18517,2022-02-01 06:00:00
55,5.665,5.9499,5.6301,5.76,71222,2022-02-02 06:00:00
56,5.86,5.86,5.47,5.555,35915,2022-02-03 06:00:00
57,5.2,5.55,5.15,5.54,64012,2022-02-04 06:00:00
58,5.43,5.56,5.17,5.32,35286,2022-02-07 06:00:00
59,5.22,5.25,5.03,5.1,21379,2022-02-08 06:00:00
60,5.115,5.255,5.0,5.12,31378,2022-02-09 06:00:00
61,5.12,5.3,5.03,5.24,46374,2022-02-10 06:00:00
62,5.28,5.4899,5.05,5.23,111494,2022-02-11 06:00:00
63,5.04,5.24,4.9801,5.22,54949,2022-02-14 06:00:00
64,5.27,5.365,5.16,5.285,67408,2022-02-15 06:00:00
65,5.43,5.43,5.16,5.42,16539,2022-02-16 06:00:00
66,5.3,5.5,5.3,5.49,4357,2022-02-17 06:00:00
67,5.16,5.49,5.16,5.41,36695,2022-02-18 06:00:00
68,5.0558,5.28,5.0558,5.2,11024,2022-02-22 06:00:00
69,5.205,5.39,5.205,5.37,13684,2022-02-23 06:00:00
70,5.27,5.32,5.01,5.07,16264,2022-02-24 06:00:00
71,5.16,5.4199,5.15,5.29,16899,2022-02-25 06:00:00
72,5.04,5.135,5.02,5.1,2272,2022-02-28 06:00:00
73,5.2659,5.2659,4.91,4.93,20200,2022-03-01 06:00:00
74,4.9,5.01,4.86,5.01,10656,2022-03-02 06:00:00
75,4.9899,4.99,4.86,4.89,10938,2022-03-03 06:00:00
76,4.85,4.85,4.28,4.52,40780,2022-03-04 06:00:00
77,4.57,5.08,4.11,4.8,49144,2022-03-07 06:00:00
78,4.8,4.92,4.7394,4.81,14538,2022-03-08 06:00:00
79,4.86,4.86,4.53,4.6,17646,2022-03-09 06:00:00
80,4.57,4.59,4.4,4.55,7956,2022-03-10 06:00:00
81,4.73,4.87,4.4,4.42,20860,2022-03-11 06:00:00
82,4.84,4.84,4.06,4.08,60777,2022-03-14 05:00:00
83,4.12,4.33,4.12,4.18,16148,2022-03-15 05:00:00
84,4.32,4.74,4.15,4.55,42318,2022-03-16 05:00:00
85,4.63,4.83,4.32,4.5,31249,2022-03-17 05:00:00
86,4.3,4.67,3.93,3.93,124394,2022-03-18 05:00:00
87,4.25,4.54,4.25,4.38,49316,2022-03-21 05:00:00
88,4.35,4.55,4.35,4.42,24642,2022-03-22 05:00:00
89,4.645,4.645,4.3,4.57,33419,2022-03-23 05:00:00
90,4.49,4.82,4.49,4.66,9698,2022-03-24 05:00:00
91,4.57,4.78,4.51,4.56,38642,2022-03-25 05:00:00
92,4.617,4.72,4.617,4.69,4785,2022-03-28 05:00:00
93,4.69,4.8,4.69,4.74,12008,2022-03-29 05:00:00
94,4.7607,4.8,4.72,4.8,1607,2022-03-30 05:00:00
95,4.7,4.9,4.69,4.83,20453,2022-03-31 05:00:00
96,4.92,4.92,4.72,4.85,47147,2022-04-01 05:00:00
97,4.95,5.0022,4.81,5.0,12850,2022-04-04 05:00:00
98,5.0001,5.0001,4.75,4.91,26553,2022-04-05 05:00:00
99,4.73,5.075,4.73,5.0,18467,2022-04-06 05:00:00
100,5.01,5.07,5.0,5.02,22508,2022-04-07 05:00:00
101,5.0,5.12,4.98,5.06,30941,2022-04-08 05:00:00
102,5.0,5.06,4.8838,4.95,14358,2022-04-11 05:00:00
103,4.92,4.9671,4.89,4.89,8829,2022-04-12 05:00:00
104,4.85,4.9,4.7,4.79,4858,2022-04-13 05:00:00
105,4.77,4.77,4.71,4.75,2795,2022-04-14 05:00:00
106,5.09,5.1,4.72,4.771,10947,2022-04-18 05:00:00
107,4.8,4.8,4.8,4.8,228,2022-04-19 05:00:00
108,4.795,4.795,4.54,4.68,22472,2022-04-20 05:00:00
109,5.02,5.09,4.815,5.0,3520,2022-04-21 05:00:00
110,4.685,4.685,4.31,4.34,23720,2022-04-22 05:00:00
111,4.42,4.6108,4.3,4.3,8495,2022-04-25 05:00:00
112,4.2199,4.28,3.75,3.85,19969,2022-04-26 05:00:00
113,3.99,4.35,3.9295,3.9295,10632,2022-04-27 05:00:00
114,4.05,4.052,3.88,3.88,8670,2022-04-28 05:00:00
115,3.86,3.86,3.78,3.85,3888,2022-04-29 05:00:00
116,4.06,4.11,3.75,3.81,8301,2022-05-02 05:00:00
117,3.97,4.02,3.8,4.02,18390,2022-05-03 05:00:00
118,3.78,4.108,3.7,3.9,26386,2022-05-04 05:00:00
119,3.902,3.902,3.57,3.65,16281,2022-05-05 05:00:00
120,3.74,3.74,3.64,3.71,8156,2022-05-06 05:00:00
121,4.1,4.1,3.68,3.74,8975,2022-05-09 05:00:00
122,3.89,3.89,3.04,3.54,44803,2022-05-10 05:00:00
123,3.5545,3.5545,3.1,3.28,18362,2022-05-11 05:00:00
124,3.28,3.47,3.17,3.42,14474,2022-05-12 05:00:00
125,3.51,3.93,3.18,3.93,44276,2022-05-13 05:00:00
126,4.15,4.15,3.66,3.98,23405,2022-05-16 05:00:00
127,4.04,4.17,3.67,3.89,59957,2022-05-17 05:00:00
128,3.8,3.89,3.39,3.48,29965,2022-05-18 05:00:00
129,3.42,3.6,3.35,3.57,28852,2022-05-19 05:00:00
130,3.5086,4.5,3.3304,4.5,60325,2022-05-20 05:00:00
131,4.19,4.19,3.93,4.02,19203,2022-05-23 05:00:00
132,3.6401,4.2,3.6401,4.2,7931,2022-05-24 05:00:00
133,4.105,4.3,4.105,4.3,716,2022-05-25 05:00:00
134,3.92,4.3,3.92,4.3,11725,2022-05-26 05:00:00
135,4.3117,4.485,3.95,3.95,28178,2022-05-27 05:00:00
136,3.68,3.95,3.63,3.87,8884,2022-05-31 05:00:00
137,3.93,3.99,3.93,3.99,1518,2022-06-01 05:00:00
138,3.89,3.89,3.72,3.81,6070,2022-06-02 05:00:00
139,3.8,3.93,3.68,3.93,6365,2022-06-03 05:00:00
140,3.83,3.91,3.69,3.82,3873,2022-06-06 05:00:00
141,3.91,3.91,3.6526,3.84,1893,2022-06-07 05:00:00
142,3.615,3.76,3.6,3.76,10105,2022-06-08 05:00:00
143,3.86,3.87,3.73,3.77,2381,2022-06-09 05:00:00
