,open,high,low,close,volume,datetime
0,10.1,10.1,10.1,10.1,347,2021-03-08 06:00:00
1,9.7406,9.7406,9.74,9.74,12541,2021-03-09 06:00:00
2,9.75,9.85,9.75,9.78,108353,2021-03-10 06:00:00
3,9.83,9.95,9.83,9.9,18022,2021-03-11 06:00:00
4,9.9,9.9,9.7865,9.7933,1444,2021-03-12 06:00:00
5,9.8344,9.85,9.69,9.7,89171,2021-03-15 05:00:00
6,9.7,9.72,9.67,9.72,18814,2021-03-16 05:00:00
7,9.7,9.8,9.7,9.8,14541,2021-03-17 05:00:00
8,9.575,9.76,9.575,9.7,79042,2021-03-18 05:00:00
9,9.7,9.7,9.65,9.666,8657,2021-03-19 05:00:00
10,9.705,9.71,9.6804,9.71,1152,2021-03-22 05:00:00
11,9.68,9.7,9.65,9.67,30694,2021-03-23 05:00:00
12,9.67,9.67,9.645,9.645,453201,2021-03-24 05:00:00
13,9.63,9.67,9.62,9.64,6964,2021-03-25 05:00:00
14,9.65,9.7,9.65,9.7,254340,2021-03-26 05:00:00
15,9.59,9.66,9.59,9.66,1208,2021-03-29 05:00:00
16,9.69,9.7,9.69,9.7,14820,2021-03-30 05:00:00
17,9.78,9.78,9.64,9.66,36743,2021-03-31 05:00:00
18,9.65,9.7,9.65,9.7,19615,2021-04-01 05:00:00
19,9.74,9.75,9.74,9.75,36336,2021-04-05 05:00:00
20,9.77,9.78,9.77,9.78,25458,2021-04-06 05:00:00
21,9.78,9.81,9.78,9.7999,31687,2021-04-07 05:00:00
22,9.8,9.8,9.79,9.79,1665,2021-04-08 05:00:00
23,9.71,9.8,9.7,9.79,57355,2021-04-09 05:00:00
24,9.79,9.85,9.79,9.83,4336,2021-04-12 05:00:00
25,9.83,9.83,9.74,9.74,1458,2021-04-13 05:00:00
26,9.74,9.99,9.74,9.95,89698,2021-04-14 05:00:00
27,9.88,9.9,9.81,9.9,7192,2021-04-16 05:00:00
28,9.81,9.81,9.8,9.8,9767,2021-04-19 05:00:00
29,9.74,9.75,9.74,9.75,1751,2021-04-20 05:00:00
30,9.71,9.8,9.7,9.79,26127,2021-04-21 05:00:00
31,9.7,9.75,9.7,9.75,351,2021-04-22 05:00:00
32,9.8,9.8,9.7146,9.7146,776,2021-04-23 05:00:00
33,9.6862,9.75,9.6862,9.7,2967,2021-04-26 05:00:00
34,9.6898,9.75,9.6898,9.75,20914,2021-04-27 05:00:00
35,9.74,9.75,9.73,9.73,2290,2021-04-28 05:00:00
36,9.73,9.75,9.73,9.75,1816,2021-04-29 05:00:00
37,9.71,9.73,9.69,9.73,10861,2021-04-30 05:00:00
38,9.72,9.73,9.72,9.73,1666,2021-05-03 05:00:00
39,9.69,9.72,9.68,9.7,17046,2021-05-04 05:00:00
40,9.7,9.71,9.7,9.71,1736,2021-05-05 05:00:00
41,9.695,9.695,9.68,9.68,2182,2021-05-06 05:00:00
42,9.68,9.71,9.68,9.71,8087,2021-05-07 05:00:00
43,9.68,9.7,9.67,9.67,2051,2021-05-10 05:00:00
44,9.67,9.7,9.67,9.7,9906,2021-05-11 05:00:00
45,9.66,9.7,9.65,9.7,6371,2021-05-12 05:00:00
46,9.7,9.7,9.67,9.68,2349,2021-05-13 05:00:00
47,9.65,9.67,9.65,9.67,12410,2021-05-14 05:00:00
48,9.65,9.7,9.58,9.67,17993,2021-05-17 05:00:00
49,9.6,9.68,9.6,9.68,1262,2021-05-18 05:00:00
50,9.65,9.69,9.65,9.69,10920,2021-05-19 05:00:00
51,9.6,9.7,9.6,9.7,12511,2021-05-20 05:00:00
52,9.65,9.68,9.6,9.68,9502,2021-05-21 05:00:00
53,9.62,9.68,9.6,9.65,33461,2021-05-25 05:00:00
54,9.67,9.68,9.63,9.66,9414,2021-05-26 05:00:00
55,9.64,9.68,9.6,9.68,12374,2021-05-27 05:00:00
56,9.6,9.68,9.6,9.64,10422,2021-05-28 05:00:00
57,9.66,9.68,9.6,9.68,16096,2021-06-01 05:00:00
58,9.6,9.66,9.6,9.63,12248,2021-06-02 05:00:00
59,9.62,9.64,9.62,9.64,1118,2021-06-03 05:00:00
60,9.61,9.64,9.595,9.63,388291,2021-06-04 05:00:00
61,9.62,9.65,9.6,9.65,76850,2021-06-07 05:00:00
62,9.65,9.67,9.65,9.66,23952,2021-06-08 05:00:00
63,9.65,9.65,9.64,9.65,12601,2021-06-09 05:00:00
64,9.65,9.65,9.6382,9.64,24220,2021-06-10 05:00:00
65,9.65,9.67,9.64,9.655,8293,2021-06-11 05:00:00
66,9.66,9.69,9.65,9.65,30062,2021-06-14 05:00:00
67,9.65,9.69,9.65,9.6502,76696,2021-06-15 05:00:00
68,9.65,9.69,9.6482,9.66,16543,2021-06-16 05:00:00
69,9.67,9.68,9.65,9.66,11951,2021-06-17 05:00:00
70,9.68,9.68,9.65,9.65,11005,2021-06-18 05:00:00
71,9.65,9.67,9.65,9.67,18740,2021-06-21 05:00:00
72,9.65,9.68,9.65,9.67,26935,2021-06-22 05:00:00
73,9.68,9.69,9.66,9.67,140935,2021-06-23 05:00:00
74,9.67,9.68,9.66,9.67,67502,2021-06-24 05:00:00
75,9.67,9.68,9.65,9.67,30441,2021-06-25 05:00:00
76,9.65,9.68,9.64,9.68,55923,2021-06-28 05:00:00
77,9.63,9.66,9.63,9.64,230323,2021-06-29 05:00:00
78,9.64,9.65,9.63,9.65,90755,2021-06-30 05:00:00
79,9.65,9.66,9.62,9.64,69292,2021-07-01 05:00:00
80,9.63,9.66,9.63,9.63,408785,2021-07-02 05:00:00
81,9.64,9.65,9.63,9.65,32957,2021-07-06 05:00:00
82,9.65,9.66,9.64,9.64,17934,2021-07-07 05:00:00
83,9.8,9.86,9.78,9.79,2514594,2021-07-08 05:00:00
84,9.83,9.83,9.78,9.79,247696,2021-07-09 05:00:00
85,9.79,9.8,9.77,9.77,187577,2021-07-12 05:00:00
86,9.77,9.79,9.77,9.79,44913,2021-07-13 05:00:00
87,9.79,9.79,9.77,9.77,41890,2021-07-14 05:00:00
88,9.77,9.8,9.77,9.8,51474,2021-07-15 05:00:00
89,9.77,9.8,9.77,9.79,27656,2021-07-16 05:00:00
90,9.78,9.8,9.77,9.8,28051,2021-07-19 05:00:00
91,9.8,9.8,9.78,9.78,36844,2021-07-20 05:00:00
92,9.79,9.8,9.77,9.79,281759,2021-07-21 05:00:00
93,9.8,9.8,9.77,9.7802,53339,2021-07-22 05:00:00
94,9.8,9.81,9.79,9.81,77488,2021-07-23 05:00:00
95,9.8,9.81,9.8,9.81,36818,2021-07-26 05:00:00
96,9.8099,9.82,9.8,9.8,66278,2021-07-27 05:00:00
97,9.81,9.82,9.8,9.82,126770,2021-07-28 05:00:00
98,9.8,9.83,9.8,9.82,16025,2021-07-29 05:00:00
99,9.8,9.83,9.8,9.83,18672,2021-07-30 05:00:00
100,9.8,9.89,9.8,9.89,8224,2021-08-02 05:00:00
101,9.82,9.82,9.8,9.81,25323,2021-08-03 05:00:00
102,9.81,9.81,9.81,9.81,1161,2021-08-04 05:00:00
