,open,high,low,close,volume,datetime
0,30.0,40.0,30.0,30.0,137,2009-11-05 06:00:00
1,20.4,20.4,20.0,20.0,187,2009-11-11 06:00:00
2,10.0,10.0,10.0,10.0,100,2010-01-08 06:00:00
3,20.0,20.0,20.0,20.0,31,2010-01-11 06:00:00
4,10.0,10.0,10.0,10.0,125,2010-02-04 06:00:00
5,10.0,10.0,8.0,8.0,431,2010-04-16 05:00:00
6,2.0,2.0,2.0,2.0,250,2010-05-24 05:00:00
7,23.6,23.6,23.6,23.6,6,2010-06-02 05:00:00
8,1.4,1.4,1.4,1.4,520,2010-06-14 05:00:00
9,2.0,2.0,2.0,2.0,1000,2010-06-16 05:00:00
10,2.0,2.0,2.0,2.0,375,2010-06-17 05:00:00
11,1.44,1.44,1.2,1.2,495,2010-06-18 05:00:00
12,1.6,1.6,1.6,1.6,56,2010-06-23 05:00:00
13,6.0,6.0,6.0,6.0,624,2010-06-24 05:00:00
14,6.0,6.0,6.0,6.0,68,2010-06-25 05:00:00
15,6.0,7.6,4.0,4.0,217,2010-06-28 05:00:00
16,3.6,3.6,3.6,3.6,125,2010-06-29 05:00:00
17,3.2,3.2,2.8,2.8,280,2010-06-30 05:00:00
18,2.8,2.8,2.8,2.8,50,2010-07-02 05:00:00
19,2.4,2.4,2.0,2.0,625,2010-07-06 05:00:00
20,2.0,2.0,2.0,2.0,500,2010-07-08 05:00:00
21,2.4,2.4,2.4,2.4,125,2010-07-16 05:00:00
22,2.3,2.4,2.3,2.4,500,2010-07-20 05:00:00
23,2.0,2.0,2.0,2.0,625,2010-07-22 05:00:00
24,2.0,2.0,2.0,2.0,375,2010-08-12 05:00:00
25,1.6,1.6,1.6,1.6,125,2010-08-16 05:00:00
26,1.0,1.0,0.8,0.8,625,2010-09-20 05:00:00
27,0.8,0.8,0.8,0.8,225,2010-09-22 05:00:00
28,0.4,0.4,0.4,0.4,375,2010-09-24 05:00:00
29,0.8,2.0,0.8,2.0,437,2010-10-19 05:00:00
30,2.0,2.0,2.0,2.0,543,2010-10-21 05:00:00
31,2.0,2.0,2.0,2.0,125,2010-10-22 05:00:00
32,1.6,1.6,1.2,1.2,2483,2010-10-25 05:00:00
33,1.0,1.0,1.0,1.0,400,2010-11-04 05:00:00
34,1.04,1.04,1.0,1.0,580,2010-12-09 06:00:00
35,1.04,1.04,1.04,1.04,558,2010-12-14 06:00:00
36,1.32,1.32,1.32,1.32,267,2010-12-20 06:00:00
37,2.0,2.0,2.0,2.0,75,2010-12-23 06:00:00
38,1.4,1.4,1.4,1.4,558,2010-12-28 06:00:00
39,1.4,1.4,1.4,1.4,75,2011-02-08 06:00:00
40,1.4,1.4,1.4,1.4,437,2011-02-28 06:00:00
41,2.4,2.4,2.4,2.4,32,2011-03-30 05:00:00
42,2.4,2.4,2.4,2.4,400,2011-04-08 05:00:00
43,2.4,4.0,2.4,4.0,650,2011-04-11 05:00:00
44,4.0,8.8,4.0,5.2,2432,2011-04-12 05:00:00
45,6.0,6.0,6.0,6.0,21,2011-04-13 05:00:00
46,4.4,6.0,2.4,5.2,1053,2011-04-14 05:00:00
47,3.2,3.6,3.2,3.6,350,2011-04-15 05:00:00
48,3.6,3.6,3.2,3.2,317,2011-04-19 05:00:00
49,2.4,2.4,2.4,2.4,42,2011-04-26 05:00:00
50,2.44,2.44,2.4,2.4,295,2011-04-27 05:00:00
51,2.4,2.4,2.4,2.4,112,2011-05-04 05:00:00
