,open,high,low,close,volume,datetime
0,17.9,18.15,17.9,18.15,600,2002-06-10 05:00:00
1,18.0,18.15,17.9,18.0,1700,2002-06-11 05:00:00
2,18.15,18.25,18.0,18.25,1500,2002-06-12 05:00:00
3,18.24,18.25,18.24,18.24,2200,2002-06-13 05:00:00
4,18.0,18.1,18.0,18.1,2700,2002-06-14 05:00:00
5,18.0,18.0,17.65,17.65,3000,2002-06-17 05:00:00
6,17.65,17.65,17.61,17.65,900,2002-06-18 05:00:00
7,17.75,18.1,17.65,17.84,4100,2002-06-19 05:00:00
8,17.83,17.83,17.5,17.75,1200,2002-06-21 05:00:00
9,17.55,17.75,17.5,17.6,1600,2002-06-24 05:00:00
10,17.5,17.75,17.5,17.6,600,2002-06-25 05:00:00
11,17.48,17.6,17.48,17.6,400,2002-06-26 05:00:00
12,17.5,17.74,17.5,17.74,1900,2002-06-28 05:00:00
13,17.5,17.5,17.25,17.25,9200,2002-07-01 05:00:00
14,17.0,17.0,17.0,17.0,100,2002-07-05 05:00:00
15,16.8,16.8,16.35,16.65,1900,2002-07-08 05:00:00
16,16.5,16.7,16.4,16.7,1000,2002-07-09 05:00:00
17,16.7,16.79,16.7,16.79,600,2002-07-10 05:00:00
18,16.55,16.79,16.55,16.79,400,2002-07-11 05:00:00
19,16.55,16.75,16.5,16.75,900,2002-07-15 05:00:00
20,16.5,16.55,16.45,16.55,600,2002-07-16 05:00:00
21,16.5,16.5,16.3,16.5,900,2002-07-17 05:00:00
22,16.4,16.4,16.25,16.4,1000,2002-07-18 05:00:00
23,16.25,16.45,16.25,16.45,300,2002-07-19 05:00:00
24,16.26,16.43,16.21,16.4,500,2002-07-22 05:00:00
25,16.1,16.25,16.1,16.25,800,2002-07-25 05:00:00
26,16.25,16.35,16.0,16.25,3200,2002-07-29 05:00:00
27,16.05,16.75,16.0,16.75,4600,2002-07-30 05:00:00
28,16.85,17.0,16.85,17.0,700,2002-07-31 05:00:00
29,17.15,17.15,17.15,17.15,300,2002-08-01 05:00:00
30,17.0,17.2,17.0,17.2,200,2002-08-02 05:00:00
31,17.0,17.0,16.85,16.85,900,2002-08-06 05:00:00
32,16.76,16.76,16.76,16.76,200,2002-08-07 05:00:00
33,16.75,16.75,16.5,16.5,600,2002-08-08 05:00:00
34,16.35,16.54,16.26,16.54,400,2002-08-09 05:00:00
35,16.35,16.35,16.0,16.0,1400,2002-08-12 05:00:00
36,16.0,16.15,15.9,16.15,1700,2002-08-13 05:00:00
37,16.1,16.1,16.1,16.1,200,2002-08-14 05:00:00
38,16.0,16.0,16.0,16.0,100,2002-08-15 05:00:00
39,15.75,15.85,15.6,15.85,1500,2002-08-16 05:00:00
40,16.0,16.0,15.75,15.9,2400,2002-08-19 05:00:00
41,15.91,15.91,15.91,15.91,600,2002-08-20 05:00:00
42,15.91,16.0,15.91,16.0,1200,2002-08-21 05:00:00
43,16.1,16.15,15.91,16.15,400,2002-08-22 05:00:00
44,16.65,16.75,16.5,16.5,2800,2002-08-23 05:00:00
45,16.5,16.5,16.0,16.01,1700,2002-08-26 05:00:00
46,16.0,16.1,16.0,16.1,700,2002-08-27 05:00:00
47,16.0,16.35,16.0,16.35,1800,2002-08-28 05:00:00
48,16.15,16.15,16.0,16.0,1800,2002-08-29 05:00:00
49,15.85,16.05,15.5,15.65,4100,2002-08-30 05:00:00
50,15.5,15.5,15.4,15.5,500,2002-09-03 05:00:00
51,15.3,15.6,15.3,15.6,2200,2002-09-04 05:00:00
52,15.6,15.69,15.6,15.69,600,2002-09-05 05:00:00
53,15.7,16.1,15.7,16.0,2000,2002-09-06 05:00:00
54,16.1,16.15,16.1,16.15,400,2002-09-09 05:00:00
55,15.96,15.96,15.5,15.7,2700,2002-09-10 05:00:00
56,15.5,15.7,15.5,15.65,1200,2002-09-11 05:00:00
57,15.65,15.65,15.55,15.55,400,2002-09-12 05:00:00
58,15.65,15.79,15.65,15.65,1800,2002-09-13 05:00:00
59,15.5,15.5,15.4,15.48,600,2002-09-16 05:00:00
60,15.31,15.65,15.31,15.65,1600,2002-09-17 05:00:00
61,15.75,15.75,15.28,15.4,1800,2002-09-18 05:00:00
62,15.5,15.8,15.5,15.75,2800,2002-09-20 05:00:00
63,15.6,15.6,15.3,15.55,1600,2002-09-25 05:00:00
64,15.25,15.25,15.0,15.2,3000,2002-09-30 05:00:00
65,15.2,15.2,15.2,15.2,600,2002-10-01 05:00:00
66,15.0,15.15,14.85,15.15,2100,2002-10-02 05:00:00
67,14.95,15.2,14.75,15.2,1300,2002-10-03 05:00:00
68,15.05,15.06,15.05,15.05,400,2002-10-04 05:00:00
69,15.2,15.45,15.2,15.4,4200,2002-10-07 05:00:00
70,15.2,15.38,15.2,15.38,500,2002-10-08 05:00:00
71,15.15,15.3,15.1,15.3,900,2002-10-09 05:00:00
72,15.1,15.1,14.65,14.65,2900,2002-10-10 05:00:00
