,open,high,low,close,volume,datetime
0,18.5,25.2,18.5,20.5,21600,2005-02-14 06:00:00
1,21.25,22.0,20.0,20.0,2000,2005-02-15 06:00:00
2,21.0,21.0,21.0,21.0,1000,2005-02-16 06:00:00
3,20.5,21.5,19.755,20.0,4200,2005-02-17 06:00:00
4,20.0,20.06,19.5,19.5,1400,2005-02-18 06:00:00
5,19.375,19.5,19.25,19.25,600,2005-02-22 06:00:00
6,19.0,19.0,18.0,18.25,5000,2005-02-23 06:00:00
7,18.25,18.25,17.25,17.275,10400,2005-02-24 06:00:00
8,17.25,17.25,16.6,16.6,13000,2005-02-25 06:00:00
9,16.5,16.5,16.125,16.49,12800,2005-02-28 06:00:00
10,16.45,16.5,15.8,16.45,13400,2005-03-01 06:00:00
11,16.45,16.45,15.4,15.5,9600,2005-03-02 06:00:00
12,15.7,15.8,15.475,15.475,7600,2005-03-03 06:00:00
13,15.815,15.875,15.35,15.35,9600,2005-03-04 06:00:00
14,15.525,15.525,15.525,15.525,200,2005-03-07 06:00:00
15,15.5,15.725,15.5,15.5,14600,2005-03-08 06:00:00
16,15.35,15.35,15.35,15.35,800,2005-03-09 06:00:00
17,15.625,15.625,15.2,15.2,10200,2005-03-10 06:00:00
18,15.44,15.44,15.44,15.44,800,2005-03-14 06:00:00
19,15.44,15.81,15.44,15.5,2600,2005-03-15 06:00:00
20,15.5,15.5,15.5,15.5,1000,2005-03-16 06:00:00
21,15.5,15.5,14.75,15.0,1000,2005-03-17 06:00:00
22,15.25,15.25,15.0,15.0,1600,2005-03-18 06:00:00
23,14.625,14.7,13.5,13.85,14000,2005-03-21 06:00:00
24,14.0,14.0,13.8,13.8,400,2005-03-22 06:00:00
25,13.625,14.0,13.5,13.65,13000,2005-03-23 06:00:00
26,13.65,14.0,13.65,14.0,5000,2005-03-24 06:00:00
27,14.5,14.75,14.25,14.67,5600,2005-03-28 06:00:00
28,14.7,14.7,14.5,14.5,1000,2005-03-29 06:00:00
29,14.5,14.625,14.5,14.5,8000,2005-03-30 06:00:00
30,14.35,14.5,14.15,14.5,4800,2005-03-31 06:00:00
31,14.5,14.5,14.5,14.5,2000,2005-04-01 06:00:00
32,14.21,14.595,14.125,14.285,12400,2005-04-04 05:00:00
33,14.43,14.43,14.345,14.345,800,2005-04-05 05:00:00
34,14.74,14.74,14.415,14.625,5200,2005-04-06 05:00:00
35,14.5,14.5,14.5,14.5,400,2005-04-08 05:00:00
36,14.75,14.75,14.37,14.375,2800,2005-04-11 05:00:00
37,14.875,15.075,14.75,14.75,1600,2005-04-13 05:00:00
38,14.5,14.965,14.48,14.75,3200,2005-04-14 05:00:00
39,14.375,14.375,14.375,14.375,800,2005-04-15 05:00:00
40,14.375,14.5,14.375,14.5,2200,2005-04-18 05:00:00
41,14.25,14.25,14.25,14.25,200,2005-04-19 05:00:00
42,14.7,14.75,14.7,14.7,1000,2005-04-20 05:00:00
43,14.95,14.95,14.95,14.95,200,2005-04-21 05:00:00
44,15.0,15.0,15.0,15.0,7400,2005-04-22 05:00:00
45,15.0,15.0,15.0,15.0,13000,2005-04-25 05:00:00
46,15.0,15.0,15.0,15.0,800,2005-04-26 05:00:00
47,15.0,15.0,15.0,15.0,2200,2005-04-27 05:00:00
48,14.9,14.9,14.875,14.875,1600,2005-04-28 05:00:00
49,15.5,15.5,15.0,15.0,2800,2005-04-29 05:00:00
50,14.5,14.95,14.5,14.95,400,2005-05-06 05:00:00
51,14.505,14.655,14.505,14.64,1400,2005-05-09 05:00:00
52,15.525,15.525,15.0,15.0,29200,2005-05-13 05:00:00
53,15.15,15.515,15.095,15.095,3000,2005-05-16 05:00:00
54,15.25,15.25,15.0,15.015,4000,2005-05-17 05:00:00
55,15.25,15.25,15.25,15.25,600,2005-05-23 05:00:00
56,15.05,15.125,14.775,14.775,2200,2005-05-24 05:00:00
57,15.05,15.05,15.05,15.05,400,2005-05-25 05:00:00
58,15.35,15.75,15.025,15.33,1200,2005-05-27 05:00:00
59,14.5,14.51,14.5,14.51,400,2005-06-03 05:00:00
60,14.0,15.025,13.48,15.025,7600,2005-06-07 05:00:00
61,14.415,14.415,14.415,14.415,400,2005-06-08 05:00:00
