,open,high,low,close,volume,datetime
0,0.7,0.75,0.7,0.75,3000,2002-06-10 05:00:00
1,0.7,0.7,0.7,0.7,1000,2002-06-12 05:00:00
2,0.75,0.75,0.7,0.7,2000,2002-06-18 05:00:00
3,0.75,0.75,0.7,0.7,600,2002-06-19 05:00:00
4,0.8,0.8,0.8,0.8,100,2002-06-24 05:00:00
5,0.7,0.75,0.7,0.75,2000,2002-06-26 05:00:00
6,0.75,0.75,0.7,0.7,400,2002-07-03 05:00:00
7,0.75,0.75,0.7,0.7,2800,2002-07-08 05:00:00
8,0.75,0.75,0.7,0.7,200,2002-07-09 05:00:00
9,0.75,0.9,0.7,0.9,4600,2002-07-11 05:00:00
10,0.75,0.75,0.7,0.7,1000,2002-07-12 05:00:00
11,0.7,0.75,0.7,0.75,4000,2002-07-15 05:00:00
12,0.85,0.85,0.7,0.7,7800,2002-07-16 05:00:00
13,0.7,0.7,0.7,0.7,100,2002-07-17 05:00:00
14,0.7,0.7,0.7,0.7,300,2002-07-18 05:00:00
15,0.7,0.7,0.7,0.7,3500,2002-07-19 05:00:00
16,0.6,0.6,0.5,0.51,18600,2002-07-22 05:00:00
17,0.51,0.6,0.51,0.55,55200,2002-07-23 05:00:00
18,0.54,0.55,0.54,0.54,21000,2002-07-24 05:00:00
19,0.45,0.55,0.45,0.52,27000,2002-07-25 05:00:00
20,0.55,0.55,0.52,0.52,12000,2002-07-29 05:00:00
21,0.6,0.6,0.6,0.6,100,2002-08-01 05:00:00
22,0.6,0.6,0.52,0.55,13500,2002-08-06 05:00:00
23,0.45,0.45,0.45,0.45,300,2002-08-13 05:00:00
24,0.7,0.7,0.6,0.6,1200,2002-08-14 05:00:00
25,0.6,0.6,0.6,0.6,2000,2002-08-16 05:00:00
26,0.6,0.6,0.6,0.6,400,2002-08-20 05:00:00
27,0.6,0.6,0.51,0.51,200,2002-08-27 05:00:00
28,0.51,0.51,0.51,0.51,200,2002-08-30 05:00:00
29,0.51,0.51,0.51,0.51,100,2002-09-05 05:00:00
30,0.51,0.51,0.51,0.51,5000,2002-09-06 05:00:00
31,0.51,0.51,0.51,0.51,100,2002-09-09 05:00:00
32,0.51,0.51,0.51,0.51,200,2002-09-12 05:00:00
33,0.7,0.7,0.7,0.7,200,2002-09-13 05:00:00
34,0.65,0.65,0.65,0.65,300,2002-09-20 05:00:00
35,0.6,0.6,0.55,0.55,8000,2002-09-23 05:00:00
36,0.65,0.77,0.6,0.75,64700,2002-09-24 05:00:00
37,0.85,0.9,0.8,0.85,40300,2002-09-25 05:00:00
38,0.95,1.2,0.95,1.2,38600,2002-09-26 05:00:00
39,1.05,1.05,1.05,1.05,2300,2002-09-27 05:00:00
40,0.95,0.95,0.95,0.95,2500,2002-09-30 05:00:00
41,0.95,0.95,0.85,0.85,3500,2002-10-01 05:00:00
42,0.95,0.95,0.95,0.95,200,2002-10-02 05:00:00
43,0.8,0.8,0.8,0.8,6000,2002-10-09 05:00:00
44,0.95,0.95,0.8,0.8,300,2002-10-11 05:00:00
45,0.8,0.8,0.8,0.8,7000,2002-10-18 05:00:00
46,0.8,0.8,0.8,0.8,100,2002-10-23 05:00:00
47,0.75,1.0,0.75,1.0,2400,2002-11-05 06:00:00
48,0.75,0.8,0.75,0.8,1000,2002-11-06 06:00:00
49,0.75,0.75,0.75,0.75,200,2002-11-07 06:00:00
50,0.95,0.98,0.75,0.75,20600,2002-11-08 06:00:00
51,0.98,0.98,0.98,0.98,1000,2002-11-12 06:00:00
52,0.9,0.9,0.9,0.9,800,2002-11-13 06:00:00
53,0.9,1.01,0.9,1.0,38500,2002-11-14 06:00:00
54,0.95,1.05,0.95,1.05,1100,2002-11-15 06:00:00
55,0.95,0.95,0.95,0.95,1000,2002-11-18 06:00:00
56,0.95,0.95,0.95,0.95,200,2002-11-19 06:00:00
57,0.98,0.98,0.98,0.98,1100,2002-11-21 06:00:00
58,1.0,1.0,1.0,1.0,1000,2002-11-22 06:00:00
59,0.98,0.98,0.98,0.98,1400,2002-11-25 06:00:00
60,1.05,1.08,1.02,1.04,14900,2002-11-26 06:00:00
61,1.1,1.1,1.05,1.05,2600,2002-11-27 06:00:00
62,1.1,1.1,1.05,1.09,7800,2002-11-29 06:00:00
63,1.06,1.09,1.06,1.09,200,2002-12-03 06:00:00
64,1.06,1.09,1.06,1.09,1400,2002-12-04 06:00:00
65,1.14,1.47,1.14,1.3,24800,2002-12-05 06:00:00
66,1.3,1.3,1.3,1.3,1500,2002-12-06 06:00:00
67,1.3,1.3,1.3,1.3,3300,2002-12-10 06:00:00
68,1.26,1.26,1.15,1.25,9000,2002-12-12 06:00:00
69,1.25,1.25,1.22,1.22,2000,2002-12-16 06:00:00
70,1.25,1.6,1.25,1.6,8300,2002-12-17 06:00:00
71,1.5,1.5,1.5,1.5,200,2002-12-20 06:00:00
72,1.5,1.5,1.5,1.5,200,2002-12-26 06:00:00
73,1.5,1.5,1.1,1.1,8000,2002-12-27 06:00:00
74,1.1,1.2,1.1,1.2,1000,2002-12-30 06:00:00
75,1.1,1.1,1.1,1.1,200,2002-12-31 06:00:00
76,1.1,1.2,1.1,1.2,6900,2003-01-02 06:00:00
77,1.25,1.25,1.25,1.25,500,2003-01-06 06:00:00
78,1.15,1.25,1.15,1.15,3200,2003-01-07 06:00:00
79,1.15,1.15,1.15,1.15,200,2003-01-10 06:00:00
80,1.15,1.2,1.15,1.15,5900,2003-01-13 06:00:00
81,1.25,1.3,1.25,1.25,2500,2003-01-15 06:00:00
82,1.3,1.3,1.25,1.25,400,2003-01-16 06:00:00
83,1.3,1.3,1.3,1.3,200,2003-01-17 06:00:00
84,1.25,1.3,1.25,1.3,7200,2003-01-21 06:00:00
85,1.25,1.3,1.25,1.3,2200,2003-01-22 06:00:00
86,1.35,1.35,1.3,1.3,3600,2003-02-04 06:00:00
87,1.35,1.35,1.25,1.25,5000,2003-02-07 06:00:00
88,1.35,1.35,1.29,1.29,1200,2003-02-11 06:00:00
89,1.2,1.2,1.2,1.2,800,2003-02-13 06:00:00
90,1.05,1.05,1.05,1.05,100,2003-02-14 06:00:00
91,1.25,1.25,1.25,1.25,300,2003-02-18 06:00:00
92,1.25,1.25,1.25,1.25,1300,2003-02-19 06:00:00
93,1.35,1.45,1.3,1.45,4800,2003-02-26 06:00:00
94,1.35,1.35,1.35,1.35,500,2003-02-28 06:00:00
95,1.35,1.35,1.35,1.35,400,2003-03-06 06:00:00
96,1.45,1.45,1.45,1.45,300,2003-03-07 06:00:00
97,1.35,1.45,1.35,1.45,600,2003-03-13 06:00:00
98,1.5,1.6,1.45,1.6,1900,2003-03-17 06:00:00
99,1.5,1.5,1.5,1.5,1500,2003-03-18 06:00:00
100,1.55,1.6,1.55,1.6,1000,2003-03-19 06:00:00
101,1.5,1.5,1.5,1.5,100,2003-03-24 06:00:00
102,1.6,1.6,1.55,1.55,900,2003-03-25 06:00:00
103,1.6,1.6,1.5,1.6,13900,2003-03-27 06:00:00
104,1.65,1.78,1.65,1.78,2700,2003-04-02 06:00:00
105,1.88,1.9,1.88,1.9,1000,2003-04-03 06:00:00
106,1.8,2.43,1.8,2.3,20000,2003-04-04 06:00:00
107,2.35,3.0,2.3,2.55,29600,2003-04-07 05:00:00
108,2.55,2.6,2.55,2.6,3800,2003-04-08 05:00:00
109,2.95,2.95,2.95,2.95,100,2003-04-09 05:00:00
110,2.95,2.95,2.95,2.95,1200,2003-04-10 05:00:00
111,2.5,2.95,2.5,2.7,3600,2003-04-14 05:00:00
112,2.75,2.95,2.7,2.95,5800,2003-04-15 05:00:00
113,2.75,2.75,2.6,2.75,10300,2003-04-16 05:00:00
114,2.85,2.95,2.85,2.9,4600,2003-04-17 05:00:00
115,2.95,2.95,2.9,2.95,17000,2003-04-21 05:00:00
116,2.95,2.95,2.85,2.93,1900,2003-04-22 05:00:00
117,2.95,3.25,2.9,3.25,30500,2003-04-24 05:00:00
118,3.15,3.15,3.15,3.15,300,2003-04-28 05:00:00
119,3.45,4.55,3.45,4.55,48400,2003-04-29 05:00:00
120,4.2,5.05,4.2,4.9,53800,2003-04-30 05:00:00
121,5.0,5.0,4.1,4.65,10100,2003-05-01 05:00:00
122,4.5,4.6,4.1,4.35,7300,2003-05-02 05:00:00
123,4.35,4.6,4.35,4.6,1700,2003-05-05 05:00:00
124,4.5,4.5,4.1,4.15,4000,2003-05-06 05:00:00
125,4.1,4.5,4.1,4.3,9700,2003-05-07 05:00:00
126,4.15,4.55,4.1,4.5,57700,2003-05-08 05:00:00
127,4.6,5.05,4.5,5.05,64200,2003-05-09 05:00:00
128,5.05,5.38,5.0,5.3,42100,2003-05-12 05:00:00
129,5.25,5.85,5.25,5.8,91800,2003-05-13 05:00:00
130,5.9,6.5,5.8,6.1,65100,2003-05-14 05:00:00
131,6.15,6.25,5.9,5.9,18000,2003-05-15 05:00:00
132,6.1,6.1,6.0,6.05,12500,2003-05-16 05:00:00
133,6.1,6.1,5.95,6.0,26700,2003-05-19 05:00:00
134,6.0,6.05,6.0,6.0,22300,2003-05-20 05:00:00
135,6.0,6.0,5.95,5.95,12000,2003-05-21 05:00:00
136,5.95,6.17,5.95,5.95,23000,2003-05-22 05:00:00
