,open,high,low,close,volume,datetime
0,10.0,10.0,9.85,9.85,322377,2020-09-21 05:00:00
1,13.5,13.5,9.8945,9.91,52240,2020-09-22 05:00:00
2,10.1,10.2,9.885,9.89,26858,2020-09-23 05:00:00
3,9.85,9.92,9.76,9.86,52201,2020-09-24 05:00:00
4,9.85,9.8574,9.8,9.84,84839,2020-09-25 05:00:00
5,9.85,10.14,9.85,9.85,26990,2020-09-28 05:00:00
6,10.08,10.08,9.85,9.95,30558,2020-09-29 05:00:00
7,9.95,10.121,9.9,9.9407,11726,2020-09-30 05:00:00
8,9.95,9.95,9.83,9.9,15499,2020-10-01 05:00:00
9,9.84,9.86,9.8,9.8,292665,2020-10-02 05:00:00
10,9.9,9.9,9.78,9.78,495041,2020-10-05 05:00:00
11,9.781,9.84,9.75,9.75,117031,2020-10-06 05:00:00
12,9.8097,9.8097,9.71,9.73,66147,2020-10-07 05:00:00
13,9.86,10.3287,9.7,9.71,410307,2020-10-08 05:00:00
14,9.75,9.75,9.7,9.7148,86006,2020-10-09 05:00:00
15,9.75,9.75,9.7,9.715,54963,2020-10-12 05:00:00
16,9.7697,9.7697,9.7,9.71,29045,2020-10-13 05:00:00
17,9.7454,9.79,9.719,9.73,3544,2020-10-14 05:00:00
18,9.7309,9.79,9.7,9.79,49250,2020-10-15 05:00:00
19,9.84,9.85,9.79,9.85,85569,2020-10-16 05:00:00
20,9.9,9.9,9.77,9.83,67975,2020-10-19 05:00:00
21,9.8,9.8395,9.78,9.79,25056,2020-10-20 05:00:00
22,9.9,9.9,9.74,9.75,309578,2020-10-21 05:00:00
23,9.71,9.7649,9.7,9.71,272021,2020-10-22 05:00:00
24,9.71,9.81,9.6901,9.71,68765,2020-10-23 05:00:00
25,9.79,9.79,9.69,9.7,97595,2020-10-26 05:00:00
26,9.7005,9.75,9.69,9.75,22516,2020-10-27 05:00:00
27,9.6801,9.7234,9.6801,9.7,192427,2020-10-28 05:00:00
28,9.69,9.73,9.69,9.7,46679,2020-10-29 05:00:00
29,9.68,9.75,9.67,9.67,72760,2020-10-30 05:00:00
30,9.67,9.74,9.67,9.72,30692,2020-11-02 06:00:00
31,9.72,9.75,9.67,9.75,108055,2020-11-03 06:00:00
32,9.7383,9.75,9.73,9.73,2835,2020-11-04 06:00:00
33,9.7,9.7897,9.7,9.72,17547,2020-11-05 06:00:00
34,9.7101,9.79,9.7101,9.79,11475,2020-11-06 06:00:00
35,9.8799,9.8799,9.7501,9.77,4963,2020-11-09 06:00:00
36,9.767,9.87,9.76,9.76,2981,2020-11-10 06:00:00
37,9.75,9.79,9.7,9.72,37935,2020-11-11 06:00:00
38,9.7397,9.7512,9.72,9.74,12938,2020-11-12 06:00:00
