,open,high,low,close,volume,datetime
0,9.8,9.8,9.7,9.7,931,2020-06-03 05:00:00
1,10.0,10.0,9.7,9.72,606752,2020-06-04 05:00:00
2,9.75,9.75,9.75,9.75,25104,2020-06-08 05:00:00
3,9.75,9.8,9.73,9.73,158697,2020-06-09 05:00:00
4,9.75,9.75,9.75,9.75,194596,2020-06-10 05:00:00
5,9.76,9.76,9.76,9.76,229,2020-06-11 05:00:00
6,9.75,9.75,9.75,9.75,100185,2020-06-15 05:00:00
7,9.87,9.87,9.87,9.87,131,2020-06-16 05:00:00
8,9.95,9.95,9.81,9.81,612,2020-06-19 05:00:00
9,9.86,9.93,9.82,9.83,7801,2020-06-22 05:00:00
10,10.03,10.03,9.8,9.85,20065,2020-06-23 05:00:00
11,9.86,11.65,9.85,11.4,3883278,2020-06-24 05:00:00
12,11.8,11.84,10.6701,10.9,1113782,2020-06-25 05:00:00
13,10.97,10.97,10.56,10.62,542560,2020-06-26 05:00:00
14,11.0,11.33,10.68,11.12,713572,2020-06-29 05:00:00
15,11.4,11.49,10.65,10.73,975453,2020-06-30 05:00:00
16,10.91,11.18,10.8,10.86,176017,2020-07-01 05:00:00
17,11.07,11.22,10.88,11.05,598561,2020-07-02 05:00:00
18,11.2,11.3,10.88,11.05,452116,2020-07-06 05:00:00
19,11.12,11.18,10.63,10.82,265122,2020-07-07 05:00:00
20,10.92,10.99,10.6,10.7,160379,2020-07-08 05:00:00
21,10.81,11.02,10.65,11.0,219519,2020-07-09 05:00:00
22,11.11,11.11,10.8819,10.99,236426,2020-07-10 05:00:00
23,11.05,11.14,10.7701,10.85,374770,2020-07-13 05:00:00
24,10.78,10.89,10.5,10.6,252138,2020-07-14 05:00:00
25,10.52,10.82,10.52,10.68,166288,2020-07-15 05:00:00
26,10.58,10.75,10.5219,10.65,37958,2020-07-16 05:00:00
27,10.6,10.8,10.51,10.6,89583,2020-07-17 05:00:00
28,10.7,10.7485,10.585,10.62,48518,2020-07-20 05:00:00
29,10.84,10.85,10.5,10.55,70115,2020-07-21 05:00:00
30,10.5,10.61,10.4,10.5,59847,2020-07-22 05:00:00
31,10.45,10.6,10.25,10.36,284791,2020-07-23 05:00:00
32,10.44,10.45,10.3,10.35,213571,2020-07-24 05:00:00
33,10.65,10.822,10.4,10.45,48813,2020-07-27 05:00:00
34,10.35,10.475,10.27,10.4,447974,2020-07-28 05:00:00
35,10.4,10.48,10.26,10.39,70755,2020-07-29 05:00:00
36,10.27,10.3513,10.1101,10.25,206239,2020-07-30 05:00:00
37,10.25,10.4,10.12,10.25,126393,2020-07-31 05:00:00
38,10.25,10.25,10.12,10.13,185482,2020-08-03 05:00:00
39,10.12,10.2,10.1,10.2,74480,2020-08-04 05:00:00
40,10.25,10.25,10.06,10.15,465841,2020-08-05 05:00:00
41,10.23,10.25,10.1501,10.25,16199,2020-08-06 05:00:00
42,10.25,10.29,10.1803,10.29,24452,2020-08-07 05:00:00
43,10.29,10.29,10.18,10.23,11432,2020-08-10 05:00:00
44,10.26,10.28,10.1,10.25,33641,2020-08-11 05:00:00
45,10.25,10.265,10.1101,10.23,28887,2020-08-12 05:00:00
46,10.2,10.29,10.17,10.29,72061,2020-08-13 05:00:00
47,10.38,10.38,10.155,10.22,93715,2020-08-14 05:00:00
48,10.25,10.25,10.15,10.18,64569,2020-08-17 05:00:00
49,10.15,10.25,10.05,10.09,75174,2020-08-18 05:00:00
50,10.15,10.18,10.05,10.15,92033,2020-08-19 05:00:00
51,10.07,10.19,9.99,10.09,249098,2020-08-20 05:00:00
52,10.07,10.14,10.0,10.06,66072,2020-08-21 05:00:00
53,10.01,10.1237,10.0,10.06,59115,2020-08-24 05:00:00
54,9.99,10.14,9.99,10.08,62088,2020-08-25 05:00:00
55,10.08,10.25,10.06,10.07,190786,2020-08-26 05:00:00
56,10.04,10.15,10.04,10.095,12579,2020-08-27 05:00:00
57,10.15,10.19,10.06,10.1,633591,2020-08-28 05:00:00
58,10.14,10.19,10.05,10.06,114396,2020-08-31 05:00:00
59,10.19,10.34,10.05,10.3,778673,2020-09-01 05:00:00
60,10.37,10.37,10.15,10.34,193540,2020-09-02 05:00:00
61,10.3,10.33,10.21,10.28,67897,2020-09-03 05:00:00
62,10.55,10.55,10.17,10.21,326128,2020-09-04 05:00:00
63,10.34,10.34,10.0,10.2,1176384,2020-09-08 05:00:00
64,10.31,10.39,10.2,10.21,264237,2020-09-09 05:00:00
65,10.3,10.7,10.25,10.51,996910,2020-09-10 05:00:00
66,10.6,10.69,10.37,10.4,387744,2020-09-11 05:00:00
67,10.5,10.5,10.3,10.39,220692,2020-09-14 05:00:00
68,10.4,10.42,10.22,10.3,323015,2020-09-15 05:00:00
69,10.39,10.45,10.15,10.31,507037,2020-09-16 05:00:00
70,10.29,10.29,10.155,10.18,312094,2020-09-17 05:00:00
71,10.22,10.33,10.16,10.2,270003,2020-09-18 05:00:00
72,10.17,10.18,10.01,10.1199,934880,2020-09-21 05:00:00
73,10.2,10.2,10.04,10.06,265733,2020-09-22 05:00:00
74,10.08,10.09,10.0,10.02,432922,2020-09-23 05:00:00
75,10.06,10.09,10.01,10.02,213895,2020-09-24 05:00:00
76,10.02,10.0544,10.01,10.0201,180355,2020-09-25 05:00:00
77,10.04,10.1,9.96,10.0,142947,2020-09-28 05:00:00
78,10.01,10.09,10.0,10.07,282936,2020-09-29 05:00:00
79,10.09,10.09,10.01,10.01,261500,2020-09-30 05:00:00
80,10.02,10.05,10.01,10.015,77608,2020-10-01 05:00:00
81,10.0,10.0167,9.99,9.9982,83030,2020-10-02 05:00:00
82,10.02,10.03,9.98,10.0,900677,2020-10-05 05:00:00
