,open,high,low,close,volume,datetime
0,9.9,9.91,9.73,9.73,203751,2020-09-22 05:00:00
1,9.71,9.795,9.7,9.795,20132,2020-09-24 05:00:00
2,9.88,9.88,9.71,9.78,11304,2020-09-25 05:00:00
3,9.74,9.83,9.73,9.74,25039,2020-09-28 05:00:00
4,9.75,9.76,9.71,9.71,15342,2020-09-29 05:00:00
5,9.73,9.915,9.73,9.75,74639,2020-09-30 05:00:00
6,9.86,9.9,9.73,9.73,9356,2020-10-01 05:00:00
7,9.74,9.92,9.73,9.92,215044,2020-10-02 05:00:00
8,9.73,9.785,9.73,9.785,16189,2020-10-05 05:00:00
9,9.85,9.88,9.73,9.74,18887,2020-10-06 05:00:00
10,9.7387,9.76,9.73,9.74,2616,2020-10-07 05:00:00
11,9.73,9.778,9.64,9.65,30697,2020-10-08 05:00:00
12,9.65,9.71,9.43,9.65,12700,2020-10-09 05:00:00
13,9.7,9.7,9.59,9.65,532,2020-10-12 05:00:00
14,9.66,9.66,9.655,9.655,576,2020-10-13 05:00:00
15,9.75,9.75,9.64,9.64,2874,2020-10-14 05:00:00
16,9.74,9.75,9.7,9.7,4067,2020-10-15 05:00:00
17,9.7,9.745,9.64,9.64,24200,2020-10-16 05:00:00
18,9.7125,9.735,9.62,9.7,3190,2020-10-21 05:00:00
19,9.69,9.73,9.68,9.715,195123,2020-10-22 05:00:00
20,9.7,9.7,9.7,9.7,180,2020-10-23 05:00:00
21,9.69,9.69,9.69,9.69,201,2020-10-26 05:00:00
22,9.66,9.7,9.66,9.69,2200,2020-10-27 05:00:00
23,9.6507,9.7,9.6208,9.64,5694,2020-10-28 05:00:00
24,9.64,9.68,9.64,9.68,82671,2020-10-29 05:00:00
25,9.62,9.62,9.62,9.62,360,2020-10-30 05:00:00
26,9.66,9.69,9.645,9.69,4284,2020-11-02 06:00:00
27,9.67,9.67,9.67,9.67,363,2020-11-03 06:00:00
28,9.65,9.66,9.65,9.66,5600,2020-11-04 06:00:00
29,9.69,9.69,9.69,9.69,940,2020-11-05 06:00:00
30,9.68,9.73,9.68,9.73,2929,2020-11-06 06:00:00
31,9.71,9.71,9.71,9.71,207,2020-11-09 06:00:00
32,9.7098,9.725,9.7098,9.72,1624,2020-11-11 06:00:00
33,9.72,9.75,9.69,9.705,7596,2020-11-12 06:00:00
34,9.75,9.75,9.75,9.75,293,2020-11-13 06:00:00
35,9.68,9.77,9.68,9.77,73633,2020-11-16 06:00:00
36,9.77,9.8,9.76,9.79,22884,2020-11-17 06:00:00
37,9.77,9.8,9.72,9.725,30155,2020-11-19 06:00:00
38,9.68,9.83,9.68,9.815,16107,2020-11-20 06:00:00
39,9.8665,9.8665,9.8665,9.8665,1031,2020-11-23 06:00:00
40,9.78,9.86,9.7,9.71,5948,2020-11-25 06:00:00
41,9.88,9.89,9.88,9.89,22057,2020-11-27 06:00:00
42,9.7214,9.8999,9.7214,9.8,85266,2020-11-30 06:00:00
43,9.855,9.855,9.855,9.855,110,2020-12-01 06:00:00
44,9.8501,9.875,9.8399,9.875,4416,2020-12-02 06:00:00
45,9.875,10.0,9.85,10.0,38311,2020-12-03 06:00:00
46,9.9999,10.0,9.95,9.99,41762,2020-12-04 06:00:00
47,10.0,10.04,9.9883,10.01,170518,2020-12-07 06:00:00
48,10.0002,10.03,9.95,9.95,34800,2020-12-08 06:00:00
49,9.96,10.01,9.96,10.0,11555,2020-12-09 06:00:00
50,9.96,10.05,9.96,9.97,104374,2020-12-10 06:00:00
51,10.04,10.05,9.88,10.004,30756,2020-12-11 06:00:00
52,9.92,9.98,9.87,9.97,373192,2020-12-14 06:00:00
53,10.04,10.1,10.0,10.01,28460,2020-12-15 06:00:00
54,10.04,10.08,9.94,10.0,15800,2020-12-16 06:00:00
55,10.04,10.04,9.9,10.0,450523,2020-12-17 06:00:00
56,10.04,10.05,9.96,9.96,23849,2020-12-18 06:00:00
57,9.96,9.96,9.9,9.95,35889,2020-12-21 06:00:00
58,9.96,10.19,9.96,10.19,10584,2020-12-22 06:00:00
59,10.18,10.18,10.1,10.18,5024,2020-12-23 06:00:00
60,10.01,10.15,10.0,10.0824,21693,2020-12-24 06:00:00
61,10.14,10.15,10.0501,10.11,27616,2020-12-28 06:00:00
62,10.02,10.071,9.96,10.02,35509,2020-12-29 06:00:00
63,10.05,10.15,9.96,10.09,52690,2020-12-30 06:00:00
64,10.01,10.14,10.0,10.01,47575,2020-12-31 06:00:00
65,10.07,10.15,10.0,10.08,39006,2021-01-04 06:00:00
66,10.15,10.15,10.0,10.11,156582,2021-01-05 06:00:00
67,10.12,10.14,10.02,10.11,38938,2021-01-06 06:00:00
68,10.12,10.13,10.01,10.08,102785,2021-01-07 06:00:00
69,10.14,10.21,10.01,10.2,62979,2021-01-08 06:00:00
70,10.18,10.27,10.12,10.25,22734,2021-01-11 06:00:00
71,10.25,10.3,10.2,10.26,78547,2021-01-12 06:00:00
72,10.29,10.3,10.225,10.29,17778,2021-01-13 06:00:00
73,10.3158,10.5,10.23,10.27,45658,2021-01-14 06:00:00
74,10.28,10.39,10.25,10.3,173157,2021-01-15 06:00:00
75,10.34,10.37,10.272,10.31,53774,2021-01-19 06:00:00
76,10.33,10.37,10.3,10.35,32457,2021-01-20 06:00:00
77,10.35,10.47,10.35,10.39,31342,2021-01-21 06:00:00
78,10.4,10.49,10.4,10.43,14221,2021-01-22 06:00:00
79,10.44,10.57,10.35,10.45,43390,2021-01-25 06:00:00
80,10.45,11.23,10.31,10.9,836617,2021-01-26 06:00:00
81,10.89,10.89,10.2601,10.36,413952,2021-01-27 06:00:00
82,10.38,10.5,10.17,10.36,86898,2021-01-28 06:00:00
83,10.3,10.46,10.3,10.36,19774,2021-01-29 06:00:00
84,10.35,10.5,10.25,10.465,56729,2021-02-01 06:00:00
85,10.48,10.6,10.4501,10.56,91783,2021-02-02 06:00:00
86,10.61,10.7499,10.5,10.55,57095,2021-02-03 06:00:00
87,10.5,10.5499,10.42,10.48,72137,2021-02-04 06:00:00
88,10.46,10.5899,10.37,10.4,34600,2021-02-05 06:00:00
89,10.49,10.7,10.44,10.51,69491,2021-02-08 06:00:00
90,10.73,10.85,10.51,10.85,74217,2021-02-09 06:00:00
91,10.79,10.79,10.5,10.53,56249,2021-02-10 06:00:00
92,10.53,10.7001,10.43,10.54,36037,2021-02-11 06:00:00
93,10.44,10.71,10.44,10.54,61096,2021-02-12 06:00:00
94,10.56,10.6798,10.35,10.4,47040,2021-02-16 06:00:00
95,10.334,10.39,10.3201,10.34,40947,2021-02-17 06:00:00
96,10.35,10.53,10.32,10.5,30966,2021-02-18 06:00:00
97,10.51,10.78,10.51,10.7,49492,2021-02-19 06:00:00
98,10.64,10.7,10.5,10.59,332211,2021-02-22 06:00:00
99,10.5,10.56,10.25,10.41,137688,2021-02-23 06:00:00
100,10.35,10.7,10.35,10.58,36637,2021-02-24 06:00:00
101,10.58,10.72,10.3,10.36,67332,2021-02-25 06:00:00
102,10.29,10.45,10.2,10.26,14942,2021-02-26 06:00:00
103,10.36,10.36,10.23,10.23,10448,2021-03-01 06:00:00
104,10.23,10.26,9.87,10.11,114930,2021-03-02 06:00:00
105,10.05,10.32,10.03,10.25,186234,2021-03-03 06:00:00
106,10.0664,10.165,9.81,9.96,357137,2021-03-04 06:00:00
107,10.02,10.1364,9.9,10.03,452674,2021-03-05 06:00:00
108,10.48,10.5,10.2,10.38,5406398,2021-03-08 06:00:00
109,10.43,10.69,10.24,10.6,2186109,2021-03-09 06:00:00
110,10.68,10.68,10.22,10.4,1082342,2021-03-10 06:00:00
111,10.45,10.56,10.33,10.5,753823,2021-03-11 06:00:00
112,10.5,10.5,10.25,10.38,386371,2021-03-12 06:00:00
113,10.53,10.53,10.35,10.46,291531,2021-03-15 05:00:00
114,10.5,10.5,10.29,10.35,369692,2021-03-16 05:00:00
115,10.3,10.59,10.27,10.5,829949,2021-03-17 05:00:00
116,10.75,10.94,10.41,10.45,662602,2021-03-18 05:00:00
117,10.63,10.7,10.34,10.52,352035,2021-03-19 05:00:00
118,10.6,10.65,10.45,10.49,360928,2021-03-22 05:00:00
119,10.49,10.565,10.15,10.22,557601,2021-03-23 05:00:00
120,10.21,10.21,9.93,10.06,935920,2021-03-24 05:00:00
121,9.99,10.01,9.81,9.97,441967,2021-03-25 05:00:00
122,9.99,10.1,9.85,10.08,227356,2021-03-26 05:00:00
123,10.13,10.1728,9.95,10.04,88050,2021-03-29 05:00:00
124,10.0,10.02,9.95,10.02,87478,2021-03-30 05:00:00
125,10.02,10.02,9.99,10.01,143516,2021-03-31 05:00:00
126,10.0,10.1,10.0,10.01,198790,2021-04-01 05:00:00
127,10.2,10.365,10.09,10.09,235801,2021-04-05 05:00:00
128,10.14,10.2,9.96,10.1,231245,2021-04-06 05:00:00
129,10.1,10.1,10.02,10.07,159124,2021-04-07 05:00:00
130,10.12,10.2,10.05,10.09,86125,2021-04-08 05:00:00
131,10.08,10.08,10.01,10.08,161021,2021-04-09 05:00:00
132,10.09,10.23,10.0,10.07,163369,2021-04-12 05:00:00
133,10.01,10.0599,10.0,10.01,79198,2021-04-13 05:00:00
134,10.0069,10.08,9.94,10.0,144699,2021-04-14 05:00:00
135,9.97,10.0,9.92,9.98,257991,2021-04-15 05:00:00
136,9.95,10.0,9.9,9.96,86825,2021-04-16 05:00:00
137,9.93,10.0,9.92,9.97,86211,2021-04-19 05:00:00
