,open,high,low,close,volume,datetime
0,12.63,13.75,12.63,13.75,81100,2002-06-10 05:00:00
1,13.76,13.76,13.42,13.54,80400,2002-06-11 05:00:00
2,13.6,13.79,12.56,13.11,107700,2002-06-12 05:00:00
3,13.0,13.11,12.6,12.75,41500,2002-06-13 05:00:00
4,12.6,13.56,12.6,13.56,51200,2002-06-14 05:00:00
5,13.56,13.86,13.18,13.86,149400,2002-06-17 05:00:00
6,13.95,13.96,13.37,13.65,15900,2002-06-18 05:00:00
7,13.65,13.96,13.4,13.8,166400,2002-06-19 05:00:00
8,13.85,15.45,13.62,14.89,465500,2002-06-20 05:00:00
9,14.99,15.45,13.82,14.83,281500,2002-06-21 05:00:00
10,14.93,14.93,13.6,14.4,159400,2002-06-24 05:00:00
11,14.53,14.53,13.8,14.39,86500,2002-06-25 05:00:00
12,13.97,15.22,13.85,14.75,103700,2002-06-26 05:00:00
13,15.07,17.4,15.06,16.58,955500,2002-06-27 05:00:00
14,16.51,17.0,15.36,15.97,1038100,2002-06-28 05:00:00
15,15.89,15.9,15.15,15.21,151500,2002-07-01 05:00:00
16,15.2,15.21,13.7,13.97,159300,2002-07-02 05:00:00
17,13.97,13.97,12.75,13.04,256200,2002-07-03 05:00:00
18,13.0,13.54,13.0,13.52,31400,2002-07-05 05:00:00
19,13.49,13.49,12.85,13.0,106700,2002-07-08 05:00:00
20,13.09,13.47,12.75,13.18,74800,2002-07-09 05:00:00
21,13.2,13.22,12.9,12.91,141400,2002-07-10 05:00:00
22,12.93,13.0,12.02,12.85,191300,2002-07-11 05:00:00
23,12.85,12.85,12.1,12.18,87100,2002-07-12 05:00:00
24,12.05,12.2,10.59,11.48,207600,2002-07-15 05:00:00
25,11.3,12.05,11.09,11.97,97700,2002-07-16 05:00:00
26,12.09,12.49,11.83,12.03,64600,2002-07-17 05:00:00
27,12.1,12.25,11.95,11.95,27200,2002-07-18 05:00:00
28,11.95,12.0,11.25,11.5,81800,2002-07-19 05:00:00
