,open,high,low,close,volume,datetime
0,25.0,28.74,24.03,25.29,10282007,2007-10-31 05:00:00
1,25.35,25.5,22.58,23.9,3265673,2007-11-01 05:00:00
2,24.81,24.81,23.55,24.6,711681,2007-11-02 05:00:00
3,23.05,23.45,20.88,22.9,1253938,2007-11-05 06:00:00
4,22.3,22.65,20.15,21.54,823729,2007-11-06 06:00:00
5,19.91,20.49,18.51,19.61,724355,2007-11-07 06:00:00
6,18.5,18.98,18.0,18.79,654814,2007-11-08 06:00:00
7,18.0,19.0,16.79,18.7,538209,2007-11-09 06:00:00
8,18.06,20.33,17.5,19.74,458536,2007-11-12 06:00:00
9,19.78,20.76,19.13,20.37,406223,2007-11-13 06:00:00
10,20.42,20.86,19.1,19.25,245155,2007-11-14 06:00:00
11,19.0,19.0,18.0,18.0,293289,2007-11-15 06:00:00
12,18.0,18.144,17.0,17.277,192811,2007-11-16 06:00:00
13,17.16,17.16,15.5,15.9,614955,2007-11-19 06:00:00
14,16.0,16.66,13.98,13.98,408830,2007-11-20 06:00:00
15,13.0,13.28,12.0,13.0,735871,2007-11-21 06:00:00
16,13.28,16.46,13.2,15.88,214724,2007-11-23 06:00:00
17,16.2,17.76,15.46,17.68,261816,2007-11-26 06:00:00
18,16.64,17.82,16.45,17.6,132892,2007-11-27 06:00:00
19,17.14,18.82,17.11,18.5,200683,2007-11-28 06:00:00
20,18.25,18.45,17.4701,18.45,84763,2007-11-29 06:00:00
21,18.58,18.82,16.36,17.95,237435,2007-11-30 06:00:00
22,17.8,17.8,16.8,17.0,93302,2007-12-03 06:00:00
23,17.0,17.0,16.1201,16.5,134604,2007-12-04 06:00:00
24,16.8,17.23,16.5,16.51,48977,2007-12-05 06:00:00
25,16.53,16.8699,16.37,16.63,46374,2007-12-06 06:00:00
26,16.41,17.855,16.41,17.26,99002,2007-12-07 06:00:00
27,17.0,18.0,17.0,17.6,61908,2007-12-10 06:00:00
28,17.5,19.95,17.5,18.9,273418,2007-12-11 06:00:00
29,19.16,19.18,18.41,18.7,56382,2007-12-12 06:00:00
30,18.37,18.37,17.24,17.25,105575,2007-12-13 06:00:00
31,18.78,19.0,15.88,15.89,433843,2007-12-14 06:00:00
32,15.71,15.9899,13.8601,13.98,385856,2007-12-17 06:00:00
33,14.87,15.0,14.21,14.5,304117,2007-12-18 06:00:00
34,14.19,15.1,14.06,14.08,55043,2007-12-19 06:00:00
35,14.0,14.39,12.89,13.38,239756,2007-12-20 06:00:00
36,13.96,14.25,13.0,13.3,319876,2007-12-21 06:00:00
37,14.0,15.34,13.65,14.25,163149,2007-12-24 06:00:00
38,14.59,15.0,14.0301,14.94,119082,2007-12-26 06:00:00
39,14.91,14.91,14.25,14.4,107200,2007-12-27 06:00:00
40,14.74,14.74,13.95,14.0,160748,2007-12-28 06:00:00
41,14.33,16.25,13.92,15.75,247785,2007-12-31 06:00:00
42,15.65,15.6899,14.2501,14.5,136354,2008-01-02 06:00:00
43,14.38,14.57,13.26,14.0,389153,2008-01-03 06:00:00
44,14.1,14.1,13.3,13.51,59890,2008-01-04 06:00:00
45,13.75,14.25,13.56,14.23,230628,2008-01-07 06:00:00
46,14.01,14.7199,14.0,14.44,58310,2008-01-08 06:00:00
47,14.4,14.78,14.25,14.6,159200,2008-01-09 06:00:00
48,14.6,14.87,14.34,14.8,91763,2008-01-10 06:00:00
49,15.0,15.0,14.01,14.17,287162,2008-01-11 06:00:00
50,14.02,14.02,12.55,12.88,350023,2008-01-14 06:00:00
51,12.61,12.98,9.83,10.28,943630,2008-01-15 06:00:00
52,9.91,10.5,9.8,9.9,325103,2008-01-16 06:00:00
53,10.1,10.65,9.91,10.18,221725,2008-01-17 06:00:00
54,10.05,11.79,10.05,11.1601,158582,2008-01-18 06:00:00
55,9.7,10.74,8.51,10.42,107663,2008-01-22 06:00:00
56,9.62,11.48,9.6001,10.96,116172,2008-01-23 06:00:00
57,11.05,11.59,10.9101,11.5,47088,2008-01-24 06:00:00
58,11.6,12.68,11.6,12.51,134211,2008-01-25 06:00:00
59,12.03,12.62,11.96,12.45,84702,2008-01-28 06:00:00
60,13.15,13.15,12.13,12.14,170910,2008-01-29 06:00:00
61,11.88,11.88,11.0,11.33,78693,2008-01-30 06:00:00
62,11.0,11.06,10.6,10.74,200755,2008-01-31 06:00:00
63,11.0,11.0,10.4501,10.83,126292,2008-02-01 06:00:00
64,11.45,11.64,10.92,11.18,164551,2008-02-04 06:00:00
65,11.0,11.04,10.6,10.6,153300,2008-02-05 06:00:00
66,10.6,10.75,10.5001,10.61,78433,2008-02-06 06:00:00
67,10.73,10.73,10.4,10.53,34504,2008-02-07 06:00:00
68,10.66,10.66,10.25,10.27,45095,2008-02-08 06:00:00
69,10.44,10.5,10.01,10.07,44038,2008-02-11 06:00:00
70,10.01,10.5,9.91,10.05,93661,2008-02-12 06:00:00
71,9.97,10.14,9.75,10.02,152623,2008-02-13 06:00:00
72,10.17,10.17,9.93,9.93,141545,2008-02-14 06:00:00
73,9.95,9.97,9.8,9.83,35565,2008-02-15 06:00:00
74,10.0,10.0,9.8,9.9,58315,2008-02-19 06:00:00
75,10.17,10.17,9.84,9.9,41420,2008-02-20 06:00:00
76,9.91,9.93,9.76,9.85,156683,2008-02-21 06:00:00
77,9.8,9.8,9.5,9.76,102705,2008-02-22 06:00:00
78,9.86,10.0,9.51,9.83,179668,2008-02-25 06:00:00
79,9.94,11.54,9.84,11.5,809150,2008-02-26 06:00:00
80,11.27,13.5,11.13,13.13,481930,2008-02-27 06:00:00
81,12.89,13.5,12.3801,12.95,193314,2008-02-28 06:00:00
82,12.69,13.12,12.11,12.7,138164,2008-02-29 06:00:00
83,12.71,13.5,12.66,13.1799,182578,2008-03-03 06:00:00
84,13.18,13.4,12.12,12.66,92437,2008-03-04 06:00:00
85,12.17,12.78,12.16,12.65,158569,2008-03-05 06:00:00
86,12.29,12.55,11.66,11.85,155373,2008-03-06 06:00:00
87,11.69,12.3,11.5,11.86,113136,2008-03-07 06:00:00
88,11.74,11.765,11.02,11.49,87246,2008-03-10 05:00:00
89,11.82,11.9,10.87,11.54,404065,2008-03-11 05:00:00
90,11.7,11.7,10.95,11.01,73413,2008-03-12 05:00:00
91,11.0,11.83,10.98,11.61,154371,2008-03-13 05:00:00
92,11.91,12.1,11.17,11.48,61123,2008-03-14 05:00:00
93,11.5,11.5,10.76,11.17,74857,2008-03-17 05:00:00
94,11.43,12.29,11.43,12.25,173651,2008-03-18 05:00:00
95,12.0,12.45,11.6762,12.28,79144,2008-03-19 05:00:00
96,12.1,12.14,11.5,11.93,65340,2008-03-20 05:00:00
97,11.81,12.15,11.46,11.545,184386,2008-03-24 05:00:00
98,11.6,11.8,11.45,11.62,399625,2008-03-25 05:00:00
99,11.6,11.79,11.28,11.47,201844,2008-03-26 05:00:00
100,11.47,11.5,11.14,11.3,122351,2008-03-27 05:00:00
101,11.35,11.7999,11.21,11.31,86120,2008-03-28 05:00:00
102,11.58,11.62,11.1,11.53,156707,2008-03-31 05:00:00
103,11.3,11.68,11.3,11.64,146561,2008-04-01 05:00:00
104,11.8,11.85,11.5,11.76,113254,2008-04-02 05:00:00
105,11.8,12.18,11.51,11.96,40404,2008-04-03 05:00:00
106,11.99,13.44,11.75,12.42,272536,2008-04-04 05:00:00
107,12.94,14.0,12.86,13.64,238232,2008-04-07 05:00:00
108,13.42,13.92,12.68,12.99,83300,2008-04-08 05:00:00
109,12.88,13.0,12.41,12.85,33541,2008-04-09 05:00:00
110,12.83,13.1899,12.34,13.04,46793,2008-04-10 05:00:00
111,13.03,13.15,12.909,13.03,55529,2008-04-11 05:00:00
112,12.9101,13.01,12.9,12.93,71359,2008-04-14 05:00:00
113,13.05,13.2799,12.69,12.72,31676,2008-04-15 05:00:00
114,12.68,13.41,12.49,13.22,79677,2008-04-16 05:00:00
115,13.06,13.32,12.83,13.26,42412,2008-04-17 05:00:00
116,13.49,14.0,13.29,13.93,102547,2008-04-18 05:00:00
117,14.0,14.24,13.87,13.98,128288,2008-04-21 05:00:00
118,13.66,13.9,13.43,13.51,41131,2008-04-22 05:00:00
119,13.6,14.0,13.25,13.926,62991,2008-04-23 05:00:00
120,14.0,14.88,14.0,14.81,182386,2008-04-24 05:00:00
121,15.0,15.47,14.48,15.32,94380,2008-04-25 05:00:00
122,14.93,14.93,13.75,13.9,147880,2008-04-28 05:00:00
