,open,high,low,close,volume,datetime
0,33.3,33.3,33.3,33.3,1000,2002-06-10 05:00:00
1,33.948,34.3,33.3,34.3,19000,2002-06-11 05:00:00
2,33.502,33.8,33.5,33.5,6000,2002-06-12 05:00:00
3,33.75,33.75,33.0,33.2,14000,2002-06-13 05:00:00
4,33.253,33.8,33.25,33.8,19000,2002-06-14 05:00:00
5,33.8,33.8,33.8,33.8,1000,2002-06-17 05:00:00
6,33.705,33.705,33.7,33.7,3000,2002-06-18 05:00:00
7,33.9,34.0,31.001,31.9,20000,2002-06-19 05:00:00
8,33.3,33.495,32.301,33.2,59000,2002-06-21 05:00:00
9,33.2,34.796,33.2,34.4,8000,2002-06-24 05:00:00
10,34.9,35.45,34.5,34.5,10000,2002-06-25 05:00:00
11,34.0,35.0,34.0,34.199,13000,2002-06-26 05:00:00
12,34.15,34.949,34.15,34.895,9000,2002-06-27 05:00:00
13,35.049,37.099,35.0,36.277,71000,2002-06-28 05:00:00
14,34.255,34.255,33.0,34.0,38000,2002-07-01 05:00:00
15,34.8,34.8,34.105,34.7,4000,2002-07-02 05:00:00
16,34.156,34.156,34.0,34.0,8000,2002-07-03 05:00:00
17,33.6,34.0,33.6,34.0,5000,2002-07-05 05:00:00
18,33.9,34.0,33.605,33.605,5000,2002-07-08 05:00:00
19,33.89,33.89,33.425,33.89,3000,2002-07-09 05:00:00
20,34.0,34.0,34.0,34.0,2000,2002-07-10 05:00:00
21,33.405,33.405,32.305,32.35,14000,2002-07-11 05:00:00
22,32.5,32.5,32.5,32.5,2000,2002-07-12 05:00:00
23,32.3,33.5,32.0,32.5,6000,2002-07-15 05:00:00
24,32.4,32.583,31.75,31.807,21000,2002-07-16 05:00:00
25,32.1,32.35,31.8,32.127,99000,2002-07-17 05:00:00
26,32.54,32.54,31.775,31.95,78000,2002-07-18 05:00:00
27,31.85,32.9,31.75,31.9,28000,2002-07-19 05:00:00
28,31.5,31.703,31.5,31.7,15000,2002-07-22 05:00:00
29,31.7,32.795,31.3,32.795,11000,2002-07-23 05:00:00
30,31.98,32.7,31.98,32.7,4000,2002-07-25 05:00:00
31,32.65,33.05,32.5,33.05,17000,2002-07-26 05:00:00
32,33.05,33.3,33.0,33.3,17000,2002-07-29 05:00:00
33,32.75,33.3,32.75,33.3,2000,2002-07-30 05:00:00
34,33.4,33.55,33.4,33.5,8000,2002-07-31 05:00:00
35,33.5,33.5,33.5,33.5,1000,2002-08-01 05:00:00
36,33.5,33.549,33.5,33.549,11000,2002-08-02 05:00:00
37,33.1,33.548,33.097,33.303,18000,2002-08-05 05:00:00
38,33.3,33.549,33.16,33.549,3000,2002-08-06 05:00:00
39,33.55,33.55,33.497,33.5,4000,2002-08-07 05:00:00
40,33.749,33.749,33.6,33.65,11000,2002-08-08 05:00:00
41,34.2,34.5,34.2,34.5,5000,2002-08-09 05:00:00
42,33.5,33.6,33.5,33.6,2000,2002-08-12 05:00:00
43,33.5,33.803,33.15,33.803,9000,2002-08-14 05:00:00
44,33.35,33.35,33.3,33.3,3000,2002-08-15 05:00:00
45,33.997,34.2,33.6,33.6,11000,2002-08-16 05:00:00
46,33.999,34.8,33.3,34.8,9000,2002-08-19 05:00:00
47,34.8,34.8,34.8,34.8,1000,2002-08-20 05:00:00
48,34.2,34.2,34.2,34.2,1000,2002-08-21 05:00:00
49,34.7,34.7,34.7,34.7,1000,2002-08-26 05:00:00
50,34.795,34.795,34.649,34.649,2000,2002-08-27 05:00:00
51,33.55,34.598,33.55,34.1,20000,2002-08-29 05:00:00
52,33.3,33.88,33.3,33.35,7000,2002-09-03 05:00:00
53,33.605,35.6,32.701,33.5,16000,2002-09-04 05:00:00
54,32.911,32.911,32.911,32.911,2000,2002-09-05 05:00:00
55,32.701,33.0,31.11,33.0,14000,2002-09-06 05:00:00
56,34.8,34.8,30.4,30.4,7000,2002-09-09 05:00:00
57,32.001,32.001,32.001,32.001,3000,2002-09-12 05:00:00
58,33.85,33.85,32.2,32.2,6000,2002-09-13 05:00:00
59,32.22,33.275,32.22,33.275,4000,2002-09-17 05:00:00
60,32.7,32.7,31.8,31.9,3000,2002-09-18 05:00:00
61,31.84,31.84,31.35,31.35,2000,2002-09-19 05:00:00
62,33.499,33.499,31.601,31.601,23000,2002-09-20 05:00:00
63,32.2,32.2,32.1,32.1,4000,2002-09-23 05:00:00
