,open,high,low,close,volume,datetime
0,8.0,11.0,8.0,11.0,1950,2011-11-17 06:00:00
1,10.0,10.0,10.0,10.0,250,2011-11-18 06:00:00
2,10.0,10.0,10.0,10.0,500,2011-11-22 06:00:00
3,9.0,10.0,8.36,10.0,2000,2011-11-23 06:00:00
4,8.01,8.01,8.01,8.01,1255,2011-11-25 06:00:00
5,10.0,10.0,10.0,10.0,500,2011-11-28 06:00:00
6,9.0,9.0,8.5,8.5,700,2011-11-29 06:00:00
7,10.0,10.0,9.5,9.5,200,2011-11-30 06:00:00
8,9.5,9.5,9.5,9.5,250,2011-12-01 06:00:00
9,9.5,9.5,9.5,9.5,700,2011-12-02 06:00:00
10,8.75,8.75,8.75,8.75,1000,2011-12-05 06:00:00
11,8.5,8.5,8.0,8.0,9995,2011-12-06 06:00:00
12,8.0,8.0,7.25,7.25,21800,2011-12-07 06:00:00
13,7.3,7.3,7.0,7.0,10000,2011-12-08 06:00:00
14,7.1,7.5,7.0,7.2,20926,2011-12-09 06:00:00
15,7.2,7.5,7.2,7.2,3766,2011-12-12 06:00:00
16,7.0,7.2,7.0,7.0,27227,2011-12-13 06:00:00
17,7.0,7.05,6.99,6.99,4820,2011-12-14 06:00:00
18,6.5,6.55,5.0,6.5,18683,2011-12-15 06:00:00
19,6.7,6.7,6.1,6.5,68550,2011-12-16 06:00:00
20,6.5,6.5,5.57,6.0,69802,2011-12-19 06:00:00
21,5.98,6.5,5.98,6.5,222723,2011-12-20 06:00:00
22,6.9,6.95,6.05,6.35,29277,2011-12-21 06:00:00
23,7.0,7.0,6.11,6.11,23026,2011-12-22 06:00:00
24,6.0,6.55,6.0,6.3705,7990,2011-12-23 06:00:00
25,6.6,6.6,6.45,6.45,3492,2011-12-27 06:00:00
26,6.31,6.31,6.3,6.3,3600,2011-12-28 06:00:00
27,6.0,6.25,5.99,6.0,46561,2011-12-29 06:00:00
28,6.49,6.5,6.26,6.5,10450,2011-12-30 06:00:00
29,6.25,6.25,6.0,6.1,11830,2012-01-03 06:00:00
30,6.3,6.36,6.224,6.224,8720,2012-01-04 06:00:00
31,6.0101,6.2744,5.92,6.2744,7950,2012-01-05 06:00:00
32,6.0,6.0,5.99,6.0,2350,2012-01-06 06:00:00
33,5.8,6.0,5.75,5.75,8370,2012-01-09 06:00:00
34,5.84,6.0,5.25,5.25,14850,2012-01-10 06:00:00
35,5.48,5.5,5.1,5.21,20543,2012-01-11 06:00:00
36,5.2,5.25,4.95,5.0,37730,2012-01-12 06:00:00
37,5.18,6.0,5.0,5.1,43855,2012-01-13 06:00:00
38,5.07,5.7,5.07,5.4,16700,2012-01-17 06:00:00
39,5.3907,5.98,5.3907,5.952,15250,2012-01-18 06:00:00
40,5.0,5.73,5.0,5.65,77485,2012-01-19 06:00:00
41,5.7,7.0,5.66,6.69,206233,2012-01-20 06:00:00
42,6.65,7.19,6.35,6.574,81894,2012-01-23 06:00:00
43,6.53,6.54,5.96,5.96,103804,2012-01-24 06:00:00
44,6.5,6.5,6.1539,6.49,16175,2012-01-25 06:00:00
45,6.4899,6.853,6.301,6.55,35765,2012-01-26 06:00:00
46,6.55,6.62,6.2,6.5,19511,2012-01-27 06:00:00
47,6.37,6.55,6.3699,6.3699,33350,2012-01-30 06:00:00
48,6.38,6.95,6.33,6.33,52621,2012-01-31 06:00:00
49,6.55,6.99,6.55,6.56,31321,2012-02-01 06:00:00
50,6.6,6.75,6.2,6.32,41936,2012-02-02 06:00:00
51,6.33,6.5,6.27,6.27,18832,2012-02-03 06:00:00
52,6.27,6.38,6.2,6.37,28800,2012-02-06 06:00:00
53,6.26,6.37,6.1,6.1,19750,2012-02-07 06:00:00
54,6.15,6.45,6.0,6.4,10785,2012-02-08 06:00:00
55,7.0,7.0,6.28,6.28,12650,2012-02-09 06:00:00
56,7.0,7.0,6.25,6.25,69792,2012-02-10 06:00:00
57,6.25,6.5,6.25,6.29,26776,2012-02-13 06:00:00
58,6.3,6.8,6.3,6.65,69634,2012-02-14 06:00:00
59,6.75,6.94,6.35,6.6,69522,2012-02-15 06:00:00
60,6.67,6.74,6.4999,6.5,33230,2012-02-16 06:00:00
61,6.61,6.7,6.5,6.7,30600,2012-02-17 06:00:00
62,6.67,6.89,6.53,6.78,32710,2012-02-21 06:00:00
63,6.9,7.0,6.64,6.85,29716,2012-02-22 06:00:00
64,6.92,7.0,6.74,6.9,44677,2012-02-23 06:00:00
65,7.0,7.85,6.9875,7.5,417227,2012-02-24 06:00:00
66,7.7,8.0,7.5,7.61,107664,2012-02-27 06:00:00
67,7.62,7.68,7.51,7.55,51492,2012-02-28 06:00:00
68,7.6,7.65,7.25,7.62,144852,2012-02-29 06:00:00
69,7.66,7.75,7.59,7.73,171780,2012-03-01 06:00:00
70,7.75,8.0,7.7,8.0,73784,2012-03-02 06:00:00
71,7.9,7.9,7.43,7.5992,104781,2012-03-05 06:00:00
72,7.27,7.79,7.2,7.3,104324,2012-03-06 06:00:00
73,7.5499,7.55,7.38,7.45,60820,2012-03-07 06:00:00
74,7.28,7.5,7.13,7.4,89345,2012-03-08 06:00:00
75,7.4,7.49,7.28,7.49,110515,2012-03-09 06:00:00
76,7.44,7.47,7.35,7.47,86940,2012-03-12 05:00:00
77,7.45,7.53,7.25,7.5,50678,2012-03-13 05:00:00
78,7.51,7.75,7.38,7.75,97567,2012-03-14 05:00:00
79,7.73,8.47,7.53,8.21,128442,2012-03-15 05:00:00
80,8.31,9.45,8.18,8.96,355044,2012-03-16 05:00:00
81,9.0,9.0,8.58,9.0,56797,2012-03-19 05:00:00
82,8.93,8.9899,8.5,8.62,122058,2012-03-20 05:00:00
83,8.7,9.88,8.56,9.52,151409,2012-03-21 05:00:00
84,9.6,10.0,8.91,9.1,157003,2012-03-22 05:00:00
85,9.18,9.18,8.8,9.04,57694,2012-03-23 05:00:00
86,9.05,9.1,8.75,9.0,69245,2012-03-26 05:00:00
87,9.0,9.1,8.82,9.0,145351,2012-03-27 05:00:00
88,8.75,9.0,8.75,8.9,45585,2012-03-28 05:00:00
89,8.75,8.82,8.18,8.64,100290,2012-03-29 05:00:00
90,8.7,9.0,8.4,8.46,58022,2012-03-30 05:00:00
91,8.68,9.1,8.31,8.5,134581,2012-04-02 05:00:00
92,8.88,9.028,8.11,8.19,66249,2012-04-03 05:00:00
93,8.11,8.3604,7.65,7.78,88770,2012-04-04 05:00:00
94,7.78,8.18,7.78,8.0,75716,2012-04-05 05:00:00
95,7.91,8.04,7.7299,7.86,30592,2012-04-09 05:00:00
96,7.89,7.99,7.4,7.44,48136,2012-04-10 05:00:00
97,7.52,7.65,7.32,7.62,42873,2012-04-11 05:00:00
98,7.61,7.73,7.4,7.57,77042,2012-04-12 05:00:00
99,7.59,9.12,7.54,8.49,248803,2012-04-13 05:00:00
100,8.49,8.56,7.76,7.97,111069,2012-04-16 05:00:00
101,7.95,8.05,7.79,8.0,76332,2012-04-17 05:00:00
102,8.0,8.09,7.6,7.72,73796,2012-04-18 05:00:00
103,7.759,7.97,7.7,7.84,53665,2012-04-19 05:00:00
104,7.92,7.93,7.66,7.74,25500,2012-04-20 05:00:00
105,7.64,7.79,7.38,7.79,67184,2012-04-23 05:00:00
106,7.91,7.91,6.78,7.07,173438,2012-04-24 05:00:00
107,7.21,7.21,6.8,7.01,68489,2012-04-25 05:00:00
108,6.98,6.98,6.65,6.81,65785,2012-04-26 05:00:00
109,6.7981,7.0,6.71,6.87,42146,2012-04-27 05:00:00
110,6.82,6.87,6.46,6.63,74225,2012-04-30 05:00:00
111,7.12,7.12,6.47,6.5,137621,2012-05-01 05:00:00
112,6.21,6.5,6.15,6.48,90691,2012-05-02 05:00:00
113,6.5,6.85,6.45,6.69,72623,2012-05-03 05:00:00
114,6.19,6.19,6.19,6.19,110919,2012-05-04 05:00:00
115,6.2,6.445,6.0,6.18,46500,2012-05-07 05:00:00
116,6.09,6.5,6.08,6.32,54875,2012-05-08 05:00:00
117,6.21,7.0,6.21,6.92,65729,2012-05-09 05:00:00
118,7.39,7.55,6.78,6.83,102294,2012-05-10 05:00:00
119,6.82,7.36,6.4,7.36,49735,2012-05-11 05:00:00
120,7.41,7.49,6.59,7.39,112771,2012-05-14 05:00:00
121,7.22,7.41,7.02,7.15,82641,2012-05-15 05:00:00
122,7.21,7.38,6.67,6.84,77094,2012-05-16 05:00:00
123,6.87,6.87,6.5,6.73,26314,2012-05-17 05:00:00
124,6.73,7.105,6.27,6.42,58090,2012-05-18 05:00:00
125,6.415,6.415,5.72,6.08,78342,2012-05-21 05:00:00
126,6.04,6.48,6.04,6.24,74361,2012-05-22 05:00:00
127,6.15,6.7,5.89,6.67,60009,2012-05-23 05:00:00
128,6.66,6.7,6.11,6.31,59977,2012-05-24 05:00:00
129,6.27,6.535,6.15,6.53,21088,2012-05-25 05:00:00
130,6.46,6.555,6.04,6.35,34221,2012-05-29 05:00:00
131,6.08,6.35,5.91,6.08,47272,2012-05-30 05:00:00
132,6.13,6.2888,5.92,6.05,43691,2012-05-31 05:00:00
133,5.9801,6.15,5.75,6.0,29728,2012-06-01 05:00:00
134,5.8,5.96,5.555,5.865,121546,2012-06-04 05:00:00
135,5.95,5.95,5.6,5.76,57289,2012-06-05 05:00:00
136,5.79,6.15,5.75,5.99,57533,2012-06-06 05:00:00
137,6.08,6.86,5.58,6.65,24863,2012-06-07 05:00:00
138,6.73,6.95,6.215,6.77,57829,2012-06-08 05:00:00
139,6.74,6.74,6.0,6.01,40078,2012-06-11 05:00:00
140,6.19,6.19,5.54,5.61,178457,2012-06-12 05:00:00
141,5.55,5.71,5.25,5.63,68032,2012-06-13 05:00:00
142,5.59,5.95,5.55,5.9,59697,2012-06-14 05:00:00
143,5.87,5.93,5.4,5.54,73329,2012-06-15 05:00:00
144,5.44,5.85,5.35,5.41,126620,2012-06-18 05:00:00
145,5.47,5.94,5.431,5.59,146423,2012-06-19 05:00:00
146,5.62,5.7,5.21,5.6,118784,2012-06-20 05:00:00
147,5.6,6.0,5.22,5.36,245871,2012-06-21 05:00:00
148,5.5,5.57,5.15,5.3,2764770,2012-06-22 05:00:00
149,5.2,5.41,5.11,5.36,86605,2012-06-25 05:00:00
150,5.41,5.41,5.02,5.09,139734,2012-06-26 05:00:00
151,5.06,5.15,4.72,4.97,269590,2012-06-27 05:00:00
152,4.92,5.0,4.8,4.93,108538,2012-06-28 05:00:00
153,5.02,5.06,4.91,5.05,72167,2012-06-29 05:00:00
154,5.02,5.42,4.82,5.34,168491,2012-07-02 05:00:00
155,5.37,5.8,5.25,5.75,197443,2012-07-03 05:00:00
156,6.09,6.96,5.94,6.9,705594,2012-07-05 05:00:00
157,7.02,7.02,6.45,6.92,567251,2012-07-06 05:00:00
158,6.9,6.9,6.1,6.27,573785,2012-07-09 05:00:00
159,6.4,6.55,6.03,6.28,245922,2012-07-10 05:00:00
160,6.32,6.33,5.95,6.11,101804,2012-07-11 05:00:00
161,6.11,6.1101,5.86,5.95,104237,2012-07-12 05:00:00
162,5.99,6.16,5.87,6.06,145720,2012-07-13 05:00:00
163,6.13,6.1933,5.9101,5.97,93033,2012-07-16 05:00:00
164,6.04,6.04,5.75,5.92,120795,2012-07-17 05:00:00
165,5.89,6.04,5.75,6.03,81676,2012-07-18 05:00:00
166,6.03,6.09,5.92,5.97,89421,2012-07-19 05:00:00
167,5.93,5.93,5.67,5.73,91986,2012-07-20 05:00:00
168,5.69,6.0199,5.5,5.86,52552,2012-07-23 05:00:00
169,5.91,5.91,5.66,5.82,107414,2012-07-24 05:00:00
170,5.84,6.05,5.71,6.01,78928,2012-07-25 05:00:00
