,open,high,low,close,volume,datetime
0,25.72,25.72,23.52,23.85,44839,2022-04-21 05:00:00
1,23.63,23.89,22.57,22.63,53414,2022-04-22 05:00:00
2,22.63,23.14,22.2705,23.14,34314,2022-04-25 05:00:00
3,23.12,23.12,21.675,21.6979,44482,2022-04-26 05:00:00
4,21.9,22.4,21.57,21.6143,36942,2022-04-27 05:00:00
5,22.15,22.56,21.21,22.39,36868,2022-04-28 05:00:00
6,22.25,22.9777,21.1181,21.22,44761,2022-04-29 05:00:00
7,21.22,22.06,20.83,22.06,41770,2022-05-02 05:00:00
8,22.03,22.45,21.655,21.8321,61591,2022-05-03 05:00:00
9,22.15,22.9308,20.92,22.8403,57297,2022-05-04 05:00:00
10,22.85,22.85,20.6,21.0,34090,2022-05-05 05:00:00
11,21.06,21.06,19.63,20.0099,30740,2022-05-06 05:00:00
12,19.21,19.21,17.385,17.62,45756,2022-05-09 05:00:00
13,18.26,18.26,16.74,17.09,39783,2022-05-10 05:00:00
14,17.0,17.0,15.2197,15.33,42671,2022-05-11 05:00:00
15,14.97,16.02,14.35,15.64,31271,2022-05-12 05:00:00
16,16.69,17.55,16.69,17.2405,31731,2022-05-13 05:00:00
17,17.48,17.48,16.24,16.27,33522,2022-05-16 05:00:00
18,16.88,17.24,16.49,17.1762,15654,2022-05-17 05:00:00
19,16.98,17.23,16.4081,16.48,33897,2022-05-18 05:00:00
20,16.32,17.5,16.32,17.03,16683,2022-05-19 05:00:00
21,17.42,17.42,15.93,16.6675,38276,2022-05-20 05:00:00
22,16.88,16.93,16.345,16.7994,14579,2022-05-23 05:00:00
23,16.6,16.6,15.66,15.8148,13398,2022-05-24 05:00:00
24,15.8,16.37,15.78,16.35,35959,2022-05-25 05:00:00
25,16.28,17.125,16.21,17.08,29655,2022-05-26 05:00:00
26,17.24,17.89,17.24,17.7813,34237,2022-05-27 05:00:00
27,18.78,18.78,17.7,17.9578,32011,2022-05-31 05:00:00
28,18.08,18.14,17.01,17.03,18855,2022-06-01 05:00:00
29,16.99,17.87,16.99,17.69,17532,2022-06-02 05:00:00
30,17.58,17.58,16.99,17.1338,22156,2022-06-03 05:00:00
31,17.66,17.83,17.2256,17.31,15990,2022-06-06 05:00:00
32,16.99,17.23,16.65,17.23,10830,2022-06-07 05:00:00
33,17.12,17.52,16.95,17.11,12101,2022-06-08 05:00:00
34,17.0,17.0,15.9567,15.96,20876,2022-06-09 05:00:00
35,15.6,15.63,15.0351,15.1247,17591,2022-06-10 05:00:00
