,open,high,low,close,volume,datetime
0,30.75,30.75,30.75,30.75,100,2012-02-16 06:00:00
1,32.23,32.23,32.23,32.23,100,2012-02-27 06:00:00
2,31.16,31.16,31.16,31.16,100,2012-02-28 06:00:00
3,30.7,30.7,30.58,30.58,3000,2012-03-13 05:00:00
4,30.44,30.44,30.44,30.44,100,2012-03-14 05:00:00
5,29.39,29.5584,29.39,29.5584,440,2012-04-11 05:00:00
6,29.7184,30.21,29.7184,30.21,2486,2012-04-12 05:00:00
7,29.94,29.94,29.89,29.89,200,2012-04-13 05:00:00
8,26.66,26.67,25.54,26.0,80100,2012-05-15 05:00:00
9,25.696,25.696,25.696,25.696,340,2012-05-16 05:00:00
10,25.68,25.68,25.68,25.68,100,2012-06-04 05:00:00
11,26.44,26.44,26.44,26.44,240,2012-06-13 05:00:00
12,26.71,26.71,26.71,26.71,1215,2012-06-15 05:00:00
13,27.26,27.26,27.26,27.26,111,2012-06-19 05:00:00
14,27.22,27.22,27.22,27.22,203,2012-07-05 05:00:00
15,27.23,27.23,27.1366,27.1366,734,2012-07-06 05:00:00
16,26.44,26.44,26.421,26.421,240,2012-07-12 05:00:00
17,25.79,25.79,25.79,25.79,400,2012-07-24 05:00:00
18,27.0,27.05,26.9525,27.05,1246,2012-07-27 05:00:00
19,26.05,26.05,26.05,26.05,9386,2012-08-02 05:00:00
20,26.72,27.45,26.72,27.38,400,2012-08-09 05:00:00
21,27.46,27.46,27.46,27.46,456,2012-08-10 05:00:00
22,27.21,27.21,27.14,27.14,400,2012-08-13 05:00:00
23,27.295,27.54,27.295,27.54,217,2012-08-28 05:00:00
24,29.06,29.06,28.96,28.98,1700,2012-09-17 05:00:00
25,29.12,29.12,29.11,29.11,650,2012-09-21 05:00:00
26,28.76,29.03,28.29,29.03,1675,2012-09-24 05:00:00
27,28.7399,28.74,28.7399,28.74,200,2012-10-02 05:00:00
28,29.09,29.09,29.09,29.09,100,2012-10-04 05:00:00
29,29.29,29.29,29.29,29.29,100,2012-10-05 05:00:00
30,29.59,29.59,29.59,29.59,100,2012-10-17 05:00:00
31,29.15,29.15,29.15,29.15,149,2012-11-07 06:00:00
32,28.71,28.71,28.71,28.71,139,2012-11-13 06:00:00
33,29.73,29.75,29.7236,29.75,500,2012-12-04 06:00:00
34,29.91,29.93,29.91,29.93,732,2012-12-11 06:00:00
35,30.2,30.2,30.1576,30.1576,402,2012-12-12 06:00:00
36,30.26,30.26,30.0626,30.0626,340,2012-12-17 06:00:00
37,29.8699,29.9501,29.8699,29.95,400,2012-12-21 06:00:00
38,29.9399,29.97,29.92,29.92,900,2012-12-24 06:00:00
39,30.2,30.23,30.2,30.23,1800,2012-12-28 06:00:00
40,30.99,31.01,30.99,31.01,200,2013-01-02 06:00:00
41,30.86,30.98,30.86,30.98,1200,2013-01-04 06:00:00
42,30.91,31.01,30.78,31.01,2400,2013-01-07 06:00:00
43,30.78,30.82,30.78,30.79,600,2013-01-08 06:00:00
44,31.66,31.66,31.66,31.66,623,2013-01-11 06:00:00
45,31.32,31.32,31.32,31.32,200,2013-01-15 06:00:00
46,31.38,31.38,31.33,31.33,2607,2013-01-23 06:00:00
47,31.32,31.32,31.2877,31.2877,200,2013-01-24 06:00:00
48,31.33,31.33,31.33,31.33,320,2013-01-31 06:00:00
49,31.55,31.55,31.498,31.498,3419,2013-02-01 06:00:00
50,31.21,31.23,31.21,31.23,227,2013-02-04 06:00:00
51,31.38,31.38,31.38,31.38,365,2013-02-07 06:00:00
52,31.53,31.53,31.53,31.53,377,2013-02-08 06:00:00
53,31.46,31.46,31.4366,31.45,1200,2013-02-12 06:00:00
54,31.48,31.48,31.34,31.34,400,2013-02-15 06:00:00
55,31.38,31.85,31.38,31.85,1892,2013-02-19 06:00:00
56,31.6,31.6,31.6,31.6,3200,2013-02-20 06:00:00
57,31.28,31.34,31.25,31.32,11250,2013-02-21 06:00:00
58,31.51,31.6,31.51,31.6,1440,2013-02-22 06:00:00
59,31.94,31.94,31.94,31.94,1700,2013-02-28 06:00:00
60,31.72,31.72,31.71,31.71,500,2013-03-01 06:00:00
61,31.7447,31.89,31.72,31.7201,1698,2013-03-11 05:00:00
62,31.73,31.73,31.73,31.73,200,2013-03-12 05:00:00
63,31.87,31.87,31.87,31.87,300,2013-03-13 05:00:00
64,32.29,32.5199,32.29,32.3,1436,2013-03-18 05:00:00
65,32.36,32.47,32.21,32.33,5786,2013-03-19 05:00:00
66,32.49,32.54,32.44,32.52,1607,2013-03-20 05:00:00
67,32.41,32.41,32.3999,32.3999,783,2013-03-21 05:00:00
68,32.49,32.49,32.49,32.49,100,2013-03-22 05:00:00
69,32.3799,32.3799,32.3799,32.3799,115,2013-03-25 05:00:00
70,32.78,32.78,32.78,32.78,142,2013-03-27 05:00:00
71,31.93,32.15,31.93,32.15,2015,2013-04-01 05:00:00
72,32.3199,32.3199,32.3199,32.3199,115,2013-04-02 05:00:00
73,32.15,32.32,31.94,32.13,42847,2013-04-04 05:00:00
74,32.08,32.36,31.95,32.33,2446,2013-04-09 05:00:00
75,32.04,32.04,32.04,32.04,1700,2013-04-15 05:00:00
76,32.2605,32.2605,32.2605,32.2605,178,2013-04-16 05:00:00
77,31.9,31.9,31.9,31.9,115,2013-04-17 05:00:00
78,31.73,31.73,31.666,31.666,2326,2013-04-18 05:00:00
79,32.5399,32.5399,32.5399,32.5399,115,2013-04-22 05:00:00
80,33.1099,33.1099,33.1099,33.1099,115,2013-04-24 05:00:00
81,33.3099,33.3099,33.3099,33.3099,110,2013-04-26 05:00:00
82,33.87,33.87,33.87,33.87,105,2013-04-30 05:00:00
83,33.8159,33.85,33.34,33.8,1279,2013-05-01 05:00:00
84,34.24,34.24,34.24,34.24,110,2013-05-03 05:00:00
85,34.54,34.54,34.54,34.54,1057,2013-05-09 05:00:00
86,34.1,34.1,33.85,33.86,9584,2013-05-10 05:00:00
87,33.8,33.8,33.8,33.8,2300,2013-05-13 05:00:00
88,33.79,33.79,33.76,33.76,2700,2013-05-14 05:00:00
89,33.56,33.56,33.56,33.56,400,2013-05-15 05:00:00
90,33.9505,34.12,33.9505,34.12,2677,2013-05-21 05:00:00
91,32.56,32.639,32.56,32.639,400,2013-05-23 05:00:00
92,32.56,32.56,32.527,32.56,600,2013-05-24 05:00:00
93,32.7,32.7,32.7,32.7,100,2013-05-28 05:00:00
94,32.669,32.669,32.35,32.669,626,2013-05-29 05:00:00
95,32.5893,32.5893,32.5881,32.5881,287,2013-05-30 05:00:00
96,32.5,32.5,32.45,32.45,200,2013-05-31 05:00:00
97,32.27,32.27,32.192,32.192,1280,2013-06-03 05:00:00
98,32.15,32.15,31.97,31.97,513,2013-06-05 05:00:00
99,32.2161,32.2161,32.2161,32.2161,358,2013-06-17 05:00:00
100,31.22,31.2201,31.22,31.2201,617,2013-07-08 05:00:00
101,31.71,31.71,31.71,31.71,288,2013-07-10 05:00:00
102,32.271,32.271,32.271,32.271,234,2013-07-11 05:00:00
103,32.33,32.33,32.33,32.33,1611,2013-07-15 05:00:00
104,32.2399,32.2399,32.2399,32.2399,142,2013-07-30 05:00:00
105,32.2,32.2,32.1473,32.1473,410,2013-07-31 05:00:00
106,32.92,32.97,32.82,32.95,8872,2013-08-02 05:00:00
107,32.81,32.81,32.81,32.81,466,2013-08-05 05:00:00
108,33.05,33.07,32.7261,33.0,3072,2013-08-06 05:00:00
109,32.98,32.98,32.98,32.98,500,2013-08-08 05:00:00
110,33.05,33.05,33.05,33.05,100,2013-08-09 05:00:00
111,32.76,32.76,32.76,32.76,316,2013-08-14 05:00:00
112,32.38,32.46,32.38,32.46,3600,2013-08-21 05:00:00
113,32.71,32.8,32.4,32.43,4800,2013-08-22 05:00:00
114,32.68,32.82,32.67,32.67,2400,2013-08-23 05:00:00
115,32.37,32.37,32.0,32.0,33400,2013-08-28 05:00:00
116,32.37,32.37,32.06,32.21,8200,2013-08-29 05:00:00
117,32.01,32.0264,31.75,31.83,11553,2013-08-30 05:00:00
