,open,high,low,close,volume,datetime
0,29.436,29.49,29.436,29.49,483,2011-04-19 05:00:00
1,30.11,30.19,30.044,30.15,4630,2011-04-20 05:00:00
2,30.5,30.51,30.28,30.42,12394,2011-04-21 05:00:00
3,30.6,30.6,30.16,30.27,5826,2011-04-25 05:00:00
4,30.45,30.55,30.448,30.448,17265,2011-04-26 05:00:00
5,30.25,30.58,30.06,30.45,16764,2011-04-27 05:00:00
6,30.134,30.17,30.05,30.15,9677,2011-04-28 05:00:00
7,30.15,30.46,30.15,30.33,2563,2011-04-29 05:00:00
8,30.5,30.5,30.27,30.27,3471,2011-05-02 05:00:00
9,30.0,30.01,29.59,29.69,3245,2011-05-03 05:00:00
10,29.47,29.47,29.36,29.36,1207,2011-05-04 05:00:00
11,29.23,29.25,29.1,29.26,790,2011-05-05 05:00:00
12,29.4579,29.54,29.16,29.16,1103,2011-05-06 05:00:00
13,29.29,29.48,29.29,29.43,3172,2011-05-09 05:00:00
14,29.46,29.6,29.2,29.31,20741,2011-05-10 05:00:00
15,29.45,29.45,29.0499,29.0499,618,2011-05-11 05:00:00
16,29.12,29.249,28.91,29.2116,9696,2011-05-12 05:00:00
17,29.32,29.32,28.4,28.5,20599,2011-05-13 05:00:00
18,28.68,28.68,28.5,28.5,630,2011-05-16 05:00:00
19,28.44,28.57,28.37,28.55,994,2011-05-17 05:00:00
20,28.7,29.06,28.6999,28.96,90762,2011-05-18 05:00:00
21,28.97,28.97,28.82,28.94,2095,2011-05-19 05:00:00
22,28.7,28.7,28.56,28.64,1004,2011-05-20 05:00:00
23,28.12,28.1399,28.021,28.1184,1073,2011-05-23 05:00:00
24,28.43,28.6595,28.43,28.56,6152,2011-05-24 05:00:00
25,28.48,28.64,28.36,28.59,3652,2011-05-25 05:00:00
26,28.7,28.87,28.7,28.87,3240,2011-05-26 05:00:00
27,29.02,29.11,28.96,29.0092,4493,2011-05-27 05:00:00
28,29.46,29.51,29.3713,29.51,4207,2011-05-31 05:00:00
29,29.48,29.48,29.176,29.176,4502,2011-06-01 05:00:00
30,29.41,29.44,29.35,29.386,970,2011-06-02 05:00:00
31,29.32,29.46,29.32,29.46,4925,2011-06-03 05:00:00
32,29.27,29.29,28.89,28.89,2800,2011-06-06 05:00:00
33,29.39,29.39,29.35,29.38,2772,2011-06-07 05:00:00
