,open,high,low,close,volume,datetime
0,2.96,2.96,2.81,2.85,3678,2014-10-03 05:00:00
1,3.12,3.12,3.0,3.04,7415,2014-10-06 05:00:00
2,3.0,3.0,3.0,3.0,10209,2014-10-07 05:00:00
3,2.99,2.99,2.5934,2.85,11702,2014-10-08 05:00:00
4,2.7,2.7,2.48,2.48,1535,2014-10-09 05:00:00
5,2.59,2.93,2.59,2.93,4143,2014-10-10 05:00:00
6,2.85,2.99,2.51,2.99,9116,2014-10-13 05:00:00
7,2.71,2.71,2.71,2.71,180,2014-10-14 05:00:00
8,2.25,2.654,2.25,2.5,2763,2014-10-15 05:00:00
9,2.47,2.47,2.47,2.47,769,2014-10-17 05:00:00
10,2.34,2.41,2.34,2.41,3726,2014-10-21 05:00:00
11,2.22,2.25,2.22,2.25,300,2014-10-24 05:00:00
12,2.33,2.33,2.33,2.33,193,2014-10-28 05:00:00
13,2.25,2.67,2.25,2.67,7968,2014-10-31 05:00:00
14,2.61,2.61,2.49,2.49,1070,2014-11-05 06:00:00
15,2.6,2.6,2.5,2.55,3967,2014-11-07 06:00:00
16,2.4536,2.7,2.2952,2.65,1100,2014-11-10 06:00:00
17,2.4436,2.45,2.4436,2.45,600,2014-11-11 06:00:00
18,2.45,2.4551,2.2932,2.3,8266,2014-11-12 06:00:00
19,2.34,2.45,2.34,2.45,2795,2014-11-13 06:00:00
20,2.503,2.504,2.4668,2.4668,3251,2014-11-14 06:00:00
21,2.463,2.5,2.37,2.5,4499,2014-11-17 06:00:00
22,2.4438,2.576,2.4438,2.575,6499,2014-11-20 06:00:00
23,2.56,2.65,2.54,2.589,9366,2014-11-21 06:00:00
24,2.567,2.567,2.5626,2.5626,215,2014-11-24 06:00:00
25,2.5508,2.5508,2.5244,2.5244,666,2014-11-26 06:00:00
26,2.12,2.12,2.12,2.12,100,2014-12-01 06:00:00
27,2.19,2.19,2.1,2.1,4611,2014-12-02 06:00:00
28,2.12,2.7,2.088457,2.614022,32477,2014-12-03 06:00:00
29,2.48,2.821595,2.48,2.582978,1322,2014-12-04 06:00:00
30,2.724196,2.724196,2.5696,2.702628,533,2014-12-05 06:00:00
31,2.56,2.75,2.24,2.58,12728,2014-12-08 06:00:00
32,2.49,2.606015,2.49,2.606015,2100,2014-12-09 06:00:00
