,open,high,low,close,volume,datetime
0,9.85,9.85,9.8278,9.85,1910,2021-12-09 06:00:00
1,9.85,9.89,9.75,9.76,101090,2021-12-10 06:00:00
2,9.79,9.8,9.762,9.79,60560,2021-12-13 06:00:00
3,9.79,9.85,9.79,9.85,642030,2021-12-14 06:00:00
4,9.85,9.85,9.83,9.83,462629,2021-12-15 06:00:00
5,9.81,9.85,9.78,9.81,1358,2021-12-16 06:00:00
6,9.82,9.82,9.82,9.82,200,2021-12-20 06:00:00
7,9.82,9.845,9.78,9.82,65097,2021-12-21 06:00:00
8,9.88,9.88,9.77,9.79,552621,2021-12-23 06:00:00
9,9.81,9.86,9.81,9.86,62496,2021-12-27 06:00:00
10,9.81,9.81,9.81,9.81,971,2021-12-28 06:00:00
11,9.82,9.86,9.82,9.84,12175,2021-12-29 06:00:00
12,9.83,9.86,9.83,9.83,12923,2021-12-30 06:00:00
13,9.84,9.88,9.84,9.88,32091,2021-12-31 06:00:00
14,9.88,9.88,9.83,9.83,2291,2022-01-03 06:00:00
15,9.86,9.86,9.86,9.86,502,2022-01-04 06:00:00
16,9.86,9.87,9.86,9.87,250788,2022-01-05 06:00:00
17,9.87,9.87,9.87,9.87,208552,2022-01-06 06:00:00
18,9.88,9.88,9.88,9.88,4359,2022-01-07 06:00:00
19,9.88,9.88,9.88,9.88,108,2022-01-20 06:00:00
20,9.82,9.82,9.81,9.81,263,2022-01-21 06:00:00
21,9.83,9.83,9.83,9.83,437061,2022-01-24 06:00:00
22,9.86,9.915,9.83,9.855,19746,2022-02-01 06:00:00
23,9.865,9.865,9.85,9.86,12461,2022-02-02 06:00:00
24,9.841,9.86,9.841,9.86,300,2022-02-03 06:00:00
25,9.86,9.865,9.85,9.85,25010,2022-02-07 06:00:00
26,9.85,9.85,9.84,9.8499,2227,2022-02-10 06:00:00
27,9.84,9.85,9.835,9.85,52805,2022-02-11 06:00:00
28,9.8499,9.87,9.8477,9.8601,11431,2022-02-15 06:00:00
29,9.86,9.86,9.86,9.86,1100,2022-02-18 06:00:00
30,9.86,9.86,9.84,9.84,3935,2022-02-23 06:00:00
31,9.85,9.85,9.85,9.85,4208,2022-02-24 06:00:00
32,9.8688,9.88,9.86,9.88,1700,2022-02-25 06:00:00
33,9.86,9.88,9.84,9.87,15527,2022-02-28 06:00:00
34,9.88,9.92,9.875,9.919,145286,2022-03-01 06:00:00
35,9.9,9.9,9.88,9.9,111319,2022-03-02 06:00:00
36,9.9,9.9,9.9,9.9,8832,2022-03-03 06:00:00
37,9.9,9.9,9.9,9.9,11802,2022-03-04 06:00:00
38,9.92,9.92,9.9,9.9,1310,2022-03-07 06:00:00
39,9.9,9.9,9.9,9.9,2200,2022-03-08 06:00:00
40,9.9,9.9,9.9,9.9,2247,2022-03-09 06:00:00
41,9.91,9.91,9.91,9.91,514,2022-03-10 06:00:00
42,9.91,9.93,9.88,9.93,64178,2022-03-11 06:00:00
43,9.88,9.92,9.88,9.92,20141,2022-03-15 05:00:00
44,9.95,9.95,9.92,9.92,20449,2022-03-16 05:00:00
45,9.93,9.93,9.91,9.92,407731,2022-03-17 05:00:00
46,9.905,9.94,9.905,9.94,296,2022-03-18 05:00:00
47,9.92,9.95,9.92,9.95,1457,2022-03-21 05:00:00
48,9.96,9.97,9.88,9.88,8913,2022-03-22 05:00:00
49,9.92,10.105,9.89,9.92,25856,2022-03-23 05:00:00
50,9.95,10.055,9.92,9.92,10524,2022-03-24 05:00:00
51,9.93,10.035,9.91,9.92,3120,2022-03-25 05:00:00
52,10.0063,10.097,9.9483,9.97,28358,2022-03-28 05:00:00
53,9.92,9.925,9.92,9.925,1721,2022-03-29 05:00:00
54,9.89,9.93,9.86,9.9,5599,2022-03-30 05:00:00
55,9.85,9.94,9.85,9.91,19438,2022-03-31 05:00:00
56,9.93,9.93,9.93,9.93,197565,2022-04-01 05:00:00
57,9.93,9.96,9.93,9.96,96102,2022-04-04 05:00:00
58,9.96,9.96,9.96,9.96,3701,2022-04-05 05:00:00
59,9.9,9.94,9.9,9.94,2350,2022-04-06 05:00:00
60,9.94,9.96,9.94,9.96,3400,2022-04-07 05:00:00
61,9.91,9.91,9.91,9.91,1306,2022-04-12 05:00:00
62,9.96,9.97,9.94,9.94,2659,2022-04-13 05:00:00
63,9.9445,9.9445,9.9445,9.9445,8100,2022-04-18 05:00:00
64,9.95,9.95,9.95,9.95,2415,2022-04-21 05:00:00
65,9.98,9.98,9.98,9.98,2000,2022-04-22 05:00:00
66,10.5,10.5,9.99,10.0,1294,2022-04-25 05:00:00
67,9.96,9.96,9.96,9.96,20000,2022-04-27 05:00:00
68,9.96,9.96,9.94,9.96,19582,2022-04-28 05:00:00
69,10.5,10.5,9.95,9.975,181599,2022-04-29 05:00:00
70,9.975,9.975,9.975,9.975,4875,2022-05-02 05:00:00
71,10.0,10.667,9.96,9.99,31311,2022-05-03 05:00:00
72,9.97,9.97,9.96,9.96,102241,2022-05-04 05:00:00
73,9.97,9.97,9.96,9.96,451566,2022-05-05 05:00:00
74,9.96,9.96,9.96,9.96,1887,2022-05-06 05:00:00
75,9.96,9.96,9.95,9.95,18044,2022-05-09 05:00:00
76,10.0,10.105,9.94,9.94,65166,2022-05-10 05:00:00
77,9.96,9.96,9.95,9.95,16500,2022-05-11 05:00:00
78,9.92,9.9201,9.92,9.9201,15192,2022-05-12 05:00:00
79,9.92,9.945,9.92,9.92,14523,2022-05-17 05:00:00
80,9.98,9.98,9.92,9.92,8379,2022-05-18 05:00:00
81,9.94,9.94,9.92,9.93,249731,2022-05-20 05:00:00
82,9.94,9.94,9.94,9.94,305,2022-05-26 05:00:00
83,9.94,9.94,9.91,9.94,82697,2022-05-27 05:00:00
84,9.91,9.9103,9.91,9.9103,1700,2022-05-31 05:00:00
85,9.95,9.97,9.95,9.97,721,2022-06-01 05:00:00
86,9.94,9.94,9.94,9.94,11061,2022-06-09 05:00:00
