,open,high,low,close,volume,datetime
0,10.2,10.21,10.2,10.21,800,2002-06-10 05:00:00
1,9.95,9.95,9.75,9.75,1500,2002-06-11 05:00:00
2,9.75,9.8,9.69,9.76,5300,2002-06-12 05:00:00
3,9.76,9.76,9.75,9.75,2000,2002-06-13 05:00:00
4,9.76,9.92,9.76,9.92,1700,2002-06-14 05:00:00
5,10.5,10.75,10.5,10.75,7000,2002-06-17 05:00:00
6,10.5,11.0,10.4,10.77,1800,2002-06-18 05:00:00
7,10.52,10.52,9.82,9.85,4000,2002-06-19 05:00:00
8,9.73,9.73,9.73,9.73,200,2002-06-20 05:00:00
9,9.73,9.73,9.34,9.34,3400,2002-06-24 05:00:00
10,9.54,9.55,9.54,9.55,800,2002-06-25 05:00:00
11,9.34,9.6,9.34,9.6,1900,2002-06-26 05:00:00
12,9.94,9.94,9.94,9.94,800,2002-06-27 05:00:00
13,10.0,10.2,10.0,10.2,200,2002-06-28 05:00:00
14,10.01,10.25,10.01,10.1,1000,2002-07-01 05:00:00
15,10.0,10.25,10.0,10.0,1100,2002-07-02 05:00:00
16,9.94,9.95,9.91,9.91,1400,2002-07-03 05:00:00
17,10.14,10.19,10.14,10.19,600,2002-07-05 05:00:00
18,10.22,10.28,9.93,9.93,15100,2002-07-08 05:00:00
19,10.43,10.43,10.43,10.43,600,2002-07-09 05:00:00
20,10.92,10.92,10.85,10.85,400,2002-07-10 05:00:00
21,10.85,10.85,10.85,10.85,2500,2002-07-11 05:00:00
22,11.14,11.2,10.95,10.95,1500,2002-07-12 05:00:00
23,11.12,11.12,10.91,10.91,2100,2002-07-15 05:00:00
24,11.1,11.1,11.1,11.1,800,2002-07-16 05:00:00
25,11.4,11.4,11.3,11.3,1700,2002-07-17 05:00:00
26,11.19,11.67,11.19,11.35,2500,2002-07-18 05:00:00
27,11.45,11.67,11.45,11.67,400,2002-07-19 05:00:00
28,11.29,11.48,11.29,11.48,500,2002-07-22 05:00:00
29,11.11,11.11,10.82,10.82,1300,2002-07-23 05:00:00
30,10.24,10.24,10.24,10.24,300,2002-07-24 05:00:00
31,10.19,10.2,9.93,10.1,3100,2002-07-25 05:00:00
32,9.92,10.43,9.92,10.31,4800,2002-07-26 05:00:00
33,10.46,10.46,10.46,10.46,100,2002-07-29 05:00:00
34,10.53,10.53,10.53,10.53,100,2002-07-30 05:00:00
35,10.48,10.55,10.48,10.55,1200,2002-07-31 05:00:00
36,10.97,10.97,10.52,10.52,500,2002-08-01 05:00:00
37,10.8,11.23,10.8,10.92,2200,2002-08-05 05:00:00
38,10.93,11.15,10.93,11.04,1300,2002-08-06 05:00:00
39,10.9,11.1,10.9,11.1,1800,2002-08-07 05:00:00
40,10.6,10.89,10.6,10.89,700,2002-08-12 05:00:00
41,10.5,10.5,10.5,10.5,200,2002-08-13 05:00:00
42,10.51,10.51,10.51,10.51,100,2002-08-14 05:00:00
43,10.56,10.7,10.56,10.58,700,2002-08-15 05:00:00
44,10.6,10.92,10.6,10.92,200,2002-08-16 05:00:00
45,11.21,11.3,11.21,11.3,300,2002-08-19 05:00:00
46,11.15,11.15,11.14,11.14,1800,2002-08-20 05:00:00
47,11.64,11.64,11.64,11.64,100,2002-08-21 05:00:00
48,11.7,11.7,11.53,11.63,2400,2002-08-22 05:00:00
49,11.7,11.7,11.62,11.62,2800,2002-08-23 05:00:00
50,11.52,11.52,11.25,11.32,8500,2002-08-26 05:00:00
51,11.52,12.25,11.51,12.08,9700,2002-08-27 05:00:00
52,11.9,11.9,11.67,11.71,3200,2002-08-28 05:00:00
53,11.62,11.62,11.6,11.6,200,2002-08-29 05:00:00
54,10.84,10.84,10.84,10.84,700,2002-09-04 05:00:00
55,10.61,10.61,10.61,10.61,200,2002-09-05 05:00:00
56,10.76,10.9,10.76,10.9,600,2002-09-06 05:00:00
57,10.76,10.79,10.76,10.79,300,2002-09-09 05:00:00
58,11.09,11.24,11.0,11.1,2400,2002-09-10 05:00:00
59,10.99,11.24,10.99,11.24,300,2002-09-11 05:00:00
60,10.92,10.92,10.92,10.92,300,2002-09-12 05:00:00
61,10.42,10.67,10.42,10.67,1200,2002-09-13 05:00:00
62,10.76,10.76,10.76,10.76,1000,2002-09-16 05:00:00
63,10.84,10.84,10.84,10.84,1000,2002-09-17 05:00:00
64,10.55,10.55,10.5,10.5,2400,2002-09-18 05:00:00
65,10.32,10.32,10.32,10.32,800,2002-09-19 05:00:00
66,10.32,10.32,10.32,10.32,500,2002-09-20 05:00:00
67,9.9,9.9,9.79,9.79,1700,2002-09-23 05:00:00
