,open,high,low,close,volume,datetime
0,11.0,11.37,10.85,11.15,8309156,2021-02-18 06:00:00
1,11.04,11.1999,10.95,11.12,301507,2021-02-19 06:00:00
2,11.05,11.15,10.95,11.1,165906,2021-02-22 06:00:00
3,10.9,10.995,10.65,10.8,530005,2021-02-23 06:00:00
4,10.72,10.85,10.7,10.75,345079,2021-02-24 06:00:00
5,10.81,10.92,10.59,10.59,120952,2021-02-25 06:00:00
6,10.65,10.65,10.5,10.59,79236,2021-02-26 06:00:00
7,10.74,10.74,10.5,10.54,656463,2021-03-01 06:00:00
8,10.55,10.6,10.37,10.46,131564,2021-03-02 06:00:00
9,10.42,10.42,10.14,10.24,448487,2021-03-03 06:00:00
10,10.2,10.31,10.16,10.26,214847,2021-03-04 06:00:00
11,10.26,10.26,10.15,10.19,151673,2021-03-05 06:00:00
12,10.16,10.4466,10.16,10.19,152567,2021-03-08 06:00:00
13,10.28,10.33,10.2,10.21,75678,2021-03-09 06:00:00
14,10.23,10.4,10.21,10.27,210276,2021-03-10 06:00:00
15,10.3,10.39,10.26,10.38,37588,2021-03-11 06:00:00
16,10.37,10.44,10.3,10.4,27759,2021-03-12 06:00:00
17,10.41,10.44,10.37,10.39,20296,2021-03-15 05:00:00
18,10.39,10.39,10.23,10.3,124295,2021-03-16 05:00:00
19,10.23,10.25,10.22,10.23,5162,2021-03-17 05:00:00
20,10.28,10.28,10.16,10.25,31229,2021-03-18 05:00:00
21,10.25,10.25,10.15,10.195,93357,2021-03-19 05:00:00
22,10.2,10.24,10.15,10.15,325905,2021-03-22 05:00:00
23,10.15,10.16,9.87,9.97,246097,2021-03-23 05:00:00
24,9.9782,10.07,9.9782,10.02,483592,2021-03-24 05:00:00
25,9.99,10.0,9.92,9.92,387818,2021-03-25 05:00:00
26,9.95,10.05,9.89,10.05,214687,2021-03-26 05:00:00
27,10.05,10.07,9.99,9.99,26927,2021-03-29 05:00:00
28,9.93,9.976,9.9,9.925,62620,2021-03-30 05:00:00
29,9.975,10.0,9.92,9.965,247638,2021-03-31 05:00:00
30,10.0,10.0,9.994,10.0,5812,2021-04-01 05:00:00
31,10.0,10.0001,10.0,10.0,3865,2021-04-05 05:00:00
32,9.949,10.03,9.949,10.02,26488,2021-04-06 05:00:00
33,10.02,10.1,10.01,10.1,12513,2021-04-07 05:00:00
34,10.015,10.04,9.9667,10.04,2327,2021-04-08 05:00:00
35,10.02,10.16,10.02,10.16,481300,2021-04-09 05:00:00
36,10.15,10.19,10.04,10.18,16467,2021-04-12 05:00:00
37,10.11,10.215,10.11,10.2,15571,2021-04-13 05:00:00
38,10.18,10.2,10.158,10.2,3904,2021-04-14 05:00:00
39,10.0562,10.09,10.0,10.02,20977,2021-04-15 05:00:00
40,10.09,10.09,10.0,10.05,42998,2021-04-16 05:00:00
41,10.0569,10.1,10.03,10.05,4916,2021-04-19 05:00:00
42,10.0,10.05,9.98,9.99,58052,2021-04-20 05:00:00
43,9.98,10.05,9.95,10.0,58280,2021-04-21 05:00:00
44,9.98,10.02,9.94,10.0019,448157,2021-04-22 05:00:00
45,9.95,10.0,9.95,9.98,90306,2021-04-23 05:00:00
46,9.98,10.0019,9.97,10.0,30297,2021-04-26 05:00:00
47,9.97,10.05,9.97,10.05,15716,2021-04-27 05:00:00
48,10.0,10.0,10.0,10.0,273,2021-04-28 05:00:00
49,9.94,10.07,9.94,10.05,4210,2021-04-29 05:00:00
50,9.99,10.01,9.97,10.01,8970,2021-04-30 05:00:00
51,10.0,10.0,9.97,9.97,26988,2021-05-03 05:00:00
52,10.0,10.0371,9.97,10.0,17903,2021-05-04 05:00:00
53,9.97,9.99,9.97,9.99,3130,2021-05-05 05:00:00
54,9.97,10.0,9.97,9.99,6404,2021-05-06 05:00:00
55,9.98,10.0,9.98,10.0,28906,2021-05-07 05:00:00
56,9.9657,10.0,9.96,10.0,8730,2021-05-10 05:00:00
