,open,high,low,close,volume,datetime
0,9.67,9.75,9.67,9.67,211398,2021-03-22 05:00:00
1,9.69,9.74,9.65,9.67,204742,2021-03-23 05:00:00
2,9.7,9.8,8.99,9.65,88089,2021-03-24 05:00:00
3,9.54,9.84,9.53,9.8,277192,2021-03-25 05:00:00
4,9.9,9.9,9.7336,9.84,23535,2021-03-26 05:00:00
5,9.74,9.74,9.68,9.68,54122,2021-03-29 05:00:00
6,9.6892,9.73,9.68,9.7,12548,2021-03-30 05:00:00
7,9.71,9.71,9.71,9.71,561,2021-03-31 05:00:00
8,9.75,9.85,9.67,9.85,406490,2021-04-01 05:00:00
9,9.77,9.82,9.5,9.8,82784,2021-04-05 05:00:00
10,9.6983,9.79,9.6983,9.72,1847,2021-04-06 05:00:00
11,9.8,9.89,9.75,9.89,93162,2021-04-07 05:00:00
12,9.89,9.91,9.8,9.91,78765,2021-04-08 05:00:00
13,10.15,10.26,9.9,10.0,1725755,2021-04-09 05:00:00
14,9.9,9.9384,9.8,9.81,157818,2021-04-12 05:00:00
15,9.81,9.86,9.77,9.85,150414,2021-04-13 05:00:00
16,9.7501,9.8306,9.7501,9.81,119022,2021-04-14 05:00:00
17,9.8,9.87,9.8,9.85,63753,2021-04-15 05:00:00
18,9.83,9.86,9.8,9.85,162299,2021-04-16 05:00:00
19,9.85,9.9,9.8,9.9,177410,2021-04-19 05:00:00
20,9.8501,9.92,9.83,9.9,64059,2021-04-20 05:00:00
21,9.9,9.9,9.8,9.87,44123,2021-04-21 05:00:00
22,9.85,9.9,9.83,9.85,23618,2021-04-22 05:00:00
23,9.8259,9.97,9.82,9.82,285853,2021-04-23 05:00:00
24,9.83,9.86,9.81,9.84,9907,2021-04-26 05:00:00
25,9.84,9.84,9.8,9.81,8944,2021-04-27 05:00:00
26,9.82,9.83,9.81,9.83,5392,2021-04-28 05:00:00
27,9.8,9.88,9.8,9.88,64194,2021-04-29 05:00:00
28,9.8467,9.91,9.84,9.91,8026,2021-04-30 05:00:00
29,9.95,9.95,9.8001,9.89,26652,2021-05-03 05:00:00
30,9.8,9.88,9.8,9.88,6165,2021-05-04 05:00:00
31,9.82,9.88,9.81,9.81,171077,2021-05-05 05:00:00
32,9.81,9.81,9.75,9.75,168088,2021-05-06 05:00:00
33,9.77,9.78,9.75,9.768,38386,2021-05-07 05:00:00
34,9.77,9.78,9.72,9.72,19530,2021-05-10 05:00:00
35,9.72,9.75,9.71,9.74,12442,2021-05-11 05:00:00
36,9.72,9.75,9.7,9.7,10776,2021-05-12 05:00:00
37,9.7233,9.8,9.71,9.72,7975,2021-05-13 05:00:00
38,9.71,9.75,9.71,9.72,3564,2021-05-14 05:00:00
39,9.71,9.71,9.61,9.65,20937,2021-05-17 05:00:00
40,9.66,9.66,9.65,9.65,51159,2021-05-18 05:00:00
41,9.66,9.7,9.66,9.66,3897,2021-05-19 05:00:00
42,9.7,9.7,9.65,9.65,18541,2021-05-20 05:00:00
43,9.65,9.7,9.65,9.7,53014,2021-05-21 05:00:00
44,9.65,9.75,9.65,9.66,157028,2021-05-24 05:00:00
45,9.6871,9.75,9.68,9.72,15809,2021-05-25 05:00:00
46,9.75,9.81,9.71,9.73,159111,2021-05-26 05:00:00
47,9.76,9.77,9.75,9.75,25450,2021-05-27 05:00:00
48,9.78,9.78,9.75,9.78,1870,2021-05-28 05:00:00
49,9.75,9.78,9.75,9.78,2664,2021-06-01 05:00:00
50,9.74,9.78,9.74,9.77,5542,2021-06-02 05:00:00
51,9.77,9.78,9.77,9.78,13422,2021-06-03 05:00:00
52,9.78,9.8,9.78,9.8,8606,2021-06-04 05:00:00
53,9.8038,9.8038,9.8038,9.8038,353,2021-06-07 05:00:00
54,9.81,9.83,9.81,9.81,1298,2021-06-08 05:00:00
55,9.81,9.82,9.66,9.74,67096,2021-06-09 05:00:00
56,9.7,9.76,9.7,9.72,41935,2021-06-10 05:00:00
57,9.72,9.74,9.71,9.73,14714,2021-06-11 05:00:00
58,9.73,9.74,9.69,9.7,36668,2021-06-14 05:00:00
59,9.7,9.71,9.7,9.71,10881,2021-06-15 05:00:00
60,9.72,9.72,9.7,9.7,5169,2021-06-16 05:00:00
61,9.71,9.71,9.7,9.7,2780,2021-06-17 05:00:00
62,9.7,9.71,9.69,9.7,9345,2021-06-18 05:00:00
63,9.71,9.76,9.7,9.76,16119,2021-06-22 05:00:00
64,9.76,9.76,9.69,9.7,13279,2021-06-23 05:00:00
65,9.7,9.75,9.6658,9.75,31416,2021-06-24 05:00:00
66,9.75,9.75,9.7,9.7,6318,2021-06-25 05:00:00
67,9.7,9.74,9.68,9.7,90285,2021-06-28 05:00:00
68,9.71,9.71,9.7,9.71,8744,2021-06-29 05:00:00
69,9.7,9.73,9.69,9.73,4789,2021-06-30 05:00:00
70,9.7,9.71,9.69,9.71,33807,2021-07-01 05:00:00
71,9.7,9.7,9.695,9.7,4241,2021-07-02 05:00:00
72,9.71,9.74,9.7,9.72,37794,2021-07-06 05:00:00
73,9.67,9.7395,9.67,9.7297,3120,2021-07-07 05:00:00
74,9.72,9.73,9.71,9.73,1201,2021-07-08 05:00:00
75,9.71,9.73,9.71,9.73,5753,2021-07-09 05:00:00
76,9.79,9.79,9.69,9.69,3343,2021-07-12 05:00:00
77,9.7,9.7,9.7,9.7,1149,2021-07-13 05:00:00
78,9.7,9.7,9.65,9.69,7441,2021-07-14 05:00:00
79,9.67,9.705,9.67,9.7,9032,2021-07-15 05:00:00
80,9.68,9.68,9.6708,9.6708,842,2021-07-19 05:00:00
81,9.66,9.69,9.66,9.69,4165,2021-07-20 05:00:00
82,9.75,9.75,9.66,9.66,4771,2021-07-22 05:00:00
83,9.6708,9.6708,9.67,9.67,1479,2021-07-23 05:00:00
84,9.7,9.7,9.66,9.66,8442,2021-07-26 05:00:00
