,open,high,low,close,volume,datetime
0,10.36,10.46,10.29,10.29,8783537,2021-01-27 06:00:00
1,10.4,10.59,10.35,10.48,185649,2021-01-28 06:00:00
2,10.36,10.69,10.35,10.58,424165,2021-01-29 06:00:00
3,11.0,11.15,10.66,10.82,484793,2021-02-01 06:00:00
4,10.86,10.9,10.71,10.84,315533,2021-02-02 06:00:00
5,10.9,10.94,10.72,10.73,358453,2021-02-03 06:00:00
6,10.8,10.86,10.64,10.7,621989,2021-02-04 06:00:00
7,10.72,10.98,10.72,10.8,602632,2021-02-05 06:00:00
8,10.96,11.13,10.81,11.02,575435,2021-02-08 06:00:00
9,11.09,11.25,11.0,11.1,137809,2021-02-09 06:00:00
10,11.0,11.0,10.89,10.94,114890,2021-02-10 06:00:00
11,11.01,11.09,10.88,10.9,113197,2021-02-11 06:00:00
12,11.0317,11.0317,10.84,10.84,43198,2021-02-12 06:00:00
13,10.75,10.87,10.75,10.85,89814,2021-02-16 06:00:00
14,10.79,10.95,10.75,10.9,80963,2021-02-17 06:00:00
15,10.81,10.9,10.81,10.9,41417,2021-02-18 06:00:00
16,10.95,11.0,10.89,10.9,90003,2021-02-19 06:00:00
17,10.9,11.05,10.9,10.95,108303,2021-02-22 06:00:00
18,10.91,10.91,10.75,10.7999,136213,2021-02-23 06:00:00
19,10.8,11.2,10.75,10.8,182181,2021-02-24 06:00:00
20,10.75,10.86,10.4,10.585,203043,2021-02-25 06:00:00
21,10.4601,10.88,10.4,10.48,158848,2021-02-26 06:00:00
22,10.68,10.74,10.35,10.44,535196,2021-03-01 06:00:00
23,10.44,10.44,10.18,10.3,372622,2021-03-02 06:00:00
24,10.35,10.35,10.18,10.24,208516,2021-03-03 06:00:00
25,10.15,10.1792,10.01,10.1,249685,2021-03-04 06:00:00
26,10.08,10.32,10.05,10.23,239780,2021-03-05 06:00:00
27,10.1978,10.2,10.1101,10.13,49724,2021-03-08 06:00:00
28,10.14,10.21,10.07,10.2,55333,2021-03-09 06:00:00
29,10.0714,10.225,10.0714,10.1573,67191,2021-03-10 06:00:00
30,10.22,10.22,10.06,10.12,24655,2021-03-11 06:00:00
31,10.09,10.17,10.05,10.08,25538,2021-03-12 06:00:00
32,10.09,10.12,9.96,10.05,704155,2021-03-15 05:00:00
33,10.035,10.07,10.02,10.03,111385,2021-03-16 05:00:00
34,10.048,10.1,10.048,10.0762,46209,2021-03-17 05:00:00
35,10.1,10.1,9.94,10.005,127220,2021-03-18 05:00:00
36,10.02,10.02,9.99,10.0,412980,2021-03-19 05:00:00
37,10.02,10.0291,9.96,9.98,316382,2021-03-22 05:00:00
38,9.96,10.02,9.92,9.95,209204,2021-03-23 05:00:00
39,9.95,9.95,9.85,9.92,480675,2021-03-24 05:00:00
40,9.87,10.06,9.8,10.02,791131,2021-03-25 05:00:00
41,10.01,10.14,10.01,10.1,36804,2021-03-26 05:00:00
42,10.01,10.02,9.9301,9.99,98694,2021-03-29 05:00:00
43,9.93,10.06,9.91,10.0,29089,2021-03-30 05:00:00
44,10.04,10.04,9.9,9.91,30138,2021-03-31 05:00:00
45,10.0,10.2,9.95,10.11,369368,2021-04-01 05:00:00
46,10.05,10.15,10.0,10.15,221501,2021-04-05 05:00:00
47,10.06,10.1,10.02,10.1,75290,2021-04-06 05:00:00
48,10.05,10.28,10.05,10.28,90082,2021-04-07 05:00:00
49,10.24,10.35,10.15,10.35,83784,2021-04-08 05:00:00
50,10.5,10.76,10.4,10.55,434067,2021-04-09 05:00:00
51,10.43,10.43,10.29,10.33,61519,2021-04-12 05:00:00
52,10.42,10.43,10.24,10.26,100807,2021-04-13 05:00:00
53,10.27,10.3,10.252,10.3,54476,2021-04-14 05:00:00
54,10.26,10.3,10.22,10.29,5641,2021-04-15 05:00:00
55,10.3,10.34,10.25,10.34,97501,2021-04-16 05:00:00
56,10.3,10.43,10.3,10.43,131575,2021-04-19 05:00:00
57,10.35,10.35,10.27,10.32,39958,2021-04-20 05:00:00
58,10.27,10.35,10.27,10.34,32462,2021-04-21 05:00:00
59,10.3016,10.38,10.3016,10.34,18232,2021-04-22 05:00:00
60,10.31,10.44,10.3,10.3,175412,2021-04-23 05:00:00
61,10.3,10.3,10.29,10.29,8350,2021-04-26 05:00:00
62,10.39,10.39,10.24,10.26,5975,2021-04-27 05:00:00
63,10.29,10.29,10.29,10.29,2191,2021-04-28 05:00:00
