,open,high,low,close,volume,datetime
0,41.5,46.23,40.75,42.0,1821749,2018-10-01 05:00:00
1,42.0,45.0,42.0,43.54,2629185,2018-10-02 05:00:00
2,43.02,44.345,42.51,42.94,1672780,2018-10-03 05:00:00
3,43.5,45.66,42.56,43.66,2234217,2018-10-04 05:00:00
4,43.38,45.5,43.22,45.16,1262406,2018-10-05 05:00:00
5,45.09,47.99,42.94,46.54,1004767,2018-10-08 05:00:00
6,46.35,49.53,45.5,48.57,1827851,2018-10-09 05:00:00
7,48.55,49.92,43.97,44.21,1534489,2018-10-10 05:00:00
8,43.76,44.88,38.68,39.48,1876672,2018-10-11 05:00:00
9,45.95,46.005,39.74,39.98,1350849,2018-10-12 05:00:00
10,39.72,40.6416,38.03,39.75,758160,2018-10-15 05:00:00
11,40.31,41.045,39.0,40.41,1264087,2018-10-16 05:00:00
12,40.13,40.41,38.5,38.97,658348,2018-10-17 05:00:00
13,39.01,39.54,38.23,38.34,608168,2018-10-18 05:00:00
14,38.29,38.29,36.55,37.26,746496,2018-10-19 05:00:00
15,37.0,37.8,36.33,37.6,841285,2018-10-22 05:00:00
16,36.9,38.5,35.86,37.92,650251,2018-10-23 05:00:00
17,37.79,37.79,35.74,35.99,596240,2018-10-24 05:00:00
18,36.04,37.839,33.23,35.0,826929,2018-10-25 05:00:00
19,34.3,35.12,32.76,33.23,852885,2018-10-26 05:00:00
20,33.24,33.38,31.72,31.85,899947,2018-10-29 05:00:00
21,31.47,31.67,30.54,31.6,675750,2018-10-30 05:00:00
22,32.02,34.48,31.92,34.05,927469,2018-10-31 05:00:00
23,34.22,35.73,33.42,35.71,792586,2018-11-01 05:00:00
24,35.9,36.22,34.92,35.02,807069,2018-11-02 05:00:00
25,34.78,35.98,34.28,35.13,464603,2018-11-05 06:00:00
26,24.02,25.2,22.75,24.88,9613375,2018-11-06 06:00:00
27,24.88,25.24,22.8,23.1,2448077,2018-11-07 06:00:00
28,23.09,23.29,21.01,21.17,1594730,2018-11-08 06:00:00
29,21.2,22.65,20.68,22.28,1621654,2018-11-09 06:00:00
30,22.32,22.75,21.77,21.87,1053649,2018-11-12 06:00:00
31,21.92,22.9,21.8805,22.2,1298184,2018-11-13 06:00:00
32,22.33,23.09,21.87,21.95,1596890,2018-11-14 06:00:00
33,21.9,22.26,21.49,21.64,613786,2018-11-15 06:00:00
34,21.57,21.72,20.6869,21.08,960076,2018-11-16 06:00:00
35,20.9,22.87,20.6637,22.84,1068801,2018-11-19 06:00:00
36,22.51,23.165,22.0,23.07,810399,2018-11-20 06:00:00
37,23.39,24.11,22.1922,22.9,364007,2018-11-21 06:00:00
38,22.84,23.18,22.49,22.49,93488,2018-11-23 06:00:00
39,22.68,23.415,22.02,22.57,270833,2018-11-26 06:00:00
40,22.37,23.285,22.37,22.78,454700,2018-11-27 06:00:00
41,22.56,23.66,22.12,22.54,430929,2018-11-28 06:00:00
42,22.53,23.14,22.34,22.35,548883,2018-11-29 06:00:00
43,22.68,23.64,22.2287,23.29,762732,2018-11-30 06:00:00
44,23.4,24.06,22.95,23.2,604232,2018-12-03 06:00:00
45,23.08,23.36,22.34,22.41,428095,2018-12-04 06:00:00
46,21.86,23.04,21.75,22.7,422113,2018-12-06 06:00:00
47,22.57,22.97,22.1,22.49,453947,2018-12-07 06:00:00
48,22.48,22.885,21.69,22.4,549896,2018-12-10 06:00:00
49,22.77,22.77,21.935,22.15,452200,2018-12-11 06:00:00
50,22.28,22.81,21.62,22.12,444863,2018-12-12 06:00:00
51,22.1,22.32,21.75,22.11,681797,2018-12-13 06:00:00
52,22.0,23.37,22.0,22.79,743763,2018-12-14 06:00:00
53,22.73,23.06,22.035,22.81,1061358,2018-12-17 06:00:00
54,22.85,23.25,22.605,23.14,668246,2018-12-18 06:00:00
55,23.15,24.1,23.08,23.55,607741,2018-12-19 06:00:00
56,23.36,24.21,22.71,23.44,585975,2018-12-20 06:00:00
57,23.73,23.85,22.84,23.35,691452,2018-12-21 06:00:00
58,22.97,24.44,22.8,24.27,200478,2018-12-24 06:00:00
59,24.3,25.97,24.035,25.35,617012,2018-12-26 06:00:00
60,24.98,25.969,22.97,25.34,256745,2018-12-27 06:00:00
61,25.35,26.1062,24.35,25.7,209705,2018-12-28 06:00:00
62,25.66,27.08,25.34,26.61,489457,2018-12-31 06:00:00
63,26.13,26.85,25.47,26.48,300247,2019-01-02 06:00:00
64,26.21,26.29,24.37,25.49,319169,2019-01-03 06:00:00
65,25.9,27.53,25.74,27.0,299102,2019-01-04 06:00:00
