,open,high,low,close,volume,datetime
0,58.15,59.3,57.83,58.94,2820000,2002-06-10 05:00:00
1,59.0,59.79,57.76,57.99,3791700,2002-06-11 05:00:00
2,57.99,58.19,56.64,57.43,4020800,2002-06-12 05:00:00
3,56.7,56.86,56.05,56.1,4243300,2002-06-13 05:00:00
4,55.52,55.75,54.23,55.45,6170300,2002-06-14 05:00:00
5,55.49,56.91,55.49,56.73,3601400,2002-06-17 05:00:00
6,56.75,57.23,55.9,56.95,4073700,2002-06-18 05:00:00
7,56.81,57.49,56.1,56.34,2650600,2002-06-19 05:00:00
8,54.8,54.9,53.63,53.75,9489000,2002-06-20 05:00:00
9,54.48,55.8,54.06,55.03,7087500,2002-06-21 05:00:00
10,54.95,55.29,53.61,54.75,5662700,2002-06-24 05:00:00
11,54.8,55.3,53.17,53.31,4212300,2002-06-25 05:00:00
12,52.7,53.25,52.22,53.08,5296700,2002-06-26 05:00:00
13,53.9,54.25,50.0,51.5,9932500,2002-06-27 05:00:00
14,51.71,53.68,51.5,53.45,5372800,2002-06-28 05:00:00
15,53.3,54.08,50.82,50.82,5693300,2002-07-01 05:00:00
16,50.86,51.34,49.53,50.5,8260000,2002-07-02 05:00:00
17,50.58,51.0,49.07,50.15,4138100,2002-07-03 05:00:00
18,50.26,51.69,50.2,51.69,2506800,2002-07-05 05:00:00
19,51.69,51.75,50.41,51.53,5180600,2002-07-08 05:00:00
20,51.79,52.0,51.01,51.14,4864300,2002-07-09 05:00:00
21,50.0,50.81,47.49,47.61,9438600,2002-07-10 05:00:00
22,46.4,47.78,44.76,47.72,15449300,2002-07-11 05:00:00
23,48.0,48.14,45.9,46.6,7438900,2002-07-12 05:00:00
24,46.6,48.05,45.21,47.92,7003600,2002-07-15 05:00:00
25,47.92,49.23,45.78,45.84,8015900,2002-07-16 05:00:00
26,46.67,47.0,44.53,45.1,6075400,2002-07-17 05:00:00
27,45.4,46.15,44.79,44.8,4246100,2002-07-18 05:00:00
28,44.53,44.7,42.1,42.57,7340700,2002-07-19 05:00:00
29,42.81,43.45,40.5,41.0,9106900,2002-07-22 05:00:00
30,41.7,42.51,41.0,41.32,6417900,2002-07-23 05:00:00
31,41.32,44.8,40.5,44.75,8778700,2002-07-24 05:00:00
32,44.28,44.46,41.55,43.92,6508900,2002-07-25 05:00:00
33,43.67,44.02,42.35,43.05,4196900,2002-07-26 05:00:00
34,44.0,46.58,43.4,46.09,5913700,2002-07-29 05:00:00
35,46.09,46.92,44.92,45.99,4419900,2002-07-30 05:00:00
