,open,high,low,close,volume,datetime
0,10.35,10.415,10.3,10.3,7547761,2021-01-08 06:00:00
1,10.35,10.49,10.35,10.47,702043,2021-01-11 06:00:00
2,10.5,10.5,10.41,10.48,287992,2021-01-12 06:00:00
3,10.4,10.74,10.4,10.5,592473,2021-01-13 06:00:00
4,10.6,10.8,10.42,10.5,551351,2021-01-14 06:00:00
5,10.57,10.65,10.37,10.41,354331,2021-01-15 06:00:00
6,10.51,10.51,10.43,10.45,832962,2021-01-19 06:00:00
7,10.46,10.54,10.44,10.48,183998,2021-01-20 06:00:00
8,10.62,10.62,10.4,10.44,155653,2021-01-21 06:00:00
9,10.49,10.62,10.4,10.52,293322,2021-01-22 06:00:00
10,10.65,10.66,10.48,10.49,60782,2021-01-25 06:00:00
11,10.5,10.5,10.43,10.48,341794,2021-01-26 06:00:00
12,10.49,10.49,10.36,10.42,295639,2021-01-27 06:00:00
13,10.38,10.445,10.38,10.4,31892,2021-01-28 06:00:00
14,10.42,10.51,10.36,10.41,39842,2021-01-29 06:00:00
15,10.43,10.45,10.36,10.4,733930,2021-02-01 06:00:00
16,10.44,10.44,10.3602,10.4,66570,2021-02-02 06:00:00
17,10.41,10.46,10.38,10.38,66149,2021-02-03 06:00:00
18,10.395,10.48,10.3704,10.47,339334,2021-02-04 06:00:00
19,10.47,10.5,10.41,10.5,48349,2021-02-05 06:00:00
20,10.51,10.72,10.47,10.51,16746,2021-02-08 06:00:00
21,10.51,10.63,10.46,10.51,7710,2021-02-09 06:00:00
22,10.54,10.57,10.5,10.56,23808,2021-02-10 06:00:00
23,10.55,10.64,10.4,10.49,823150,2021-02-11 06:00:00
24,10.45,10.6,10.37,10.47,379582,2021-02-12 06:00:00
25,10.56,10.56,10.36,10.4,23149,2021-02-16 06:00:00
26,10.43,10.5,10.42,10.49,66338,2021-02-17 06:00:00
27,10.49,10.55,10.4,10.52,40049,2021-02-18 06:00:00
28,10.51,10.6,10.48,10.58,75807,2021-02-19 06:00:00
29,10.57,10.63,10.51,10.6,35756,2021-02-22 06:00:00
30,10.51,10.58,10.4,10.565,177391,2021-02-23 06:00:00
31,10.57,10.71,10.515,10.6,496293,2021-02-24 06:00:00
32,10.54,10.65,10.4,10.49,42347,2021-02-25 06:00:00
33,10.49,10.49,10.29,10.4,149245,2021-02-26 06:00:00
34,10.5,10.59,10.35,10.43,108628,2021-03-01 06:00:00
35,10.35,10.75,10.16,10.37,345908,2021-03-02 06:00:00
36,10.3,10.43,10.3,10.3301,7267,2021-03-03 06:00:00
37,10.2165,10.3298,10.05,10.16,178036,2021-03-04 06:00:00
38,10.1,10.33,10.1,10.28,53621,2021-03-05 06:00:00
39,10.2197,10.28,10.2197,10.25,5634,2021-03-08 06:00:00
40,10.16,10.19,10.14,10.15,6669,2021-03-09 06:00:00
41,10.125,10.25,10.125,10.25,92262,2021-03-10 06:00:00
42,10.25,10.37,10.19,10.3,26866,2021-03-11 06:00:00
43,10.3,10.3,10.23,10.24,6133,2021-03-12 06:00:00
44,10.17,10.2,10.16,10.2,19501,2021-03-15 05:00:00
45,10.18,10.23,10.15,10.23,7268,2021-03-16 05:00:00
46,10.18,10.18,10.18,10.18,102,2021-03-17 05:00:00
47,10.19,10.2,10.15,10.15,7159,2021-03-18 05:00:00
48,10.16,10.16,10.1,10.1,3722,2021-03-19 05:00:00
49,10.06,10.08,10.05,10.0784,24141,2021-03-22 05:00:00
50,10.06,10.06,9.98,10.02,64372,2021-03-23 05:00:00
51,10.01,10.075,9.91,9.93,44940,2021-03-24 05:00:00
52,9.9,9.96,9.9,9.93,1670,2021-03-25 05:00:00
53,9.97,10.165,9.97,10.165,860,2021-03-26 05:00:00
54,10.09,10.09,9.96,9.96,1453,2021-03-29 05:00:00
55,9.9739,9.98,9.96,9.98,5337,2021-03-30 05:00:00
