,open,high,low,close,volume,datetime
0,14.62,14.95,14.59,14.6,354900,2002-06-10 05:00:00
1,14.7,15.0,14.33,14.7,637000,2002-06-11 05:00:00
2,14.7,14.74,14.05,14.3,547500,2002-06-12 05:00:00
3,14.3,14.64,14.08,14.12,474400,2002-06-13 05:00:00
4,14.02,14.41,13.3,14.25,1352000,2002-06-14 05:00:00
5,14.27,15.0,14.27,14.75,926600,2002-06-17 05:00:00
6,14.65,15.1,14.53,14.87,793000,2002-06-18 05:00:00
7,14.77,15.07,14.65,15.0,923300,2002-06-19 05:00:00
8,15.0,15.18,14.8,14.89,723400,2002-06-20 05:00:00
9,14.4,15.05,14.4,14.91,840200,2002-06-21 05:00:00
10,14.86,15.04,14.46,14.65,358800,2002-06-24 05:00:00
11,14.75,14.9,14.28,14.39,472200,2002-06-25 05:00:00
12,14.29,14.35,13.96,14.14,623400,2002-06-26 05:00:00
13,14.16,14.5,13.72,14.5,928300,2002-06-27 05:00:00
14,14.45,14.45,13.56,13.56,584300,2002-06-28 05:00:00
15,13.61,13.86,13.35,13.43,904300,2002-07-01 05:00:00
16,13.25,13.36,13.03,13.08,736800,2002-07-02 05:00:00
17,13.08,13.25,12.66,13.01,1152100,2002-07-03 05:00:00
18,13.25,13.9,13.04,13.74,417600,2002-07-05 05:00:00
19,13.69,13.92,13.5,13.51,505400,2002-07-08 05:00:00
20,13.41,13.55,13.15,13.15,683000,2002-07-09 05:00:00
21,13.17,13.42,12.84,12.85,491100,2002-07-10 05:00:00
22,12.85,12.95,12.2,12.55,699200,2002-07-11 05:00:00
23,12.4,12.82,12.4,12.6,558000,2002-07-12 05:00:00
24,12.5,12.74,11.93,12.74,791800,2002-07-15 05:00:00
25,12.64,12.64,12.1,12.21,597700,2002-07-16 05:00:00
26,12.26,12.63,11.85,11.93,626700,2002-07-17 05:00:00
27,11.91,12.15,11.66,11.84,602900,2002-07-18 05:00:00
28,11.5,11.99,11.45,11.69,681000,2002-07-19 05:00:00
29,11.65,12.28,11.44,11.73,1125900,2002-07-22 05:00:00
30,11.7,11.8,10.87,11.37,684900,2002-07-23 05:00:00
31,11.0,11.74,10.75,11.59,979300,2002-07-24 05:00:00
32,11.2,11.62,10.85,11.3,921000,2002-07-25 05:00:00
33,11.27,11.45,11.14,11.33,504200,2002-07-26 05:00:00
34,11.83,12.09,11.52,12.05,671000,2002-07-29 05:00:00
35,11.92,12.29,11.5,12.19,857500,2002-07-30 05:00:00
36,12.15,12.33,11.93,12.25,851300,2002-07-31 05:00:00
37,12.25,12.57,12.2,12.53,987500,2002-08-01 05:00:00
38,12.38,12.38,11.8,11.88,914700,2002-08-02 05:00:00
39,11.84,12.0,11.65,11.86,441900,2002-08-05 05:00:00
40,12.11,12.36,11.92,12.01,568800,2002-08-06 05:00:00
41,12.29,12.4,11.66,11.9,649900,2002-08-07 05:00:00
42,11.9,12.3,11.6,12.3,603400,2002-08-08 05:00:00
43,12.1,12.4,12.04,12.35,581700,2002-08-09 05:00:00
44,12.32,12.32,11.81,12.01,301700,2002-08-12 05:00:00
45,11.91,12.27,11.91,12.02,480400,2002-08-13 05:00:00
46,12.03,12.36,11.91,12.26,562300,2002-08-14 05:00:00
47,12.18,12.7,12.05,12.7,580200,2002-08-15 05:00:00
48,12.7,12.83,12.36,12.6,605400,2002-08-16 05:00:00
49,12.7,13.12,12.59,13.05,502400,2002-08-19 05:00:00
50,12.8,13.05,12.68,12.95,457200,2002-08-20 05:00:00
51,13.2,13.46,13.01,13.39,1348600,2002-08-21 05:00:00
52,13.35,13.67,12.95,13.6,682500,2002-08-22 05:00:00
53,13.5,13.79,13.35,13.46,1408500,2002-08-23 05:00:00
54,13.46,13.49,13.16,13.27,398900,2002-08-26 05:00:00
55,13.28,13.45,12.87,13.24,784400,2002-08-27 05:00:00
56,13.14,13.21,13.04,13.21,693900,2002-08-28 05:00:00
57,13.11,13.31,12.83,13.31,655400,2002-08-29 05:00:00
58,13.26,13.35,12.99,13.15,263700,2002-08-30 05:00:00
59,12.95,13.0,12.57,12.87,754200,2002-09-03 05:00:00
60,12.87,13.24,12.75,13.21,525600,2002-09-04 05:00:00
61,13.11,13.11,12.8,12.88,776000,2002-09-05 05:00:00
62,12.98,13.11,12.75,12.8,1137500,2002-09-06 05:00:00
63,12.78,13.0,12.66,12.75,1093800,2002-09-09 05:00:00
64,12.8,12.85,12.55,12.8,861800,2002-09-10 05:00:00
65,12.95,12.95,12.6,12.75,562300,2002-09-11 05:00:00
66,12.7,12.71,12.35,12.55,709800,2002-09-12 05:00:00
67,12.45,12.6,12.2,12.5,475200,2002-09-13 05:00:00
68,12.35,12.64,12.25,12.52,437500,2002-09-16 05:00:00
