,open,high,low,close,volume,datetime
0,11.02,11.47,11.02,11.09,7180808,2021-01-15 06:00:00
1,11.2,11.85,11.18,11.85,1607859,2021-01-19 06:00:00
2,12.55,12.7,11.6,12.65,1942397,2021-01-20 06:00:00
3,12.65,12.8878,12.32,12.45,916219,2021-01-21 06:00:00
4,12.39,12.8,12.39,12.55,459174,2021-01-22 06:00:00
5,12.9,13.3,11.63,12.15,628636,2021-01-25 06:00:00
6,12.17,12.38,11.59,11.64,820637,2021-01-26 06:00:00
7,11.1,11.59,10.7,10.98,1275079,2021-01-27 06:00:00
8,11.04,11.2699,10.96,11.09,844220,2021-01-28 06:00:00
9,11.12,11.27,11.0,11.1,377854,2021-01-29 06:00:00
10,11.48,11.55,11.15,11.36,515706,2021-02-01 06:00:00
11,11.58,11.59,11.39,11.39,364567,2021-02-02 06:00:00
12,11.46,11.575,11.28,11.28,175768,2021-02-03 06:00:00
13,11.25,11.54,10.97,11.06,239327,2021-02-04 06:00:00
14,11.16,11.31,11.1,11.21,653228,2021-02-05 06:00:00
15,11.5,12.2,11.46,12.0,731964,2021-02-08 06:00:00
16,12.25,12.35,11.9,12.31,359838,2021-02-09 06:00:00
17,12.21,12.54,12.02,12.5,226421,2021-02-10 06:00:00
18,12.5,12.66,12.06,12.1,225119,2021-02-11 06:00:00
19,12.05,12.33,11.68,11.79,104673,2021-02-12 06:00:00
20,11.85,12.0699,11.61,11.75,137562,2021-02-16 06:00:00
21,11.75,11.9,11.55,11.66,152037,2021-02-17 06:00:00
22,11.65,11.65,11.25,11.31,631083,2021-02-18 06:00:00
23,11.35,11.49,11.25,11.3,267680,2021-02-19 06:00:00
24,11.3,11.72,11.25,11.58,380298,2021-02-22 06:00:00
25,11.22,11.51,10.75,11.4,807403,2021-02-23 06:00:00
26,11.36,11.55,11.15,11.38,426894,2021-02-24 06:00:00
27,11.27,11.3499,10.53,10.95,307253,2021-02-25 06:00:00
28,11.01,11.01,10.81,10.86,60966,2021-02-26 06:00:00
29,11.05,11.05,10.77,10.88,239459,2021-03-01 06:00:00
30,10.85,10.98,10.34,10.41,303760,2021-03-02 06:00:00
31,10.5,10.79,10.27,10.34,791449,2021-03-03 06:00:00
32,10.35,10.39,10.0,10.2,538817,2021-03-04 06:00:00
33,10.25,10.5399,10.15,10.45,329168,2021-03-05 06:00:00
34,10.51,10.51,10.29,10.39,673580,2021-03-08 06:00:00
35,10.4,10.7,10.3,10.41,149025,2021-03-09 06:00:00
36,10.4,10.58,10.375,10.45,285216,2021-03-10 06:00:00
37,10.45,10.79,10.45,10.75,295905,2021-03-11 06:00:00
38,10.63,10.7,10.45,10.5,82101,2021-03-12 06:00:00
39,10.49,10.49,10.25,10.36,180172,2021-03-15 05:00:00
40,10.33,10.356,10.29,10.33,176352,2021-03-16 05:00:00
41,10.27,10.35,10.26,10.33,61083,2021-03-17 05:00:00
42,10.37,10.75,10.3313,10.34,45227,2021-03-18 05:00:00
43,10.4516,10.4516,10.29,10.3794,26840,2021-03-19 05:00:00
