,open,high,low,close,volume,datetime
0,3.17,4.35,3.16,3.59,10221143,2021-10-13 05:00:00
1,3.6,3.7,3.3,3.5,2584376,2021-10-14 05:00:00
2,3.4,3.67,3.4,3.49,911260,2021-10-15 05:00:00
3,3.39,3.54,3.35,3.505,511949,2021-10-18 05:00:00
4,3.51,3.5399,2.87,3.05,1139466,2021-10-19 05:00:00
5,3.03,3.0317,2.75,2.9,650325,2021-10-20 05:00:00
6,2.92,3.11,2.86,2.96,424537,2021-10-21 05:00:00
7,2.85,2.93,2.48,2.85,1149426,2021-10-22 05:00:00
8,2.84,2.95,2.73,2.87,781025,2021-10-25 05:00:00
9,2.99,3.0699,2.63,2.68,569196,2021-10-26 05:00:00
10,2.69,2.75,2.43,2.66,760139,2021-10-27 05:00:00
11,2.63,2.75,2.607,2.7,447732,2021-10-28 05:00:00
12,2.7,3.0699,2.687,2.75,1144870,2021-10-29 05:00:00
13,2.75,2.888,2.73,2.85,403770,2021-11-01 05:00:00
14,2.977,3.1899,2.91,3.09,908623,2021-11-02 05:00:00
15,3.05,3.09,2.92,2.93,279020,2021-11-03 05:00:00
16,2.95,3.56,2.95,3.415,1583452,2021-11-04 05:00:00
17,3.35,3.69,2.811,2.91,1319156,2021-11-05 05:00:00
18,2.89,2.985,2.78,2.86,293341,2021-11-08 06:00:00
19,2.83,2.8999,2.72,2.81,277991,2021-11-09 06:00:00
20,2.8,2.8819,2.68,2.75,152575,2021-11-10 06:00:00
21,2.69,2.85,2.6809,2.74,74663,2021-11-11 06:00:00
22,2.74,2.8268,2.56,2.69,110380,2021-11-12 06:00:00
23,2.67,2.74,2.53,2.57,163646,2021-11-15 06:00:00
24,2.55,2.63,2.52,2.61,150039,2021-11-16 06:00:00
25,2.62,2.62,2.52,2.55,72282,2021-11-17 06:00:00
26,2.55,2.61,2.22,2.31,372093,2021-11-18 06:00:00
27,2.31,2.5134,2.2957,2.44,93390,2021-11-19 06:00:00
28,2.43,2.5,2.22,2.26,130787,2021-11-22 06:00:00
29,2.262,2.43,2.15,2.19,189369,2021-11-23 06:00:00
30,2.3,2.5,2.26,2.415,191717,2021-11-24 06:00:00
31,2.45,2.48,2.31,2.41,166598,2021-11-26 06:00:00
32,2.39,2.48,2.3008,2.47,139002,2021-11-29 06:00:00
33,2.4201,2.54,2.29,2.4,142307,2021-11-30 06:00:00
34,2.47,2.5643,2.25,2.32,148562,2021-12-01 06:00:00
35,2.3,2.3811,2.12,2.28,168246,2021-12-02 06:00:00
36,2.15,2.38,2.13,2.25,135392,2021-12-03 06:00:00
37,2.34,2.35,2.06,2.14,161429,2021-12-06 06:00:00
38,2.19,2.61,2.17,2.455,299901,2021-12-07 06:00:00
39,2.49,2.5799,2.34,2.42,72588,2021-12-08 06:00:00
40,2.42,2.4949,2.26,2.31,144637,2021-12-09 06:00:00
41,2.29,2.3288,2.15,2.2,139779,2021-12-10 06:00:00
42,2.42,2.78,2.13,2.2,2545471,2021-12-13 06:00:00
43,2.11,2.2036,2.0,2.08,270094,2021-12-14 06:00:00
44,2.08,2.28,1.9,1.99,662817,2021-12-15 06:00:00
45,1.99,2.06,1.91,1.93,186932,2021-12-16 06:00:00
46,1.91,1.99,1.75,1.75,194396,2021-12-17 06:00:00
47,1.72,1.83,1.66,1.67,120506,2021-12-20 06:00:00
48,1.66,1.78,1.66,1.68,141285,2021-12-21 06:00:00
49,1.65,1.77,1.65,1.7,200810,2021-12-22 06:00:00
50,1.74,1.8424,1.725,1.81,235725,2021-12-23 06:00:00
51,1.76,1.83,1.74,1.82,84865,2021-12-27 06:00:00
52,1.75,1.83,1.56,1.75,381076,2021-12-28 06:00:00
53,1.68,1.76,1.62,1.745,126024,2021-12-29 06:00:00
54,1.63,1.86,1.63,1.815,88664,2021-12-30 06:00:00
55,1.81,1.877,1.76,1.81,115941,2021-12-31 06:00:00
56,1.87,1.87,1.77,1.84,58475,2022-01-03 06:00:00
57,1.87,1.87,1.754,1.78,36720,2022-01-04 06:00:00
58,1.72,1.83,1.72,1.83,52756,2022-01-05 06:00:00
59,1.81,1.92,1.7292,1.88,83838,2022-01-06 06:00:00
60,1.85,1.85,1.77,1.77,42312,2022-01-07 06:00:00
61,1.74,1.7498,1.6617,1.67,81597,2022-01-10 06:00:00
62,1.63,1.8779,1.62,1.8,103240,2022-01-11 06:00:00
